id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,64,2048,1,32,1.47668845204975,False,DLMT,1,3,2048,35,1,1,23,1,32,9.350150058819485e-05,1.4767194285714287,True,512,16,128,1.4767504050931073,512
2,32,1024,32,1,1.5068680500684448,False,DLMT,1,30,1,35,2048,1,17,8,8,6.88423220564246e-05,1.5068908571428572,True,1,256,512,1.5069136642172696,256
3,16,2048,1,8,1.4807154348878295,False,DLMT,30,1,1,35,2048,1,10,1,8,0.00012848123820788303,1.480758,True,512,512,32,1.4808005651121705,1
4,16,64,1,1,1.4881506114007306,False,DLMT,1,23,512,35,512,11,1,8,8,3.437607141186445e-05,1.4881620000000002,True,512,64,64,1.4881733885992698,2048
5,1,512,8,1,1.490635346572266,False,DLMT,9,1,512,35,2048,1,20,1,32,0.00012874781551545738,1.4906780000000002,True,256,32,256,1.4907206534277344,1
6,16,256,8,8,1.5161059634715255,False,DLMT,27,1,2048,35,256,13,1,8,8,4.1506330965338894e-05,1.5161197142857141,True,32,16,64,1.5161334650999028,1
7,1,2048,8,1,1.4730839219129954,False,DLMT,1,13,512,35,1,1,20,1,8,6.664190016155855e-05,1.473106,True,1,32,32,1.4731280780870046,1024
8,16,1,32,1,1.491923040908062,False,DLMT,15,1,2048,35,512,1,20,8,1,9.086163510908205e-05,1.4919531428571429,True,64,1,1,1.4919832448062238,1
9,1,1,8,8,1.481623662617688,False,DLMT,1,30,1,35,2048,10,1,1,32,7.949842765740607e-05,1.48165,True,128,512,16,1.4816763373823119,512
10,16,1,8,8,1.4689241940066746,False,DLMT,1,7,256,35,1,1,9,32,1,0.00011584084789406616,1.4689625714285715,True,1,1,1,1.4690009488504683,512
11,16,2048,8,8,1.5286916512416193,False,DLMT,1,30,512,35,64,1,4,8,1,4.503603998975553e-05,1.5287065714285712,True,16,16,256,1.5287214916155232,64
12,512,2048,32,1,1.8233093440764547,False,DLMT,1,27,2048,35,2048,12,1,1,1,4.941287942491205e-05,1.8233257142857142,True,16,128,256,1.8233420844949737,2048
13,1,1024,1,1,1.1132922624249515,False,DLMT,1,30,2048,35,64,28,1,1,1,0.00012080883870893965,1.1133322857142858,True,16,1,32,1.11337230900362,64
14,1,1,1,32,1.6189654628142887,False,DLMT,20,1,256,35,512,29,1,32,1,0.00011287341654820358,1.6190028571428572,True,64,128,64,1.6190402514714257,1
15,64,2048,1,8,1.6142868781304993,False,DLMT,20,1,1,35,1024,12,1,32,1,0.00011205100879257122,1.614324,True,512,16,32,1.6143611218695009,64
16,128,2048,1,32,1.5365434613311995,False,DLMT,3,1,2048,35,1024,19,1,1,8,8.355567617107769e-05,1.536571142857143,True,1,1,64,1.5365988243830864,256
17,512,1024,1,1,1.4743711603401521,False,DLMT,1,3,2048,35,512,1,2,1,32,7.411518889194705e-05,1.4743957142857143,True,32,16,128,1.4744202682312764,1
18,1,2048,32,1,1.484854454631589,False,DLMT,1,3,512,35,128,1,30,1,8,0.00012799043331595416,1.484896857142857,True,256,32,1,1.4849392596541249,64
19,64,256,8,8,1.4880278408197711,False,DLMT,1,11,256,35,2048,1,25,1,1,8.58598763529784e-05,1.4880562857142856,True,256,1,128,1.4880847306088,512
20,32,2048,8,1,1.5394776923083286,False,DLMT,1,2,512,35,128,1,22,32,1,7.682155309812283e-05,1.5395031428571428,True,128,512,32,1.539528593405957,2048
21,512,1024,1,32,1.6039941255762484,False,DLMT,1,29,512,35,2048,1,9,8,1,0.00043427969920644755,1.604138,True,64,32,1,1.6042818744237517,1024
22,128,1024,8,8,1.556104867618381,False,DLMT,1,27,2048,35,1,1,30,32,1,0.00010604581220265092,1.55614,True,16,128,512,1.556175132381619,1
23,128,1,1,8,1.4823165293590161,False,DLMT,1,29,512,35,1024,1,20,1,8,0.00012862728945227034,1.482359142857143,True,64,16,1,1.4824017563552698,2048
24,64,1,8,1,1.11078719652871,False,DLMT,17,1,2048,35,2048,1,1,1,1,5.244550135373848e-05,1.1108045714285715,True,1,128,64,1.110821946328433,2048
25,64,256,32,1,1.474180206229073,False,DLMT,21,1,256,35,128,2,1,1,8,0.0004538718689998187,1.4743305714285715,True,256,512,32,1.47448093662807,512
26,512,1,32,1,1.4832930126847812,False,DLMT,1,1,512,35,2048,1,2,8,1,0.0006834280936453178,1.4835194285714286,True,512,32,16,1.483745844458076,512
27,64,1024,8,8,1.6549625143181754,False,DLMT,30,1,256,35,256,1,27,8,1,8.813903673128878e-05,1.6549917142857145,True,1,128,16,1.6550209142532535,2048
