id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,128,1,64,0.16078753714527363,8,1,128,128,RS,True,False,False,False,True,19,8,35,0.16083657714044067,7.401271815694703e-05,0.16081205714285715,1,23,True,12,1
2,1024,256,256,0.20502139448441548,8,256,64,256,RS,False,False,True,True,True,23,1,35,0.2050663198012988,6.78027150139642e-05,0.20504385714285714,23,26,True,1,1
3,256,512,1024,inf,32,16,32,64,RS,False,False,True,False,True,2,1,1,inf,inf,inf,24,29,False,1,1
4,1,128,2048,0.16826129460538627,1,16,128,1,RS,True,True,False,False,True,8,8,35,0.1682739053946137,1.903260360539357e-05,0.1682676,3,1,True,1,1
5,1,2048,256,inf,32,32,64,256,RS,True,False,True,False,True,18,1,1,inf,inf,inf,2,1,False,7,1
6,128,512,512,0.141133860377242,1,256,32,1,RS,True,True,False,False,False,11,32,35,0.1411662539084723,4.888934611206639e-05,0.14115005714285714,1,2,True,2,1
7,1,512,1,inf,32,1,32,32,RS,True,True,False,False,True,3,1,1,inf,inf,inf,6,1,False,20,1
8,2048,512,512,0.0933980744741224,1,32,64,512,RS,True,False,True,True,True,4,8,35,0.09345322266873476,8.323140674882084e-05,0.09342564857142859,19,28,True,1,8
9,64,1,512,0.2286742352913818,1,512,64,1,RS,True,True,True,True,True,22,1,35,0.22880222185147525,0.00019316138119115187,0.22873822857142853,11,19,True,1,32
10,1,512,256,0.2540468775127867,1,128,16,32,RS,False,False,True,False,False,30,1,35,0.2542317510586419,0.0002790170267644743,0.2541393142857143,9,1,True,13,32
11,512,1024,1024,0.24757538411215965,1,64,512,256,RS,False,True,False,False,True,14,1,35,0.24785250160212605,0.0004182345167730744,0.24771394285714285,1,7,True,10,32
12,1024,2048,256,0.2013224696496279,8,256,1,16,RS,False,True,True,False,True,4,1,35,0.20136638749322922,6.628220434057006e-05,0.20134442857142856,1,17,True,2,1
13,512,512,1024,0.25905255723088494,8,16,256,512,RS,False,True,False,True,True,30,1,35,0.2590797856262579,4.1093959037645015e-05,0.2590661714285714,20,1,True,30,1
14,1024,2048,512,0.11615681035328583,8,512,512,512,RS,False,True,True,False,True,15,1,35,0.11620381821814273,7.094576255485549e-05,0.11618031428571428,1,14,True,21,1
15,256,1,1,inf,1,1,128,128,RS,True,False,False,False,False,23,1,1,inf,inf,inf,6,1,False,3,32
16,2048,1,1024,0.20294033057221697,1,64,1,64,RS,False,False,True,True,False,23,1,35,0.2029722979992116,4.824625606707627e-05,0.20295631428571428,9,30,True,1,1
17,128,512,256,0.2876308416826879,1,1,1,64,RS,False,True,False,True,True,12,8,35,0.2876574440315978,4.014910983332038e-05,0.28764414285714285,19,1,True,13,1
18,2048,1024,512,0.09017884223849792,8,32,128,1,RS,True,False,True,True,False,7,1,35,0.09027133490435921,0.00013959286877288953,0.09022508857142857,17,8,True,1,8
19,2048,2048,2048,0.21496519892731764,8,16,32,512,RS,False,True,False,True,False,25,1,35,0.21499394392982524,4.3382870690949196e-05,0.21497957142857144,15,28,True,1,1
20,256,2048,512,0.21625374125412802,1,1,256,1,RS,True,False,False,True,False,2,1,35,0.21650643017444335,0.00038136614363391645,0.21638008571428569,1,7,True,5,32
21,256,2048,256,0.14889220075871765,1,128,32,16,RS,True,True,False,True,False,7,1,35,0.14892608495556806,5.113910600768417e-05,0.14890914285714285,1,18,True,9,1
22,2048,128,256,0.2044221288110327,1,32,16,64,RS,False,True,False,True,True,18,8,35,0.204471756903253,7.490029290697742e-05,0.20444694285714285,14,20,True,1,1
23,1,64,256,0.11073197658114323,1,256,16,512,RS,False,False,True,False,True,15,8,35,0.11077402341885678,6.345842283394235e-05,0.110753,25,24,True,1,8
