id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,64,1,64,inf,1,16,1,1,DLMT,False,True,True,True,True,12,32,1,inf,inf,2,1,29,False,inf,1
2,256,512,2048,0.08796656455823433,8,512,1,256,DLMT,True,True,True,False,False,7,1,35,0.08799097829890852,3.684599277633168e-05,1,28,30,True,0.08797877142857143,8
3,2048,1024,128,0.23925353603455415,1,64,64,256,DLMT,False,False,True,True,True,20,1,35,0.24198440682258868,0.004121516922449891,1,30,28,True,0.24061897142857142,1
4,256,1024,2048,0.1560922402198192,1,512,256,16,DLMT,False,False,False,True,False,10,1,35,0.15614061692303788,7.30116568831077e-05,17,1,22,True,0.15611642857142854,1
5,64,512,2048,0.10245142934382044,1,512,512,1,DLMT,True,True,True,False,True,27,1,35,0.10248851351332243,5.596860636070221e-05,1,12,2,True,0.10246997142857144,8
6,128,2048,64,0.15214919475104674,8,32,128,128,DLMT,True,True,True,False,True,30,1,35,0.15222726239181048,0.00011782216277431059,25,1,28,True,0.1521882285714286,1
7,1024,2048,128,0.20925372169781403,1,64,1,128,DLMT,False,True,False,False,True,8,1,35,0.209435078302186,0.00027370914698427037,1,1,13,True,0.2093444,32
8,1024,1,2048,0.17415865144041584,32,1,512,512,DLMT,True,True,True,True,False,20,1,35,0.17427357713101274,0.0001734495021495284,5,1,29,True,0.1742161142857143,1
9,128,1,1,0.09376589866000497,8,256,512,128,DLMT,True,False,True,True,False,1,1,35,0.09379439848285219,4.301283776089356e-05,14,9,1,True,0.09378014857142858,8
10,1,2048,2048,0.28600201908250755,1,64,32,128,DLMT,False,False,True,True,True,27,1,35,0.2860935809174924,0.00013818802925207033,29,29,1,True,0.28604779999999996,32
11,1024,256,2048,0.17664967250307587,1,1,128,1,DLMT,True,True,False,True,False,10,1,35,0.17668432749692412,5.2302417316439104e-05,24,26,1,True,0.176667,1
12,2048,128,1,0.18200465471171293,1,512,32,16,DLMT,True,False,True,False,False,8,32,35,0.1820347738597157,4.5456774713423004e-05,8,29,1,True,0.1820197142857143,1
13,2048,64,1,inf,32,256,1,16,DLMT,True,True,False,True,True,6,1,1,inf,inf,27,1,15,False,inf,1
14,2048,1024,1,0.26310842398936124,1,128,128,16,DLMT,True,False,False,True,False,27,1,35,0.2632874617249245,0.000270209436533657,2,1,29,True,0.2631979428571429,32
15,1,2048,1,0.2347023506702658,8,1,16,512,DLMT,True,False,True,True,True,4,1,35,0.23496142075830562,0.0003909968046218434,1,28,6,True,0.2348318857142857,1
16,128,2048,1024,0.11849298746167727,1,1,32,1,DLMT,True,False,False,False,False,26,1,35,0.11851644110975129,3.53969905327493e-05,6,1,7,True,0.11850471428571428,1
17,2048,1,2048,0.11812848007077062,1,64,1,512,DLMT,True,False,False,False,False,22,8,35,0.11816066278637219,4.85711764699333e-05,28,1,7,True,0.1181445714285714,8
18,1,1,1024,0.09461084436892353,1,128,512,512,DLMT,True,True,False,False,True,3,1,35,0.09466714420250505,8.496949685574458e-05,8,1,30,True,0.09463899428571429,8
19,1,64,512,0.1539215631891786,1,256,1,512,DLMT,False,True,True,True,False,30,8,35,0.15400169395367863,0.00012093589463945463,1,18,25,True,0.15396162857142862,1
20,1024,128,1,inf,1,1,64,512,DLMT,True,True,False,True,False,20,1,1,inf,inf,27,27,1,False,inf,32
21,2048,512,1024,0.23037901328438087,1,1,512,512,DLMT,False,False,False,False,True,9,32,35,0.23041481528704777,5.4033519453112756e-05,16,22,1,True,0.23039691428571432,1
22,512,2048,1,0.12314424788143269,8,512,512,512,DLMT,False,False,False,False,False,27,8,35,0.12316746640428156,3.50421320756618e-05,24,1,3,True,0.12315585714285712,1
23,256,1,1024,0.21966364115492634,1,1,1,256,DLMT,False,False,False,False,True,16,1,35,0.21969121598793082,4.161681371361035e-05,30,5,1,True,0.21967742857142858,1
24,512,256,2048,inf,32,64,32,256,DLMT,False,True,False,True,True,24,1,1,inf,inf,1,5,2,False,inf,1
25,128,1,2048,inf,32,32,16,128,DLMT,True,False,False,True,True,27,1,1,inf,inf,1,26,26,False,inf,1
26,256,2048,1024,0.16671219480797822,32,1,256,1,DLMT,False,False,True,False,False,7,1,35,0.16685163376345036,0.0002104457000108619,24,12,1,True,0.1667819142857143,1
27,256,1,512,0.11728610605447591,8,1,256,1,DLMT,False,True,False,False,False,18,1,35,0.11742435108838124,0.00020864379566473592,1,25,29,True,0.11735522857142858,8
28,128,1024,512,inf,1,64,1,64,DLMT,True,True,False,True,False,5,32,1,inf,inf,28,1,27,False,inf,1
29,1,1,1,0.17737313426461634,1,1,1,1,DLMT,False,False,False,False,False,1,1,35,0.17768063716395507,0.00046409314160158983,1,1,1,True,0.1775268857142857,1
30,512,512,512,0.22540272915558346,1,32,512,512,DLMT,True,True,True,False,False,18,1,35,0.22558338513013082,0.00027265173420182987,1,4,10,True,0.22549305714285714,32
31,1024,1024,2048,inf,1,256,16,16,DLMT,False,False,True,True,True,2,32,1,inf,inf,1,7,15,False,inf,1
32,1024,1,2048,inf,1,16,128,1,DLMT,False,True,True,True,False,24,32,1,inf,inf,2,2,1,False,inf,1
33,256,1,2048,0.31941394935075995,1,256,512,16,DLMT,True,False,False,True,False,30,1,35,0.32070725064924,0.0019518913933486625,1,23,20,True,0.3200606,32
34,1024,256,1,inf,32,512,128,1,DLMT,False,False,True,False,True,15,1,1,inf,inf,29,1,19,False,inf,1
35,256,512,128,0.08846711676498123,1,1,512,64,DLMT,False,False,True,False,False,2,8,35,0.08859947180644734,0.00019975443201642376,8,18,1,True,0.08853329428571428,8
36,64,1,256,0.20151920549395322,1,1,512,1,DLMT,False,True,False,True,True,1,1,35,0.20155119450604678,4.827883298388349e-05,1,14,11,True,0.2015352,1
37,64,64,64,0.19710656266857216,1,16,1,1,DLMT,True,False,False,False,True,22,32,35,0.1971496087599993,6.496652827355056e-05,4,4,1,True,0.19712808571428572,1
38,512,1024,256,0.2512820364392983,32,1,16,16,DLMT,False,True,False,True,False,3,1,35,0.25142962070355884,0.0002227388587195143,30,1,17,True,0.2513558285714286,1
39,1,512,512,0.18841364772049168,32,16,1,512,DLMT,True,False,True,True,False,8,1,35,0.1885077808509369,0.00014206871002210968,9,12,1,True,0.1884607142857143,1
40,1024,128,1,0.19901027879797645,1,512,1,1,DLMT,True,True,False,True,True,6,1,35,0.19916337834488068,0.00023106269844404861,1,1,12,True,0.19908682857142856,32
41,2048,2048,2048,0.3233470845226341,1,256,512,128,DLMT,False,False,False,False,False,14,1,35,0.32378725833450867,0.0006643242962682102,26,24,1,True,0.3235671714285714,32
42,2048,1,64,0.20779018034273075,8,16,1,32,DLMT,False,False,False,True,False,29,8,35,0.20783524822869778,6.801788480290485e-05,27,28,1,True,0.20781271428571427,1
43,128,64,1,0.2956109816564871,1,256,32,128,DLMT,False,True,True,True,False,17,1,35,0.2957494183435128,0.00020893304464075438,1,30,27,True,0.29568019999999995,32
44,1,2048,2048,inf,32,16,256,1,DLMT,False,False,False,False,True,16,1,1,inf,inf,1,30,22,False,inf,1
45,2048,2048,128,inf,1,1,128,128,DLMT,True,False,True,True,True,19,32,1,inf,inf,26,1,28,False,inf,1
46,2048,2048,1,0.14132071928384649,1,1,128,512,DLMT,False,True,False,False,True,24,1,35,0.14154659500186784,0.0003408988071769908,15,1,6,True,0.14143365714285716,1
47,2048,512,256,inf,32,16,256,512,DLMT,True,False,False,False,True,2,1,1,inf,inf,1,9,23,False,inf,1
48,2048,64,1,0.20369228035546724,1,256,1,512,DLMT,False,False,False,True,False,1,1,35,0.20382349107310418,0.00019802738215114057,1,18,26,True,0.2037578857142857,1
49,64,2048,1,0.1714799394623776,1,512,256,16,DLMT,True,False,False,False,False,29,1,35,0.17154720339476526,0.00010151686298043356,22,1,29,True,0.17151357142857143,1
50,1,1024,2048,0.27823001248108425,1,1,32,16,DLMT,False,True,False,False,False,2,1,35,0.27847118751891564,0.00036398902652219243,27,1,27,True,0.27835059999999995,32
51,1,2048,1024,0.25346719715882654,1,128,32,512,DLMT,False,False,False,True,True,27,1,35,0.2536575456983163,0.0002872800610369408,29,1,14,True,0.2535623714285714,32
52,512,1,1024,0.1737799587177352,1,128,128,512,DLMT,True,True,True,False,False,3,32,35,0.17386426985369333,0.00012724504400757428,27,4,1,True,0.17382211428571426,1
53,512,1024,2048,0.09211528821251766,1,512,32,512,DLMT,False,True,True,False,False,30,1,35,0.0921372946446252,3.3212806234331304e-05,4,1,6,True,0.09212629142857143,1
54,1,2048,1,0.21974167866580757,8,256,512,128,DLMT,True,True,False,True,True,11,8,35,0.21977723561990675,5.36636843722832e-05,18,13,1,True,0.21975945714285716,1
55,64,1,2048,0.2554513693468391,1,32,16,1,DLMT,True,False,False,True,True,10,1,35,0.2555018306531609,7.615780609084679e-05,30,19,1,True,0.2554766,1
56,1024,2048,256,0.1916893343484116,1,32,16,1,DLMT,True,True,True,False,True,24,1,35,0.19171975136587407,4.590632876203964e-05,9,27,1,True,0.19170454285714283,1
57,256,1,512,0.24662918627216723,1,16,256,256,DLMT,True,True,True,True,True,25,1,35,0.24677567087068986,0.00022107920826376016,23,1,29,True,0.24670242857142854,32
58,128,1024,2048,0.19248806904547872,1,256,16,64,DLMT,True,True,False,False,False,25,32,35,0.1925566738116642,0.00010354049193135973,1,28,20,True,0.19252237142857145,1
59,1,2048,64,0.12328595068879981,1,1,32,32,DLMT,True,False,True,True,False,18,1,35,0.12338587788262877,0.0001508132944932855,6,1,19,True,0.12333591428571429,1
60,512,1,1024,0.18903099014077132,1,1,1,1,DLMT,False,False,False,True,False,9,1,35,0.18905655271637153,3.857985093230954e-05,29,19,1,True,0.18904377142857143,1
61,128,2048,256,0.2380722271771012,1,1,512,1,DLMT,False,True,True,False,True,10,1,35,0.2381027442514702,4.605733782305353e-05,27,12,1,True,0.2380874857142857,1
62,128,1,2048,0.12028844314058126,1,512,128,1,DLMT,False,True,False,False,False,29,1,35,0.12031275685941872,3.669503664374368e-05,6,7,1,True,0.1203006,8
63,512,512,2048,inf,32,512,16,256,DLMT,True,True,False,False,True,7,1,1,inf,inf,30,2,1,False,inf,1
64,1,2048,1024,0.12049106556117127,1,16,16,256,DLMT,True,False,False,False,False,25,8,35,0.12051836301025733,4.1198177094603767e-05,20,9,1,True,0.1205047142857143,8
65,512,2048,1,inf,32,64,256,1,DLMT,False,False,True,False,True,28,1,1,inf,inf,1,25,30,False,inf,1
66,2048,256,1024,0.24098724022419707,1,256,32,256,DLMT,True,False,True,True,True,28,1,35,0.24119875977580293,0.00031923202488829983,30,1,30,True,0.241093,32
67,256,1024,1,0.1679258137234762,1,64,512,256,DLMT,True,False,True,False,False,7,1,35,0.16794761484795234,3.290294943667903e-05,6,3,1,True,0.16793671428571427,1
68,512,512,128,0.22619668705578602,32,32,1,512,DLMT,True,True,False,True,False,19,1,35,0.22622314151564252,3.992591097704552e-05,1,27,27,True,0.22620991428571427,1
69,2048,512,1,inf,1,512,256,256,DLMT,False,True,False,True,False,5,32,1,inf,inf,23,29,1,False,inf,1
70,128,1,512,0.20023842414486306,32,512,256,32,DLMT,False,True,True,True,False,29,1,35,0.20036609014085124,0.00019267757566272337,21,1,1,True,0.20030225714285715,1
71,256,512,64,0.24801802747756638,1,1,64,1,DLMT,True,True,False,False,False,22,1,35,0.2482182010938622,0.0003021083789851953,26,1,24,True,0.2481181142857143,32
72,1,2048,1024,0.32383786794348735,1,16,256,16,DLMT,False,False,False,True,True,4,1,35,0.32392567491365554,0.00013252106802086097,1,15,25,True,0.32388177142857144,32
73,1,512,2048,0.17213082856387266,1,16,32,512,DLMT,True,False,True,False,False,8,1,35,0.17214574286469883,2.2509136466994356e-05,28,1,26,True,0.17213828571428574,1
74,64,1,1,0.19788092534003793,1,512,1,1,DLMT,True,False,False,True,True,3,1,35,0.19792090323139067,6.033590327897661e-05,1,2,24,True,0.1979009142857143,1
75,1,64,1,0.16216902671862496,1,32,1,512,DLMT,False,False,False,True,True,30,1,35,0.16219474470994652,3.881440927473983e-05,25,1,16,True,0.16218188571428574,1
76,2048,128,64,0.22953220077718386,1,32,1,128,DLMT,False,False,True,False,False,18,1,35,0.2297841992228161,0.000380324057313534,1,5,8,True,0.22965819999999998,32
77,1,256,1,0.12295515675441149,1,256,256,512,DLMT,False,True,False,True,False,1,1,35,0.12299290038844563,5.696389117642215e-05,1,8,26,True,0.12297402857142856,8
78,1,1,2048,0.23233576962013358,1,16,512,512,DLMT,False,False,True,False,True,7,32,35,0.23236868752272355,4.968074402150806e-05,1,23,24,True,0.23235222857142857,1
79,2048,2048,2048,inf,32,128,512,1,DLMT,True,False,False,True,True,15,1,1,inf,inf,7,5,1,False,inf,1
80,256,1,1,inf,1,16,512,128,DLMT,True,False,False,True,False,27,32,1,inf,inf,19,1,24,False,inf,1
81,1024,512,256,0.17153076897859107,1,1,1,1,DLMT,False,True,False,False,True,2,32,35,0.1717080881642661,0.0002676157464632891,18,1,15,True,0.1716194285714286,1
82,2048,1024,2048,0.18596278525540413,1,1,1,1,DLMT,True,True,True,True,False,18,8,35,0.1861002433160244,0.00020745607058963146,1,9,27,True,0.18603151428571427,1
83,1,2048,1024,inf,1,16,128,256,DLMT,False,True,True,True,True,29,32,1,inf,inf,26,3,1,False,inf,1
84,64,64,512,0.18883593370400134,32,1,1,32,DLMT,True,False,True,True,False,1,1,35,0.18905126629599864,0.0003249867865445784,15,8,1,True,0.1889436,1
85,1,1024,1024,inf,1,512,1,1,DLMT,False,False,False,True,True,19,32,1,inf,inf,14,24,1,False,inf,1
86,64,64,256,0.11710882938772914,1,256,64,32,DLMT,True,True,True,True,True,12,8,35,0.1171339134694137,3.785769271837915e-05,30,28,1,True,0.11712137142857142,8
87,256,256,1024,0.2129377116932398,1,1,64,256,DLMT,True,True,False,True,True,29,1,35,0.21299794544961734,9.090669807611525e-05,3,23,1,True,0.21296782857142857,1
88,1024,512,256,inf,1,256,1,512,DLMT,False,True,False,True,False,8,32,1,inf,inf,21,1,9,False,inf,1
89,1,2048,1024,0.1036385626619285,1,1,256,16,DLMT,True,True,True,False,True,25,1,35,0.1037467516237858,0.00016328221718539838,28,28,1,True,0.10369265714285715,8
90,512,1,512,0.22501229157207664,1,512,512,256,DLMT,False,True,True,True,False,28,1,35,0.225054394142209,6.354253597041015e-05,27,2,1,True,0.22503334285714283,1
91,2048,512,128,0.31744069518391854,1,128,512,256,DLMT,True,False,False,True,False,21,1,35,0.31760193338751014,0.00024334581759047325,1,23,19,True,0.31752131428571434,32
92,512,512,1,inf,1,16,256,16,DLMT,False,False,False,True,True,8,32,1,inf,inf,22,26,1,False,inf,1
93,64,128,64,0.16567301092923986,1,64,1,1,DLMT,True,False,False,False,False,18,1,35,0.1657880176421887,0.00017357178365630702,9,1,30,True,0.16573051428571428,1
94,64,1,2048,0.19416804929193304,32,32,1,32,DLMT,True,False,False,False,False,22,1,35,0.19431669356520986,0.00022433865799141204,1,22,3,True,0.19424237142857145,1
95,1,128,1,inf,32,512,16,256,DLMT,True,True,True,True,True,2,1,1,inf,inf,1,27,30,False,inf,1
96,2048,512,1,0.22800940069783684,8,256,64,1,DLMT,True,True,False,True,True,6,1,35,0.22815214215930604,0.00021542994694521045,30,1,30,True,0.22808077142857144,1
97,256,1,1024,0.11640793575207661,1,512,512,256,DLMT,False,True,False,False,True,3,8,35,0.11645046424792338,6.418535658543879e-05,1,27,24,True,0.1164292,8
98,2048,2048,256,0.24053554166790914,1,1,64,512,DLMT,False,True,True,False,False,16,1,35,0.24078022976066232,0.0003692910405805439,16,1,25,True,0.24065788571428573,32
99,512,1,2048,0.26314682400390277,1,256,1,512,DLMT,True,True,False,True,False,9,1,35,0.2633641474246686,0.0003279914085485022,26,1,8,True,0.2632554857142857,32
100,2048,1024,128,0.23147687427975672,32,1,256,1,DLMT,False,False,False,False,False,13,1,35,0.2315306114345289,8.11018206091727e-05,2,5,1,True,0.2315037428571428,1
