id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,2048,512,0.34310764906345936,1,256,16,16,RS,False,False,True,False,True,15,1,35,0.34317046522225503,9.480414181944812e-05,0.3431390571428572,1,29,True,24,1
2,2048,512,256,0.09025588936218878,1,32,256,128,RS,True,True,True,True,False,13,8,35,0.09031687063781121,9.203487786082684e-05,0.09028638,27,3,True,1,8
3,128,512,2048,0.12842497880838682,1,16,64,128,RS,True,False,True,False,True,19,1,35,0.12844484976304177,2.9989875842712124e-05,0.1284349142857143,5,4,True,1,1
4,128,2048,1,0.15483520689712965,1,256,32,128,RS,False,False,False,True,False,25,8,35,0.15486370738858468,4.301384684503513e-05,0.15484945714285717,1,2,True,21,1
5,2048,256,2048,0.2651232751214598,1,512,256,1,RS,False,True,True,True,True,21,1,35,0.2656739820213975,0.0008311443431701125,0.26539862857142865,17,1,True,27,32
6,1024,1,64,0.12974105652953102,8,1,128,1,RS,True,True,True,True,True,23,8,35,0.1297752863276119,5.166069836057267e-05,0.12975817142857146,1,21,True,8,1
7,2048,1024,256,0.27792270919119727,1,256,16,1,RS,False,True,False,False,True,22,1,35,0.2780044336659457,0.0001233411727605976,0.2779635714285715,16,11,True,1,32
8,1024,512,512,0.2035651722814733,1,256,16,1,RS,False,False,True,True,True,29,1,35,0.2036288277185267,9.607080722050877e-05,0.203597,1,7,True,1,32
9,1,1024,1024,0.11474118327095233,8,512,128,1,RS,True,False,False,False,False,23,8,35,0.1147784738719048,5.628015926177301e-05,0.11475982857142857,1,17,True,22,1
10,1,1,1,0.1505372739963584,32,256,512,256,RS,False,True,True,False,False,9,1,35,0.15057621171792734,5.8766046006730204e-05,0.15055674285714288,28,24,True,1,1
11,2048,128,1,inf,1,1,128,64,RS,True,True,False,False,True,4,1,1,inf,inf,inf,1,30,False,3,32
12,512,1024,128,0.12113447589792717,1,128,64,256,RS,False,True,False,False,False,4,8,35,0.1211654669592157,4.6772693935236624e-05,0.12114997142857144,6,24,True,1,8
13,1024,256,512,0.1855353856535257,1,256,64,32,RS,True,False,False,False,False,22,8,35,0.18555392863218864,2.7985652300666207e-05,0.18554465714285717,20,1,True,6,1
14,1,256,2048,0.15015564781054605,8,32,64,256,RS,True,False,False,False,False,22,1,35,0.15021240933231114,8.56662913250461e-05,0.1501840285714286,13,26,True,1,1
15,256,256,2048,0.22245224288983492,1,512,16,16,RS,True,False,True,False,True,17,1,35,0.22251735711016504,9.8272449270965e-05,0.22248479999999998,8,1,True,17,32
16,128,256,2048,0.2918912780045807,1,256,16,64,RS,False,True,False,True,True,23,1,35,0.2923695219954193,0.0007217810194234815,0.2921304,5,1,True,21,32
