id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.14019258249952843,1,1,512,64,7,1,24,RS,4,1024,512,1024,0.14013547464332876,8.618899025291144e-05,1,0.1401640285714286,32
2,True,35,0.1879332254746568,32,128,64,32,7,1,19,RS,12,1024,512,128,0.18786117452534323,0.00010874158095490425,1,0.18789720000000001,1
3,True,35,0.1326538439638584,1,16,1,64,7,1,5,RS,3,64,512,512,0.1325323846075702,0.00018331031791217248,8,0.1325931142857143,1
4,True,35,0.23895970351981996,8,16,32,128,27,1,2,RS,11,1024,512,1,0.23877766790875152,0.0002747339254550097,1,0.23886868571428574,1
5,True,35,0.17244126375778962,1,256,512,256,26,1,28,RS,10,2048,512,2048,0.17227107909935324,0.00025684809137078535,1,0.17235617142857143,32
6,True,35,0.1341138505655654,1,1,256,128,22,1,29,RS,24,512,1024,256,0.13404637800586316,0.00010183172994941203,8,0.13408011428571429,1
7,True,35,0.20339414611931803,8,32,256,1,18,21,1,RS,7,2048,1024,512,0.2033763681663963,2.6831051155751176e-05,1,0.20338525714285716,1
8,True,35,0.24610745217112953,1,512,512,16,5,16,1,RS,25,64,1024,2048,0.24607437640029897,4.9919003783883615e-05,1,0.24609091428571425,1
9,True,35,0.1950620588993725,1,32,256,256,24,1,1,RS,14,2048,512,512,0.19504485538634175,2.596408822876567e-05,1,0.19505345714285713,32
10,True,35,0.22261109370086368,1,16,1,64,1,16,17,RS,28,1024,128,128,0.22243119201342204,0.0002715133401465754,1,0.22252114285714286,32
11,True,35,0.1296213338137657,8,32,256,64,23,1,14,RS,30,1,2048,1024,0.12955866618623427,9.457997371839272e-05,1,0.12958999999999998,8
12,True,35,0.11688950172835604,8,32,64,128,1,21,4,RS,28,256,256,64,0.11684466970021541,6.766192068072006e-05,8,0.11686708571428572,1
13,True,35,0.23275378763453775,1,16,256,256,1,6,20,RS,4,256,256,256,0.23265466950831942,0.00014959222396029629,1,0.23270422857142858,8
14,True,35,0.20666277086650414,1,64,16,256,8,1,25,RS,10,512,256,128,0.20652442913349583,0.00020878973702199345,1,0.2065936,1
15,False,1,inf,1,32,1,1,1,8,12,RS,13,64,1,512,inf,inf,1,inf,32
16,True,35,0.1240740704721456,1,128,1,128,1,9,28,RS,5,1,256,256,0.12398021524214008,0.00014164929385273938,8,0.12402714285714284,1
17,True,35,0.2661087129779842,1,16,32,16,10,1,18,RS,20,256,64,1,0.26602660130773015,0.00012392554051459832,1,0.2660676571428572,8
18,True,35,0.18279148870211903,8,128,1,1,1,10,24,RS,30,512,1,256,0.18255576844073806,0.0003557565046661056,1,0.18267362857142855,1
19,True,35,0.11972607867957168,1,1,512,64,3,1,25,RS,18,512,512,64,0.11969209274899974,5.129264577114455e-05,8,0.1197090857142857,8
20,True,35,0.12028708824977165,1,16,1,256,1,16,2,RS,12,1,256,256,0.12022262603594265,9.72884203525479e-05,8,0.12025485714285715,1
21,True,35,0.12990761232934994,1,1,512,512,1,3,17,RS,12,512,1,512,0.12988027338493568,4.12608031617323e-05,1,0.1298939428571428,1
22,True,35,0.17379088336159715,1,64,512,1,17,10,1,RS,27,1,1024,1,0.1737392880669743,7.786925724886752e-05,1,0.17376508571428573,32
23,True,35,0.145138054640677,32,64,128,32,1,16,14,RS,7,1,128,1024,0.14509680250218007,6.225903753754938e-05,1,0.14511742857142854,1
24,True,35,0.2559062477287339,1,16,16,32,14,5,1,RS,7,256,1,1,0.2558436379855518,9.449261282000464e-05,32,0.25587494285714285,1
25,True,35,0.1295995364857065,1,1,1,128,23,1,8,RS,26,1,1024,256,0.12950023494286494,0.00014986904215320363,8,0.12954988571428572,1
26,True,35,0.24251182292544812,1,1,256,16,22,29,1,RS,13,64,1,2048,0.24244983421740904,9.35553268588883e-05,1,0.24248082857142858,8
27,True,35,0.1239897497270295,1,64,16,128,1,8,27,RS,1,1024,2048,256,0.12393259313011329,8.626255129024435e-05,8,0.1239611714285714,1
28,True,35,0.1260333859548757,1,16,16,64,1,4,29,RS,5,128,256,256,0.1260126711879815,3.1263384072639945e-05,8,0.1260230285714286,8
29,True,35,0.11824561728622439,8,128,16,16,8,28,1,RS,9,1,128,128,0.11821015414234705,5.3522103006179134e-05,8,0.11822788571428572,1
