id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1,512,2048,inf,32,False,512,16,DLMT,True,True,True,False,True,24,1,16,1,1,11,1,4,inf,False,inf,inf
2,2048,1,1,0.2082035119368859,1,False,512,32,DLMT,True,False,False,True,False,18,1,256,35,1,12,7,1,4.235182091355693e-05,True,0.20821754285714283,0.20823157377739976
3,1,1,2048,0.2417339545377785,1,False,16,512,DLMT,True,True,False,True,False,14,1,256,35,32,3,1,21,0.0001327771372008964,True,0.24177794285714285,0.24182193117650722
4,1024,1,512,0.1462695579824414,8,False,64,1,DLMT,True,False,False,False,True,9,1,512,35,1,1,1,7,3.80732269744076e-05,True,0.14628217142857142,0.14629478487470143
5,2048,1,256,0.09536721329915573,1,False,512,64,DLMT,True,True,True,True,True,1,1,1,35,8,1,16,24,4.0691866107944486e-05,True,0.09538069428571429,0.09539417527227284
6,256,1,256,0.16546846724709563,32,False,64,256,DLMT,True,False,True,False,False,29,1,256,35,1,28,29,1,2.9119234123140837e-05,True,0.1654781142857143,0.16548776132433296
7,1,256,512,0.2421223938787377,1,False,1,32,DLMT,False,False,True,False,True,1,1,512,35,1,1,12,29,0.0005093626349444478,True,0.24229114285714287,0.24245989183554803
8,128,512,1024,0.14230830393067395,1,False,1,1,DLMT,True,False,True,True,False,30,1,64,35,1,30,1,11,8.980898550563572e-05,True,0.14233805714285713,0.14236781035504031
9,128,128,1,0.10933879099801773,1,False,16,1,DLMT,True,True,False,True,False,20,8,512,35,8,1,30,28,5.108232650959288e-05,True,0.1093557142857143,0.10937263757341088
10,1024,2048,2048,0.11641540927059137,1,False,16,1,DLMT,True,False,True,False,True,8,1,1,35,1,1,17,9,3.136403764094953e-05,True,0.1164258,0.11643619072940863
11,128,512,2048,0.28684926875070127,8,False,512,16,DLMT,False,False,True,True,False,26,8,1,35,1,1,29,30,0.00031500631156618236,True,0.28695362857142853,0.2870579883921558
12,2048,2048,2048,0.27187236472183685,8,False,512,16,DLMT,False,True,False,True,False,4,8,1,35,1,30,8,1,5.150660746200519e-05,True,0.27188942857142856,0.2719064924210203
13,512,1,256,0.10844129713419391,1,False,128,1,DLMT,False,False,True,True,True,11,8,64,35,8,28,19,1,0.00010017851820726883,True,0.10847448571428571,0.1085076742943775
14,1,2048,256,0.20332695496520659,8,False,64,64,DLMT,True,True,False,False,False,15,8,128,35,1,29,29,1,2.592223850248297e-05,True,0.20333554285714284,0.2033441307490791
15,1024,1024,256,0.09936502333190499,1,False,1,128,DLMT,True,True,False,True,True,1,8,256,35,8,1,3,10,0.0001370281864643701,True,0.09941042,0.09945581666809501
