id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
1,True,35,False,32,32,32,16,5,1,9,SIMA,11,1,2048,1024,0.23006348121183476,0.23012034735959394,8.582419619816546e-05,1,0.23009191428571435,1
2,True,35,False,1,256,64,128,1,15,19,SIMA,10,2048,1,512,0.12199743873653464,0.12203296126346537,5.3611725796294524e-05,8,0.1220152,8
3,True,35,False,1,16,32,512,20,28,1,SIMA,14,512,512,256,0.20120178847643982,0.2012769543807031,0.00011344276989220594,1,0.20123937142857146,1
4,True,35,False,1,1,16,1,7,15,1,SIMA,22,256,512,512,0.22112528724402747,0.2212263698988297,0.00015255715289018155,1,0.2211758285714286,32
5,True,35,False,1,32,16,64,10,1,5,SIMA,26,64,1024,128,0.15618032155744638,0.15622293558541073,6.431444437373489e-05,1,0.15620162857142855,32
6,True,35,False,1,32,64,1,1,5,18,SIMA,28,512,512,128,0.2399076044145504,0.24002730987116389,0.0001806632768213745,32,0.23996745714285714,1
7,True,35,False,32,64,128,16,15,6,1,SIMA,25,1,512,256,0.28094614404762164,0.28096888452380697,3.432064886880154e-05,1,0.2809575142857143,1
8,True,35,False,8,256,1,256,21,7,1,SIMA,15,1024,256,512,0.226568078300705,0.2268493502707236,0.0004245045900090759,1,0.2267087142857143,8
9,True,35,False,1,512,1,1,1,4,13,SIMA,28,64,512,1,0.12260002133824704,0.1226655786617529,9.894119465621912e-05,8,0.12263279999999997,1
10,True,35,False,8,1,32,32,1,17,15,SIMA,2,128,64,128,0.12287339213954587,0.12291123643188273,5.711580788366857e-05,1,0.1228923142857143,8
11,True,35,False,1,16,16,32,1,15,13,SIMA,20,256,256,128,0.12554258551496614,0.12581204305646246,0.0004066738792713797,8,0.1256773142857143,8
12,True,35,False,1,1,1,16,1,14,13,SIMA,21,512,512,256,0.14851361846878525,0.14870763867407188,0.0002928214556653243,1,0.14861062857142857,32
13,True,35,False,1,32,1,16,1,16,14,SIMA,21,512,512,128,0.14346701280761426,0.14351121576381437,6.671250532956162e-05,1,0.14348911428571431,1
14,True,35,False,1,1,1,64,1,16,14,SIMA,19,512,256,64,0.27671887029393194,0.27686878684892513,0.00022625882596382835,32,0.27679382857142854,1
15,True,35,False,1,1,32,32,1,14,12,SIMA,20,512,512,128,0.12873934799701114,0.1287968234315603,8.674375117175245e-05,8,0.12876808571428572,1
16,True,35,False,1,32,32,16,1,15,13,SIMA,21,128,512,128,0.1670464668871436,0.16711387596999924,0.00010173592867651422,1,0.16708017142857143,32
17,True,35,False,1,16,32,32,1,16,12,SIMA,20,128,256,128,0.15306113190902246,0.15320338237669187,0.00021468892350922855,1,0.15313225714285716,8
18,True,35,False,1,1,16,32,1,16,12,SIMA,19,128,128,64,0.12581719923348256,0.1259889721950888,0.00025924520895736266,8,0.12590308571428568,8
19,True,35,False,1,16,1,32,1,16,13,SIMA,21,512,512,64,0.12247848301517524,0.12258591698482481,0.0001621427589678741,8,0.12253220000000002,1
20,True,35,False,1,1,1,32,1,16,14,SIMA,21,256,256,64,0.27753079147803134,0.27765595137911153,0.00018889529763704567,32,0.27759337142857143,1
21,True,35,False,1,1,1,32,1,16,14,SIMA,22,256,1024,128,0.13206736447236345,0.13210823552763656,6.168389463338861e-05,1,0.1320878,1
22,True,35,False,1,16,1,16,1,17,13,SIMA,22,256,1024,1,0.14840829136859393,0.1484486800599775,6.0955895731995604e-05,1,0.1484284857142857,1
23,True,35,False,8,32,1,64,1,16,13,SIMA,22,512,1024,1,0.13164149319446652,0.13166599251981922,3.6975159891198274e-05,1,0.13165374285714287,8
24,True,35,False,1,1,16,16,1,17,12,SIMA,20,1024,1024,128,0.12180791500166328,0.12183557071262245,4.1738877291454914e-05,8,0.12182174285714287,1
25,True,35,False,1,1,1,1,1,18,13,SIMA,19,1024,1024,64,0.12272530796041568,0.12275554918244146,4.5641012705857897e-05,8,0.12274042857142857,8
26,True,35,False,1,1,16,32,1,18,13,SIMA,21,1024,2048,64,0.2561795029265823,0.2564269542162748,0.0003734613451570717,32,0.25630322857142857,1
27,True,35,False,1,16,32,32,1,18,11,SIMA,19,2048,1024,256,0.15776445379937318,0.15796691762919826,0.000305564841978035,1,0.15786568571428572,8
28,True,35,False,1,1,1,16,1,17,13,SIMA,21,512,1024,64,0.12129338349534288,0.12137861650465712,0.0001286363645541739,8,0.121336,1
29,True,35,False,1,16,1,1,1,17,14,SIMA,22,512,512,128,0.12361752315841013,0.12367641969873269,8.888852913759326e-05,8,0.12364697142857141,8
30,True,35,False,8,1,1,1,1,16,14,SIMA,22,1024,2048,1,0.1136414281176173,0.11370691473952554,9.883448955972071e-05,1,0.11367417142857142,1
31,True,35,False,8,16,1,1,1,17,13,SIMA,23,2048,1024,64,0.13104071080800603,0.13106854633485113,4.201026113720435e-05,1,0.13105462857142858,8
32,True,35,False,1,1,1,16,1,16,15,SIMA,22,2048,2048,1,0.12748347357526194,0.12761064071045233,0.00019192467910349398,1,0.12754705714285713,8
33,True,35,False,8,16,1,1,1,17,15,SIMA,23,512,1024,1,0.12118108784926948,0.1214025692935877,0.00033426682974741585,1,0.12129182857142859,1
34,True,35,False,1,1,16,16,1,17,14,SIMA,23,1024,2048,1,0.13067514374130326,0.1306938848301253,2.828464644449026e-05,1,0.1306845142857143,1
35,True,35,False,32,16,16,1,1,16,13,SIMA,22,2048,2048,1,0.14906753216641117,0.14912738211930315,9.032744966656457e-05,1,0.14909745714285716,1
36,True,35,False,1,1,1,1,1,17,15,SIMA,21,2048,1024,64,0.12247960095323865,0.12252799904676132,7.304393980924925e-05,8,0.12250379999999998,1
37,True,35,False,1,16,16,16,1,15,15,SIMA,22,512,1024,1,0.14529035788419048,0.1453224992586667,4.850878313064936e-05,1,0.1453064285714286,8
38,True,35,False,32,1,1,16,1,17,13,SIMA,21,2048,2048,1,0.1447218071572116,0.1447612785570741,5.9571490236349267e-05,1,0.14474154285714286,1
39,True,35,False,1,1,1,16,1,15,13,SIMA,21,1024,1024,64,0.14588670314441674,0.1459290111412976,6.385257254338557e-05,1,0.14590785714285717,1
40,True,35,False,32,1,1,16,1,15,13,SIMA,22,2048,2048,64,0.1545980997813447,0.1547511002186553,0.00023091311909769944,1,0.1546746,1
41,True,35,False,8,1,1,1,1,17,15,SIMA,22,512,2048,64,0.1217246758800872,0.12175509554848427,4.591032963666324e-05,1,0.12173988571428573,1
42,True,35,False,32,1,1,1,1,16,13,SIMA,21,512,1024,1,0.13027799509283666,0.13045463347859187,0.0002665882616029647,1,0.13036631428571427,1
43,True,35,False,1,1,1,1,1,15,13,SIMA,23,2048,2048,1,0.12009987646299718,0.12012692353700281,4.0820303071597236e-05,8,0.1201134,8
44,True,35,False,1,1,1,1,1,15,13,SIMA,23,1024,2048,1,0.12617875172931173,0.12619924827068826,3.093403119081408e-05,1,0.126189,8
45,True,35,False,8,1,16,1,1,17,15,SIMA,23,1024,2048,1,0.1128849421459034,0.11290962928266803,3.725861083874044e-05,1,0.11289728571428571,1
46,True,35,False,8,1,16,1,1,17,15,SIMA,22,2048,2048,1,0.11298150352432833,0.1130262679042431,6.755982382983509e-05,1,0.11300388571428571,1
