id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,OMP,mean_confidence_interval_sup
1,2048,1,1024,inf,32,256,256,1,DLMT,False,False,True,False,False,2,1,1,1,1,11,28,inf,False,inf,False,inf
2,512,512,1024,inf,32,1,1,32,DLMT,True,False,False,False,False,2,1,1,1,28,1,22,inf,False,inf,True,inf
3,2048,1,1,inf,1,32,1,256,DLMT,True,False,False,False,False,9,32,1,1,1,25,27,inf,False,inf,True,inf
4,2048,2048,2048,inf,1,16,1,32,DLMT,False,True,True,True,True,22,32,1,1,8,1,17,inf,False,inf,False,inf
5,64,1,64,inf,1,16,256,1,DLMT,False,True,True,False,False,13,8,1,1,1,29,30,inf,False,inf,True,inf
6,512,512,1,inf,1,1,256,512,DLMT,False,False,True,True,True,5,1,1,1,6,28,1,inf,False,inf,False,inf
7,1024,1,64,inf,1,32,256,16,DLMT,False,False,False,False,True,6,1,1,32,11,4,1,inf,False,inf,False,inf
8,1024,1,512,inf,1,128,1,16,DLMT,True,False,True,True,True,8,1,1,1,25,1,30,inf,False,inf,True,inf
9,1,256,256,inf,1,32,16,128,DLMT,True,False,True,True,False,2,1,1,32,1,3,22,inf,False,inf,True,inf
10,2048,2048,2048,inf,1,256,256,64,DLMT,True,False,True,True,True,7,32,1,1,15,26,1,inf,False,inf,False,inf
11,2048,2048,2048,inf,1,16,1,256,DLMT,False,False,False,False,False,29,1,1,8,1,22,28,inf,False,inf,True,inf
12,2048,512,1,inf,1,512,1,128,DLMT,False,True,False,True,False,1,1,1,1,3,9,1,inf,False,inf,False,inf
13,1,1024,1,inf,32,128,1,1,DLMT,True,False,True,False,True,22,1,1,1,30,24,1,inf,False,inf,True,inf
14,1,2048,256,inf,1,1,64,1,DLMT,True,False,False,False,False,20,32,1,1,1,3,12,inf,False,inf,True,inf
15,1,1,1024,inf,32,1,32,64,DLMT,False,False,False,True,True,20,1,1,1,6,1,21,inf,False,inf,False,inf
16,512,256,256,inf,1,1,256,1,DLMT,True,False,True,True,False,24,1,1,32,27,24,1,inf,False,inf,False,inf
17,64,2048,1024,inf,1,256,1,1,DLMT,True,False,False,False,True,3,1,1,8,1,30,26,inf,False,inf,True,inf
18,64,64,1,inf,8,512,1,64,DLMT,False,False,True,True,True,8,1,1,8,29,1,30,inf,False,inf,True,inf
19,2048,1,256,inf,32,128,64,256,DLMT,True,True,True,False,True,30,1,1,1,1,8,12,inf,False,inf,False,inf
20,1024,1,512,inf,1,256,1,1,DLMT,True,True,False,False,False,19,1,1,1,20,1,3,inf,False,inf,True,inf
21,1,1,2048,inf,1,16,256,256,DLMT,False,True,True,True,False,13,8,1,8,29,19,1,inf,False,inf,True,inf
22,1,2048,256,inf,8,256,512,512,DLMT,True,False,True,False,False,30,1,1,1,1,10,2,inf,False,inf,True,inf
23,512,1024,1,inf,32,1,128,1,DLMT,True,True,False,True,False,5,1,1,1,1,27,19,inf,False,inf,False,inf
24,1,512,1024,inf,1,512,512,64,DLMT,True,True,False,True,True,22,1,1,32,30,1,26,inf,False,inf,False,inf
25,1,128,1024,inf,1,64,32,1,DLMT,True,True,True,False,True,6,1,1,32,1,10,5,inf,False,inf,False,inf
26,512,2048,256,inf,1,32,512,1,DLMT,False,False,True,False,False,28,1,1,1,14,1,28,inf,False,inf,False,inf
27,512,512,128,inf,1,1,128,512,DLMT,True,True,True,False,True,2,1,1,8,15,1,27,inf,False,inf,True,inf
28,1,2048,512,inf,1,512,512,64,DLMT,False,True,True,False,False,6,32,1,1,29,1,14,inf,False,inf,False,inf
