id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,64,512,512,0.1871767198567562,1,512,256,64,RS,True,True,True,True,True,10,1,30,0.1874577468099105,0.00039267252542318423,0.18731723333333336,1,7,True,5,32
2,2048,1,1,0.23567211510744593,1,64,16,512,RS,False,False,True,False,False,2,1,30,0.23586875155922069,0.0002747556105988659,0.2357704333333333,26,10,True,1,32
3,64,1024,1,0.09805654446837271,1,32,128,32,RS,False,True,True,False,False,21,1,30,0.10308612219829395,0.0070277137721231125,0.10057133333333333,11,1,True,14,8
4,64,128,256,0.2167188484014388,1,16,32,64,RS,True,False,True,False,True,22,32,30,0.21684161826522785,0.00017154351893583245,0.21678023333333332,30,1,True,5,1
5,1024,2048,64,0.09500605097842936,1,16,128,256,RS,True,False,True,False,False,5,8,30,0.09505680235490398,7.091373601464987e-05,0.09503142666666667,15,27,True,1,8
6,256,1024,512,0.10321890157501809,1,1,512,32,RS,False,False,True,True,False,4,8,30,0.10325296509164855,4.759617164810236e-05,0.10323593333333332,2,4,True,1,8
7,256,256,512,0.10044004116448588,1,1,128,64,RS,False,True,True,False,True,23,1,30,0.10049622550218076,7.850508829935114e-05,0.10046813333333332,6,12,True,1,8
8,1024,512,64,0.10118760121255246,1,64,64,32,RS,True,False,True,True,True,20,8,30,0.1134193254541142,0.017091108145689548,0.10730346333333333,1,15,True,14,8
9,64,2048,64,0.11881074739562365,8,16,128,32,RS,False,True,False,True,False,6,1,30,0.11886045260437632,6.94519498166414e-05,0.11883559999999999,11,1,True,23,8
10,64,512,256,0.27573555611095457,1,128,128,16,RS,True,False,False,True,True,3,8,30,0.27857984388904544,0.003974258171030166,0.2771577,3,26,True,1,1
11,64,256,1,0.19992488916341195,1,128,16,64,RS,True,False,False,False,True,9,32,30,0.21396171083658794,0.019613329445643164,0.20694329999999994,17,27,True,1,1
12,128,1024,2048,0.18233520364456873,8,128,128,32,RS,False,True,False,True,False,10,1,30,0.18237319635543126,5.308634476021147e-05,0.1823542,15,9,True,1,1
13,1,2048,512,0.12632328434984208,8,16,256,256,RS,False,False,True,False,True,9,1,30,0.1263555823168246,4.51292095605029e-05,0.12633943333333333,26,5,True,1,1
14,2048,2048,1024,0.20759848168211065,1,128,512,1,RS,False,False,True,True,False,6,1,30,0.21852658498455602,0.015269588463638729,0.21306253333333333,6,13,True,1,32
15,512,1,128,0.1155512173043555,1,64,64,256,RS,False,True,False,False,False,3,8,30,0.11569411602897783,0.0001996691151769731,0.11562266666666667,1,11,True,8,8
16,512,256,2048,0.09628396874590461,1,16,1,64,RS,True,True,True,False,False,7,8,30,0.09786479125409539,0.002208847085910052,0.09707438,11,1,True,25,8
17,1024,64,512,0.1425645389138826,8,512,1,1,RS,True,True,False,False,True,22,8,30,0.14265079441945078,0.00012052284246380652,0.1426076666666667,1,5,True,18,1
18,64,256,2048,0.15108762753726673,1,256,32,64,RS,False,True,True,True,True,16,8,30,0.15876197246273327,0.010723186402682118,0.1549248,24,22,True,1,1
19,512,1024,1024,0.13819574626566644,1,16,1,32,RS,False,False,False,True,False,21,1,30,0.15422985373433357,0.022404091144848225,0.1462128,24,10,True,1,8
20,128,2048,512,0.10631213947283644,1,256,512,64,RS,False,False,True,False,True,14,1,30,0.10634199386049692,4.171485213792418e-05,0.10632706666666668,4,1,True,13,8
21,1,1,2048,0.11950561124862898,1,512,32,512,RS,True,True,False,False,False,5,8,30,0.11966105541803769,0.00021719857785497168,0.11958333333333333,1,8,True,20,8
22,512,1,1024,0.09668196585077281,1,64,256,256,RS,True,False,True,False,False,27,8,30,0.09670722081589385,3.528818436184503e-05,0.09669459333333333,1,8,True,27,1
23,1024,1024,1024,inf,1,32,32,32,RS,True,True,True,True,False,22,32,1,inf,inf,inf,1,18,False,10,1
24,128,256,256,0.1337541487761676,1,128,32,128,RS,False,True,False,False,False,23,1,30,0.1339555178904991,0.0002813684515995974,0.13385483333333334,28,14,True,1,8
25,1024,1024,1024,0.09333054968843772,1,64,16,128,RS,False,True,True,False,True,24,8,30,0.09340637031156228,0.00010594242021022653,0.09336846,10,1,True,10,8
26,512,2048,2048,0.10503855770650772,1,128,64,64,RS,True,True,True,True,False,30,1,30,0.10507530896015893,5.135168503131592e-05,0.10505693333333332,1,4,True,11,8
27,256,1024,1024,0.1112507030705253,8,128,32,32,RS,False,False,False,True,True,8,1,30,0.11129529692947467,6.23099777991722e-05,0.11127299999999998,1,8,True,21,8
28,512,128,1,0.11755039201215645,1,128,32,128,RS,False,False,False,False,False,25,8,30,0.11764260798784351,0.0001288512708513194,0.11759649999999998,16,1,True,5,8
29,1,512,256,0.18495869367704854,1,1,64,512,RS,True,True,False,True,False,19,1,30,0.18500743965628486,6.811164038220988e-05,0.1849830666666667,25,18,True,1,1
30,1024,1024,1,0.12172269588303851,1,1,128,16,RS,False,False,True,True,True,5,8,30,0.12174423745029485,3.0099538571582806e-05,0.12173346666666668,1,20,True,5,8
31,512,1024,1024,0.0995003881657529,1,256,128,16,RS,False,False,True,False,True,26,8,30,0.09953239183424709,4.47179930229428e-05,0.09951639,11,18,True,1,8
32,512,128,256,0.21835222553090838,1,16,32,1,RS,True,False,True,True,True,1,8,30,0.21839030780242502,5.321148581107182e-05,0.2183712666666667,15,1,True,2,1
33,2048,64,512,0.11617215223053999,8,16,16,32,RS,False,True,False,False,False,5,1,30,0.11622104776946,6.832061670291627e-05,0.1161966,26,1,True,14,8
34,64,1024,256,0.22002246218185934,1,64,128,32,RS,True,True,False,False,True,5,32,30,0.2200847378181407,8.701632030831857e-05,0.22005360000000002,23,1,True,30,1
35,2048,64,1024,0.3018249984031289,1,512,64,512,RS,True,True,False,True,True,13,1,30,0.3018952682635378,9.818646659403646e-05,0.30186013333333334,15,1,True,24,32
36,256,256,1,0.09559365015030029,8,256,32,16,RS,False,True,True,False,False,7,1,30,0.09561972984969973,3.6440566680556324e-05,0.09560669000000001,1,5,True,1,1
37,2048,64,1024,0.2521843977203755,1,32,1,16,RS,True,True,True,False,False,6,32,30,0.25290426894629114,0.0010058595771224182,0.2525443333333333,1,30,True,13,1
38,1,512,512,0.26134861928711195,1,32,256,16,RS,True,False,False,False,True,25,32,30,0.26141938071288795,9.887331962330955e-05,0.26138399999999995,1,21,True,12,1
39,256,1,2048,0.20369038166168824,1,128,256,16,RS,False,False,True,False,False,20,8,30,0.20371788500497845,3.8429791684172626e-05,0.20370413333333334,10,1,True,12,1
40,128,256,128,0.09152336306515267,8,64,32,16,RS,True,True,True,False,False,10,1,30,0.09154637693484731,3.21567530491904e-05,0.09153486999999999,5,21,True,1,8
41,64,1024,512,inf,1,256,32,16,RS,True,True,True,True,True,7,32,1,inf,inf,inf,1,27,False,9,1
42,1024,256,256,0.25351883326402924,8,1,256,128,RS,False,True,False,False,False,15,1,30,0.25354356673597067,3.4559513885470024e-05,0.25353119999999996,4,1,True,22,1
43,64,128,128,0.0925495221246883,8,32,64,64,RS,False,False,True,True,False,28,1,30,0.09257315787531169,3.302569302830618e-05,0.09256133999999999,1,30,True,5,8
44,512,256,512,inf,32,64,32,1,RS,True,False,True,True,True,18,1,1,inf,inf,inf,24,20,False,1,1
45,256,1024,1024,0.16317216066550208,1,512,256,256,RS,True,False,False,False,True,24,1,30,0.16328543933449793,0.00015828168982334474,0.1632288,1,29,True,26,1
46,1,1,512,0.1321487452586703,8,256,256,16,RS,True,False,False,True,False,9,1,30,0.13217545474132972,3.732054840611399e-05,0.1321621,1,14,True,18,1
47,64,2048,256,0.11584689534371743,1,32,128,32,RS,False,False,False,True,True,11,1,30,0.11587650465628256,4.1372414320010974e-05,0.1158617,19,1,True,4,8
