id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,2048,2048,0.16386982340522332,32,64,512,512,DLMT,False,True,True,False,False,4,1,35,0.1638830337376337,1.993745321790762e-05,0.1638764285714285,30,1,True,22,1
2,2048,1,1,inf,1,1,32,256,DLMT,False,True,False,False,True,14,1,1,inf,inf,inf,28,1,False,30,32
3,1,1,1,inf,32,1,1,512,DLMT,True,True,True,False,True,9,1,1,inf,inf,inf,9,4,False,1,1
4,1,1,2048,0.30752220534175556,1,512,512,16,DLMT,True,False,True,False,False,29,1,35,0.30765036608681584,0.0001934242666750364,0.3075862857142857,23,1,True,14,32
5,1,1,2048,0.16571459709796682,8,512,128,128,DLMT,True,True,False,False,True,29,1,35,0.16575248861631892,5.7187082885733175e-05,0.16573354285714287,1,25,True,28,1
6,2048,1,512,0.17181567549453428,32,16,64,128,DLMT,False,False,True,True,False,4,1,35,0.17183741021975138,3.280273756619655e-05,0.17182654285714283,30,22,True,1,1
7,2048,1,2048,inf,1,64,1,1,DLMT,False,True,False,True,True,28,32,1,inf,inf,inf,2,27,False,1,1
8,2048,512,2048,0.21991660880030048,1,16,16,64,DLMT,True,False,True,False,True,24,1,35,0.21995070548541382,5.1459800042442766e-05,0.21993365714285715,29,1,True,27,1
9,2048,512,1,inf,1,256,64,64,DLMT,True,False,False,True,False,1,32,1,inf,inf,inf,8,1,False,27,1
10,1024,1,1,0.21029225611391694,1,512,512,128,DLMT,False,True,True,True,True,18,1,35,0.21031614388608305,3.6052184399838206e-05,0.2103042,26,19,True,1,1
11,2048,512,256,0.19156201779264484,1,16,256,512,DLMT,True,True,False,True,False,28,1,35,0.19158432506449805,3.3666843132828344e-05,0.19157317142857144,22,1,True,28,1
12,1,1,1,inf,32,512,16,1,DLMT,True,False,False,False,False,10,1,1,inf,inf,inf,28,1,False,3,1
13,2048,2048,2048,inf,32,32,512,32,DLMT,False,False,True,True,True,30,1,1,inf,inf,inf,4,1,False,3,1
14,256,1024,64,0.213854514741848,1,64,512,1,DLMT,False,True,False,False,True,27,32,35,0.21412182811529482,0.0004034378327548868,0.2139881714285714,29,28,True,1,1
15,1024,64,1,0.11559362608458634,1,256,1,512,DLMT,False,False,True,False,False,22,1,35,0.11561934534398505,3.881632309706185e-05,0.1156064857142857,4,19,True,1,1
16,512,1,256,0.19872704070202493,1,16,512,1,DLMT,False,True,True,False,True,17,1,35,0.1987731878694036,6.964677058601782e-05,0.19875011428571426,1,24,True,30,32
17,64,2048,1,0.2281085433794608,1,1,16,1,DLMT,False,True,True,True,False,13,1,35,0.2281271137633964,2.8027013208470028e-05,0.2281178285714286,23,6,True,1,1
18,128,256,1024,inf,1,256,256,1,DLMT,True,True,True,True,True,1,32,1,inf,inf,inf,1,13,False,1,1
19,2048,1024,1,inf,32,16,256,1,DLMT,True,True,False,False,True,9,1,1,inf,inf,inf,1,21,False,13,1
20,1,512,64,0.1482730620709821,1,1,64,512,DLMT,True,False,False,False,False,3,32,35,0.14838402364330358,0.00016746672895271512,0.14832854285714284,1,27,True,5,1
21,1,2048,64,0.19916427904773065,1,16,64,512,DLMT,True,False,True,False,True,5,1,35,0.19932594952369798,0.0002439982167883989,0.19924511428571431,11,1,True,3,32
22,2048,128,2048,0.22414915850543649,1,512,32,256,DLMT,False,True,True,False,True,1,1,35,0.22417924149456347,4.540220258974195e-05,0.22416419999999998,18,1,True,5,1
23,64,2048,2048,0.17320553660324592,1,512,32,1,DLMT,False,True,True,False,False,21,32,35,0.17324092053961118,5.3402560513401414e-05,0.17322322857142855,25,1,True,30,1
24,1,1024,1,inf,32,256,1,32,DLMT,False,False,True,True,True,2,1,1,inf,inf,inf,1,29,False,28,1
25,2048,1024,64,0.089130925582121,8,64,1,512,DLMT,True,True,True,False,False,13,1,35,0.08915221727502183,3.2134099124303046e-05,0.08914157142857142,16,19,True,1,8
26,1024,1024,1024,0.19417747971814564,1,1,256,16,DLMT,False,False,False,False,False,1,1,35,0.19420303456756866,3.856819034025805e-05,0.19419025714285715,1,3,True,9,1
27,256,2048,512,0.26396566295988644,1,512,1,1,DLMT,False,True,False,True,False,26,1,35,0.2641452513258278,0.0002710404653876458,0.2640554571428571,2,3,True,1,32
28,64,2048,2048,0.12093235667047543,8,64,1,32,DLMT,False,True,False,True,True,3,1,35,0.1209946719009531,9.404812489315451e-05,0.12096351428571427,29,19,True,1,8
