id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,512,512,1,0.09939059224961601,1,False,64,512,DLMT,False,True,False,False,True,2,1,16,35,0.09945341346466972,9.481177288475877e-05,0.09942200285714287,7,25,True,1,8
2,512,128,512,0.1531312879122133,8,False,64,128,DLMT,True,False,True,True,True,3,8,512,35,0.15316151208778672,4.561528565858513e-05,0.15314640000000002,27,13,True,1,1
3,512,1,1,0.11403857116519849,8,False,512,512,DLMT,True,True,True,True,False,13,8,32,35,0.11407017169194435,4.769251855931585e-05,0.11405437142857142,1,4,True,28,1
4,256,64,2048,0.10761890313139647,1,False,1,1,DLMT,False,True,False,False,True,22,8,1,35,0.10765869686860349,6.0057971993733776e-05,0.10763879999999998,11,1,True,30,8
5,256,2048,2048,0.09107097664189916,8,False,16,16,DLMT,False,True,True,False,False,7,1,256,35,0.09109625764381514,3.815489098559238e-05,0.09108361714285715,29,9,True,1,1
6,1024,256,2048,inf,1,False,1,1,DLMT,True,False,True,True,False,2,32,64,1,inf,inf,inf,10,16,False,1,1
7,1,2048,512,0.19823281687037106,1,False,256,16,DLMT,True,False,False,False,False,4,8,256,35,0.1982742117010575,6.247439312164864e-05,0.19825351428571428,12,1,True,30,1
8,256,1,512,inf,32,False,64,1,DLMT,False,False,True,True,True,28,1,256,1,inf,inf,inf,1,30,False,29,1
9,1,256,1,0.24583261190347935,8,False,1,16,DLMT,False,True,False,False,False,28,1,1,35,0.24591047381080636,0.00011751166333776473,0.24587154285714286,13,1,True,3,1
10,2048,1,256,0.1656271132657752,8,False,256,64,DLMT,True,True,False,False,True,30,8,32,35,0.16569888673422475,0.00010832279802252394,0.16566299999999998,1,24,True,30,1
11,1,128,1024,inf,1,False,16,256,DLMT,False,False,True,True,True,23,32,32,1,inf,inf,inf,1,30,False,27,1
12,2048,256,2048,0.21733734348372644,1,False,1,512,DLMT,False,False,False,True,False,1,1,512,35,0.21737665651627355,5.9332477254392595e-05,0.217357,28,1,True,30,1
13,128,512,1,0.21225145205936644,1,False,512,64,DLMT,True,True,False,True,False,30,1,512,35,0.21249529079777643,0.00036800916803131893,0.21237337142857143,1,2,True,1,32
14,256,2048,128,0.20284754325829046,8,False,1,256,DLMT,False,False,False,True,True,3,1,64,35,0.2029222853131381,0.00011280308289317346,0.20288491428571429,1,25,True,9,1
15,1024,512,1024,0.21559831577318667,8,False,512,512,DLMT,False,False,True,False,True,30,8,32,35,0.21563854136967048,6.0709747729566155e-05,0.21561842857142857,30,1,True,16,1
16,1,2048,128,0.09256886221731142,8,False,32,64,DLMT,False,True,True,True,False,15,1,1,35,0.09260116635411716,4.8754429207477855e-05,0.09258501428571429,1,18,True,26,8
17,128,1024,128,0.2927981192575051,32,False,512,1,DLMT,False,False,False,True,False,4,1,32,35,0.2928615378853521,9.571340724543452e-05,0.2928298285714286,1,17,True,12,1
18,1024,256,1,0.13441539776398248,1,False,128,64,DLMT,True,False,False,False,False,16,1,32,35,0.1344411165217318,3.881556599181832e-05,0.13442825714285714,30,1,True,20,8
19,2048,1,1,0.10038772967895006,1,False,1,32,DLMT,True,False,True,False,False,28,1,64,35,0.10048444174962136,0.00014596092851534221,0.10043608571428571,1,18,True,15,8
20,1,1,512,0.12086358239458025,1,False,32,512,DLMT,False,True,False,True,False,1,8,128,35,0.12094350331970541,0.00012061919839067167,0.12090354285714283,7,1,True,1,8
21,1024,512,1,0.09130288687407061,8,False,512,32,DLMT,True,True,True,False,False,1,1,1,35,0.09135034741164368,7.162895059447205e-05,0.09132661714285714,1,23,True,30,8
22,512,2048,2048,inf,1,False,64,128,DLMT,True,False,True,True,False,26,32,512,1,inf,inf,inf,1,30,False,7,1
23,2048,2048,1,0.11019932190573552,8,False,32,256,DLMT,False,False,True,False,False,17,8,128,35,0.11026599237997876,0.00010062119710141827,0.11023265714285714,1,2,True,3,1
24,512,256,256,0.23733258475714594,1,False,1,512,DLMT,True,True,True,False,False,8,8,256,35,0.23761695809999692,0.0004291852803836082,0.23747477142857143,1,29,True,15,1
25,512,1024,1024,0.1162669778506262,1,False,512,512,DLMT,False,False,True,True,False,30,1,1,35,0.11636422214937381,0.00014676418403100218,0.1163156,1,9,True,1,1
26,512,128,2048,0.25527162781685386,1,False,128,512,DLMT,True,True,True,True,True,25,1,32,35,0.25567517218314606,0.0006090419736884217,0.25547339999999996,18,1,True,13,32
27,512,512,128,0.1701238498866982,1,False,1,16,DLMT,True,True,True,True,True,11,1,128,35,0.1702992358275875,0.00026469803203511903,0.17021154285714285,1,2,True,2,32
28,1,128,2048,inf,32,False,1,64,DLMT,False,True,False,True,True,21,1,64,1,inf,inf,inf,21,19,False,1,1
29,1,1,2048,0.23680363910940955,1,False,512,512,DLMT,False,False,True,False,False,11,1,512,35,0.2370503608905905,0.00037236034774318594,0.23692700000000003,1,25,True,17,32
30,2048,256,512,0.10717835530036146,8,False,1,512,DLMT,False,False,False,False,True,14,1,512,35,0.10721324469963855,5.265618943404758e-05,0.10719580000000001,11,1,True,8,8
31,2048,1,1,0.1043832331030993,1,False,512,1,DLMT,False,True,True,True,True,5,8,32,35,0.10453539546832924,0.0002296482740974088,0.10445931428571427,5,30,True,1,8
32,1,2048,1,inf,32,False,16,512,DLMT,True,True,False,False,True,1,1,512,1,inf,inf,inf,1,2,False,24,1
33,1,1,512,inf,32,False,32,64,DLMT,True,False,True,False,True,6,1,32,1,inf,inf,inf,27,1,False,15,1
34,2048,1,1024,0.1821908127777203,1,False,512,32,DLMT,False,True,False,True,True,7,1,512,35,0.18222095865085114,4.549710912547682e-05,0.18220588571428573,1,4,True,17,1
35,2048,128,128,inf,1,False,128,512,DLMT,False,True,True,True,False,9,32,1,1,inf,inf,inf,30,14,False,1,1
36,1,1,2048,0.3239242519729648,1,False,64,128,DLMT,False,False,False,True,False,1,1,1,35,0.32448031945560674,0.0008392347048328709,0.3242022857142858,30,1,True,20,32
37,1,2048,1,0.16248326762942372,1,False,1,1,DLMT,True,True,True,False,True,14,8,1,35,0.16249633237057626,1.9717722267762086e-05,0.1624898,27,1,True,11,1
38,1024,1,256,0.2041253205265139,1,False,256,1,DLMT,True,False,True,False,True,27,1,1,35,0.20422885090205756,0.0001562513307698453,0.20417708571428572,1,12,True,1,32
39,128,512,128,0.10125904088145267,1,False,512,128,DLMT,False,False,True,False,True,14,8,16,35,0.10128798768997592,4.3687442738859406e-05,0.1012735142857143,30,3,True,1,8
40,128,2048,64,0.3334819488264903,1,False,512,128,DLMT,False,False,False,False,False,5,1,1,35,0.3341151940306525,0.0009557137732221584,0.3337985714285714,19,27,True,1,32
41,1,128,1,0.2015186473140734,1,False,128,32,DLMT,False,True,True,True,True,14,1,512,35,0.20154558125735514,4.0649562590212836e-05,0.20153211428571427,17,15,True,1,1
42,1024,1024,64,0.2028075222356679,1,False,128,16,DLMT,False,True,True,False,False,1,32,64,35,0.20283253490718922,3.774991823210326e-05,0.20282002857142856,20,1,True,26,1
43,2048,128,2048,0.11060930107497693,1,False,32,64,DLMT,False,False,False,True,True,10,8,512,35,0.1106443560678802,5.290610859372189e-05,0.11062682857142857,1,8,True,20,8
44,2048,512,2048,0.3120184277555291,32,False,128,32,DLMT,True,True,True,True,False,9,1,1,35,0.31264757224447093,0.0009495248435777909,0.312333,9,28,True,1,1
45,256,1,1,inf,1,False,1,256,DLMT,True,False,False,False,True,22,32,256,1,inf,inf,inf,22,16,False,1,1
46,1,2048,2048,0.12349275728203701,8,False,512,1,DLMT,True,True,False,True,False,22,1,64,35,0.12357947128939153,0.0001308715338312612,0.12353611428571427,27,26,True,1,8
47,2048,2048,256,0.30061001715887303,1,False,1,512,DLMT,False,True,True,True,False,28,1,32,35,0.30078369712684117,0.00026212332352290515,0.3006968571428571,23,1,True,28,32
