id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,T1_I,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,runs,mean_confidence_interval_sup,cost_std,U_K,U_J,U_I,correct_result,cost_mean,RT_I
1,128,2048,512,inf,1,16,1,1,RS,True,True,True,False,False,30,8,1,inf,inf,2,19,1,False,inf,8
2,64,256,2048,inf,1,1,128,16,RS,False,True,False,False,False,1,8,1,inf,inf,5,1,27,False,inf,8
3,1024,1,512,inf,1,1,128,128,RS,True,False,False,True,True,18,1,1,inf,inf,1,22,18,False,inf,8
4,1024,512,2048,inf,1,32,16,32,RS,True,False,False,False,False,27,1,1,inf,inf,30,1,14,False,inf,32
5,2048,2048,256,inf,1,16,1,1,RS,True,True,True,False,False,14,1,1,inf,inf,1,25,21,False,inf,32
6,512,512,256,inf,1,64,32,256,RS,False,True,True,True,False,3,8,1,inf,inf,1,26,16,False,inf,1
7,512,256,2048,inf,1,32,128,64,RS,True,False,False,True,False,17,8,1,inf,inf,28,8,1,False,inf,8
8,2048,1024,1,inf,1,64,64,16,RS,True,False,False,False,True,20,1,1,inf,inf,14,10,1,False,inf,32
9,1024,1024,1024,inf,1,32,32,512,RS,False,False,True,False,False,15,1,1,inf,inf,11,1,27,False,inf,1
10,2048,128,512,inf,1,1,16,128,RS,False,True,False,True,True,24,1,1,inf,inf,29,20,1,False,inf,1
11,2048,2048,1024,inf,1,1,128,512,RS,True,True,True,False,True,8,1,1,inf,inf,1,2,25,False,inf,8
12,64,1,256,inf,8,32,1,64,RS,True,False,False,False,False,30,1,1,inf,inf,18,21,1,False,inf,8
13,64,2048,128,inf,8,16,256,16,RS,True,True,True,False,False,14,1,1,inf,inf,7,1,2,False,inf,8
14,128,512,64,inf,8,16,128,16,RS,False,False,False,False,False,2,1,1,inf,inf,21,1,9,False,inf,8
15,512,256,512,inf,1,1,1,512,RS,False,True,True,False,False,5,8,1,inf,inf,4,1,29,False,inf,8
16,512,1024,1024,inf,32,16,32,128,RS,False,False,True,False,False,1,1,1,inf,inf,30,1,6,False,inf,1
17,128,1,2048,inf,8,128,512,128,RS,True,True,False,True,False,16,1,1,inf,inf,1,20,12,False,inf,8
