id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,1024,1,1,inf,1,False,64,64,RS,False,False,False,False,True,8,1,1,1,32,11,11,1,inf,False,inf,inf
2,256,1,2048,0.21921210885100018,8,False,512,32,RS,True,False,True,True,True,27,1,32,35,1,23,28,1,0.00011506298541340191,True,0.2192502285714286,0.219288348291857
3,128,128,64,inf,32,False,32,64,RS,False,True,True,False,True,2,1,1,1,1,1,15,9,inf,False,inf,inf
4,128,256,64,0.29208799272763647,8,False,32,1,RS,True,False,True,True,True,25,1,1,35,1,1,30,30,0.0027560516265417202,True,0.2930010571428572,0.2939141215580779
5,512,128,64,0.09606867098268773,1,False,1,64,RS,True,False,True,False,False,30,1,32,35,8,15,23,1,0.000234423846840177,True,0.09614633428571427,0.09622399758874081
6,2048,64,256,0.125886493740305,1,False,32,256,RS,True,False,False,True,False,30,1,256,35,1,8,1,14,4.749501370176563e-05,True,0.12590222857142858,0.12591796340255215
7,1024,2048,2048,0.09755746829149246,1,False,256,32,RS,False,False,True,True,True,30,8,512,35,8,1,1,16,3.8663050546367993e-05,True,0.09757027714285715,0.09758308599422184
8,64,64,1,0.1184909551771122,1,False,32,16,RS,True,False,True,False,False,8,1,64,35,1,1,25,6,8.663583648390065e-05,True,0.11851965714285714,0.11854835910860209
9,512,2048,1,inf,32,False,128,16,RS,False,False,True,True,True,4,1,32,1,1,1,24,20,inf,False,inf,inf
10,2048,1,2048,inf,32,False,512,16,RS,True,True,True,True,True,6,1,32,1,1,1,15,16,inf,False,inf,inf
11,2048,2048,2048,0.09378008466459176,1,False,1,64,RS,True,False,False,False,True,16,1,64,35,8,14,1,27,7.407626318428124e-05,True,0.09380462571428572,0.09382916676397968
12,64,512,64,inf,1,False,16,1,RS,False,False,True,True,True,27,32,1,1,1,1,19,11,inf,False,inf,inf
13,2048,64,2048,0.10188423798323572,1,False,64,256,RS,False,False,True,False,False,7,1,16,35,8,1,12,9,3.274348042288911e-05,True,0.10189508571428571,0.1019059334453357
14,128,2048,256,0.4211571936627038,1,False,32,64,RS,False,True,False,False,False,16,1,16,35,32,15,1,30,6.116457558196788e-05,True,0.42117745714285715,0.4211977206230105
15,64,128,512,inf,32,False,128,16,RS,False,False,True,True,True,7,1,256,1,1,1,21,6,inf,False,inf,inf
16,64,1024,2048,0.14352084812045948,32,False,32,64,RS,True,False,True,True,False,10,1,512,35,1,6,1,11,4.711526465239528e-05,True,0.14353645714285715,0.14355206616525482
17,512,256,2048,0.26497836041212214,1,False,256,128,RS,True,False,False,False,False,10,1,1,35,32,25,1,11,0.0002514281428567787,True,0.26506165714285707,0.265144953873592
18,2048,2048,1,0.2502421623538764,1,False,16,64,RS,False,True,True,True,True,27,1,1,35,1,1,18,8,6.6864798096536e-05,True,0.25026431428571433,0.25028646621755224
19,512,512,1024,inf,32,False,1,256,RS,True,False,False,True,True,17,1,32,1,1,1,1,30,inf,False,inf,inf
20,1024,64,128,0.1069369475109496,8,False,64,16,RS,True,False,True,True,False,25,1,16,35,1,14,1,16,3.7587383901668584e-05,True,0.10694940000000001,0.10696185248905042
21,1,256,128,0.10446200681819844,1,False,32,16,RS,True,False,False,False,True,19,1,64,35,8,25,1,13,3.7235883505136894e-05,True,0.10447434285714285,0.10448667889608727
22,64,256,128,0.14143795471153783,8,False,1,32,RS,True,True,True,True,True,10,1,128,35,1,5,1,3,4.5413654334351405e-05,True,0.14145299999999997,0.1414680452884621
23,1,64,1024,inf,32,False,16,256,RS,True,True,True,False,True,9,1,1,1,1,11,1,22,inf,False,inf,inf
24,1,2048,256,0.09639371824702082,1,False,256,128,RS,True,True,False,False,True,14,1,128,35,8,1,14,7,3.282030183049684e-05,True,0.09640459142857143,0.09641546461012203
25,512,512,1024,0.10209146273240888,1,False,512,16,RS,True,True,True,True,True,10,8,1,35,8,1,14,29,2.878789428115212e-05,True,0.102101,0.10211053726759112
26,1024,1,512,0.17700669321342752,32,False,1,512,RS,False,False,False,True,False,12,1,32,35,1,24,1,30,0.00016280191043355823,True,0.17706062857142854,0.17711456392942956
27,2048,512,1,0.10075237381884548,1,False,128,16,RS,False,False,False,False,True,9,1,1,35,8,1,10,20,3.250594922001013e-05,True,0.10076314285714286,0.10077391189544023
28,512,512,64,0.2535387734074453,8,False,512,1,RS,False,False,False,False,True,14,8,16,35,1,1,4,28,9.158283414594804e-05,True,0.2535691142857142,0.25359945516398313
29,2048,256,128,inf,1,False,32,256,RS,True,True,True,True,True,16,32,32,1,1,13,1,4,inf,False,inf,inf
30,64,1,2048,0.12569514561704614,1,False,512,32,RS,True,True,True,True,True,3,8,64,35,8,27,12,1,3.604074791404877e-05,True,0.12570708571428574,0.12571902581152533
31,512,1,1,0.10935410128159725,1,False,16,128,RS,False,True,False,False,True,7,8,32,35,8,10,1,10,0.00010930763178912559,True,0.10939031428571429,0.10942652728983132
32,256,1,1024,0.24051899626967085,1,False,1,128,RS,True,False,False,False,False,4,1,32,35,32,1,4,18,0.000247180301044582,True,0.2406008857142857,0.24068277515890055
33,2048,128,1,0.22621686731508395,1,False,32,32,RS,True,False,False,False,True,14,1,16,35,32,13,1,19,0.00023644435165292603,True,0.22629519999999997,0.226373532684916
34,256,256,1,inf,32,False,16,1,RS,True,False,True,False,True,11,1,1,1,1,7,1,13,inf,False,inf,inf
35,2048,2048,2048,inf,1,False,32,512,RS,False,False,True,True,True,12,32,512,1,1,19,1,7,inf,False,inf,inf
