id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,2048,2048,0.18490896432901527,1,False,32,256,DLMT,False,True,False,False,True,12,32,128,35,0.18516343567098476,0.00038405623100195706,0.1850362,20,10,True,1,1
2,256,2048,1,0.19213751082027158,32,False,512,256,DLMT,True,True,True,True,False,20,1,16,35,0.1921595748940142,3.3299800820631854e-05,0.1921485428571429,30,27,True,1,1
3,2048,2048,256,0.2030057882492705,1,False,512,32,DLMT,True,False,False,False,False,12,1,16,35,0.20302809746501527,3.3669776915671085e-05,0.2030169428571429,30,1,True,11,32
4,2048,1024,2048,0.2112413521925064,32,False,512,256,DLMT,True,False,False,True,False,25,1,512,35,0.21127464780749367,5.0250799567199297e-05,0.21125800000000003,13,1,True,28,1
5,1,128,256,inf,1,False,64,16,DLMT,False,False,False,True,True,30,32,16,1,inf,inf,inf,27,28,False,1,1
6,512,128,2048,inf,1,False,1,512,DLMT,True,True,True,True,False,30,32,1,1,inf,inf,inf,1,23,False,18,1
7,1,64,512,0.11665585687586702,8,False,64,512,DLMT,False,False,False,True,False,5,1,512,35,0.11670208598127582,6.9770434063347e-05,0.11667897142857142,18,1,True,30,8
8,1,2048,128,inf,32,False,16,256,DLMT,True,True,True,True,True,29,1,16,1,inf,inf,inf,30,1,False,28,1
9,128,2048,512,0.2072453695599576,1,False,512,64,DLMT,False,True,True,True,True,16,1,1,35,0.20749251615432818,0.0003730014893005226,0.20736894285714288,1,4,True,28,32
10,2048,1024,512,inf,1,False,16,16,DLMT,True,False,True,True,False,3,32,512,1,inf,inf,inf,1,28,False,28,1
11,2048,128,128,0.2548834769099004,1,False,64,512,DLMT,True,False,True,True,True,9,1,64,35,0.2549669802329569,0.0001260258671212909,0.25492522857142863,30,26,True,1,32
12,64,128,512,0.22035516557525628,1,False,32,16,DLMT,True,False,True,False,True,29,1,64,35,0.22047597728188648,0.00018233286447973964,0.22041557142857138,5,1,True,26,32
13,256,1,2048,inf,32,False,32,1,DLMT,False,True,True,True,True,3,1,1,1,inf,inf,inf,4,1,False,18,1
14,128,1,64,inf,1,False,512,16,DLMT,True,False,False,True,True,8,32,16,1,inf,inf,inf,5,1,False,29,1
15,2048,1024,2048,0.254656715618788,1,False,256,512,DLMT,False,False,False,False,True,1,8,16,35,0.25469905580978336,6.390116092330909e-05,0.2546778857142857,29,1,True,29,1
16,128,2048,2048,inf,32,False,16,64,DLMT,True,False,False,True,True,10,1,512,1,inf,inf,inf,2,2,False,1,1
17,1024,2048,128,0.19798525928402547,32,False,32,128,DLMT,True,True,False,False,False,5,1,1,35,0.19806611214454603,0.00012202570488656,0.19802568571428575,1,30,True,24,1
18,256,2048,2048,0.15420832090758493,1,False,512,256,DLMT,True,True,False,True,False,11,1,16,35,0.15430693623527217,0.0001488333844489583,0.15425762857142855,1,6,True,20,32
19,2048,1,1,0.2880785792764474,1,False,512,16,DLMT,False,True,False,False,True,29,32,256,35,0.2881213064378382,6.448518893386214e-05,0.2880999428571428,1,12,True,10,1
20,512,128,512,0.20329033378443576,1,False,64,512,DLMT,True,False,False,False,True,10,8,512,35,0.2036258947869928,0.0005064393220700529,0.20345811428571428,19,28,True,1,1
21,512,128,2048,0.2867110800688128,1,False,1,128,DLMT,False,True,True,False,False,20,8,512,35,0.28803114850261574,0.0019922892040697953,0.28737111428571427,30,30,True,1,1
