id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,2048,1,1,inf,1,False,64,1,DLMT,True,False,True,True,False,30,32,64,1,1,26,1,30,inf,False,inf,inf
2,256,64,512,0.12521854645752725,1,False,16,128,DLMT,False,False,True,False,False,16,32,1,35,1,11,1,24,7.639938027315568e-05,True,0.12524385714285716,0.12526916782818706
3,128,2048,1024,0.18420234764712304,32,False,128,32,DLMT,True,False,True,True,False,2,1,16,35,1,30,9,1,0.000468364837732818,True,0.18435751428571429,0.18451268092430553
4,1024,1,1,0.08970132284300118,8,False,1,64,DLMT,True,False,True,True,False,13,1,512,35,8,1,26,13,0.00023998514069646523,True,0.08978082857142856,0.08986033429985595
5,1024,1,2048,0.3140438304536052,1,False,64,512,DLMT,False,True,False,False,True,3,1,32,35,32,8,21,1,0.0008658621391893887,True,0.31433068571428574,0.3146175409749663
6,1,512,1,inf,1,False,32,16,DLMT,True,False,False,True,True,18,1,1,1,32,30,1,8,inf,False,inf,inf
7,1,64,1,0.2448316257752382,32,False,32,512,DLMT,False,False,False,False,False,15,1,32,35,1,7,1,21,0.00014584334900494925,True,0.24487994285714285,0.2449282599390475
8,1,256,128,0.0895009595897467,1,False,256,256,DLMT,False,False,True,True,False,19,8,32,35,8,14,12,1,3.64642776269762e-05,True,0.08951304,0.0895251204102533
9,1024,1,1024,inf,32,False,32,512,DLMT,True,False,False,False,True,24,1,512,1,1,19,13,1,inf,False,inf,inf
10,1024,64,512,0.1343541001021965,8,False,32,64,DLMT,True,False,True,True,True,10,8,128,35,1,1,30,7,5.730737745006574e-05,True,0.1343730857142857,0.13439207132637487
11,1024,512,1,0.12610785692839174,8,False,128,128,DLMT,False,False,False,False,False,30,1,16,35,8,1,1,1,4.415645652745496e-05,True,0.12612248571428572,0.1261371145001797
12,1024,64,2048,0.20054518023523366,8,False,1,128,DLMT,True,True,False,True,True,3,1,16,35,1,30,26,1,6.21537658733975e-05,True,0.2005657714285714,0.20058636262190915
13,64,1024,2048,0.11733089636651563,8,False,32,16,DLMT,True,False,True,True,False,23,8,256,35,1,2,1,17,0.00028223730643353546,True,0.11742440000000001,0.1175179036334844
14,1024,64,1,0.17636374382895845,1,False,16,512,DLMT,False,True,True,True,False,20,8,512,35,1,30,30,1,3.509748522882845e-05,True,0.17637537142857143,0.17638699902818442
15,1024,2048,1024,0.09705479254141061,1,False,512,512,DLMT,True,True,False,False,True,18,1,64,35,8,27,1,21,0.00011359435937418931,True,0.09709242571428572,0.09713005888716084
16,1,1024,256,0.1100848295726421,8,False,512,128,DLMT,True,False,False,False,False,2,1,256,35,1,1,3,16,5.605415748567216e-05,True,0.1101034,0.11012197042735791
17,1024,1,2048,0.20321568931677034,1,False,128,1,DLMT,True,True,True,True,False,2,1,1,35,1,1,4,21,0.0002742380970571943,True,0.20330654285714286,0.2033973963975154
18,2048,512,512,0.09118261045781346,8,False,128,512,DLMT,True,False,True,False,False,18,1,16,35,1,1,19,8,3.650909039722375e-05,True,0.09119470571428571,0.09120680097075796
19,128,2048,1,0.09297917772404632,8,False,128,1,DLMT,True,False,True,False,True,25,1,1,35,8,18,29,1,4.762097582762858e-05,True,0.0929949542857143,0.09301073084738229
20,512,1,1,0.08661730173104999,8,False,512,128,DLMT,True,True,True,False,False,25,8,1,35,1,30,1,9,5.202446175029771e-05,True,0.08663453714285714,0.08665177255466429
21,256,1,128,inf,1,False,64,64,DLMT,False,True,False,True,True,15,32,128,1,1,29,17,1,inf,False,inf,inf
22,512,512,1,0.16675385696893313,1,False,1,512,DLMT,True,True,True,True,False,2,8,512,35,1,5,1,28,0.00036557957786930876,True,0.16687497142857144,0.16699608588820974
23,1024,2048,1,0.21458206032051352,32,False,512,1,DLMT,False,False,False,True,False,9,1,256,35,1,1,15,2,4.664723016034983e-05,True,0.21459751428571427,0.21461296825091503
24,1024,128,128,0.09016971671202541,8,False,64,32,DLMT,True,False,True,False,False,11,1,128,35,8,1,13,22,5.3807568696046345e-05,True,0.09018754285714285,0.0902053690022603
25,64,64,1,0.1891665370302106,8,False,32,64,DLMT,True,False,False,True,True,1,8,64,35,1,1,19,22,8.341342328230716e-05,True,0.18919417142857142,0.18922180582693224
26,2048,128,1024,0.11958926819923854,1,False,64,512,DLMT,False,False,False,True,False,1,1,1,35,8,21,1,1,4.0500279666457054e-05,True,0.11960268571428571,0.11961610322933289
