id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,128,256,1024,0.11342701138074819,8,False,64,1,DLMT,False,False,False,False,False,11,1,512,35,0.11348858861925183,9.293432396821211e-05,0.11345780000000001,13,1,True,30,8
2,2048,2048,2048,0.2570463305897128,1,False,1,512,DLMT,False,True,True,True,True,21,8,128,35,0.2570842979817157,5.7301593809081576e-05,0.2570653142857143,29,1,True,21,1
3,1024,1,128,0.22640514385836658,32,False,512,256,DLMT,False,False,False,True,False,14,1,16,35,0.2264731418559191,0.00010262473744031797,0.22643914285714284,1,12,True,22,1
4,1,1,2048,0.17408484927022308,1,False,64,512,DLMT,True,False,False,False,False,22,1,16,35,0.1741170935869197,4.866414679898877e-05,0.1741009714285714,1,29,True,30,1
5,512,1,1024,0.11013026625078594,1,False,32,1,DLMT,False,True,False,True,True,30,8,128,35,0.11015607660635694,3.895380833337754e-05,0.11014317142857144,18,1,True,13,8
6,2048,1,512,0.10460559594243726,1,False,256,512,DLMT,False,True,True,False,False,13,1,512,35,0.10463411834327702,4.3046913184266554e-05,0.10461985714285714,23,1,True,26,8
7,2048,2048,512,0.20685927813083574,1,False,512,512,DLMT,True,False,True,False,True,27,1,256,35,0.20694500758345005,0.00012938561254905392,0.2069021428571429,2,1,True,5,32
8,512,128,64,0.31720112431232056,1,False,64,16,DLMT,False,True,False,True,True,21,1,32,35,0.3172839042591081,0.00012493412468258603,0.3172425142857143,26,1,True,5,1
9,512,1,1,0.09511804497027632,8,False,256,16,DLMT,True,False,True,False,False,20,8,128,35,0.09514458360115227,4.005294455276636e-05,0.0951313142857143,14,7,True,1,1
10,512,1,1024,0.24570635444890732,8,False,512,512,DLMT,False,True,False,True,True,1,1,512,35,0.2458076455510927,0.0001528717483008904,0.245757,28,27,True,1,1
11,1,2048,1,0.11147825288896505,1,False,1,256,DLMT,False,True,True,True,True,30,8,512,35,0.11168906139674921,0.0003181588949707042,0.11158365714285713,1,9,True,25,8
12,128,2048,2048,0.1675649231666421,32,False,32,128,DLMT,False,True,True,False,False,21,1,16,35,0.16759387683335789,4.369779334082159e-05,0.1675794,25,1,True,10,1
13,256,1024,128,0.11148616972606024,1,False,64,32,DLMT,False,False,True,False,False,18,8,1,35,0.1115281731310826,6.339287283702116e-05,0.11150717142857142,30,1,True,25,8
14,1,64,2048,0.11317289063792808,1,False,64,32,DLMT,False,False,True,True,True,8,1,128,35,0.11326099507635763,0.000132970016568106,0.11321694285714286,2,1,True,23,8
15,512,512,1,inf,1,False,1,512,DLMT,False,False,False,True,False,11,32,256,1,inf,inf,inf,3,16,False,1,1
16,1,2048,1,inf,32,False,256,512,DLMT,False,False,False,False,True,10,1,512,1,inf,inf,inf,1,10,False,9,1
17,512,128,1,0.0925280931767132,1,False,64,256,DLMT,True,False,True,False,False,1,8,64,35,0.09262121539471538,0.00014054300885770079,0.09257465428571429,5,23,True,1,8
