id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,1024,2048,0.10634361058255937,1,False,512,256,DLMT,False,True,True,True,False,30,8,64,35,0.10653741798886923,0.0002925002926912893,0.1064405142857143,1,30,True,19,8
2,1,2048,1,0.25442871390374683,1,False,64,1,DLMT,True,False,False,False,True,3,8,128,35,0.25455460038196737,0.00018999187093243178,0.2544916571428571,1,30,True,23,1
3,1,64,2048,0.21602088746427114,1,False,1,256,DLMT,True,True,False,False,True,9,1,1,35,0.21615676967858602,0.0002050777532984978,0.21608882857142858,8,1,True,27,1
4,2048,1,1024,0.17408533730869039,32,False,32,1,DLMT,True,True,True,True,False,30,1,1,35,0.17412209126273817,5.547023470993745e-05,0.17410371428571428,21,1,True,8,1
5,512,1024,2048,inf,32,False,256,512,DLMT,False,False,False,True,True,13,1,1,1,inf,inf,inf,27,1,False,14,1
6,2048,1,512,0.2951970130371685,8,False,512,512,DLMT,True,False,False,False,True,13,1,32,35,0.2952774441056887,0.00012138912300397491,0.2952372285714286,15,30,True,1,1
7,2048,1,512,0.1270870230216994,8,False,128,512,DLMT,False,True,False,True,False,25,8,1,35,0.12713137697830065,6.694039993051335e-05,0.12710920000000003,1,8,True,23,1
8,1024,2048,256,0.08981517349975275,8,False,256,512,DLMT,True,False,True,True,False,6,1,128,35,0.08983698650024723,3.292087310072962e-05,0.08982607999999999,14,1,True,18,8
9,64,1024,2048,0.1429883973968893,8,False,64,16,DLMT,False,True,False,True,True,1,1,1,35,0.14307623117453933,0.00013256152672380951,0.1430323142857143,27,11,True,1,8
10,1024,64,256,0.20913229441380157,32,False,32,128,DLMT,False,True,False,True,False,6,1,16,35,0.20916473415762696,4.895909162822651e-05,0.20914851428571427,3,24,True,1,1
11,128,1,2048,0.3472039167123052,1,False,512,16,DLMT,False,False,True,False,True,1,1,16,35,0.3474290547162663,0.0003397854256883421,0.34731648571428575,1,28,True,20,32
12,1,2048,2048,0.10670139083201911,32,False,1,128,DLMT,True,False,True,False,False,22,1,16,35,0.10679512345369517,0.00014146424946802284,0.10674825714285714,1,2,True,24,1
13,1,2048,64,0.2870976519226286,1,False,256,128,DLMT,True,False,False,True,False,10,1,1,35,0.2871945766487999,0.00014628187494961778,0.28714611428571424,14,15,True,1,32
14,512,1024,256,inf,1,False,512,16,DLMT,True,True,False,True,True,29,32,256,1,inf,inf,inf,1,1,False,24,1
15,2048,512,128,0.2169259127961972,1,False,32,1,DLMT,True,False,True,False,True,24,32,128,35,0.21694305863237426,2.5877040489394494e-05,0.21693448571428572,21,1,True,21,1
16,1,1,128,0.17768099135346258,8,False,1,256,DLMT,False,True,False,True,False,1,1,32,35,0.17770700864653735,3.926612498615699e-05,0.17769399999999996,18,16,True,1,1
17,2048,256,2048,inf,1,False,1,32,DLMT,True,False,True,True,False,16,32,32,1,inf,inf,inf,1,23,False,7,1
18,1024,2048,512,0.1282655586596273,8,False,16,64,DLMT,False,False,True,False,True,22,8,64,35,0.12838912705465844,0.00018649334616351626,0.12832734285714287,23,11,True,1,1
19,128,256,256,0.172002157822222,8,False,128,16,DLMT,True,False,True,False,False,7,8,16,35,0.1720187564634923,2.5051196557840084e-05,0.17201045714285715,16,1,True,1,1
20,128,128,1,0.14999333380549093,1,False,64,1,DLMT,True,False,True,True,True,24,8,512,35,0.15009363762308045,0.00015138170703387103,0.1500434857142857,1,7,True,4,1
21,2048,2048,1,0.1494365601650236,1,False,128,32,DLMT,True,True,True,False,True,10,8,32,35,0.1495269255492621,0.0001363823077878912,0.14948174285714286,25,13,True,1,1
22,128,1,1,inf,1,False,512,128,DLMT,False,True,True,True,True,5,32,128,1,inf,inf,inf,1,20,False,30,1
23,1,1,2048,0.2838021201938997,8,False,128,16,DLMT,False,True,True,True,True,16,8,512,35,0.28382285123467177,3.128794512594363e-05,0.28381248571428574,6,1,True,19,1
24,128,1,128,0.10831239851793101,1,False,1,64,DLMT,False,False,True,True,True,10,1,16,35,0.10850188719635473,0.0002859823314079917,0.10840714285714287,25,1,True,15,8
25,256,512,512,0.22379708574576018,1,False,1,1,DLMT,False,True,True,True,False,23,1,512,35,0.22383422853995405,5.605708460751392e-05,0.22381565714285712,9,30,True,1,1
26,512,2048,1,0.11716526306802838,32,False,64,512,DLMT,True,True,True,False,False,3,1,512,35,0.1172161655034002,7.682357206280946e-05,0.11719071428571429,5,14,True,1,1
27,64,256,128,inf,32,False,256,16,DLMT,False,True,False,True,True,10,1,64,1,inf,inf,inf,22,30,False,1,1
28,1024,1,2048,0.24561091091077558,1,False,32,16,DLMT,True,False,True,False,True,12,1,1,35,0.24569360337493867,0.00012480209312739715,0.24565225714285713,14,1,True,30,32
29,2048,2048,1024,0.11956368664411127,1,False,32,256,DLMT,True,False,False,True,False,2,8,512,35,0.11959225621303163,4.3118100749510144e-05,0.11957797142857145,1,27,True,10,8
30,128,1,1,inf,1,False,1,16,DLMT,False,False,False,False,False,9,32,1,1,inf,inf,inf,1,15,False,26,1
31,256,512,1,0.09040086927270669,8,False,16,32,DLMT,False,False,True,False,False,30,1,32,35,0.09054159358443617,0.00021238560049579406,0.09047123142857143,16,1,True,13,8
32,2048,2048,256,0.13890866468618968,32,False,1,1,DLMT,False,True,False,False,False,27,1,64,35,0.1390244781709532,0.00017478938930108134,0.13896657142857144,10,6,True,1,1
33,256,64,2048,0.11055382924121336,1,False,16,32,DLMT,True,False,False,False,False,7,1,256,35,0.11058097075878663,4.096284030330868e-05,0.1105674,30,6,True,1,1
34,64,2048,256,0.22289915404490362,1,False,64,32,DLMT,True,True,False,True,True,1,1,16,35,0.223057131669382,0.00023842484804077353,0.22297814285714282,16,1,True,30,1
35,1,1,256,inf,32,False,512,64,DLMT,True,True,True,False,True,1,1,16,1,inf,inf,inf,2,1,False,11,1
36,1,64,1,0.0897329761637908,8,False,32,1,DLMT,False,False,True,False,True,28,1,512,35,0.08975751526478062,3.703519054595804e-05,0.08974524571428572,1,29,True,30,8
37,128,2048,2048,0.21450145708233653,8,False,512,1,DLMT,True,True,True,True,True,30,8,16,35,0.21453254291766344,4.691572992382862e-05,0.21451699999999999,1,20,True,27,1
38,2048,128,128,0.1432222655625943,1,False,1,128,DLMT,False,False,True,False,True,27,1,16,35,0.14326487729454854,6.431097916232247e-05,0.14324357142857141,1,8,True,3,32
39,256,64,128,0.15269337130242433,8,False,32,64,DLMT,False,False,False,False,False,25,1,128,35,0.15280937155471847,0.00017507126478980483,0.1527513714285714,1,17,True,9,1
40,512,256,1024,0.1448588387178349,8,False,1,512,DLMT,True,True,False,False,True,12,1,128,35,0.14489190413930797,4.990338420490321e-05,0.14487537142857143,1,17,True,8,1
41,1,2048,1,0.24019360416820312,1,False,16,512,DLMT,False,True,True,True,False,13,1,128,35,0.24033268154608256,0.00020989999562473857,0.24026314285714284,2,1,True,5,32
42,128,2048,1024,inf,1,False,32,1,DLMT,False,False,True,True,False,7,32,1,1,inf,inf,inf,29,25,False,1,1
43,2048,1024,1,0.1967742292880379,8,False,1,64,DLMT,True,False,True,True,False,11,1,1,35,0.19679777071196208,3.552946463349379e-05,0.196786,2,1,True,1,1
