id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,2048,128,512,0.12278404619719652,8,False,128,64,DLMT,False,True,False,True,True,28,1,16,35,0.12282549665994635,6.255835479855618e-05,0.12280477142857144,28,11,True,1,8
2,64,1024,2048,0.2821958088002333,1,False,512,1,DLMT,True,False,True,True,True,8,1,64,35,0.28253201977119513,0.0005074202750286999,0.2823639142857142,30,1,True,24,32
3,512,2048,1,0.0959871323912191,1,False,1,64,DLMT,True,False,False,False,True,2,8,512,35,0.09605756475163806,0.00010629875519074612,0.09602234857142858,14,6,True,1,8
4,1,1,2048,0.19835118727160736,8,False,512,16,DLMT,True,True,True,True,False,29,8,512,35,0.1984454984426783,0.00014233741458884492,0.19839834285714283,7,1,True,14,1
5,256,256,512,0.20866599502486852,1,False,16,64,DLMT,True,False,True,False,True,28,8,64,35,0.20869720497513147,4.710304812702784e-05,0.2086816,30,1,True,14,1
6,1,2048,256,0.31460106778375796,1,False,64,64,DLMT,True,True,False,True,False,16,1,1,35,0.3146809893590993,0.0001206201797175871,0.3146410285714286,27,1,True,18,32
7,1,512,128,inf,32,False,512,256,DLMT,False,False,True,True,True,2,1,1,1,inf,inf,inf,7,1,False,29,1
8,1024,256,2048,0.19818414801659354,8,False,1,64,DLMT,True,False,False,False,False,30,1,512,35,0.19832625198340645,0.00021446781976391214,0.1982552,22,1,True,29,1
9,2048,128,256,inf,1,False,1,32,DLMT,True,True,True,True,False,28,32,128,1,inf,inf,inf,1,29,False,23,1
10,2048,2048,512,0.10495623072018417,1,False,128,1,DLMT,False,True,True,False,False,25,8,512,35,0.10498336927981583,4.0958376083880296e-05,0.1049698,1,10,True,29,8
11,512,2048,2048,0.14549804749231662,32,False,16,512,DLMT,True,True,False,False,False,1,1,128,35,0.14561075250768338,0.0001700979885662549,0.1455544,1,15,True,24,1
12,512,1,1,0.25334306286305514,1,False,64,512,DLMT,False,True,False,False,True,30,1,512,35,0.25344190856551624,0.00014918107337413752,0.2533924857142857,13,1,True,6,32
13,2048,128,1,0.09840878629191312,1,False,32,512,DLMT,True,False,True,True,True,5,1,512,35,0.09842944799380117,3.118329668006031e-05,0.09841911714285714,29,1,True,22,8
14,2048,2048,512,0.1192326635322929,1,False,32,32,DLMT,False,False,False,True,False,3,8,1,35,0.11926190789627857,4.413652289273895e-05,0.11924728571428574,3,1,True,2,8
15,1,2048,1,0.11026623476874746,8,False,1,512,DLMT,True,False,True,False,True,14,8,512,35,0.11034862237410968,0.00012434199054319915,0.11030742857142857,19,12,True,1,1
16,128,128,512,0.1698891403482585,32,False,128,128,DLMT,False,False,False,False,False,9,1,512,35,0.17001434536602725,0.00018896338917626107,0.16995174285714287,1,25,True,13,1
17,512,1,2048,0.1595013210181879,8,False,512,512,DLMT,True,False,True,True,True,15,1,512,35,0.1595613075532407,9.053358380136334e-05,0.1595313142857143,1,27,True,30,1
18,512,1,512,0.20612517411060013,8,False,64,512,DLMT,True,False,False,True,False,30,1,16,35,0.20615968303225704,5.208196052612683e-05,0.2061424285714286,13,1,True,16,1
19,1,256,2048,0.3204748494655958,1,False,256,16,DLMT,True,True,False,False,True,1,32,1,35,0.32063543624869006,0.00024236267308750713,0.3205551428571429,1,5,True,19,1
20,256,1,2048,inf,32,False,128,1,DLMT,False,False,True,False,True,27,1,1,1,inf,inf,inf,15,30,False,1,1
21,1024,1,64,0.15010778643807127,32,False,512,256,DLMT,True,True,False,False,False,20,1,16,35,0.15013615641907152,4.281687632183412e-05,0.1501219714285714,30,8,True,1,1
22,1,128,64,0.3016346921574036,8,False,32,512,DLMT,False,True,False,True,True,5,8,64,35,0.30174507927116795,0.00016659973785411857,0.3016898857142858,19,30,True,1,1
23,1,1024,64,inf,32,False,64,1,DLMT,False,False,True,False,False,30,1,64,1,inf,inf,inf,26,11,False,1,1
24,1024,512,512,0.15974364952298672,1,False,128,512,DLMT,True,True,False,False,False,21,32,128,35,0.15980703619129902,9.566517290070936e-05,0.15977534285714287,15,24,True,1,1
25,64,1,128,0.09098813193748184,8,False,1,1,DLMT,False,True,True,False,False,10,1,128,35,0.091041850919661,8.107439395457886e-05,0.09101499142857142,8,1,True,20,8
26,1,1,128,0.2693929014805746,1,False,64,16,DLMT,True,False,False,True,True,1,1,1,35,0.2695144699479969,0.00018347499190096933,0.26945368571428574,20,12,True,1,1
27,2048,1,1,inf,32,False,16,128,DLMT,True,False,True,True,True,15,1,128,1,inf,inf,inf,5,1,False,29,1
28,2048,64,512,0.12498630921685039,1,False,64,128,DLMT,True,False,True,False,False,8,1,16,35,0.12500563364029252,2.9165033579160583e-05,0.12499597142857145,19,13,True,1,32
29,1,1,512,0.20299059302995706,1,False,1,512,DLMT,False,False,False,False,True,17,1,512,35,0.20308329268432865,0.000139905262406315,0.20303694285714285,1,10,True,1,32
30,128,128,2048,0.0996770312467241,1,False,1,128,DLMT,True,False,False,True,False,21,8,1,35,0.09971072303899019,5.084872289849735e-05,0.09969387714285714,3,18,True,1,8
31,2048,1,2048,0.25200348756558894,8,False,512,16,DLMT,False,False,False,False,False,17,8,64,35,0.2520281695772682,3.725087589711226e-05,0.25201582857142857,11,1,True,16,1
32,64,64,128,0.2087391213996685,1,False,32,1,DLMT,False,False,False,False,False,21,32,1,35,0.2088991643146172,0.00024154185000972893,0.20881914285714284,30,1,True,28,1
33,256,2048,512,inf,1,False,1,32,DLMT,False,True,True,True,True,10,32,512,1,inf,inf,inf,12,1,False,15,1
34,256,256,2048,0.12358669161907686,8,False,64,32,DLMT,False,False,False,False,True,12,1,256,35,0.12366982266663744,0.0001254640171197962,0.12362825714285715,1,3,True,1,8
35,512,256,256,0.25356552011463684,1,False,1,16,DLMT,True,True,False,True,False,26,1,32,35,0.2536949370282203,0.00019532011610456657,0.2536302285714286,3,1,True,2,32
36,256,1,256,0.0959597050586095,1,False,512,1,DLMT,True,True,False,False,True,30,1,16,35,0.09599470065567621,5.2816466510870384e-05,0.09597720285714285,17,1,True,29,8
37,1,128,1024,0.11441011358125618,1,False,64,64,DLMT,True,False,False,False,True,24,8,128,35,0.1145434864187438,0.00020129052209608543,0.11447679999999999,1,29,True,27,8
38,2048,2048,2048,0.1453656364301051,1,False,128,128,DLMT,False,True,True,False,True,29,1,32,35,0.14538916356989487,3.5507906564191816e-05,0.1453774,12,3,True,1,1
39,256,128,1,inf,1,False,16,64,DLMT,False,False,True,False,False,5,1,1,1,inf,inf,inf,18,30,False,1,32
40,512,512,1,0.08954552608642123,1,False,128,512,DLMT,False,True,True,True,False,22,8,1,35,0.08972470819929305,0.00027042733535299776,0.08963511714285714,1,17,True,18,8
41,1,1024,1,0.1732049806674835,1,False,512,256,DLMT,True,False,True,False,False,17,1,16,35,0.17324461933251648,5.98239321437742e-05,0.17322479999999998,2,29,True,1,1
42,256,1,1024,0.26807411923432345,1,False,1,256,DLMT,False,True,True,True,True,3,8,256,35,0.26824102362281943,0.00025189740379927695,0.26815757142857144,27,30,True,1,1
43,2048,64,256,0.1532810122614317,8,False,1,512,DLMT,False,False,False,False,True,3,1,1,35,0.15332601630999687,6.79215393686269e-05,0.1533035142857143,1,10,True,13,1
44,2048,2048,1,0.09992073528099903,8,False,16,1,DLMT,True,True,True,True,True,4,1,1,35,0.10008628757614384,0.00024985678157288336,0.10000351142857143,1,29,True,6,8
45,256,1,1,0.10414851309028218,8,False,32,16,DLMT,True,False,True,False,False,2,8,64,35,0.10421154405257498,9.51283300792851e-05,0.10418002857142858,1,5,True,30,1
46,2048,256,512,0.18450667712476732,1,False,32,1,DLMT,True,False,False,True,False,16,1,512,35,0.18464738001808984,0.00021235327515578377,0.18457702857142858,10,1,True,1,1
47,2048,2048,64,inf,1,False,512,256,DLMT,False,False,False,True,False,29,32,32,1,inf,inf,inf,1,24,False,2,1
48,512,512,1,0.18865017980038787,8,False,64,1,DLMT,True,True,False,True,True,14,8,64,35,0.18883524877104066,0.00027931196807549365,0.18874271428571426,1,25,True,10,1
49,2048,512,1,0.14024782440522918,1,False,1,32,DLMT,False,True,False,True,False,16,1,1,35,0.1403646898804851,0.00017637708676212236,0.14030625714285713,1,19,True,23,1
50,1,1,1,0.17741574857120884,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,0.17763082285736265,0.0003245969431621351,0.17752328571428574,1,1,True,1,1
51,512,128,1024,0.27788849889215606,1,False,64,64,DLMT,False,True,True,False,True,17,1,512,35,0.2780633296792726,0.00026386017633030657,0.27797591428571433,24,1,True,26,32
52,256,256,1,0.23612880264483752,1,False,128,16,DLMT,False,False,True,False,False,25,1,512,35,0.23624748306944823,0.00017911626596904616,0.23618814285714287,1,30,True,8,32
