id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,512,1024,512,inf,32,False,32,1,SIMA,True,False,False,True,True,30,1,256,1,1,1,22,19,inf,False,inf,inf
2,256,512,1,0.13039043566444647,1,False,512,128,SIMA,False,False,True,False,True,9,1,128,35,1,1,6,15,6.629854555612375e-05,True,0.13041239999999998,0.1304343643355535
3,1,256,1,0.1639661475602842,1,False,1,1,SIMA,True,False,True,False,False,24,8,512,35,1,30,27,1,4.1640600281896884e-05,True,0.16397994285714282,0.16399373815400145
4,1024,512,512,0.09163811837148259,1,False,512,1,SIMA,False,False,True,True,False,6,8,32,35,8,12,1,18,3.706302343471785e-05,True,0.09165039714285712,0.09166267591423166
5,2048,2048,64,inf,1,False,32,1,SIMA,True,True,True,True,False,1,32,16,1,1,6,28,1,inf,False,inf,inf
6,512,512,2048,0.11091179743245161,8,False,16,64,SIMA,False,True,False,True,True,10,1,16,35,8,23,22,1,7.477940347230323e-05,True,0.11093657142857144,0.11096134542469127
7,1,1,2048,0.1470044160583332,1,False,64,16,SIMA,True,True,False,False,False,24,32,16,35,1,6,1,15,5.919965526650903e-05,True,0.1470240285714286,0.147043641084524
8,2048,64,256,0.3008463762490715,8,False,64,16,SIMA,False,True,False,False,True,8,8,128,35,1,11,8,1,0.0001906661019924064,True,0.30090954285714283,0.30097270946521415
9,128,64,2048,0.1289326046375507,1,False,1,16,SIMA,True,True,True,False,False,10,1,128,35,8,15,3,1,3.801864204383218e-05,True,0.1289452,0.1289577953624493
10,1,256,64,0.12882491046307037,8,False,64,64,SIMA,True,True,True,True,False,6,8,32,35,1,1,11,2,3.468074805586203e-05,True,0.1288364,0.1288478895369296
11,1024,128,1024,0.08956948517916423,8,False,128,1,SIMA,True,False,True,True,False,20,1,512,35,8,27,11,1,3.0772694761056706e-05,True,0.08957968000000001,0.08958987482083579
12,2048,1024,128,0.2987160451355911,8,False,128,16,SIMA,False,False,False,False,True,7,8,1,35,1,11,20,1,3.151450589224969e-05,True,0.2987264857142857,0.2987369262929804
13,1024,256,1,0.11202176274522917,1,False,16,512,SIMA,False,True,True,True,True,30,1,64,35,8,20,1,9,3.064205460154501e-05,True,0.11203191428571428,0.1120420658261994
14,512,512,1,0.15985548722780868,1,False,1,256,SIMA,True,True,True,True,True,30,1,64,35,1,19,1,10,3.5182091919564404e-05,True,0.15986714285714285,0.15987879848647701
15,512,128,1,0.10988102285145968,1,False,16,512,SIMA,False,False,False,True,True,29,8,128,35,8,20,1,10,4.089588572690128e-05,True,0.10989457142857142,0.10990812000568317
16,512,128,1,0.16694923874289377,8,False,16,512,SIMA,False,False,True,True,True,29,8,256,35,1,21,1,10,5.4042915675358815e-05,True,0.16696714285714284,0.1669850469713919
17,512,256,1,0.175971881886016,1,False,16,512,SIMA,False,True,False,True,False,28,8,256,35,1,21,1,9,5.236033706880773e-05,True,0.1759892285714286,0.17600657525684119
18,256,256,1,0.11956178007504556,8,False,1,256,SIMA,False,False,False,False,True,28,1,64,35,8,20,1,11,9.656473349573475e-05,True,0.11959377142857142,0.11962576278209727
19,256,256,1,0.23853306881342093,1,False,1,256,SIMA,False,True,True,False,False,28,1,128,35,32,21,1,10,0.0003883979066338397,True,0.23866174285714287,0.2387904169008648
20,1024,128,1,inf,1,False,1,512,SIMA,False,False,False,True,True,28,32,64,1,1,21,1,9,inf,False,inf,inf
21,256,128,1,0.10834250043287372,1,False,1,256,SIMA,False,False,False,True,True,30,1,256,35,8,19,1,9,6.446444994043224e-05,True,0.10836385714285714,0.10838521385284056
22,256,128,1,0.28842289510404645,1,False,16,256,SIMA,False,False,False,True,False,30,1,256,35,32,19,1,9,0.0011485401466955517,True,0.28880340000000004,0.28918390489595364
