id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1024,64,256,0.28907377402381496,1,False,64,256,RS,False,True,True,False,True,8,1,64,35,0.28918799740475654,0.00017238955411319614,0.28913088571428575,20,1,True,18,32
2,1,256,1,0.14558196704494789,1,False,256,512,RS,False,True,True,True,True,19,8,1,35,0.14573557581219496,0.00023183122995764317,0.14565877142857142,1,7,True,23,1
3,512,128,64,0.11044315198262833,8,False,16,128,RS,True,False,False,True,True,12,1,1,35,0.11055010516022884,0.00016141713233806617,0.11049662857142858,29,1,True,14,8
4,512,128,2048,0.18023672835196536,32,False,128,128,RS,True,True,False,True,False,11,1,512,35,0.18028481450517758,7.257314958589232e-05,0.18026077142857147,1,21,True,20,1
5,1,64,256,0.09261441108203025,8,False,16,32,RS,True,False,True,False,True,25,1,256,35,0.0926342060608269,2.9875210664443024e-05,0.09262430857142857,29,22,True,1,8
6,512,1,512,0.1483974990013913,8,False,512,1,RS,True,True,True,True,True,9,1,32,35,0.14843752957003722,6.041540552284415e-05,0.14841751428571426,1,12,True,8,1
7,256,1,256,0.16443792072173716,32,False,256,1,RS,True,True,True,False,False,7,1,128,35,0.16455436499254852,0.00017574139163752366,0.16449614285714284,29,1,True,1,1
8,2048,512,256,0.21331026886944948,1,False,1,32,RS,False,True,True,True,True,29,1,128,35,0.21334533113055054,5.291707798865146e-05,0.2133278,3,25,True,1,1
9,512,256,1024,0.11744321050496552,1,False,128,128,RS,True,True,False,True,False,20,1,256,35,0.1175277037807488,0.00012751993521622866,0.11748545714285716,1,29,True,27,8
10,1,1,64,inf,32,False,16,1,RS,False,True,True,False,False,9,1,1,1,inf,inf,inf,17,1,False,25,1
11,64,1024,512,inf,32,False,128,32,RS,True,False,True,True,True,26,1,256,1,inf,inf,inf,30,2,False,1,1
12,256,64,1,0.11961941429036722,8,False,32,16,RS,True,True,False,False,False,19,1,128,35,0.11977332856677562,0.00023229231408652655,0.11969637142857142,1,3,True,29,8
13,256,1,256,0.29141901725830693,1,False,512,16,RS,False,False,True,False,True,14,1,1,35,0.29151429702740733,0.00014379925349639972,0.29146665714285713,17,21,True,1,32
14,256,2048,512,0.2066441432836805,8,False,512,256,RS,False,True,False,False,False,9,1,1,35,0.2067363138591767,0.0001391067597647393,0.2066902285714286,20,1,True,13,1
15,512,1,512,0.09296372411407142,8,False,128,256,RS,False,False,True,False,True,2,1,512,35,0.09299064160021428,4.0624724953542695e-05,0.09297718285714285,22,27,True,1,8
16,1,64,256,0.0885356653631781,8,False,16,256,RS,False,False,True,False,False,28,1,32,35,0.08858357463682194,7.2306197323803e-05,0.08855962000000002,23,1,True,27,8
17,1,1,1,0.20820474386382823,1,False,256,1,RS,False,True,False,True,True,3,1,512,35,0.20826674185045743,9.356933040177766e-05,0.20823574285714283,19,20,True,1,1
18,256,2048,128,0.36703390013393694,1,False,16,16,RS,True,False,True,False,True,17,32,16,35,0.36707484272320595,6.179185601183843e-05,0.36705437142857145,8,1,True,21,1
19,1,1,128,inf,1,False,1,128,RS,False,True,False,False,True,16,32,1,1,inf,inf,inf,1,21,False,22,1
20,1024,1024,1024,0.24807650645682403,8,False,128,512,RS,True,True,True,True,False,15,1,64,35,0.24820720782889025,0.0001972586616395767,0.24814185714285714,23,30,True,1,1
