id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,512,2048,256,0.21205750290434833,8,False,128,512,DLMT,False,True,False,True,False,24,1,1,35,0.2120915828099374,5.143447585153716e-05,0.21207454285714286,17,1,True,26,1
2,1024,2048,1,0.2926720774675224,1,False,128,1,DLMT,True,False,True,True,False,30,1,64,35,0.29294935110390613,0.0004184701779050925,0.29281071428571426,23,1,True,11,32
3,1,1,1,0.17492796926561394,8,False,32,512,DLMT,True,False,False,True,False,15,8,128,35,0.1750753450201003,0.0002224241691462681,0.17500165714285712,29,27,True,1,1
4,2048,2048,512,0.10023437248061756,1,False,64,32,DLMT,True,True,True,False,True,11,1,32,35,0.10028202751938245,7.192249797028555e-05,0.1002582,1,1,True,12,8
5,256,2048,1,0.09862045963984156,1,False,64,1,DLMT,True,True,True,True,True,1,8,512,35,0.09865282036015843,4.883982683951952e-05,0.09863664,26,2,True,1,8
6,1,2048,256,0.14897692872050847,8,False,1,256,DLMT,True,False,False,False,True,24,8,1,35,0.14900969985092008,4.9459230788641163e-05,0.14899331428571427,18,20,True,1,1
7,512,1,512,0.13994026965114167,1,False,64,32,DLMT,False,True,True,True,False,14,8,32,35,0.14000378749171546,9.58631422435989e-05,0.13997202857142857,1,16,True,30,1
8,2048,512,1024,inf,32,False,64,512,DLMT,False,False,False,False,True,20,1,512,1,inf,inf,inf,29,14,False,1,1
9,128,2048,128,inf,1,False,128,1,DLMT,False,True,False,True,True,26,32,1,1,inf,inf,inf,30,3,False,1,1
10,1,1,2048,0.13759493811718523,1,False,128,256,DLMT,True,True,False,False,True,30,8,1,35,0.13767929045424335,0.0001273072260161155,0.1376371142857143,1,3,True,17,1
11,1024,2048,128,0.24309900454766217,32,False,1,64,DLMT,True,False,False,False,False,17,1,128,35,0.24447808116662348,0.0020813462311392466,0.24378854285714283,30,29,True,1,1
12,1,64,512,0.09391173453274339,8,False,1,256,DLMT,True,True,True,True,True,30,1,32,35,0.09397630546725659,9.745250506198884e-05,0.09394401999999999,12,16,True,1,8
13,2048,128,2048,0.13496475220049942,8,False,64,16,DLMT,True,False,False,False,False,25,1,1,35,0.13499907637092917,5.1803128106639444e-05,0.1349819142857143,30,1,True,4,8
14,1,128,1,0.2289706192173624,1,False,16,512,DLMT,False,True,True,True,False,30,1,32,35,0.22906400935406618,0.00014094736027094377,0.22901731428571429,30,1,True,8,1
15,1,512,2048,inf,32,False,64,32,DLMT,True,False,False,True,True,13,1,16,1,inf,inf,inf,7,1,False,27,1
16,1,1,256,0.3149847228164023,1,False,128,256,DLMT,False,False,False,True,True,2,1,1,35,0.31535722004074057,0.0005621846410319671,0.3151709714285714,20,1,True,30,32
17,256,1,1,0.2296766931628099,1,False,512,64,DLMT,True,True,False,True,True,26,1,128,35,0.22981867826576155,0.00021428842664949932,0.22974768571428572,21,1,True,15,1
18,2048,256,128,0.11746901417747589,1,False,1,512,DLMT,True,True,False,False,False,26,8,16,35,0.11750201439395262,4.980497475357334e-05,0.11748551428571426,15,1,True,27,8
19,2048,2048,1,inf,1,False,512,1,DLMT,False,True,False,True,False,28,32,1,1,inf,inf,inf,1,28,False,23,1
20,1024,1,256,0.2588032620378485,1,False,512,1,DLMT,True,False,True,True,True,2,1,1,35,0.25914753796215145,0.0005195921587443094,0.25897539999999997,30,15,True,1,32
21,512,1024,1,inf,1,False,256,512,DLMT,True,False,False,False,False,2,1,1,1,inf,inf,inf,1,1,False,2,32
22,64,2048,128,0.2755268424542879,1,False,32,1,DLMT,False,True,True,False,True,13,1,1,35,0.2755914432599977,9.749758762060467e-05,0.2755591428571428,25,30,True,1,32
23,512,1,1,0.10845112476881999,8,False,32,512,DLMT,False,False,True,False,True,18,1,512,35,0.10853384665975141,0.00012484650494074134,0.1084924857142857,1,11,True,23,1
24,256,1,2048,0.1112824897596511,1,False,16,16,DLMT,False,False,True,False,True,25,8,16,35,0.11139436738320604,0.00016884926256690533,0.11133842857142857,25,1,True,30,8
25,1024,128,512,0.31112989560386173,1,False,1,128,DLMT,True,False,True,True,False,23,1,512,35,0.3113431901104239,0.00032191084327870783,0.3112365428571428,11,30,True,1,1
26,2048,64,2048,0.2880730996957745,1,False,16,16,DLMT,False,True,False,False,False,1,8,512,35,0.2882013574470827,0.00019357067158523852,0.2881372285714286,1,30,True,13,1
27,1,2048,1,0.124524916785598,8,False,1,16,DLMT,False,True,False,True,True,1,1,64,35,0.12466519750011636,0.00021171610949667456,0.12459505714285718,1,14,True,19,8
28,2048,1,256,inf,32,False,512,512,DLMT,False,True,True,False,True,18,1,64,1,inf,inf,inf,15,1,False,1,1
29,256,1024,2048,0.09406666034363392,8,False,32,64,DLMT,False,True,True,False,False,1,1,1,35,0.09409391679922322,4.1136308407388265e-05,0.09408028857142857,13,28,True,1,8
30,512,1024,1,0.09322708110360654,1,False,512,128,DLMT,False,True,False,False,True,16,8,512,35,0.09330709032496488,0.00012075245786994462,0.09326708571428571,12,11,True,1,8
