id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
1,True,35,True,1,1,1,1,1,1,1,RSL,1,1,1,1,0.17827320313232098,0.1784248540105361,0.00022887632165046091,1,0.17834902857142854,1
2,True,35,False,32,32,64,32,27,1,23,RSL,10,512,64,64,0.23988164432289652,0.23994584139138922,9.688825459028036e-05,1,0.23991374285714287,1
3,True,35,False,1,16,16,1,30,25,1,RSL,19,2048,1,256,0.12068318908584849,0.1208632109141515,0.0002716946605500889,8,0.1207732,8
4,True,35,False,1,1,16,32,18,1,24,RSL,8,128,64,1024,0.29731567160812283,0.29764267124902016,0.0004935182431547277,32,0.2974791714285715,1
5,True,35,False,1,128,64,64,18,14,1,RSL,11,128,2048,1,0.11801797758493944,0.11804385098648908,3.904895932659234e-05,8,0.11803091428571426,1
6,True,35,False,8,16,1,512,5,1,30,RSL,21,512,1024,256,0.2263618761917954,0.22639823809391882,5.4878537494644054e-05,1,0.2263800571428571,8
7,True,35,False,1,16,256,1,14,20,1,RSL,21,512,1,2048,0.2018331688082745,0.20185985976315407,4.028283677666475e-05,1,0.2018465142857143,1
8,True,35,False,1,1,16,64,25,1,28,RSL,1,64,512,1024,0.13353511998779508,0.13355665144077636,3.249595265222073e-05,8,0.13354588571428572,1
9,True,35,False,1,64,128,64,30,1,18,RSL,16,512,1,1,0.12110363094151581,0.12123482620134131,0.0001980040527311484,8,0.12116922857142856,8
10,True,35,False,1,32,128,16,1,20,3,RSL,3,1,128,128,0.14278565243163083,0.14295080471122634,0.0002492530654019011,1,0.14286822857142858,32
11,True,35,False,8,16,1,1,21,13,1,RSL,3,1,128,512,0.19306427964179607,0.19307732035820402,1.9681463360225728e-05,1,0.19307080000000004,8
12,True,35,False,1,32,16,16,7,18,1,RSL,8,256,64,2048,0.3006276565568722,0.30126960058598495,0.0009688423161017444,32,0.30094862857142857,1
13,True,35,False,1,32,32,64,1,17,1,RSL,3,128,64,128,0.22753143864738498,0.22755896135261497,4.153814082090064e-05,1,0.22754519999999998,1
14,True,35,False,1,64,1,32,12,18,1,RSL,10,256,512,256,0.24707916907227087,0.2471064880705862,4.123069987575812e-05,1,0.24709282857142853,8
15,True,35,False,1,1,1,256,25,1,19,RSL,21,256,64,1024,0.11648930932471845,0.11658777638956726,0.0001486096214645482,8,0.11653854285714285,8
16,True,35,False,1,1,64,32,1,14,4,RSL,15,2048,256,2048,0.13572633563658956,0.13580966436341044,0.00012576236093748839,1,0.135768,32
17,True,35,False,1,64,1,512,13,18,1,RSL,21,1,256,64,0.11680363170693187,0.11683185400735385,4.259399210293919e-05,8,0.11681774285714286,1
18,True,35,False,8,512,128,32,1,24,4,RSL,15,1,2048,2048,0.12196970532503078,0.12212366610354063,0.0002323624965348709,8,0.1220466857142857,1
19,True,35,False,8,64,512,16,2,6,1,RSL,24,512,2048,64,0.25933811098761556,0.25935771758381293,2.9590897662788743e-05,1,0.25934791428571424,8
20,True,35,False,8,32,32,64,27,1,16,RSL,30,1,64,512,0.1302112820453514,0.1302603750975058,7.409279344724757e-05,1,0.1302358285714286,1
21,True,35,False,1,512,128,64,7,9,1,RSL,29,2048,256,2048,0.3218117489630425,0.32251053675124325,0.0010546327226062355,32,0.32216114285714287,1
22,True,35,False,1,32,256,128,1,18,25,RSL,4,1024,512,1024,0.1735492191738684,0.17360918082613158,9.049602990502523e-05,1,0.1735792,32
23,True,35,False,1,16,256,256,1,11,16,RSL,12,256,2048,64,0.1495094611936873,0.1495675673777413,8.769569835632738e-05,1,0.1495385142857143,32
24,True,35,False,8,64,64,1,6,27,1,RSL,13,512,64,256,0.2245116119875105,0.22454118801248954,4.463707619713149e-05,1,0.22452640000000001,8
25,True,35,False,1,32,64,128,1,16,28,RSL,26,2048,1024,256,0.28386856493356827,0.2840136064950032,0.00021890133086178306,32,0.2839410857142857,1
26,True,35,False,8,128,1,512,1,21,19,RSL,10,1024,256,1,0.1161205209869616,0.11632062187018127,0.0003019986079167791,8,0.11622057142857144,1
27,True,35,False,1,128,1,32,19,20,1,RSL,18,2048,512,1,0.11924872315886793,0.11929881969827492,7.560728827842183e-05,8,0.11927377142857143,1
28,True,35,False,32,1,64,512,1,18,12,RSL,19,1,1024,512,0.13665144629165502,0.1366771251369164,3.875532879752103e-05,1,0.1366642857142857,1
29,True,35,False,1,16,1,1,17,1,6,RSL,13,1024,2048,2048,0.14621458230822706,0.14632330340605862,0.00016408533369772658,1,0.14626894285714284,32
30,True,35,False,32,128,256,32,24,1,10,RSL,21,1,512,1024,0.16516833323257976,0.1652004667674202,4.849695130329435e-05,1,0.16518439999999998,1
31,True,35,False,1,512,128,32,11,16,1,RSL,4,512,512,1024,0.21644003349963784,0.21648699507179078,7.087589613586106e-05,1,0.2164635142857143,32
32,True,35,False,8,32,64,64,12,12,1,RSL,1,1,128,2048,0.11542210975142225,0.11546109024857773,5.8830604280425785e-05,8,0.11544159999999999,1
33,True,35,False,8,16,512,64,25,1,6,RSL,27,512,1024,512,0.20562205926732194,0.20589828358982096,0.0004168865200654072,1,0.20576017142857145,1
34,True,35,False,1,128,256,1,12,15,1,RSL,27,256,2048,128,0.22053957942414315,0.22056653486157113,4.06820022383659e-05,1,0.22055305714285714,8
35,True,35,False,1,512,512,1,29,2,1,RSL,4,64,1,1,0.31377202311091373,0.3137952911748006,3.5116900983623186e-05,1,0.31378365714285716,1
36,True,35,False,8,16,64,16,1,21,8,RSL,14,2048,1024,128,0.12204189646467078,0.12207524639247208,5.033277019101945e-05,8,0.12205857142857143,1
37,True,35,False,1,16,1,128,1,29,4,RSL,26,256,512,1,0.12977805939212758,0.12979668346501524,2.8108042280039007e-05,1,0.1297873714285714,8
38,True,35,False,1,32,256,1,1,3,4,RSL,30,64,256,512,0.1250385434167459,0.12508334229753984,6.761189365241235e-05,8,0.12506094285714286,1
39,True,35,False,1,1,64,1,1,29,16,RSL,13,128,128,2048,0.14685617017072183,0.14710548697213538,0.0003762768346929304,1,0.1469808285714286,1
40,True,35,False,1,128,16,128,1,29,3,RSL,16,512,256,1,0.14264791130846594,0.14280420297724833,0.0002358803501604929,1,0.14272605714285713,8
41,True,35,False,1,512,16,16,1,20,26,RSL,12,2048,512,2048,0.13887344909663152,0.1390470080462256,0.0002619406787493571,8,0.13896022857142856,1
42,True,35,False,1,64,32,64,25,1,20,RSL,17,2048,128,128,0.17125498869931055,0.1713222684435466,0.0001015407267241739,1,0.17128862857142857,1
43,True,35,False,8,16,1,1,20,1,27,RSL,11,2048,64,256,0.42124279445898555,0.42138611982672874,0.0002163111968381455,1,0.42131445714285715,1
44,True,35,False,1,64,128,128,12,1,5,RSL,14,256,128,128,0.13052709599269388,0.13055781829302046,4.636707135589204e-05,8,0.13054245714285717,1
45,True,35,False,1,128,16,128,1,4,3,RSL,11,1024,1024,2048,0.1512868587161406,0.15131416985528803,4.121883857001636e-05,1,0.1513005142857143,32
46,True,35,False,8,16,512,1,23,1,23,RSL,27,128,1024,1024,0.4220105237841768,0.42203033335868034,2.9897238968827872e-05,1,0.4220204285714286,1
47,True,35,False,8,64,32,512,1,24,23,RSL,24,1024,128,64,0.15388579048347015,0.15394460951652986,8.877155271498258e-05,1,0.1539152,8
48,True,35,False,1,256,64,1,1,22,28,RSL,26,2048,2048,1,0.2088437346995359,0.20919117958617842,0.0005243748573495954,1,0.20901745714285716,8
49,True,35,False,8,128,16,128,1,23,12,RSL,14,2048,64,128,0.11650386761279645,0.11663664667291783,0.00020039437443731455,1,0.11657025714285714,1
50,True,35,False,8,64,64,64,1,9,18,RSL,21,128,1,2048,0.11338197816200804,0.11344276469513484,9.174096630164266e-05,8,0.11341237142857144,1
51,True,35,False,32,16,32,16,18,1,5,RSL,9,1024,512,512,0.1831946752968481,0.18333172470315187,0.0002068393165168161,1,0.1832632,1
52,True,35,False,8,32,1,512,16,1,25,RSL,20,512,256,256,0.12457845385294866,0.12460046043276565,3.321302916209986e-05,8,0.12458945714285716,1
53,True,35,False,1,1,256,1,22,1,18,RSL,28,1,256,1024,0.25698315403953326,0.2573004459604668,0.00047886704387991403,32,0.25714180000000003,1
