id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,2048,2048,512,inf,32,False,512,512,DLMT,False,True,True,True,True,6,1,1,1,1,30,18,1,inf,False,inf,inf
2,512,256,2048,0.19538216097142758,32,False,16,512,DLMT,True,True,False,False,False,17,1,32,35,1,1,26,30,0.00012051137976581593,True,0.19542208571428568,0.1954620104571438
3,1,512,2048,0.15627571513422037,1,False,512,32,DLMT,True,True,False,False,False,25,32,1,35,1,29,1,6,2.7336094103151728e-05,True,0.15628477142857145,0.15629382772292252
4,2048,512,64,inf,32,False,1,32,DLMT,True,True,False,True,True,2,1,1,1,1,6,22,1,inf,False,inf,inf
5,512,512,1,inf,1,False,16,256,DLMT,False,False,False,False,True,30,1,1,1,32,26,30,1,inf,False,inf,inf
6,256,512,1,0.10988590279705698,1,False,32,1,DLMT,True,False,True,True,True,15,1,1,35,8,1,12,25,0.00017519180392719556,True,0.10994394285714286,0.11000198291722874
7,2048,1,1024,0.16575356556738569,1,False,16,1,DLMT,True,False,True,True,False,1,8,64,35,1,24,17,1,6.513026194027207e-05,True,0.16577514285714287,0.16579672014690006
8,2048,1,1,0.14902025700221913,1,False,512,32,DLMT,True,False,False,True,True,1,8,128,35,1,1,25,19,7.339220889529427e-05,True,0.14904457142857144,0.14906888585492375
9,512,1,1024,0.10548514670527301,8,False,256,128,DLMT,True,True,True,True,False,19,8,1,35,1,25,1,13,4.4230435545803066e-05,True,0.10549980000000002,0.10551445329472703
10,512,1,2048,inf,1,False,1,1,DLMT,False,True,False,True,True,6,32,16,1,1,18,1,10,inf,False,inf,inf
11,2048,2048,256,inf,1,False,1,32,DLMT,True,True,True,True,True,13,32,64,1,1,30,1,6,inf,False,inf,inf
12,1,1024,1,0.28806541334507724,1,False,256,512,DLMT,True,True,True,False,False,6,1,512,35,32,1,28,13,0.0002388495453337146,True,0.28814454285714286,0.2882236723692085
13,256,512,2048,0.24348988254706175,1,False,512,256,DLMT,True,False,True,False,True,1,1,64,35,32,29,14,1,0.0002895233323930911,True,0.24358580000000002,0.2436817174529383
14,512,128,512,0.10681861156587673,1,False,128,1,DLMT,True,False,True,False,False,16,8,1,35,1,1,30,14,3.8946389107204305e-05,True,0.10683151428571429,0.10684441700555185
15,2048,512,2048,0.22426782577557097,8,False,128,64,DLMT,False,False,False,False,False,18,8,32,35,1,1,2,1,5.528944247303972e-05,True,0.2242861428571428,0.22430445993871462
16,1,512,128,0.10733633941746044,1,False,128,256,DLMT,False,False,False,True,True,27,8,32,35,8,13,1,17,0.00013040800651518817,True,0.10737954285714285,0.10742274629682526
17,2048,1,2048,0.12816098947085428,8,False,512,512,DLMT,True,False,False,True,False,25,1,32,35,8,15,30,1,5.350170701072193e-05,True,0.12817871428571428,0.1281964391005743
18,256,64,512,0.09320615995465015,1,False,1,128,DLMT,True,True,True,True,False,29,1,512,35,8,1,6,29,5.572959760288535e-05,True,0.09322462285714288,0.09324308575963561
19,128,2048,2048,0.11276849264973854,8,False,1,1,DLMT,False,False,False,False,False,3,1,128,35,8,1,11,22,0.00015340325409634253,True,0.11281931428571428,0.11287013592169001
20,128,512,1024,0.23606211066246932,1,False,128,32,DLMT,True,False,True,True,False,6,1,512,35,32,11,1,22,0.0003858568159939376,True,0.23618994285714287,0.23631777505181642
21,2048,256,256,inf,1,False,64,512,DLMT,True,False,True,True,True,2,32,1,1,1,2,1,29,inf,False,inf,inf
