id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,128,512,64,0.21261604249082366,1,False,16,128,DLMT,False,False,False,True,False,30,1,64,35,0.21281355750917635,0.0002980959385356144,0.2127148,4,1,True,4,1
2,1,1024,1,0.2950557922885821,1,False,16,1,DLMT,True,True,False,True,False,3,1,512,35,0.2997894648542751,0.00714420897185051,0.2974226285714286,13,1,True,28,32
3,1024,2048,1,0.13219168424322825,1,False,32,512,DLMT,False,True,True,False,True,20,1,32,35,0.13240443004248603,0.0003210827167886951,0.13229805714285714,29,8,True,1,1
4,2048,1,128,0.2809587693105896,1,False,512,32,DLMT,False,False,True,True,False,4,1,64,35,0.2814035735465532,0.0006713126793599165,0.2811811714285714,27,1,True,23,32
5,2048,64,128,inf,32,False,1,256,DLMT,True,True,True,True,True,26,1,1,1,inf,inf,inf,24,1,False,11,1
6,2048,2048,512,0.11866891046760283,1,False,512,512,DLMT,True,True,True,False,False,25,1,128,35,0.11870257524668287,5.080795374018997e-05,0.11868574285714285,1,24,True,3,1
7,1,2048,128,0.26400612326520007,32,False,256,16,DLMT,False,True,True,True,False,10,1,32,35,0.2640454767347999,5.9393506138535616e-05,0.2640258,27,1,True,3,1
8,64,1,1,0.30814561361156784,1,False,512,16,DLMT,True,False,False,False,True,7,8,32,35,0.30816855781700353,3.462812352374213e-05,0.3081570857142857,2,1,True,7,1
9,512,256,512,inf,1,False,1,512,DLMT,True,True,True,True,True,1,32,1,1,inf,inf,inf,3,1,False,29,1
10,64,2048,2048,0.22372761409883157,8,False,16,16,DLMT,True,False,False,True,False,8,8,16,35,0.22379884304402559,0.00010750098623183311,0.22376322857142858,27,29,True,1,1
11,2048,256,64,0.29052808718058165,1,False,16,128,DLMT,False,False,False,False,True,11,1,32,35,0.2906111128194181,0.0001253049309256624,0.2905695999999999,8,30,True,1,32
12,256,512,2048,0.230562160238043,1,False,64,1,DLMT,False,True,False,False,True,19,32,32,35,0.23059481119052844,4.927785444574052e-05,0.2305784857142857,28,1,True,30,1
13,1024,1024,2048,0.24517267094185705,1,False,16,16,DLMT,True,True,False,True,False,30,1,512,35,0.24529967191528582,0.00019167390249577343,0.24523617142857143,26,28,True,1,32
14,1024,256,2048,inf,32,False,16,16,DLMT,False,True,False,False,True,30,1,512,1,inf,inf,inf,1,9,False,23,1
15,2048,64,128,0.22826794216286406,1,False,1,16,DLMT,True,True,False,False,False,11,32,64,35,0.22838091497999308,0.00017050216349097185,0.22832442857142857,3,1,True,9,1
16,64,2048,2048,0.1935384769625801,1,False,32,1,DLMT,False,True,True,False,True,11,1,256,35,0.19364763732313425,0.00016474828294915216,0.19359305714285718,4,30,True,1,1
17,2048,1024,1024,inf,1,False,64,512,DLMT,True,False,True,True,True,22,32,512,1,inf,inf,inf,22,1,False,1,1
18,2048,2048,1,0.18796811595177126,32,False,64,32,DLMT,True,False,True,False,False,4,1,256,35,0.18809839833394304,0.00019662630878425686,0.18803325714285715,1,30,True,29,1
19,128,128,512,0.36979870950041493,1,False,1,16,DLMT,True,False,True,True,True,5,1,512,35,0.36985620478529935,8.677370992814443e-05,0.36982745714285714,29,1,True,26,1
20,2048,2048,1,0.1131108386393007,1,False,256,64,DLMT,False,False,False,True,True,15,8,512,35,0.1131283613606993,2.644584763517451e-05,0.1131196,10,1,True,17,8
21,1,128,1024,0.11076187645901094,32,False,64,512,DLMT,False,True,True,True,False,1,1,64,35,0.11078320925527478,3.219613362514424e-05,0.11077254285714286,1,4,True,2,1
22,2048,1,2048,0.1516688268914047,1,False,128,16,DLMT,False,False,True,False,False,30,32,32,35,0.15177271596573816,0.00015679269037522568,0.15172077142857143,1,28,True,8,1
23,2048,2048,1,0.20327921969762797,1,False,16,128,DLMT,True,False,False,True,False,29,1,1,35,0.20330735173094344,4.2457758118978175e-05,0.2032932857142857,10,1,True,28,1
24,64,1,64,inf,1,False,512,1,DLMT,True,True,False,True,True,28,32,1,1,inf,inf,inf,23,30,False,1,1
25,1,1,1,inf,32,False,512,256,DLMT,True,False,False,True,True,20,1,256,1,inf,inf,inf,1,28,False,29,1
26,1,1024,2048,0.32386036992486283,1,False,512,512,DLMT,False,False,False,False,False,23,1,64,35,0.32444911578942287,0.0008885539566495353,0.32415474285714285,28,1,True,27,32
27,1,128,1,0.18608272399406214,1,False,32,256,DLMT,False,False,False,False,False,28,32,256,35,0.18612796172022364,6.827421301827713e-05,0.1861053428571429,29,26,True,1,1
28,128,2048,128,0.2265238829337239,1,False,32,1,DLMT,True,False,True,False,True,29,1,64,35,0.22662428849484748,0.0001515352616066757,0.2265740857142857,9,1,True,2,32
29,2048,1,512,0.20464546306693016,32,False,32,256,DLMT,True,False,False,False,False,3,1,512,35,0.2046843083616413,5.862655245757933e-05,0.20466488571428573,27,1,True,2,1
30,1,1,1,0.17755769561534757,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,35,0.1777745900989382,0.00032734404294103303,0.17766614285714288,1,1,True,1,1
31,1024,2048,2048,inf,1,False,128,512,DLMT,True,True,False,True,True,27,32,512,1,inf,inf,inf,1,7,False,13,1
32,2048,1,2048,0.19927642073810126,8,False,512,512,DLMT,True,False,False,False,False,30,1,1,35,0.1994169506904701,0.00021209226717614906,0.19934668571428568,9,1,True,18,1
33,1,2048,2048,0.16781374570767785,1,False,16,512,DLMT,True,False,True,False,False,25,32,1,35,0.16787785429232213,9.67547119561326e-05,0.1678458,28,1,True,20,1
34,2048,256,64,0.2902609209466873,1,False,16,512,DLMT,True,True,False,True,False,26,1,64,35,0.2905666790533127,0.00046145984502601363,0.2904138,9,1,True,16,32
35,2048,2048,1,0.16440923422037493,1,False,1,512,DLMT,False,True,True,False,False,26,1,32,35,0.16442613720819652,2.5510526038783965e-05,0.16441768571428572,23,1,True,20,1
36,1024,2048,1024,inf,1,False,512,512,DLMT,True,False,False,True,True,7,32,1,1,inf,inf,inf,27,27,False,1,1
37,1,2048,2048,0.1948321660590616,1,False,128,512,DLMT,False,False,True,True,False,16,1,16,35,0.19485560536950983,3.5375351732584735e-05,0.1948438857142857,8,1,True,11,32
38,2048,1024,1024,inf,32,False,64,512,DLMT,True,False,True,False,True,29,1,512,1,inf,inf,inf,1,25,False,18,1
39,1,2048,256,0.09667246664886865,1,False,16,512,DLMT,True,True,False,True,True,26,1,1,35,0.09670003620827418,4.160885463063763e-05,0.09668625142857142,1,1,True,27,8
40,512,64,1024,0.2276434500150159,1,False,64,512,DLMT,False,False,True,True,True,8,1,512,35,0.22778466427069843,0.00021312503946974647,0.22771405714285717,6,1,True,27,1
41,1,1024,128,inf,1,False,512,512,DLMT,False,True,False,True,False,14,32,64,1,inf,inf,inf,1,29,False,29,1
42,1,256,1,0.23937624525946183,1,False,128,512,DLMT,True,True,True,False,False,15,1,256,35,0.2395367833119667,0.00024228912733444935,0.23945651428571427,1,29,True,6,32
43,512,512,512,0.2811481527617127,1,False,256,512,DLMT,False,True,True,True,True,24,1,512,35,0.2813764186668587,0.0003445061534949983,0.2812622857142857,26,1,True,30,32
44,1,256,2048,0.20228965291132914,32,False,32,512,DLMT,True,True,False,True,False,27,1,256,35,0.20232720423152797,5.66736450284992e-05,0.20230842857142856,3,1,True,2,1
45,1,512,256,inf,32,False,128,512,DLMT,True,True,True,False,True,1,1,1,1,inf,inf,inf,12,1,False,28,1
46,512,256,256,0.18989634916998738,1,False,32,512,DLMT,True,False,False,False,True,30,32,256,35,0.1899574794014412,9.225968673217078e-05,0.1899269142857143,1,20,True,30,1
47,1024,2048,2048,0.20778235515824092,1,False,512,512,DLMT,True,True,True,False,True,12,1,32,35,0.20786295912747335,0.00012165007025002734,0.20782265714285714,1,2,True,28,32
48,512,1,2048,0.16861212916880686,1,False,128,512,DLMT,True,True,False,False,False,5,1,512,35,0.16887998511690738,0.00040425670365373107,0.16874605714285712,29,1,True,30,1
49,512,1,256,0.16599132450891385,32,False,1,512,DLMT,False,False,True,True,False,12,1,32,35,0.16607661834822907,0.00012872817112355653,0.16603397142857146,1,29,True,24,1
50,1,1,2048,0.19303959028495327,1,False,1,512,DLMT,False,True,False,False,True,19,1,32,35,0.19309412400076104,8.23040158218793e-05,0.19306685714285715,17,28,True,1,1
51,2048,1,1,inf,32,False,512,512,DLMT,False,True,True,True,True,21,1,128,1,inf,inf,inf,30,1,False,9,1
52,1,1,128,0.08896730917023113,1,False,512,512,DLMT,True,True,True,True,False,28,8,1,35,0.08904233654405458,0.00011323369535286304,0.08900482285714285,26,30,True,1,8
53,1,1,1,0.2396028377037864,1,False,512,512,DLMT,False,True,False,False,True,23,32,512,35,0.23964093372478498,5.749572477451525e-05,0.2396218857142857,2,1,True,3,1
54,1,64,64,0.2693492982085667,1,False,32,512,DLMT,True,False,False,False,True,4,1,1,35,0.2693946446485762,6.843828741043788e-05,0.26937197142857144,29,6,True,1,32
55,1,2048,128,0.22738990157130284,32,False,256,512,DLMT,False,False,False,False,False,27,1,16,35,0.22746821271441142,0.00011818966424647419,0.22742905714285713,1,11,True,6,1
56,1024,64,1024,inf,1,False,64,512,DLMT,True,True,True,True,False,6,32,1,1,inf,inf,inf,4,1,False,5,1
57,2048,2048,2048,0.21228806776985287,1,False,1,512,DLMT,False,True,False,False,False,19,32,512,35,0.2128971322301471,0.0009192194266255015,0.2125926,24,29,True,1,1
58,1024,1,2048,0.21663038537164359,1,False,64,512,DLMT,False,True,True,False,True,28,1,1,35,0.21669984319978497,0.00010482796012748608,0.21666511428571428,7,27,True,1,32
