id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,16,64,1,inf,1,False,32,8,DLMT,False,True,False,True,True,16,64,2048,1,1,12,1,9,inf,False,inf,inf
2,2048,128,2048,0.3214703091656811,1,False,32,2,DLMT,False,False,True,False,True,28,1,1,35,32,19,28,1,0.00016525477176722295,True,0.3215250571428572,0.32157980512003326
3,1,64,32,0.16400703397032101,1,False,16,1,DLMT,True,False,True,False,False,14,16,16,35,1,10,1,22,4.18109838122325e-05,True,0.1640208857142857,0.16403473745825037
4,2048,1024,2048,0.14433410461540153,1,False,8,2048,DLMT,True,True,False,False,False,16,1,16,35,1,1,19,11,4.573735132386495e-05,True,0.14434925714285715,0.14436440967031278
5,512,1,1,0.3694357535909583,16,False,2048,8,DLMT,False,False,True,True,False,22,2,32,35,1,29,12,1,7.542918830916591e-05,True,0.36946074285714287,0.3694857321233274
6,1,1,1024,inf,4,False,4,2048,DLMT,False,False,True,True,False,7,16,2,1,2,1,10,30,inf,False,inf,inf
7,1,1024,2048,0.25564738719496266,1,False,16,2048,DLMT,False,False,False,False,True,29,16,16,35,1,18,7,1,4.652298970862434e-05,True,0.25566279999999997,0.2556782128050373
8,1,64,64,0.14766517378733837,1,False,1,2,DLMT,False,False,False,True,False,5,2,1,35,4,1,13,19,6.450175760934001e-05,True,0.14768654285714283,0.1477079119269473
9,2048,128,256,0.21404457714615768,8,False,32,16,DLMT,True,False,False,True,False,29,2,32,35,1,12,18,1,5.310769958397657e-05,True,0.21406217142857148,0.21407976571098528
10,1024,512,1,0.21277167071652633,8,False,1,8,DLMT,False,False,False,True,True,30,8,1,35,1,5,1,9,5.0841699099726856e-05,True,0.21278851428571433,0.21280535785490232
11,2048,2048,256,0.20429255960047332,1,False,512,2048,DLMT,True,False,True,True,True,18,1,8,35,64,1,18,8,3.849955207796819e-05,True,0.20430531428571427,0.20431806897095522
12,16,128,1,0.1411042049103862,16,False,64,16,DLMT,True,False,False,False,False,28,1,1,35,4,1,23,17,9.209143637201874e-05,True,0.1411347142857143,0.14116522366104242
13,1024,2048,2048,0.16643666059380288,4,False,8,1,DLMT,False,True,True,False,False,20,4,8,35,1,26,1,1,2.4654742475445297e-05,True,0.16644482857142853,0.16645299654905418
14,32,32,1,0.13033765333761171,4,False,4,16,DLMT,False,True,True,False,True,14,1,8,35,4,1,8,7,3.675049909420796e-05,True,0.1303498285714286,0.13036200380524549
15,64,1,256,0.36878327247400366,1,False,16,8,DLMT,False,True,True,False,True,30,1,4,35,64,11,1,18,3.100077681712415e-05,True,0.36879354285714283,0.368803813240282
16,256,32,16,0.26723373928194816,8,False,4,128,DLMT,True,False,False,False,True,13,4,1,35,1,29,12,1,5.874146746549806e-05,True,0.2672532,0.2672726607180519
17,2048,16,256,inf,1,False,2,2048,DLMT,False,True,True,True,True,30,4,64,1,8,1,27,16,inf,False,inf,inf
18,1024,1,1,inf,32,False,32,64,DLMT,False,True,False,False,True,2,1,1,1,1,26,1,16,inf,False,inf,inf
19,2048,1,1,0.10013092045773295,1,False,64,1,DLMT,True,False,False,False,False,25,4,2048,35,4,1,1,4,4.888047897156578e-05,True,0.10014711428571428,0.10016330811369561
20,1,2,1024,0.27233489715971726,4,False,1,8,DLMT,True,False,True,False,True,28,1,8,35,16,30,1,30,6.585419888058474e-05,True,0.27235671428571434,0.2723785314117114
21,512,2048,2048,0.3007217524211368,4,False,32,8,DLMT,True,True,True,True,True,1,8,2,35,8,30,14,1,0.00025472945231666875,True,0.30080614285714286,0.3008905332931489
22,2048,8,2048,0.32922729681016427,1,False,2,128,DLMT,True,True,False,False,True,4,1,2,35,32,1,1,3,5.895590881051653e-05,True,0.3292468285714286,0.32926636033269296
23,128,1,2048,0.10674369524381011,16,False,1,16,DLMT,True,True,True,True,False,2,2,1024,35,1,14,1,16,0.000226614724740885,True,0.10681877142857141,0.1068938476133327
24,2048,2048,1024,0.38035930873556084,1,False,1024,8,DLMT,False,False,False,False,True,20,64,2,35,1,16,1,21,5.719507614029392e-05,True,0.3803782571428572,0.3803972055501536
25,256,16,1024,0.4515880087130189,1,False,4,2,DLMT,True,True,True,False,False,30,32,1024,35,1,30,20,1,4.128352935394367e-05,True,0.45160168571428577,0.45161536271555264
26,256,1,64,0.15983475570870323,1,False,256,1,DLMT,True,False,True,False,True,2,1,1,35,1,1,16,24,0.00017261732123931376,True,0.15989194285714287,0.1599491300055825
27,64,2048,1024,0.192948941934349,4,False,2048,1,DLMT,False,True,True,False,True,1,16,32,35,1,13,21,1,2.8290100669993678e-05,True,0.19295831428571428,0.19296768663707956
28,32,1024,128,inf,64,False,256,1,DLMT,False,False,False,True,True,5,1,2,1,1,1,2,2,inf,False,inf,inf
29,256,2048,1,0.1735122253913747,1,False,1,1,DLMT,True,False,False,False,False,30,64,16,35,1,8,16,1,4.157815360429976e-05,True,0.17352599999999999,0.17353977460862527
30,16,2048,1,0.2646765271452257,2,False,32,2,DLMT,True,False,True,False,True,16,1,2048,35,32,1,30,1,0.00021591068826281725,True,0.26474805714285715,0.2648195871404886
31,1,1,1024,0.16841808042541806,1,False,1,256,DLMT,True,True,True,True,False,19,1,2,35,1,3,30,1,2.6492201393881037e-05,True,0.16842685714285713,0.1684356338602962
32,1,128,2048,0.12218444393848507,4,False,2,2048,DLMT,True,False,True,False,False,3,1,2048,35,2,1,2,15,2.6084884981341793e-05,True,0.12219308571428572,0.12220172749008637
33,2048,1024,1,inf,1,False,2,4,DLMT,True,False,True,True,True,3,16,64,1,4,26,1,18,inf,False,inf,inf
34,1024,2048,1,0.2032240822741973,4,False,2048,16,DLMT,True,True,True,True,True,15,1,2048,35,2,23,13,1,0.0003073762116856215,True,0.2033259142857143,0.20342774629723132
35,2048,64,16,0.3012793932500513,2,False,4,64,DLMT,False,True,True,False,False,4,32,16,35,1,1,30,30,0.00022959608543914476,True,0.3013554571428571,0.3014315210356629
36,64,2048,2048,0.1525725800285046,1,False,1,64,DLMT,False,False,False,True,True,15,16,1024,35,2,1,14,30,0.000297249576989452,True,0.15267105714285714,0.15276953425720968
