id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.1203623859505606,8,64,512,512,17,27,1,DLMT,8,1,2048,1,0.12024384262086794,0.000178909357964717,8,0.12030311428571427,1
2,True,35,0.20050059786998708,1,16,1,32,22,10,1,DLMT,29,64,1,2048,0.20047940213001292,3.198928391999751e-05,32,0.20049,1
3,True,35,0.2650580210208053,8,512,32,16,7,26,1,DLMT,3,64,64,1,0.26503729326490894,3.1282987487170095e-05,1,0.2650476571428571,8
4,True,35,0.33361481911351165,1,128,256,16,1,26,30,DLMT,21,1,256,128,0.33310060945791686,0.0007760615428993695,32,0.33335771428571426,1
5,True,35,0.11818339784669016,1,128,512,256,25,2,1,DLMT,3,2048,1,1024,0.1181373450104527,6.950440303186644e-05,8,0.11816037142857143,8
6,True,35,0.4290128922928862,1,256,64,64,11,1,1,DLMT,30,2048,2048,1,0.4289585934213995,8.194958131407301e-05,1,0.42898574285714286,1
7,True,35,0.18142313756204995,1,64,1,512,1,6,5,DLMT,5,1,1,64,0.18140297672366426,3.0427377575508645e-05,1,0.1814130571428571,1
8,True,35,0.2583010840927694,1,1,16,1,1,10,1,DLMT,4,2048,256,2048,0.2581568016215162,0.00021775568785186057,32,0.2582289428571428,1
9,False,1,inf,32,256,16,1,1,5,23,DLMT,4,1,2048,256,inf,inf,1,inf,1
10,True,35,0.14505692778963528,32,1,64,512,1,28,9,DLMT,19,1024,64,1024,0.14481210078179327,0.0003695006956443164,1,0.14493451428571427,1
11,True,35,0.2773350578602369,1,64,1,256,1,16,19,DLMT,3,2048,2048,2048,0.2772122564254775,0.000185335825363756,32,0.2772736571428572,1
12,True,35,0.20989351387065636,1,1,256,1,2,5,1,DLMT,28,64,2048,1024,0.20986054327220077,4.976027429545779e-05,1,0.20987702857142856,32
13,True,35,0.414063444494268,32,16,1,512,30,1,22,DLMT,26,512,1024,128,0.4138823840771605,0.00027326213175824903,1,0.41397291428571426,1
14,True,35,0.1586922741331468,1,1,64,512,26,1,23,DLMT,6,1,512,1024,0.15861732586685323,0.00011311430375635801,1,0.1586548,1
15,True,35,0.19624523975532882,1,1,512,512,13,24,1,DLMT,25,1,2048,2048,0.19613870310181403,0.0001607885009595408,1,0.19619197142857142,32
16,True,35,0.21406780671110623,1,1,16,1,30,28,1,DLMT,8,512,1024,64,0.21404350757460802,3.667302851426538e-05,1,0.21405565714285713,8
17,True,35,0.29491728477082707,1,512,32,512,18,7,1,DLMT,25,2048,1024,1,0.2943872295148871,0.0007999762261773633,32,0.2946522571428571,1
18,True,35,0.28333929295778626,1,1,32,128,15,1,30,DLMT,4,256,2048,1,0.28293596418507083,0.0006087165930153756,1,0.28313762857142855,32
19,True,35,0.20248196938833218,1,512,16,1,22,22,1,DLMT,20,256,256,2048,0.20246351632595355,2.784994778876049e-05,1,0.20247274285714287,1
20,False,1,inf,1,64,1,512,1,30,30,DLMT,25,2048,1,256,inf,inf,1,inf,32
21,True,35,0.17065914738056132,1,1,256,1,1,5,23,DLMT,15,512,1,64,0.17061656690515298,6.42638057906174e-05,1,0.17063785714285715,1
22,True,35,0.2052644134856977,1,512,512,256,10,30,1,DLMT,10,2048,512,2048,0.20522981508573088,5.221700403320874e-05,1,0.2052471142857143,1
23,True,35,0.19462012189572805,1,512,64,512,6,1,29,DLMT,30,512,1,1024,0.19377696381855772,0.0012725209477446645,1,0.1941985428571429,32
24,True,35,0.17891845007794469,1,1,1,1,1,1,1,DLMT,1,1,1,1,0.1787377784934839,0.0002726752931789111,1,0.1788281142857143,1
25,True,35,0.21585595323604098,8,1,512,128,27,16,1,DLMT,11,1024,1,512,0.2158323324782447,3.5649197832803006e-05,1,0.21584414285714285,1
26,True,35,0.199191919858874,32,1,512,256,30,28,1,DLMT,26,512,512,256,0.19907722299826894,0.0001731041446585238,1,0.19913457142857147,1
27,True,35,0.14800289915347986,32,256,1,32,23,1,10,DLMT,16,1024,1,2048,0.14795521513223442,7.196623925033785e-05,1,0.14797905714285714,1
28,True,35,0.2790132381178583,1,512,64,16,13,1,7,DLMT,29,256,1024,1,0.2787669333107131,0.0003717310372858712,32,0.2788900857142857,1
29,True,35,0.17814149898498421,1,64,512,16,27,1,20,DLMT,24,1,512,64,0.17805444387215857,0.00013138634104139556,1,0.1780979714285714,1
30,True,35,0.18099496585494287,1,512,16,1,9,29,1,DLMT,2,1,128,1,0.18096200557362854,4.9744703338184484e-05,1,0.1809784857142857,1
31,True,35,0.1987253270260236,1,16,512,512,7,3,1,DLMT,28,512,1,1,0.19868615868826214,5.9114099288526846e-05,1,0.19870574285714288,32
32,True,35,0.18868502221983288,32,1,64,512,1,2,26,DLMT,17,1,2048,128,0.18852760635159574,0.0002375770276807776,1,0.1886063142857143,1
33,True,35,0.20772567433754816,1,512,512,256,9,23,1,DLMT,14,2048,1,2048,0.2077003256624518,3.8257025498591346e-05,1,0.20771299999999998,1
34,True,35,0.1221161599900911,1,512,512,512,1,2,24,DLMT,1,1024,2048,2048,0.12208418286705178,4.826088964563033e-05,8,0.12210017142857144,8
35,True,35,0.14200595595398582,1,1,1,1,4,1,13,DLMT,28,512,2048,64,0.14188958690315703,0.00017562786725090643,1,0.14194777142857143,32
36,True,35,0.25879136270325465,8,128,256,16,29,23,1,DLMT,4,2048,2048,1,0.2587554372967453,5.4219764451191385e-05,1,0.2587734,8
37,True,35,0.28016392994969197,1,64,128,32,1,29,29,DLMT,19,256,1024,1,0.2800416129074509,0.00018460476479136237,32,0.28010277142857143,1
38,False,1,inf,32,512,512,1,1,19,28,DLMT,28,1,2048,512,inf,inf,1,inf,1
39,True,35,0.11443074057154318,8,512,1,256,2,2,1,DLMT,3,1,1,1,0.1143737737141711,8.597619034431781e-05,8,0.11440225714285714,1
40,True,35,0.20703955616825423,32,64,64,128,27,1,30,DLMT,1,1024,256,1,0.2068455295460315,0.00029283114030904017,1,0.20694254285714286,1
41,True,35,0.2205129390492108,1,32,1,16,26,28,1,DLMT,28,512,128,2048,0.22046803237936066,6.777457231928011e-05,1,0.22049048571428573,32
42,True,35,0.26688024691075696,1,256,1,512,29,1,23,DLMT,21,1024,1,256,0.2666918673749573,0.00028430837813464837,32,0.26678605714285714,1
43,True,35,0.25549122428510346,1,1,32,128,1,29,29,DLMT,14,1024,64,64,0.25443489000061087,0.0015942532500534971,1,0.25496305714285716,1
44,True,35,0.1167467378405842,1,32,1,512,19,9,1,DLMT,10,1,2048,2048,0.11658166215941576,0.0002491374606230747,8,0.11666419999999998,1
45,True,35,0.22186947204851704,1,32,256,16,1,2,18,DLMT,23,2048,2048,2048,0.22177841366576873,0.00013742820314771007,1,0.22182394285714288,1
46,True,35,0.3119863730650247,1,1,512,1,9,17,1,DLMT,5,1,1,2048,0.3112629983635468,0.0010917400729746876,32,0.31162468571428575,1
47,True,35,0.22973375386518705,1,16,512,64,28,1,30,DLMT,11,1,1,2048,0.2294972747062415,0.0003569018569721977,1,0.22961551428571428,8
48,True,35,0.10843732918445971,1,256,512,1,1,30,4,DLMT,5,1,1,1024,0.10838941367268316,7.231561211178524e-05,1,0.10841337142857144,32
49,True,35,0.18209922717878033,1,512,256,128,1,8,28,DLMT,13,1,1024,2048,0.18193340139264827,0.0002502695428565631,1,0.1820163142857143,32
50,True,35,0.1325271190507387,1,512,32,512,9,1,14,DLMT,7,2048,1,512,0.1324818523778327,6.831790036442881e-05,1,0.1325044857142857,1
51,True,35,0.13653467841499095,1,512,128,256,25,1,4,DLMT,4,1,2048,1024,0.1364944072992948,6.077844677051624e-05,1,0.13651454285714287,32
52,True,35,0.4142775281030758,32,16,512,256,29,1,24,DLMT,28,256,1,256,0.41414030046835276,0.00020710830450737177,1,0.41420891428571427,1
53,True,35,0.20202478355952286,32,1,16,512,25,1,29,DLMT,5,2048,1024,256,0.20184944501190571,0.0002646265046037057,1,0.2019371142857143,1
54,True,35,0.2424664999723129,32,512,256,1,4,1,2,DLMT,15,512,256,1,0.24244955717054417,2.557061451218298e-05,1,0.24245802857142854,1
55,True,35,0.24665611474819457,1,32,16,256,1,25,16,DLMT,21,2048,1,1,0.24638794239466258,0.00040473423277957753,1,0.24652202857142858,32
56,True,35,0.21292606777226986,1,256,256,64,28,30,1,DLMT,23,2048,256,1024,0.2127525036563015,0.0002619484760055535,1,0.21283928571428568,32
57,True,35,0.15705031111361542,1,128,1,1,30,1,10,DLMT,21,256,128,1,0.15701500317209885,5.328786667426288e-05,1,0.15703265714285713,1
58,True,35,0.1782476493008049,1,512,16,128,1,30,26,DLMT,29,128,512,1024,0.17801240784205224,0.0003550338805332985,1,0.17813002857142857,1
59,True,35,0.16352062619021387,1,1,32,1,1,7,25,DLMT,25,1024,2048,1,0.16323811666692897,0.00042637234470182096,1,0.16337937142857142,32
60,True,35,0.23122146607461616,1,16,1,16,28,1,27,DLMT,11,1,128,2048,0.23118544821109818,5.435930350502308e-05,1,0.23120345714285717,32
61,True,35,0.21646309872798655,1,16,1,256,18,10,1,DLMT,26,1,512,1,0.21634861555772775,0.00017278163640141458,1,0.21640585714285715,1
62,True,35,0.1975118200078045,1,64,512,512,1,3,29,DLMT,30,1,2048,1024,0.19743052284933835,0.00012269625345643045,1,0.19747117142857143,1
63,True,35,0.2070801993237295,1,1,512,1,27,12,1,DLMT,6,2048,512,128,0.20697334353341335,0.00016127015235565563,1,0.20702677142857143,1
64,True,35,0.14369085603388865,1,16,256,128,5,1,6,DLMT,15,1,1,128,0.14365514396611134,5.3897786861536976e-05,1,0.143673,32
65,True,35,0.2203399118205526,1,16,512,512,24,21,1,DLMT,26,2048,2048,1024,0.22031123103659025,4.328595002293546e-05,1,0.22032557142857143,8
66,True,35,0.1485653557353633,32,1,1,32,1,29,14,DLMT,1,1,512,1,0.14846007283606524,0.00015889629527796203,1,0.14851271428571428,1
67,True,35,0.19067361357349788,32,1,1,256,3,1,3,DLMT,20,1024,64,2048,0.19065438642650218,2.901822087684123e-05,1,0.19066400000000003,1
68,True,35,0.149484053462018,1,512,256,32,1,1,24,DLMT,2,2048,2048,1,0.14930966082369632,0.00026319890825404703,1,0.14939685714285716,8
69,False,1,inf,32,16,1,1,1,8,4,DLMT,28,1,2048,2048,inf,inf,1,inf,1
70,True,35,0.14894967035444154,1,1,256,16,1,24,19,DLMT,9,1,1,1024,0.14889284393127275,8.576424258467425e-05,1,0.14892125714285714,1
