id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.13130647316653632,1,1,32,1,11,1,22,RS,1,1024,64,2048,0.13104426969060656,0.0003957258131379253,8,0.13117537142857144,1
2,True,35,0.12760817421428405,8,16,256,256,1,28,16,RS,15,1024,1,1024,0.12750948292857317,0.00014894802271056662,1,0.1275588285714286,1
3,True,35,0.12202355078330501,1,128,16,32,23,4,1,RS,17,1024,512,128,0.12190033493098065,0.0001859612775141475,8,0.12196194285714283,1
4,True,35,0.1287637382269021,1,16,64,32,4,26,1,RS,19,128,2048,2048,0.12868380463024073,0.00012063832267550233,8,0.12872377142857142,1
5,True,35,0.1352431673400446,1,1,32,32,1,8,16,RS,10,1024,64,1024,0.1351833469456697,9.028283901389018e-05,1,0.13521325714285715,1
6,True,35,0.31448747775514874,1,128,32,256,9,29,1,RS,16,2048,1,2048,0.31383835081627987,0.0009796829916261843,32,0.3141629142857143,1
7,True,35,0.2603579329042967,1,64,32,32,1,6,20,RS,16,1024,64,1,0.2602386956671318,0.0001799566251594435,32,0.26029831428571426,1
8,True,35,0.3337590648597661,1,128,512,256,1,25,21,RS,30,2048,2048,2048,0.3332132779973767,0.0008237188662476074,32,0.3334861714285714,1
9,True,35,0.11162975591179006,8,1,128,512,2,13,1,RS,28,1024,128,256,0.11159744408820998,4.876603033142737e-05,8,0.11161360000000002,1
10,True,35,0.12345243287607195,1,128,128,32,1,6,28,RS,12,256,256,2048,0.12341899569535665,5.046445505987202e-05,8,0.1234357142857143,1
11,True,35,0.1187651442231731,8,32,128,1,14,1,4,RS,23,1,2048,512,0.11867257006254116,0.00013971586326892043,1,0.11871885714285713,8
12,True,35,0.11567157333316716,1,512,512,256,4,7,1,RS,8,1,512,512,0.11563248380968999,5.8995150267645996e-05,8,0.11565202857142858,8
13,True,35,0.31103623616737713,1,64,16,64,6,2,1,RS,24,64,2048,2048,0.31095570668976574,0.00012153764512969774,1,0.31099597142857144,32
14,True,35,0.22121937312212694,1,32,32,1,9,1,23,RS,16,128,256,2048,0.2211401697350159,0.00011953626723163931,1,0.22117977142857143,1
15,True,35,0.12289774064254638,1,256,512,16,1,16,27,RS,2,64,512,1024,0.12285591650031077,6.312232374605722e-05,8,0.12287682857142858,1
16,True,35,0.1696457794351228,1,64,128,256,1,1,23,RS,5,256,256,1,0.16959176342202012,8.152268245771738e-05,1,0.16961877142857146,8
17,True,35,0.13950287199127037,1,128,1,32,13,1,15,RS,29,1024,1024,128,0.13943855658015825,9.706686102993123e-05,1,0.1394707142857143,32
18,True,35,0.21809314448570213,1,16,64,512,1,16,21,RS,20,1,1024,1024,0.21801559837144072,0.00011703505841395878,1,0.21805437142857143,1
19,True,35,0.1190398707797606,8,1,256,16,1,6,29,RS,29,64,1024,512,0.11900607207738224,5.101007503525195e-05,8,0.11902297142857142,1
20,True,35,0.12938593566023895,8,16,64,16,1,20,4,RS,11,256,2048,64,0.1293582929111897,4.1719314765341624e-05,1,0.12937211428571432,1
21,True,35,0.22002963439256784,1,128,32,64,1,11,1,RS,23,2048,512,2048,0.21999402275028934,5.374622150933537e-05,1,0.2200118285714286,32
22,True,35,0.15490755407054593,32,32,128,64,1,21,12,RS,30,1,512,256,0.15485427450088265,8.041121863044202e-05,1,0.1548809142857143,1
23,True,35,0.2097556622119242,8,16,1,256,1,18,22,RS,5,1024,512,2048,0.2095448520737901,0.00031816135554662303,1,0.20965025714285715,1
24,True,35,0.14950424690221623,1,32,32,32,26,1,3,RS,10,1,1,2048,0.1494495245263552,8.258874756581726e-05,1,0.14947688571428572,32
25,True,35,0.136077253293918,32,64,16,64,1,10,10,RS,30,128,1024,512,0.13589000384893912,0.0002826028091776547,1,0.13598362857142857,1
26,True,35,0.12827758671277678,8,16,512,32,29,1,4,RS,9,2048,1024,64,0.12824772757293745,4.506436213566174e-05,8,0.12826265714285712,1
27,True,35,0.22895006866699738,1,1,16,64,7,8,1,RS,29,1,1,1024,0.22892935990443122,3.125432215008573e-05,1,0.2289397142857143,8
28,True,35,0.3042921686589777,1,64,128,16,16,1,15,RS,17,1024,128,1,0.3039691456267367,0.0004875166190783153,32,0.3041306571428572,1
29,True,35,0.16715376624809203,32,1,32,16,2,1,26,RS,28,1,256,2048,0.16711543375190802,5.785262063455158e-05,1,0.16713460000000002,1
30,True,35,0.12907352165782823,8,1,256,16,28,1,18,RS,15,256,256,1,0.12883990691360034,0.0003525787913100175,1,0.12895671428571429,8
31,True,35,0.2767827287650634,1,256,16,64,16,1,17,RS,11,1024,512,2048,0.27655504266350805,0.00034363109550202095,32,0.2766688857142857,1
32,True,35,0.12824939764209153,1,64,128,128,1,23,10,RS,16,2048,256,1024,0.12818665950076558,9.468639537646493e-05,1,0.12821802857142856,8
33,True,35,0.12382900851946012,1,1,512,32,1,22,21,RS,1,1,512,256,0.12361184862339701,0.00032774461187370403,8,0.12372042857142856,8
34,True,35,0.11751410635930129,1,1,256,512,29,10,1,RS,12,1,512,128,0.11748612221212731,4.223456365758864e-05,8,0.1175001142857143,1
35,True,35,0.23798676103938893,32,32,256,32,6,1,23,RS,18,256,256,512,0.2378644389606111,0.00018461236609253933,1,0.23792560000000001,1
36,True,35,0.11271621877205994,8,16,64,128,1,4,24,RS,17,128,256,256,0.11268286694222575,5.033564079947574e-05,8,0.11269954285714284,1
37,True,35,0.13250793198544533,1,128,64,32,26,1,7,RS,5,2048,1,2048,0.13248612515741184,3.2911557426607365e-05,1,0.1324970285714286,8
38,True,35,0.15830424198955861,8,1,1,16,13,1,2,RS,5,1,1024,1024,0.1581537580104414,0.00022711520047261134,1,0.158229,8
39,True,35,0.12314803484571922,8,32,32,256,2,1,15,RS,9,512,1024,128,0.12306310801142366,0.00012817427549223351,1,0.12310557142857144,8
40,True,35,0.12172934680810488,8,64,512,32,1,30,17,RS,30,1,1024,1,0.12169505319189514,5.175701470746316e-05,8,0.1217122,1
41,True,35,0.12314086222126831,1,16,1,1,1,14,7,RS,26,128,512,2048,0.12311513777873172,3.8824145653373626e-05,8,0.12312800000000002,1
42,True,35,0.1285022722911816,1,128,64,256,22,1,10,RS,28,512,128,256,0.12839069913738982,0.00016838974713080066,1,0.1284464857142857,8
43,True,35,0.11873833014250403,1,1,16,256,3,1,10,RS,29,1024,1,64,0.11860841271463883,0.00019607550815427973,8,0.11867337142857143,8
44,True,35,0.22694128759597582,8,16,512,256,12,2,1,RS,14,1,512,64,0.2269088838325956,4.890478879769423e-05,1,0.2269250857142857,8
45,True,35,0.12624156431074926,8,1,256,128,1,18,24,RS,22,1024,256,1024,0.1259734071178222,0.00040471135191312064,1,0.12610748571428573,8
46,True,35,0.13466256520432873,1,64,16,32,23,1,11,RS,12,1024,1024,2048,0.13452817765281405,0.0002028219607318256,8,0.1345953714285714,1
47,True,35,0.15847338856391188,32,1,128,1,7,1,10,RS,7,1024,512,128,0.15843398286465957,5.947233278884364e-05,1,0.15845368571428572,1
48,True,35,0.12755646098693801,8,128,128,64,16,1,16,RS,3,512,2048,512,0.12752211044163342,5.184293390538761e-05,1,0.12753928571428572,1
49,True,35,0.18043118144842668,32,64,64,128,24,1,14,RS,15,2048,256,2048,0.18023544712300182,0.00029540846021626857,1,0.18033331428571425,1
50,True,35,0.2101636596692059,8,32,16,256,1,25,24,RS,11,1024,2048,1,0.2099585117593656,0.00030961574078004555,1,0.21006108571428575,1
51,True,35,0.12180315185859689,1,512,1,1,15,1,20,RS,28,256,64,2048,0.1217562195699746,7.083170050138921e-05,1,0.12177968571428574,8
52,True,35,0.12530109860968416,8,32,512,256,21,1,26,RS,22,512,1024,64,0.1252115871046016,0.00013509360624759217,8,0.12525634285714288,1
53,True,35,0.16291201026974775,8,16,64,16,1,6,10,RS,1,256,256,1024,0.16280370401596653,0.00016345923788204498,1,0.16285785714285714,1
54,True,35,0.18084828408365822,8,256,512,1,24,1,28,RS,7,512,2048,256,0.18034023020205603,0.0007667710532898757,1,0.18059425714285712,8
55,True,35,0.20641421680665223,32,32,16,128,1,2,20,RS,24,512,1024,512,0.20636841176477638,6.913042391164846e-05,1,0.2063913142857143,1
56,True,35,0.41604969937934644,32,16,16,32,1,29,29,RS,15,256,256,1024,0.4160089863349392,6.144541961641278e-05,1,0.4160293428571428,1
57,True,35,0.1772059545958146,32,32,512,16,1,3,11,RS,6,1,1,256,0.17700084540418534,0.000309557306026341,1,0.17710339999999997,1
58,True,35,0.2600686098344209,1,256,128,32,1,11,16,RS,21,1,512,1024,0.2599458473084363,0.00018527710300508652,32,0.2600072285714286,1
59,True,35,0.1942153656241078,32,128,1,128,1,13,24,RS,3,2048,1,2048,0.19414789151874945,0.00010183406270266614,1,0.19418162857142862,1
60,True,35,0.14271527313160978,1,32,64,1,1,7,3,RS,12,512,1,64,0.14267855543981875,5.541550656040829e-05,1,0.14269691428571427,32
61,True,35,0.26745192594934825,1,128,32,1,17,1,30,RS,9,1,1,512,0.2672019026220804,0.00037734314595063237,32,0.2673269142857143,1
62,True,35,0.13447115011842595,1,1,512,128,30,1,10,RS,27,1024,1024,64,0.134445649881574,3.848576731356958e-05,1,0.13445839999999998,8
63,True,35,0.12789474960706423,1,128,128,1,1,23,26,RS,9,256,512,256,0.12786222182150722,4.909196700571069e-05,8,0.12787848571428573,1
64,True,35,0.12317474850993827,8,128,1,32,1,5,13,RS,9,1024,64,1,0.12314113720434743,5.0727249852036546e-05,1,0.12315794285714285,1
