id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,16,2048,16,0.2383843209441792,4,False,2048,8,DLMT,True,False,True,False,False,24,8,1,35,0.23843602191296362,7.802874404960821e-05,0.2384101714285714,1,19,True,13,1
2,1,1,1024,inf,2,False,1,128,DLMT,True,False,True,True,False,1,32,1,1,inf,inf,inf,14,2,False,1,2
3,512,1024,128,0.5214977805772206,1,False,4,4,DLMT,False,False,True,False,True,24,64,2,35,0.5215478194227795,7.552021489073652e-05,0.5215228000000001,26,1,True,20,1
4,64,1,2048,0.12011404107173478,4,False,1024,1,DLMT,True,True,False,True,False,23,8,512,35,0.12019818749969384,0.0001269964614644437,0.12015611428571431,25,1,True,30,8
5,256,8,16,0.2353950483315739,4,False,2,128,DLMT,False,False,True,False,True,29,16,4,35,0.23541615166842608,3.184982619374024e-05,0.2354056,7,8,True,1,4
6,1,2048,32,0.2524798386126064,2,False,1,2,DLMT,False,False,False,True,True,1,2,1,35,0.25260404710167933,0.00018745939641992397,0.2525419428571429,1,1,True,30,32
7,1,256,2048,0.33402246546893394,8,False,256,128,DLMT,False,False,False,False,True,28,2,1024,35,0.334201477388209,0.00027017047377158254,0.33411197142857146,10,1,True,30,1
8,16,1,16,0.3323519836379141,1,False,32,2,DLMT,False,True,True,False,True,24,4,16,35,0.3324897306478003,0.00020789216199849648,0.3324208571428572,1,8,True,10,1
9,1,1,32,0.34396249561996634,4,False,256,128,DLMT,False,True,False,False,True,15,2,4,35,0.34399384723717646,4.731685638289323e-05,0.3439781714285714,28,1,True,2,16
10,1,128,256,0.20872133805486517,16,False,32,4,DLMT,False,False,True,True,False,9,4,256,35,0.208914319087992,0.0002912531040388165,0.20881782857142858,24,1,True,6,4
11,4,4,1,0.38560520739362336,1,False,2,1,DLMT,False,False,False,False,True,14,1,2048,35,0.3864304497492338,0.0012454819717847478,0.3860178285714286,18,10,True,1,64
12,2048,16,512,inf,2,False,4,1,DLMT,True,False,True,True,True,7,8,2,1,inf,inf,inf,22,2,False,1,1
13,1024,1024,32,0.30673466073872313,64,False,512,8,DLMT,True,True,True,False,False,12,1,4,35,0.3067588249755625,3.6469433664876964e-05,0.3067467428571428,1,6,True,7,1
14,512,64,1024,0.17329162185773625,1,False,1,256,DLMT,True,False,True,False,False,29,4,8,35,0.17331329242797802,3.270591283994225e-05,0.17330245714285714,16,15,True,1,16
15,2048,8,1,0.1526256090032292,16,False,8,2048,DLMT,False,False,False,True,False,15,2,1,35,0.15264896242534226,3.524572632943987e-05,0.15263728571428573,2,1,True,8,2
16,512,32,2048,0.1382895679504834,2,False,2,1,DLMT,False,True,True,False,False,6,4,2048,35,0.1383535177638023,9.651508922950637e-05,0.13832154285714285,1,27,True,2,1
17,2048,64,2048,0.1328181646644018,1,False,8,256,DLMT,False,False,True,False,False,28,1,16,35,0.1328716639070268,8.074275604077939e-05,0.1328449142857143,26,1,True,1,2
18,2048,64,1,0.14376042883294124,1,False,32,128,DLMT,False,True,True,False,True,6,64,128,35,0.1437963140242016,5.41590703203023e-05,0.14377837142857142,16,6,True,1,1
19,512,4,2,0.2112522830449771,16,False,1,512,DLMT,True,True,True,False,True,5,4,2,35,0.21170480266930866,0.0006829569885163089,0.21147854285714288,14,1,True,27,4
20,64,1,16,0.39132514457848777,1,False,2,4,DLMT,True,False,False,False,True,6,64,8,35,0.39138085542151224,8.408057360141416e-05,0.391353,1,3,True,9,1
21,1,64,1,0.228020605872543,1,False,8,1024,DLMT,True,True,False,False,True,30,1,2,35,0.22812345127031416,0.0001552175405614947,0.22807202857142858,23,1,True,6,32
22,16,256,2048,inf,64,False,8,1,DLMT,False,False,True,True,True,24,1,32,1,inf,inf,inf,5,1,False,17,1
23,16,2048,8,0.2542212664137937,64,False,16,16,DLMT,True,False,False,True,False,30,1,8,35,0.2542495907290635,4.274795615116167e-05,0.2542354285714286,25,24,True,1,1
24,1,512,2048,0.11448004657612482,1,False,1,2048,DLMT,True,True,True,True,True,26,1,2048,35,0.11449543913816093,2.323094347403611e-05,0.11448774285714287,1,5,True,19,4
25,2048,512,4,0.3314143459988887,1,False,256,16,DLMT,True,True,True,True,True,23,1,1,35,0.33148679685825416,0.0001093451379059591,0.3314505714285714,2,1,True,1,32
26,1,2048,512,0.1773734369155251,32,False,8,1024,DLMT,False,False,True,False,False,24,1,256,35,0.17746433451304633,0.00013718554097666893,0.1774188857142857,1,30,True,18,1
27,1,2048,2048,0.15426699885807504,1,False,512,2,DLMT,True,False,True,True,True,30,2,64,35,0.15440380114192503,0.00020646635146123236,0.15433540000000004,21,29,True,1,4
28,64,512,1,inf,64,False,128,1,DLMT,False,True,False,True,True,11,1,1,1,inf,inf,inf,1,16,False,8,1
29,1,1,1,0.3236453542965168,1,False,2048,2,DLMT,False,True,True,True,False,28,2,8,35,0.3236769314177688,4.76571942445759e-05,0.3236611428571428,1,11,True,23,2
30,1,512,1,0.15494986015498488,4,False,4,1,DLMT,False,False,False,False,True,1,1,64,35,0.15506248270215792,0.00016997352494925084,0.1550061714285714,30,1,True,27,2
31,1,4,2048,inf,1,False,1,32,DLMT,False,False,False,True,False,8,8,1024,1,inf,inf,inf,30,20,False,1,1
32,16,1,512,0.16270008538055422,4,False,128,4,DLMT,False,True,False,False,False,30,1,256,35,0.16272682890516013,4.0362176677212686e-05,0.16271345714285718,20,5,True,1,2
33,512,1,1024,0.10911731688816596,4,False,2048,512,DLMT,False,True,True,False,False,15,1,16,35,0.10913394025469116,2.5088512697801556e-05,0.10912562857142856,17,28,True,1,2
34,2,2048,1,inf,4,False,128,1,DLMT,True,False,False,True,True,6,2,2048,1,inf,inf,inf,1,30,False,9,2
35,4,32,2048,0.2826991910334976,2,False,32,4,DLMT,True,False,True,True,True,13,1,2,35,0.28273600896650253,5.556679378395473e-05,0.28271760000000007,1,30,True,24,16
36,1,128,2048,0.18610327822982184,2,False,1,1,DLMT,False,False,False,True,True,21,2,32,35,0.18613129319874958,4.228108082722573e-05,0.1861172857142857,30,1,True,16,2
37,512,1,1024,inf,8,False,2048,4,DLMT,True,False,True,True,True,11,4,128,1,inf,inf,inf,17,8,False,1,2
38,2048,32,1024,0.5512996847599874,8,False,2,2,DLMT,True,False,False,False,False,18,1,2,35,0.5513406580971554,6.183826171751349e-05,0.5513201714285714,13,10,True,1,8
39,128,2048,512,0.5115476278391865,1,False,64,4,DLMT,False,False,False,False,True,30,1,16,35,0.5115784293036706,4.648654841642944e-05,0.5115630285714285,5,1,True,9,64
40,2048,16,256,0.12442765544385967,1,False,1,512,DLMT,True,False,False,False,True,17,4,64,35,0.12449737312756892,0.00010522014240318764,0.1244625142857143,27,1,True,28,2
