id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,1,1,0.17716482790949253,1,True,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.17741431494765034,0.00037653376139383385,0.17728957142857144,1,1,True,1,1
2,1,1,1,0.18124830369814804,1,False,1,1,SIMP,False,False,False,False,False,1,1,2048,35,0.18132672487328055,0.00011835572807155159,0.1812875142857143,1,1,True,1,1
3,1,1,1,0.17059007937006465,1,False,2048,1,SIMP,False,False,False,False,False,1,1,1,35,0.17061454920136399,3.6930646529154e-05,0.17060231428571432,1,1,True,1,1
4,1,1,1,0.19261192869503718,1,False,1,2048,SIMP,False,False,False,False,False,1,1,1,35,0.19263572844782,3.591934275113397e-05,0.1926238285714286,1,1,True,1,1
5,1,1,2048,0.18091206548741007,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.18097084879830416,8.871763968815127e-05,0.18094145714285712,1,1,True,1,1
6,1,2048,1,0.17128030954297677,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.1713059190284518,3.865064880517855e-05,0.17129311428571428,1,1,True,1,1
7,2048,1,1,0.1927150948919776,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.19274433367945096,4.4128106643255263e-05,0.19272971428571428,1,1,True,1,1
8,1,1,1,0.17719313593081423,1,False,1,1,SIMP,False,False,False,True,False,1,1,1,35,0.1773944069263286,0.0003037645785533181,0.17729377142857142,1,1,True,1,1
9,1,1,1,0.17801082143987498,1,False,1,1,SIMP,False,False,False,False,True,1,1,1,35,0.1782252928458393,0.00032368705723338423,0.17811805714285714,1,1,True,1,1
10,1,1,1,0.17798220725272296,1,False,1,1,SIMP,False,False,False,False,False,30,1,1,35,0.17830773560441987,0.0004912977267671098,0.1781449714285714,1,1,True,1,1
11,1,1,1,0.17667428257899834,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.17681886027814445,0.00021820125516390078,0.1767465714285714,1,30,True,1,1
12,1,1,1,0.1686244634746833,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.16865736509674523,4.965617293150977e-05,0.16864091428571426,30,1,True,1,1
13,1,1,1,0.16354148395967993,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.16356708746889148,3.864162923847939e-05,0.1635542857142857,1,1,True,30,1
14,1,1,1,inf,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,1,inf,inf,inf,1,1,False,1,64
15,1,1,1,inf,1,False,1,1,SIMP,False,False,False,False,False,1,64,1,1,inf,inf,inf,1,1,False,1,1
16,1,1,1,inf,64,False,1,1,SIMP,False,False,False,False,False,1,1,1,1,inf,inf,inf,1,1,False,1,1
17,1,1,1,0.16940104345269685,1,False,1,1,SIMP,False,False,True,False,False,1,1,1,35,0.16942278511873177,3.281321286883454e-05,0.1694119142857143,1,1,True,1,1
18,1,1,1,0.17710301866940034,1,False,1,1,SIMP,False,True,False,False,False,1,1,1,35,0.17728920990202832,0.00028100572149015963,0.17719611428571433,1,1,True,1,1
19,1,1,1,0.17639603439388307,1,False,1,1,SIMP,True,False,False,False,False,1,1,1,35,0.1767375084632598,0.0005153635103061739,0.17656677142857144,1,1,True,1,1
20,1,1,1,0.16371597460569795,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.163734025394302,2.7242823432445965e-05,0.16372499999999998,16,1,True,15,1
21,1,1,1,0.1633043812177547,1,False,1,1,SIMP,False,False,True,False,False,1,1,1,35,0.16332396163938812,2.9551394179616996e-05,0.1633141714285714,1,1,True,15,1
22,1,1,1,0.39219593431189786,1,False,64,1,SIMP,False,False,False,False,False,1,1,1,35,0.3923037228309593,0.00016267785620040248,0.3922498285714286,1,1,True,15,1
23,1,64,1,0.39374424733571683,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.3938187240928545,0.00011240268716375378,0.3937814857142857,1,1,True,15,1
24,1,1,1,0.16486525044964637,1,False,1,1,SIMP,True,False,False,False,False,1,1,1,35,0.1648862924074965,3.175719105452223e-05,0.16487577142857143,1,1,True,15,1
25,1,1,1,0.10700655727123837,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.10703464272876162,4.238746445421239e-05,0.1070206,1,16,True,15,1
26,1,1,1,0.16319895984222826,1,False,1,1,SIMP,False,True,False,False,False,1,1,1,35,0.1632289830149145,4.531192571768307e-05,0.16321397142857139,1,1,True,15,1
27,1,1,1,0.16602083972724116,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.166040017415616,2.8943576355470027e-05,0.16603042857142858,1,1,True,15,1
28,1,1,1,0.16327433912587613,1,False,1,1,SIMP,False,False,False,True,False,1,1,1,35,0.16329274658840964,2.778112705431704e-05,0.1632835428571429,1,1,True,15,1
29,1,1,1,0.1625988625744687,1,False,1,1,SIMP,False,False,False,False,True,1,1,1,35,0.16269388028267412,0.00014340374287091426,0.1626463714285714,1,1,True,15,1
30,1,1,1,0.16471547352064578,1,False,1,1,SIMP,False,False,False,False,False,16,1,1,35,0.16473549790792566,3.022144123307341e-05,0.16472548571428572,1,1,True,15,1
31,1,1,64,0.16551906962712792,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.16554115894430066,3.3337899007045365e-05,0.1655301142857143,1,1,True,15,1
32,1,1,1,0.16317026946760535,1,False,1,1,SIMP,False,False,False,False,False,1,1,64,35,0.16321544481810893,6.818007369444504e-05,0.16319285714285714,1,1,True,15,1
33,1,1,1,0.1950197934712699,1,False,1,64,SIMP,False,False,False,False,False,1,1,1,35,0.1950383779573015,2.804829653963752e-05,0.1950290857142857,1,1,True,15,1
34,64,1,1,0.195542824085274,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.19556243305758317,2.9594483766195724e-05,0.19555262857142858,1,1,True,15,1
35,1,1,1,0.11770781526295471,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.11775069902275961,6.472153223382347e-05,0.11772925714285716,1,1,True,15,8
36,1,1,1,0.16442771199441697,1,False,1,1,SIMP,False,False,False,False,False,1,8,1,35,0.16444377371986874,2.4240866152776335e-05,0.16443574285714285,1,1,True,15,1
37,1,1,1,0.16572995011876282,8,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.16575159273838005,3.2663728869707776e-05,0.16574077142857144,1,1,True,15,1
38,1,8,1,0.393678305443556,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.39370478027072975,3.9956649979085855e-05,0.39369154285714286,1,1,True,15,1
39,1,4,1,0.39137644083424167,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.3914088734514726,4.894833594553186e-05,0.39139265714285715,1,1,True,15,1
