id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,4,1,1,inf,16,False,1,4,SIMA,True,False,False,True,True,24,1,2,1,4,1,10,23,inf,False,inf,inf
2,1024,1024,64,0.2834395703040783,1,False,512,1024,SIMA,False,False,False,False,True,14,1,1,35,32,1,30,9,8.693514354777995e-05,True,0.28346837142857145,0.2834971725530646
3,64,4,2,inf,64,False,1,32,SIMA,True,True,False,False,True,16,1,2,1,1,18,1,20,inf,False,inf,inf
4,128,256,1024,0.23720446167130083,16,False,16,32,SIMA,True,True,True,True,False,19,1,16,35,1,17,28,1,0.00019178812714630255,True,0.237268,0.2373315383286992
5,2048,1024,512,0.14139583502735809,4,False,512,512,SIMA,False,False,False,False,True,19,16,32,35,2,8,1,23,4.275645314703103e-05,True,0.14140999999999998,0.14142416497264187
6,256,2048,64,0.2851849362148005,2,False,128,16,SIMA,True,False,True,False,True,17,8,1,35,1,16,30,1,0.0001706926011332399,True,0.2852414857142857,0.2852980352137709
7,8,32,1,inf,8,False,4,2,SIMA,True,False,False,True,False,29,8,8,1,1,30,1,3,inf,False,inf,inf
8,32,4,4,0.2086440125720392,4,False,2,4,SIMA,False,True,True,False,False,2,4,1,35,2,20,1,16,0.0007202536888670079,True,0.20888262857142856,0.2091212445708179
9,1,1024,1,0.1648681080320915,1,False,64,1,SIMA,False,False,True,False,False,14,8,512,35,1,15,7,1,5.728344135141929e-05,True,0.16488708571428573,0.16490606339647995
10,1,1,16,0.09496546471271493,1,False,1,1,SIMA,False,True,True,True,True,6,1,4,35,4,1,30,22,2.9075138969958217e-05,True,0.09497509714285716,0.0949847295729994
11,8,1,1024,0.340109382660503,1,False,256,8,SIMA,False,True,False,True,False,20,4,2,35,8,28,20,1,9.785055660839285e-05,True,0.34014179999999994,0.3401742173394969
12,2048,1024,16,0.3751532570146657,8,False,8,2,SIMA,True,True,True,False,False,22,4,4,35,8,1,3,19,0.00017188032381365356,True,0.3752102,0.3752671429853343
13,2048,128,1,0.1618450957749743,4,False,2,256,SIMA,False,True,True,False,True,9,16,2,35,2,17,1,7,5.067981927387451e-05,True,0.16186188571428572,0.16187867565359715
14,256,2048,16,0.11143228455320811,8,False,256,1,SIMA,False,True,False,False,False,1,4,1,35,8,5,1,19,4.3469379323558255e-05,True,0.11144668571428573,0.11146108687536335
15,128,2048,32,0.24937144994122837,4,False,128,2,SIMA,False,False,False,True,False,1,2,1,35,8,4,1,18,4.659231783923696e-05,True,0.24938688571428572,0.24940232148734306
16,512,2048,8,0.11933693583964011,4,False,128,1,SIMA,True,True,False,True,False,1,4,1,35,4,5,1,20,8.634923867879944e-05,True,0.11936554285714288,0.11939414987464564
17,512,2048,8,0.6816870298931631,4,False,512,2,SIMA,False,True,True,True,False,1,2,2,35,4,6,1,19,6.57122732611173e-05,True,0.6817088,0.6817305701068369
18,128,2048,8,inf,4,False,512,2,SIMA,False,False,False,False,True,1,2,2,1,8,6,1,19,inf,False,inf,inf
19,512,1024,8,0.306474164653173,8,False,512,2,SIMA,False,True,False,False,False,1,4,1,35,4,6,1,20,0.00023718544195955397,True,0.3065527428571428,0.30663132106111257
20,256,2048,32,0.10327286383556473,4,False,256,1,SIMA,False,True,True,True,True,1,2,1,35,4,6,1,18,3.1371818889061597e-05,True,0.10328325714285713,0.10329365045014953
21,512,1024,32,0.13265216038491776,2,False,256,2,SIMA,True,False,True,False,True,2,1,1,35,4,6,1,18,0.00011654602664411514,True,0.1326907714285714,0.13272938247222507
22,512,1024,32,0.11672540410053238,8,False,512,1,SIMA,False,True,True,True,False,1,1,1,35,2,7,1,18,3.215581960849203e-05,True,0.11673605714285713,0.11674671018518189
23,256,1024,16,0.1931454622595844,4,False,256,1,SIMA,False,True,True,True,False,2,2,2,35,4,5,1,17,0.00021602030138911468,True,0.19321702857142856,0.1932885948832727
24,128,2048,32,0.13996526607694373,2,False,512,1,SIMA,False,True,True,True,True,1,1,2,35,2,6,1,19,2.912276618393557e-05,True,0.1399749142857143,0.13998456249448485
25,128,1024,16,0.0928422634938663,2,False,128,1,SIMA,False,True,True,True,True,2,2,1,35,8,5,1,19,3.185580445618936e-05,True,0.09285281714285715,0.09286337079184799
26,64,2048,32,0.09102480002350928,1,False,64,1,SIMA,True,True,True,False,False,1,2,1,35,16,6,1,19,3.3763599527617514e-05,True,0.09103598571428573,0.09104717140506217
27,64,2048,64,0.0882955051109521,2,False,64,1,SIMA,True,True,True,False,False,2,4,1,35,8,5,1,20,0.0001754435449635799,True,0.08835362857142857,0.08841175203190504
28,32,2048,64,0.10816444967149563,4,False,128,1,SIMA,True,True,False,False,True,3,4,1,35,8,5,1,20,0.00012507318347467449,True,0.10820588571428573,0.10824732175707583
29,128,1024,32,0.0930099292157271,2,False,128,1,SIMA,True,True,True,False,True,3,2,1,35,8,5,1,21,3.233011157242963e-05,True,0.09302064,0.09303135078427291
30,32,1024,32,0.18146944154275862,1,False,32,2,SIMA,False,True,True,False,True,1,2,1,35,4,4,1,20,3.592368328008858e-05,True,0.18148134285714287,0.18149324417152712
31,32,2048,64,0.19647466100585645,4,False,64,1,SIMA,False,False,True,False,True,3,4,2,35,8,4,1,20,0.00012020942949192897,True,0.19651448571428573,0.196554310422715
32,32,2048,128,0.12754607939906693,2,False,128,2,SIMA,True,False,True,False,False,2,4,1,35,8,5,1,19,9.617868574604598e-05,True,0.12757794285714286,0.1276098063152188
33,64,1024,32,0.25348883881259654,4,False,64,2,SIMA,True,True,True,False,False,1,2,1,35,8,5,1,20,0.0001720215079101264,True,0.2535458285714286,0.25360281833026066
34,32,2048,64,0.22987601454248566,1,False,32,2,SIMA,True,True,True,False,False,2,4,1,35,8,6,1,19,0.0003319870909710615,True,0.229986,0.23009598545751433
35,64,2048,128,0.09572050217636305,4,False,64,1,SIMA,True,False,True,False,False,1,4,1,35,4,4,1,20,4.387326609167575e-05,True,0.09573503714285715,0.09574957210935126
36,32,2048,32,0.09544381783204929,1,False,64,1,SIMA,True,False,True,True,True,2,4,1,35,16,5,1,21,0.00013087849782082866,True,0.09548717714285715,0.09553053645366501
37,128,2048,32,0.09054863941310877,2,False,128,1,SIMA,True,False,True,False,False,3,2,1,35,16,6,1,19,6.743424649241766e-05,True,0.09057098,0.09059332058689122
38,32,2048,32,0.09666297303630587,4,False,128,1,SIMA,True,False,True,False,False,1,4,1,35,4,6,1,21,0.00010291612888013908,True,0.09669706857142857,0.09673116410655126
39,32,2048,32,0.19483648040126486,2,False,32,2,SIMA,True,True,True,False,False,2,2,1,35,16,5,1,19,3.7013775703605095e-05,True,0.19484874285714285,0.19486100531302084
40,128,2048,32,0.08517737758511623,1,False,32,1,SIMA,True,False,True,False,True,3,4,1,35,16,4,1,19,2.894141809988978e-05,True,0.0851869657142857,0.08519655384345518
