id,correct_result,runs,mean_confidence_interval_sup,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,cost_std,RT_I,cost_mean,RT_J
1,True,35,0.13549759230025915,8,32,32,256,17,1,13,RS,11,1,1024,1,0.13545720769974084,6.0949721668179895e-05,1,0.1354774,8
2,True,35,0.12927749045007253,1,16,32,1,11,1,9,RS,17,512,512,1,0.12925296669278458,3.7012033343833436e-05,8,0.12926522857142855,1
3,True,35,0.11456413893305718,8,256,16,512,1,3,11,RS,29,1,128,2048,0.1145398039240857,3.672716839016055e-05,1,0.11455197142857144,8
4,True,35,0.12182758551464531,1,16,16,64,27,1,5,RS,28,256,256,256,0.12163378591392607,0.0002924885122460673,8,0.12173068571428569,8
5,True,35,0.13256537704464136,32,64,256,256,1,6,7,RS,26,256,1024,64,0.1325423943839301,3.468616144686999e-05,1,0.13255388571428572,1
6,True,35,0.2123862961110853,1,128,64,128,5,20,1,RS,17,256,64,256,0.21235764674605753,4.323853156901744e-05,1,0.21237197142857142,1
7,True,35,0.14927436350369266,8,128,32,32,13,1,21,RS,30,128,2048,256,0.14921849363916456,8.432057390502883e-05,1,0.1492464285714286,1
8,True,35,0.12899381644508814,1,1,16,512,1,6,9,RS,21,1,128,256,0.12895744069776907,5.4899433103649337e-05,1,0.1289756285714286,1
9,True,35,0.23103761917194543,1,128,32,32,13,21,1,RS,28,64,1024,128,0.2310172951137689,3.067371406748481e-05,1,0.23102745714285716,1
10,True,35,0.11753903504755225,8,1,32,1,28,19,1,RS,11,512,128,64,0.11750862209530485,4.5900193410289504e-05,8,0.11752382857142855,1
11,True,35,0.24053439066120946,8,256,64,32,11,12,1,RS,27,64,1024,512,0.2404154950530763,0.0001794410277750897,1,0.24047494285714288,1
12,True,35,0.3018324802116098,1,32,1,32,19,1,17,RS,30,128,64,1,0.3011643769312473,0.0010083226888739358,32,0.30149842857142856,1
13,True,35,0.11958344556982452,1,64,64,64,12,12,1,RS,29,1,64,1024,0.11941506871588976,0.00025411969540324245,8,0.11949925714285714,8
