id,correct_result,runs,baseline,RT_K,T1_I,T1_J,T1_K,U_K,U_J,U_I,technique,U1_I,T2_K,T2_J,T2_I,mean_confidence_interval_inf,mean_confidence_interval_sup,cost_std,RT_I,cost_mean,RT_J
1,True,35,False,8,1,128,32,1,22,29,DLMT,20,1024,128,1024,0.19278737828791953,0.19321507885493755,0.000645499278995471,1,0.19300122857142854,1
2,True,35,False,32,256,256,512,22,15,1,DLMT,30,2048,256,2048,0.20386991678804386,0.20389499749767045,3.7852603501434064e-05,1,0.20388245714285716,1
3,True,35,False,1,128,512,128,1,11,1,DLMT,29,128,1,1024,0.21339698800239967,0.2134242691404574,4.117355997258877e-05,1,0.21341062857142853,32
4,True,35,False,32,512,128,64,3,13,1,DLMT,2,1,256,2048,0.20906043707467473,0.2090840200681824,3.559220276913377e-05,1,0.20907222857142857,1
5,True,35,False,1,512,64,512,1,4,17,DLMT,17,2048,64,512,0.12766448718026036,0.12769151281973962,4.07879534036351e-05,1,0.12767799999999999,1
6,True,35,False,1,512,128,1,1,30,26,DLMT,2,64,512,1,0.16633799818367226,0.16655543038775636,0.0003281555877871324,1,0.1664467142857143,8
7,True,35,False,32,16,512,16,18,27,1,DLMT,13,1024,2048,64,0.24960990594715643,0.24963735119570063,4.142124073073616e-05,1,0.24962362857142853,1
8,True,35,False,32,32,32,64,1,14,25,DLMT,5,512,128,512,0.1716927559715535,0.17173970117130363,7.085118638558358e-05,1,0.17171622857142857,1
9,True,35,False,1,128,1,64,15,1,15,DLMT,30,64,128,1024,0.15270798729749016,0.15274401270250984,5.4370685378901e-05,1,0.152726,1
10,True,35,False,32,256,32,16,1,23,22,DLMT,26,1024,512,256,0.1772509917174157,0.1773490082825842,0.0001479297130396728,1,0.17729999999999996,1
11,True,35,False,1,32,512,16,29,1,25,DLMT,29,64,2048,512,0.2835442472104865,0.28377763850379917,0.000352241552092321,32,0.28366094285714283,1
12,True,35,False,1,16,1,512,6,17,1,DLMT,9,2048,64,2048,0.11625880129259125,0.11629457013598016,5.398347441767747e-05,8,0.1162766857142857,8
13,True,35,False,8,256,128,128,24,20,1,DLMT,2,1,2048,2048,0.20751526457057817,0.20753987828656467,3.714780186866311e-05,1,0.20752757142857142,1
14,True,35,False,1,128,512,512,1,18,29,DLMT,7,1024,1,512,0.23926443377271558,0.2399688233701416,0.001063087150995743,1,0.2396166285714286,1
15,True,35,False,1,512,256,256,1,16,1,DLMT,4,2048,2048,512,0.2760245662874488,0.2761394908554082,0.00017344780782938086,32,0.2760820285714285,1
16,True,35,False,1,128,128,16,27,2,1,DLMT,23,2048,512,1024,0.21531668592562278,0.2153414855029486,3.742830970464703e-05,1,0.2153290857142857,32
17,True,35,False,1,1,32,512,1,22,24,DLMT,18,1,1024,512,0.17523555049313594,0.17527982093543548,6.681435749408249e-05,1,0.1752576857142857,32
18,True,35,False,1,256,64,256,1,27,19,DLMT,6,1024,1,1,0.13818925624430578,0.13826245804140852,0.00011047847698783052,8,0.13822585714285715,1
19,True,35,False,1,512,512,16,16,1,21,DLMT,14,256,2048,2048,0.14428541005476503,0.1443251042309493,5.9907711336281464e-05,1,0.14430525714285716,32
20,True,35,False,1,512,64,1,21,1,28,DLMT,20,256,1,2048,0.1629912171618916,0.16314752569525123,0.0002359058027160459,1,0.16306937142857142,1
21,True,35,False,1,256,64,64,8,1,30,DLMT,30,128,64,1,0.2762493971726719,0.2766374028273281,0.0005855904565967129,1,0.2764434,32
22,True,35,False,1,128,1,128,1,30,29,DLMT,10,2048,1024,2048,0.21790790451748998,0.21888740976822424,0.001478300432308419,1,0.2183976571428571,1
23,True,35,False,1,256,1,1,30,17,1,DLMT,21,64,2048,2048,0.3224083417624705,0.3228556010946723,0.0006750179885735999,32,0.3226319714285714,1
24,True,35,False,1,1,32,1,16,1,8,DLMT,30,2048,512,128,0.12811572719101166,0.1281545013804169,5.8519238071679185e-05,8,0.12813511428571428,1
25,True,35,False,8,512,64,128,28,30,1,DLMT,8,1024,1,512,0.22858626783428243,0.22872498930857477,0.00020936285462794225,1,0.2286556285714286,8
26,True,35,False,1,16,512,256,1,30,24,DLMT,21,512,1024,1,0.2170752100077121,0.2172279328494308,0.00023049416301432646,32,0.21715157142857144,1
27,True,35,False,1,16,512,128,25,1,24,DLMT,1,2048,1,2048,0.21879902472141602,0.2188755467071554,0.00011548941112340971,1,0.2188372857142857,8
28,True,35,False,8,32,1,512,26,4,1,DLMT,3,512,128,128,0.1126989180112727,0.11286228198872732,0.0002465541030165296,8,0.11278060000000001,1
29,True,35,False,1,256,128,16,28,1,30,DLMT,6,1024,256,2048,0.2815131858051161,0.2816797856234553,0.000251437736845931,32,0.2815964857142857,1
30,True,35,False,1,512,16,16,30,13,1,DLMT,4,1024,256,512,0.23556506043277092,0.23568711099580048,0.00018420258590221193,1,0.2356260857142857,32
31,True,35,False,1,32,1,64,1,20,18,DLMT,5,2048,2048,1,0.18020234996657894,0.18024365003342105,6.233137251817857e-05,1,0.180223,8
32,True,35,False,32,32,128,512,14,1,18,DLMT,1,1,512,2048,0.26545241671642855,0.26553186899785713,0.00011991190644019996,1,0.26549214285714284,1
33,True,35,False,1,128,1,128,20,30,1,DLMT,14,256,512,1,0.20358881612723487,0.20360346958705086,2.211546693043213e-05,1,0.20359614285714286,32
34,True,35,False,1,1,512,128,1,6,30,DLMT,4,1024,2048,2048,0.2897062809019641,0.28996783338375026,0.0003947433121016513,1,0.2898370571428572,32
35,True,35,False,1,512,16,256,17,21,1,DLMT,25,2048,64,1,0.30353299245590454,0.30384586468695246,0.00047219670754066845,32,0.3036894285714285,1
36,True,35,False,1,16,256,128,19,1,15,DLMT,26,512,256,2048,0.15724818464119392,0.15731198678737748,9.629222529914289e-05,32,0.1572800857142857,1
37,True,35,False,32,64,64,1,21,9,1,DLMT,21,2048,64,256,0.21805006831707777,0.21809793168292227,7.223691181502125e-05,1,0.21807400000000002,1
38,True,35,False,1,16,64,1,23,30,1,DLMT,30,2048,1,64,0.19532586437907176,0.19536430704949967,5.8018899102457815e-05,1,0.19534508571428572,32
39,True,35,False,1,128,512,16,29,1,19,DLMT,10,2048,1,1,0.1655423414653122,0.1657254299632593,0.0002763229757707025,1,0.16563388571428575,32
40,True,35,False,1,16,128,256,28,1,30,DLMT,3,1,512,512,0.4136021655895671,0.4136241201247187,3.313448170035543e-05,32,0.4136131428571429,1
41,True,35,False,1,256,512,1,1,6,6,DLMT,18,512,512,1,0.12146562104491238,0.12156689324080186,0.00015284321431867858,8,0.12151625714285712,1
42,True,35,False,1,1,64,1,1,1,6,DLMT,2,1,2048,1,0.10626649778173043,0.10629355936112671,4.084219506783656e-05,8,0.10628002857142857,1
43,True,35,False,8,16,64,1,21,1,28,DLMT,29,512,2048,256,0.4220588955005589,0.42208173307086955,3.446718640643092e-05,1,0.42207031428571423,1
44,True,35,False,1,1,256,512,30,21,1,DLMT,20,1,512,64,0.19642215011323033,0.19645659274391247,5.198191208173604e-05,1,0.1964393714285714,1
45,True,35,False,8,128,1,256,14,1,2,DLMT,22,1,2048,128,0.12471425579258717,0.12474677277884143,4.907566835499708e-05,8,0.1247305142857143,1
46,True,35,False,1,1,1,512,15,1,30,DLMT,28,1,128,1,0.28286976605616115,0.28309486251526744,0.0003397227248741476,1,0.2829823142857143,32
47,True,35,False,32,512,512,64,27,1,29,DLMT,18,1,1024,1,0.19555797704961594,0.1956949943789554,0.0002067909049434869,1,0.19562648571428568,1
48,True,35,False,32,256,1,128,1,30,30,DLMT,30,2048,1024,1024,0.29536832390195356,0.296219047526618,0.0012839391122952983,1,0.29579368571428577,1
49,True,35,False,8,32,16,32,29,7,1,DLMT,29,1,1,2048,0.25592036713274224,0.2560224328672578,0.00015404084801487518,1,0.2559714,1
50,True,35,False,32,1,128,512,30,1,16,DLMT,28,1024,2048,1,0.14728388151429075,0.14734617562856642,9.40162556504492e-05,1,0.14731502857142859,1
51,True,35,False,1,512,256,512,25,24,1,DLMT,28,2048,2048,512,0.19689309815590336,0.1969149589869538,3.2993060494842074e-05,1,0.19690402857142858,1
52,True,35,False,1,128,512,16,16,30,1,DLMT,2,1,1,512,0.32609573256078606,0.3266813531534998,0.0008838371971242226,32,0.3263885428571429,1
53,True,35,False,32,1,16,512,4,29,1,DLMT,17,1,1,512,0.19946101397336546,0.19948778602663447,4.040523304155908e-05,1,0.19947439999999997,1
54,True,35,False,1,512,512,1,6,13,1,DLMT,15,512,512,1024,0.2207734601942054,0.22079825409150883,3.741973723443334e-05,1,0.22078585714285712,8
55,True,35,True,1,1,1,1,1,1,1,DLMT,1,1,1,1,0.1767657096245372,0.17694463323260562,0.00027003719169395736,1,0.1768551714285714,1
56,True,35,False,8,256,1,512,1,3,16,DLMT,28,1024,512,1,0.11178824613183143,0.11182883958245428,6.126492487882655e-05,1,0.11180854285714285,1
57,True,35,False,32,64,128,128,1,1,16,DLMT,30,1,2048,512,0.1483415118044939,0.14837071676693464,4.4077056829778586e-05,1,0.14835611428571427,1
58,True,35,False,1,128,1,512,1,18,16,DLMT,7,2048,128,256,0.1357692655998379,0.13579479154301924,3.852456412234038e-05,1,0.13578202857142857,1
59,True,35,False,32,1,256,16,1,15,16,DLMT,1,1,1,64,0.1425165720030697,0.14270902799693028,0.000290460698103647,1,0.14261279999999998,1
60,True,35,False,1,1,512,512,1,30,16,DLMT,25,1,512,2048,0.13167381753306617,0.13172041103836246,7.032039794645025e-05,1,0.13169711428571432,8
61,True,35,False,32,128,512,16,1,6,16,DLMT,30,256,512,1,0.13494832157636463,0.13498139270934958,4.991200420004384e-05,1,0.1349648571428571,1
62,True,35,False,1,1,1,512,1,2,16,DLMT,15,1024,1024,512,0.14561455982242022,0.14567361160615128,8.91228274200685e-05,1,0.14564408571428575,32
63,True,35,False,1,64,32,128,1,8,16,DLMT,25,256,2048,1,0.13451253388925613,0.13468226611074383,0.0002561652591590042,1,0.13459739999999998,1
64,True,35,False,1,512,16,512,1,22,16,DLMT,18,1,64,2048,0.2533313710448625,0.25359045752656606,0.0003910215464599369,1,0.25346091428571427,32
65,True,35,False,32,16,1,512,1,3,16,DLMT,30,1,64,256,0.13119189385823898,0.13122690614176102,5.284165023918099e-05,1,0.1312094,1
