id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,512,2048,RS,8,1,True,1,64,False,1,256,8,False,0.08017469414041842,1,32,1,1024,True,False,False,1,True,128,True,1024,False,4,16,1,True,1,12,12,1,16,16,1,7.449611818403581e-05,35,0.08022405443101013,8,0.08019937428571428,8,8,1,True,64,256,12,1,True,1,8,8,4
2,1,64,RS,8,1,True,1,256,False,32,64,1,True,0.08152743012647269,1,32,1024,2048,False,False,False,1,False,32,False,64,False,12,16,128,True,12,1,1,12,12,16,1,7.103268899684393e-05,35,0.081574495587813,12,0.08155096285714285,1,8,8,True,1,1,12,1024,True,12,1,8,1
3,32,1024,RS,8,32,True,1,512,False,1,128,1,False,0.12740888874063405,16,1,1,128,False,False,False,128,False,16,False,1024,False,4,4,256,False,16,1,16,1,1,1,16,4.431915787898138e-05,35,0.12743825411650883,1,0.12742357142857144,16,1,1,True,512,512,16,512,True,1,8,1,4
4,512,1024,RS,1,1,True,8,128,False,32,1,32,True,0.16875197132953013,128,64,1024,1,False,False,False,1,False,32,False,1024,False,16,4,1024,True,1,1,12,1,12,16,1,6.0369569304071825e-05,35,0.16879197152761272,1,0.16877197142857142,16,8,8,True,256,2048,1,64,False,1,1,8,16
5,128,512,RS,1,1,True,8,32,True,128,512,32,False,0.12482875654104918,16,1,128,128,False,True,False,16,True,64,False,512,True,4,12,64,False,4,1,12,1,12,16,1,4.39420211698303e-05,35,0.12485787203037939,8,0.12484331428571428,4,1,1,True,512,2048,1,2048,False,16,1,1,1
6,64,64,RS,8,1,False,32,1,True,256,512,8,False,0.1275561122718051,256,1,256,512,False,True,True,32,False,16,True,512,False,16,12,512,True,8,1,1,12,8,1,12,4.795652793341897e-05,35,0.12758788772819488,16,0.127572,8,8,1,True,2048,1024,8,1024,True,1,1,8,16
7,512,1,RS,1,32,True,1,256,True,1,64,32,True,0.20140697223925366,512,16,1,64,False,True,False,16,False,256,False,512,True,4,4,2048,True,1,1,1,8,16,16,1,0.0012929348402856541,35,0.20226365633217483,12,0.20183531428571425,1,8,1,True,2048,1024,16,1,True,1,1,32,16
8,1,1024,RS,8,8,False,1,64,True,64,1,8,True,0.17929752604982843,256,64,256,256,False,True,True,32,False,512,True,1024,True,8,1,1,True,8,1,4,1,4,12,1,4.4982717769817104e-05,35,0.17932733109302865,12,0.17931242857142854,16,1,1,True,64,256,8,512,False,8,1,32,1
9,1,2048,RS,1,32,False,1,16,True,128,1,8,True,0.17013683667408752,32,128,2048,1,False,False,True,16,False,32,True,128,True,16,1,64,True,1,1,1,8,8,16,1,9.932611305539754e-05,35,0.17020264904019827,1,0.1701697428571429,4,1,1,True,64,2048,16,512,False,1,1,8,16
10,64,64,RS,1,8,False,1,128,True,16,64,8,False,0.12318284205806064,1,32,256,1024,True,False,True,128,True,64,False,128,True,1,4,128,True,1,12,4,1,8,1,1,7.076382103410504e-05,35,0.12322972937051084,1,0.12320628571428574,16,1,1,True,512,1,4,128,False,16,32,1,1
11,1,1,RS,32,1,True,1,256,False,32,16,1,True,0.13245308863355687,128,256,1,2048,True,True,True,16,True,128,False,512,True,12,16,128,True,1,4,1,16,8,1,16,2.7933536277735284e-05,35,0.1324715970807288,12,0.13246234285714284,16,8,8,True,2048,512,12,1024,True,1,8,1,16
12,32,64,RS,1,8,True,1,256,True,1,1,8,False,0.12403463700972041,512,16,1024,512,False,False,False,16,True,16,True,64,False,1,8,1,True,12,1,1,8,8,1,12,2.8434328203919028e-05,35,0.12405347727599385,4,0.12404405714285713,12,8,8,True,2048,1,16,1024,False,1,32,1,16
