id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,8,1,1,4,8,inf,11,1,RS,inf,False,True,False,inf,False,inf,False
2,2,1,32,1,1,inf,1,29,RS,inf,False,True,True,inf,True,inf,False
3,256,10,8,16,1,0.2128116,2,1,RS,0.21278488805646922,True,False,True,4.309802779710626e-05,False,0.21283831194353076,False
4,16,10,1,32,2,0.2530915,29,1,RS,0.25284431827353887,True,False,True,0.0003988120484639413,True,0.2533386817264612,False
5,256,10,2,2,8,0.4445493,1,19,RS,0.4442278213264217,True,False,False,0.0005186854634554618,True,0.44487077867357827,False
6,128,1,512,2,4,inf,1,27,RS,inf,False,True,False,inf,False,inf,False
7,8,1,128,2,1,inf,1,25,RS,inf,False,True,True,inf,True,inf,False
8,2048,1,2,8,1,inf,1,10,RS,inf,False,True,False,inf,False,inf,False
9,4,10,256,2,8,0.8113357999999999,2,1,RS,0.8112853562991346,True,False,False,8.13877140605645e-05,False,0.8113862437008653,False
10,2,1,128,2,8,inf,1,21,RS,inf,False,True,False,inf,False,inf,False
11,512,10,4,2,2,0.3712904,15,1,RS,0.3712308440504722,True,False,True,9.608974971348707e-05,False,0.37134995594952785,False
12,16,1,64,4,16,inf,1,7,RS,inf,False,True,False,inf,False,inf,False
13,256,10,256,2,2,0.3907221,27,1,RS,0.39069393722028545,True,False,True,4.543886002090987e-05,True,0.3907502627797146,False
14,4,10,4,4,32,0.27262109999999995,1,14,RS,0.2725912886320892,True,False,False,4.8098752582579086e-05,True,0.2726509113679107,False
15,1,1,2,2,8,inf,1,25,RS,inf,False,True,False,inf,False,inf,False
16,128,1,2,16,1,inf,1,13,RS,inf,False,True,True,inf,True,inf,False
17,32,10,16,4,16,0.8859849000000001,4,1,RS,0.8857898609418517,True,False,False,0.0003146831581130226,False,0.8861799390581484,False
18,2,1,16,8,8,inf,1,21,RS,inf,False,True,False,inf,False,inf,False
19,32,10,32,4,4,0.4259231,1,21,RS,0.4252856408574844,True,False,False,0.0010284999222168157,False,0.4265605591425156,False
20,1,10,1,16,32,0.9103404000000002,1,11,RS,0.9101771306002281,True,False,True,0.0002634248279870438,True,0.9105036693997722,False
21,256,10,8,1,1,0.5129308,1,4,RS,0.5125630396363273,True,False,False,0.0005933580369389278,True,0.5132985603636727,False
22,512,1,512,2,16,inf,12,1,RS,inf,False,True,False,inf,False,inf,False
23,16,1,64,32,2,inf,29,1,RS,inf,False,True,True,inf,False,inf,False
24,1024,1,256,4,4,inf,1,9,RS,inf,False,True,True,inf,True,inf,False
25,2,10,4,16,16,0.4979861,9,1,RS,0.49793948461445353,True,False,False,7.521096994455075e-05,False,0.49803271538554644,False
26,512,1,32,1,8,inf,3,1,RS,inf,False,True,False,inf,True,inf,False
27,8,1,1,4,1,inf,1,25,RS,inf,False,True,False,inf,False,inf,False
28,1024,10,32,1,8,0.6175013999999999,1,14,RS,0.6174429232665953,True,False,True,9.434850290279429e-05,False,0.6175598767334044,False
29,512,1,2048,32,8,inf,1,11,RS,inf,False,True,True,inf,False,inf,False
30,1,1,64,16,1,inf,1,13,RS,inf,False,True,False,inf,False,inf,False
31,1,10,4,16,1,0.2085178,12,1,RS,0.20841913229051878,True,False,True,0.0001591940953678826,False,0.20861646770948122,False
32,256,10,512,16,16,1.0157180000000001,2,1,RS,1.0149066374044124,True,False,False,0.0013090821211826126,False,1.0165293625955878,False
33,256,10,128,4,32,0.9851806,14,1,RS,0.9850598079427786,True,False,False,0.0001948903281335302,True,0.9853013920572213,False
34,1,1,2,4,32,inf,1,14,RS,inf,False,True,False,inf,True,inf,False
35,8,10,2,16,8,0.28343909999999994,27,1,RS,0.2834268460706774,True,False,True,1.9770938268068247e-05,False,0.28345135392932247,False
36,1,1,512,2,2,inf,15,1,RS,inf,False,True,False,inf,True,inf,False
37,16,10,1024,8,16,1.0035520000000002,1,27,RS,1.0033988015117214,True,False,True,0.0002471760506197792,False,1.003705198488279,False
38,1024,1,1,16,16,inf,29,1,RS,inf,False,True,True,inf,False,inf,False
39,1024,10,8,32,2,0.4229153,1,26,RS,0.42288210414606064,True,False,True,5.355940627004099e-05,False,0.42294849585393934,False
40,2,10,64,32,8,0.9168066999999999,24,1,RS,0.9167671572226589,True,False,True,6.379976488984733e-05,True,0.9168462427773408,False
41,256,1,512,4,8,inf,7,1,RS,inf,False,True,False,inf,True,inf,False
42,32,10,32,8,8,1.00475,5,1,RS,1.0046315558882293,True,False,False,0.00019110206696944089,False,1.0048684441117708,False
43,1,10,1024,32,2,0.21770130000000001,1,26,RS,0.21741875271092154,True,False,False,0.00045587214216268794,False,0.2179838472890785,False
44,1024,10,32,8,16,1.0242419999999999,20,1,RS,1.023991388118528,True,False,True,0.0004043463861592263,False,1.0244926118814717,False
45,8,1,16,32,4,inf,17,1,RS,inf,False,True,True,inf,True,inf,False
46,128,1,64,2,4,inf,1,30,RS,inf,False,True,True,inf,True,inf,False
47,512,10,2,32,16,0.22689240000000002,22,1,RS,0.2268594817061503,True,False,True,5.311158065807897e-05,False,0.22692531829384974,False
48,1024,10,128,32,16,1.0651110000000001,1,7,RS,1.065043590344616,True,False,True,0.00010876120631914265,False,1.0651784096553842,False
49,128,10,4,8,8,0.2536618,9,1,RS,0.2536456953443459,True,False,False,2.598384113251325e-05,True,0.2536779046556541,False
50,8,1,16,2,4,inf,1,11,RS,inf,False,True,True,inf,True,inf,False
51,1,1,1024,32,4,inf,1,6,RS,inf,False,True,True,inf,True,inf,False
52,1,10,128,4,8,0.5413532999999999,1,16,RS,0.5413085500689979,True,False,True,7.22011772757225e-05,False,0.5413980499310019,False
53,1,1,2,32,1,inf,10,1,RS,inf,False,True,False,inf,False,inf,False
54,16,10,2,32,32,0.9628302,25,1,RS,0.962480001787594,True,False,False,0.000565022619016273,False,0.963180398212406,False
55,64,10,4,32,16,0.4968992,25,1,RS,0.49688063757854206,True,False,False,2.994929047574004e-05,False,0.4969177624214579,False
56,256,1,2,32,4,inf,1,2,RS,inf,False,True,False,inf,True,inf,False
57,256,10,256,8,2,0.1981356,2,1,RS,0.19754866436678462,True,False,True,0.0009469834423050902,False,0.19872253563321537,False
58,2,10,1,8,16,0.8799462,16,1,RS,0.8798897450074084,True,False,True,9.108655224567618e-05,False,0.8800026549925917,False
59,16,10,1,4,16,0.9869549000000001,1,19,RS,0.9868758770083909,True,False,False,0.00012749858822748674,True,0.9870339229916093,False
60,64,1,4,32,8,inf,1,3,RS,inf,False,True,True,inf,False,inf,False
61,2048,1,64,32,8,inf,1,14,RS,inf,False,True,True,inf,True,inf,False
62,2048,10,8,8,16,0.2133906,1,1,RS,0.21335455882560925,True,False,True,5.8150150472719893e-05,True,0.21342664117439078,False
63,256,10,4,16,32,0.21021879999999998,6,1,RS,0.21019532326373283,True,False,True,3.7878225935224386e-05,False,0.21024227673626714,False
64,8,1,16,16,2,inf,1,10,RS,inf,False,True,True,inf,False,inf,False
65,16,10,1,1,16,0.7823936,1,15,RS,0.7822908544330796,True,False,False,0.0001657734598782159,True,0.7824963455669205,False
66,2048,1,1024,32,8,inf,1,12,RS,inf,False,True,False,inf,False,inf,False
67,1024,1,32,2,2,inf,1,28,RS,inf,False,True,True,inf,True,inf,False
68,64,10,64,4,2,0.19563370000000002,1,8,RS,0.19561068055884293,True,False,True,3.714040925999548e-05,True,0.19565671944115712,False
69,4,1,32,16,4,inf,24,1,RS,inf,False,True,False,inf,True,inf,False
70,512,1,2048,1,2,inf,4,1,RS,inf,False,True,True,inf,True,inf,False
71,16,10,32,8,16,1.0638200000000002,1,5,RS,1.063660699413154,True,False,True,0.0002570213998872511,False,1.0639793005868463,False
