id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,True,False,1,2048,2,16,6.238098620971518,False,RS,True,26,1,1,False,10,64,7,1,2,1,0.0010816140716539207,6.238769,True,4,32,512,6.2394393790284814,256
2,False,False,256,1,8,1,5.689091175819533,False,RS,True,27,1,1,False,10,2048,1,6,2,8,0.00016912717108737464,5.689196,True,8,16,32,5.689300824180467,512
3,True,False,1,2048,1,32,5.846499716487503,False,RS,False,11,1,32,False,10,1,22,1,4,4,0.0027755684102539753,5.8482199999999995,True,4,8,2048,5.849940283512496,256
4,False,True,64,512,32,1,5.921562170922774,False,RS,False,1,28,2048,True,10,128,26,1,1,16,0.00020301724064726237,5.921688,True,4,8,256,5.921813829077225,32
5,True,True,128,64,16,8,8.419997457450755,False,RS,False,1,26,512,True,10,256,3,1,4,32,0.003301966686688349,8.422044,True,1,32,8,8.424090542549244,64
6,False,True,8,2048,8,8,6.863629536660202,False,RS,False,29,1,1024,False,10,32,28,1,2,1,0.0001862927803217683,6.863745,True,32,256,128,6.8638604633397975,1
7,False,False,64,1,2,16,6.518495477516712,False,RS,True,1,27,2048,False,10,512,1,22,2,8,0.0002525391058825513,6.518652,True,2,16,512,6.518808522483289,2048
8,True,False,2,1024,32,1,5.951380392719676,False,RS,False,1,14,1,False,10,32,1,20,4,4,0.0026244277471478114,5.953007,True,128,64,1024,5.954633607280325,256
9,False,True,2,2048,4,2,4.516447027234608,False,RS,True,1,17,256,False,10,2048,13,1,8,1,0.00016452659359506575,4.516549,True,2,256,32,4.516650972765393,1
10,True,False,32,512,8,4,5.844518590153382,False,RS,False,5,1,64,True,10,128,22,1,2,1,0.0011607221889841793,5.845238,True,2,128,64,5.845957409846618,1
11,False,False,1024,512,32,4,5.869545652459572,False,RS,True,1,22,1024,False,10,1024,4,1,2,2,0.00065077569100263,5.869949,True,2,32,16,5.870352347540428,512
12,False,False,128,1,1,2,4.4507571224793985,False,RS,True,7,1,256,True,10,1024,1,29,1,8,0.00011596982366118715,4.450829000000001,True,256,1,32,4.450900877520603,128
13,False,False,1,1024,32,4,5.8726224264982045,False,RS,False,1,8,256,False,10,64,1,11,32,1,8.321057625078706e-05,5.872674,True,32,16,512,5.872725573501795,32
14,True,False,2048,64,2,4,6.551177796044358,False,RS,True,1,24,256,True,10,2048,28,1,16,8,0.010715161641337827,6.557818999999999,True,4,2,32,6.564460203955641,512
15,True,False,128,128,8,2,7.107837841807252,False,RS,True,6,1,8,True,10,2048,8,1,32,2,0.023040130121160348,7.122117999999999,True,1,2,32,7.136398158192745,2
16,True,True,256,1,16,2,4.6161451455789395,False,RS,False,11,1,16,True,10,2048,18,1,16,1,0.008344459299439402,4.6213169999999995,True,2,256,16,4.626488854421059,1
17,True,True,1024,512,4,1,3.2039871182684543,False,RS,False,6,1,1024,True,10,2048,22,1,32,1,0.009875654712473573,3.2101080000000004,True,1,32,256,3.2162288817315465,64
18,False,False,128,64,1,16,6.20106592691138,False,RS,False,22,1,64,False,10,2048,1,2,1,4,0.0001356465996623922,6.20115,True,64,32,4,6.20123407308862,512
19,False,False,16,64,4,1,6.3059077704104585,False,RS,False,1,3,2048,False,10,16,20,1,2,8,0.0001278319208961565,6.305987,True,2,32,2,6.3060662295895415,256
20,False,True,64,1,4,1,5.849626649355101,False,RS,False,1,4,128,False,10,1024,10,1,1,4,6.83300812233778e-05,5.8496690000000005,True,2,128,1024,5.8497113506449,1024
21,True,True,4,16,1,2,4.651754411856323,False,RS,False,1,7,64,False,10,64,1,22,16,8,0.008245610044138667,4.656865000000001,True,8,512,16,4.661975588143679,512
22,False,False,1,1,2,2,6.08589512389864,False,RS,True,4,1,1,False,10,64,11,1,2,16,0.00015469001260589568,6.085991,True,16,64,1,6.08608687610136,256
23,False,False,1,8,1,1,5.855769938871467,False,RS,True,1,2,1,False,10,8,29,1,2,32,6.624952830035398e-05,5.855811,True,4,8,1,5.855852061128533,64
24,False,False,2048,512,8,16,6.5533151065631,False,RS,False,1,30,2,True,10,1,25,1,8,2,0.0002660451089570859,6.55348,True,2,512,1,6.553644893436901,512
25,True,False,8,2048,4,8,4.381488693833343,False,RS,True,1,1,1024,True,10,8,8,1,2,1,0.0008362541479717147,4.382007,True,2,2,2048,4.382525306166657,8
