id,SCR1,SCR2,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,VEC2,U1_I2,U1_I1,T2_I2a,VEC1,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,True,False,16,512,32,2,6.57159936944459,False,DLMT,False,1,18,256,False,10,1,2,1,1,1,0.00034951967040498506,6.571816,True,2,4,128,6.57203263055541,2048
2,True,True,32,1024,2,4,5.862140219917789,False,DLMT,False,1,19,1024,False,10,32,25,1,32,4,0.00010613199329132495,5.862206,True,32,2048,8,5.86227178008221,2048
3,False,True,1,512,2,1,6.011791367027468,False,DLMT,False,9,1,512,False,10,4,1,4,4,16,6.394528911484557e-05,6.011831,True,2,2048,64,6.011870632972532,2048
4,True,False,2,1024,4,1,5.879692999576696,False,DLMT,False,1,15,64,True,10,4,1,21,4,2,0.002792859466568257,5.881424,True,1,64,512,5.8831550004233035,128
5,False,False,16,512,8,2,6.036859511053702,False,DLMT,True,1,8,16,False,10,128,1,29,32,1,0.00012018319350049979,6.0369340000000005,True,16,1,128,6.037008488946299,128
6,False,True,8,2048,32,4,6.732648879034111,False,DLMT,True,20,1,512,True,10,16,16,1,4,2,0.00019058069157183767,6.732767,True,32,1,4,6.732885120965889,4
7,True,False,4,1,2,4,4.574134765053983,False,DLMT,False,1,23,512,True,10,512,1,15,16,8,0.008362821055122621,4.579318,True,4,512,1,4.584501234946017,1024
8,False,False,1,512,4,32,5.481200399272401,False,DLMT,True,14,1,128,True,10,16,1,6,2,2,0.00011713667231055647,5.481273,True,2,8,32,5.4813456007275985,2048
9,True,False,2,512,4,16,6.190310423928166,False,DLMT,False,1,30,16,True,10,64,28,1,4,1,0.0025533861830911516,6.191893,True,8,256,32,6.193475576071835,1
10,False,True,4,1024,4,1,4.445863180111924,False,DLMT,False,1,15,1,False,10,64,20,1,32,1,5.2952809179395646e-05,4.445895999999999,True,16,256,32,4.445928819888075,1
11,True,True,4,128,4,4,6.456740662432152,False,DLMT,False,1,10,128,True,10,1,9,1,1,8,0.0002312660805220088,6.456884,True,32,512,8,6.4570273375678475,512
12,True,False,16,64,4,1,7.299397577556136,False,DLMT,True,13,1,64,True,10,1,1,28,4,16,0.002312736258201718,7.3008310000000005,True,8,2048,32,7.302264422443865,2048
13,False,True,4,16,32,1,4.746289635336749,False,DLMT,False,1,26,512,False,10,8,1,16,2,1,0.0027999008911031207,4.748025,True,1,2,16,4.749760364663251,2
14,True,False,1,2048,1,1,6.364072473122847,False,DLMT,True,1,19,1,False,10,1024,26,1,2,32,0.0009463239403079025,6.3646590000000005,True,1024,16,2,6.365245526877154,512
15,True,False,1,64,2,8,6.563701811785313,False,DLMT,True,26,1,2048,False,10,64,1,30,16,8,0.011636408552470213,6.570914,True,256,1,32,6.5781261882146875,2
16,True,True,4,32,4,32,7.809260003933412,False,DLMT,True,1,26,1,False,10,512,30,1,16,1,0.011592535745038846,7.816445,True,128,1,1,7.823629996066588,1024
17,False,False,128,32,16,8,4.466347867637359,False,DLMT,True,1,3,1024,True,10,256,1,21,8,16,0.00010992724866942231,4.466416,True,1,4,32,4.46648413236264,16
18,True,True,1,1024,2,32,5.546637284288515,False,DLMT,False,25,1,128,True,10,512,5,1,2,16,0.0008804777112454724,5.5471829999999995,True,64,4,256,5.547728715711484,32
19,True,False,4,64,1,32,5.821925940177555,False,DLMT,False,4,1,1024,True,10,4,9,1,8,8,0.00576329211475531,5.8254980000000005,True,4,8,1,5.829070059822446,8
