id,T1_I1,T1_I2a,RT2_I2,RT2_I1,mean_confidence_interval_inf,baseline,technique,U1_I2,U1_I1,T2_I2a,runs,T1_I1a,U2_I2,U2_I1,RT1_I2,RT1_I1,cost_std,cost_mean,correct_result,T2_I2,T2_I1,T1_I2,mean_confidence_interval_sup,T2_I1a
1,1,2048,1,32,1.4574823462485607,False,DLMT,1,3,64,35,2048,1,30,1,1,7.65724946620866e-05,1.4575077142857147,True,64,16,32,1.4575330823228687,64
2,1,2048,1,8,1.5226223083000603,False,DLMT,1,14,1,35,2048,3,1,8,1,6.892527749345216e-05,1.5226451428571428,True,512,256,1,1.5226679774142253,1
3,256,256,32,1,1.7643035214013159,False,DLMT,29,1,1,35,1,14,1,32,1,0.00032226418367798244,1.7644102857142854,True,64,64,32,1.764517050027255,512
4,32,1,32,1,1.4993731116341777,False,DLMT,17,1,512,35,2048,1,8,8,1,6.046351573217271e-05,1.4993931428571428,True,64,32,128,1.4994131740801078,64
5,1,2048,1,8,1.4823606060011774,False,DLMT,30,1,2048,35,64,1,28,1,8,0.0001352952930686437,1.482405428571429,True,512,128,16,1.4824502511416806,2048
6,128,512,8,1,1.4921141234752489,False,DLMT,1,13,512,35,1,1,19,1,1,5.6546892225902756e-05,1.4921328571428571,True,128,32,256,1.4921515908104654,2048
7,1,128,8,1,1.5029119930434744,False,DLMT,1,2,2048,35,1,9,1,32,1,5.435334133505467e-05,1.50293,True,256,512,1,1.5029480069565258,1
8,32,256,8,8,1.4716443377334008,False,DLMT,2,1,1,35,2048,30,1,1,32,6.538676143859821e-05,1.4716660000000001,True,1,512,256,1.4716876622665995,512
9,256,512,32,1,1.5032624596487403,False,DLMT,1,10,512,35,2048,1,30,8,8,5.8981837398108155e-05,1.503282,True,512,64,1,1.5033015403512597,256
10,256,1024,1,32,1.5447825188737996,False,DLMT,9,1,1024,35,512,16,1,1,8,7.51890135265944e-05,1.5448074285714284,True,1,256,128,1.5448323382690572,256
11,256,1024,32,1,1.5972850802694514,False,DLMT,18,1,1,35,2048,22,1,8,1,4.9346753092942606e-05,1.5973014285714286,True,512,512,16,1.597317776873406,2048
12,32,256,1,8,1.7618437939174887,False,DLMT,19,1,256,35,128,13,1,32,1,7.910210399946139e-05,1.76187,True,16,512,16,1.7618962060825114,1
13,1,1024,32,1,1.5585444431291204,False,DLMT,1,30,64,35,128,17,1,1,8,7.110555533851838e-05,1.5585680000000002,True,64,32,512,1.55859155687088,2048
14,16,1024,32,1,1.1133899707644985,False,DLMT,10,1,1,35,1,2,1,1,32,6.476960738506148e-05,1.1134114285714285,True,1,32,512,1.1134328863783585,128
15,512,1,8,8,1.5302789592187036,False,DLMT,1,19,512,35,1,30,1,8,8,8.938337516058636e-05,1.5303085714285714,True,1,64,16,1.530338183638439,512
16,512,1,1,32,1.5668936972288954,False,DLMT,1,2,256,35,1,1,2,8,8,0.00017425995125742026,1.5669514285714286,True,128,512,512,1.5670091599139617,1024
17,64,1024,8,8,1.5015668327213831,False,DLMT,1,30,512,35,1,1,1,8,1,0.00010011422048267401,1.5016,True,1,16,64,1.501633167278617,2048
18,512,2048,1,1,1.586881085892633,False,DLMT,1,1,1,35,1,1,19,8,8,6.226605194236326e-05,1.5869017142857145,True,64,128,32,1.586922342678796,1
19,256,1024,1,1,1.445514881480696,False,DLMT,7,1,128,35,256,29,1,1,32,7.581933413433321e-05,1.4455399999999998,True,128,64,256,1.4455651185193037,2048
20,1,1,8,8,1.4778078634138747,False,DLMT,1,26,512,35,128,17,1,1,32,7.889233169326612e-05,1.477834,True,512,1,32,1.4778601365861255,256
21,32,1,8,8,1.4860150241150138,False,DLMT,1,1,1024,35,256,7,1,8,1,5.2103507657383516e-05,1.4860322857142858,True,512,128,64,1.4860495473135578,128
22,64,64,1,1,1.4575878101209614,False,DLMT,1,26,128,35,1024,1,1,1,8,4.714372293577158e-05,1.4576034285714283,True,128,1,64,1.4576190470218953,1024
23,32,1,8,1,1.461231356399473,False,DLMT,19,1,1,35,256,1,15,1,8,6.921130024520401e-05,1.4612542857142856,True,1,16,32,1.4612772150290982,2048
24,1,128,1,8,1.4899568766424325,False,DLMT,1,1,2048,35,512,1,16,32,1,0.00012757902712932464,1.4899991428571429,True,1,1,64,1.4900414090718532,1024
25,512,1,32,1,1.5695920391907807,False,DLMT,30,1,64,35,1024,6,1,32,1,0.00022669767695037194,1.569667142857143,True,1,32,512,1.5697422465235051,1
26,32,1,1,1,1.5744386531114056,False,DLMT,10,1,2048,35,256,1,29,8,1,0.00019207269032152596,1.5745022857142856,True,32,256,1,1.5745659183171656,256
27,256,2048,32,1,1.490006097160989,False,DLMT,1,26,256,35,1024,1,19,1,1,0.00011527075491543827,1.4900442857142857,True,32,512,32,1.4900824742675824,1
28,16,1024,1,1,1.4887939849390264,False,DLMT,30,1,512,35,512,28,1,8,8,4.747845913288767e-05,1.4888097142857144,True,1,1,128,1.4888254436324024,1
29,1,2048,8,8,1.4834609262913416,False,DLMT,12,1,2048,35,256,29,1,32,1,5.2398784843344004e-05,1.4834782857142859,True,64,64,128,1.48349564513723,512
30,64,2048,8,1,1.4855120641156512,False,DLMT,5,1,512,35,512,1,6,32,1,8.259861144258707e-05,1.4855394285714287,True,32,1,1,1.4855667930272063,512
31,128,2048,1,8,1.5070376086873976,False,DLMT,1,22,1,35,2048,15,1,8,1,5.982559686970157e-05,1.5070574285714284,True,16,1,512,1.5070772484554593,2048
32,16,2048,1,32,1.7430107209557044,False,DLMT,1,29,1,35,128,1,22,1,32,8.320321814813973e-05,1.7430382857142857,True,512,512,64,1.7430658504728669,2048
33,32,2048,1,1,1.5796624246298494,False,DLMT,1,16,1,35,64,1,14,32,1,0.00010824537507204523,1.5796982857142858,True,512,128,512,1.5797341467987223,128
34,128,2048,8,8,1.4817180225857745,False,DLMT,28,1,1024,35,256,17,1,8,8,6.892527749345247e-05,1.481740857142857,True,64,64,1,1.4817636916999395,1
35,32,64,1,32,1.5672210346720246,False,DLMT,1,15,1,35,256,30,1,8,8,9.691738539517783e-05,1.5672531428571428,True,32,64,64,1.567285251042261,1
