id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,512,512,256,inf,1,False,512,64,SIMA,False,False,False,True,False,27,32,32,1,1,3,5,1,inf,False,inf,inf
2,128,64,128,0.09745188015152123,8,False,1,16,SIMA,False,False,True,True,False,29,1,16,35,8,15,1,18,6.764762215830973e-05,True,0.09747429142857142,0.09749670270562161
3,512,512,2048,0.21294540781023538,1,False,64,1,SIMA,True,False,True,False,True,20,32,16,35,1,1,19,21,0.00013071901630784202,True,0.21298871428571425,0.21303202076119312
4,2048,64,2048,0.18886496821468113,1,False,32,32,SIMA,False,False,False,True,True,10,1,256,35,1,5,1,24,0.00011954085630666397,True,0.18890457142857142,0.18894417464246172
5,512,1,512,0.09443175785792203,1,False,512,512,SIMA,True,False,True,False,True,5,1,128,35,8,20,26,1,3.4529064243778816e-05,True,0.09444319714285714,0.09445463642779224
6,1,1,1024,0.12154376636734857,1,False,256,128,SIMA,False,True,False,False,False,27,1,512,35,8,1,10,16,2.830259236702335e-05,True,0.12155314285714286,0.12156251934693715
7,512,1,1,0.2002386025838241,8,False,1,64,SIMA,False,False,False,False,False,21,8,16,35,1,27,29,1,2.8796966960472447e-05,True,0.20024814285714287,0.20025768313046166
8,2048,2048,512,0.10993579207494084,1,False,16,64,SIMA,False,False,True,False,False,23,1,64,35,8,24,1,24,3.8142803638272975e-05,True,0.10994842857142859,0.10996106506791634
9,128,2048,128,inf,1,False,16,16,SIMA,False,True,False,True,False,1,32,16,1,1,20,15,1,inf,False,inf,inf
10,2048,256,1,0.21677466994914607,1,False,1,128,SIMA,False,False,False,False,True,30,8,64,35,1,28,1,28,0.0004698929934635371,True,0.21693034285714288,0.2170860157651397
11,1,512,256,0.17997861435579576,1,False,256,16,SIMA,False,True,False,False,False,10,1,128,35,1,1,7,27,0.00020710950667485474,True,0.18004722857142857,0.1801158427870614
12,256,2048,1,0.22619741346799316,1,False,256,32,SIMA,False,True,False,True,False,6,1,256,35,32,8,1,2,0.0003791646069765414,True,0.22632302857142858,0.226448643674864
13,1024,1,512,0.14957197643756467,8,False,512,128,SIMA,True,True,False,False,True,14,8,32,35,1,1,20,9,0.00016211949233795815,True,0.14962568571428572,0.14967939499100677
14,512,1,256,inf,32,False,512,128,SIMA,False,True,False,True,True,15,1,32,1,1,1,19,8,inf,False,inf,inf
15,512,1,256,0.14829354717579005,8,False,512,64,SIMA,False,True,False,False,True,15,8,32,35,1,1,20,9,4.888607330585395e-05,True,0.14830974285714288,0.1483259385384957
16,512,1,256,0.17978500447032747,1,False,256,64,SIMA,True,True,False,True,False,14,1,16,35,1,1,19,8,3.9399015837704575e-05,True,0.17979805714285715,0.17981110981538684
17,512,1,512,0.20176621343633314,1,False,256,32,SIMA,False,False,False,True,True,15,1,32,35,1,1,21,9,6.0759922344134546e-05,True,0.20178634285714286,0.2018064722779526
18,1024,1,128,0.13343571107126093,8,False,256,32,SIMA,True,True,False,False,True,15,8,64,35,1,1,19,10,0.00010306867138179426,True,0.13346985714285714,0.13350400321445335
19,2048,1,256,0.12063281642301635,1,False,256,16,SIMA,True,False,False,False,False,14,8,32,35,1,1,20,10,6.687407599971887e-05,True,0.12065497142857143,0.12067712643412651
20,1024,1,128,0.2035606388103829,8,False,512,1,SIMA,False,False,False,True,False,13,1,16,35,1,1,19,10,0.0001509785117836602,True,0.20361065714285717,0.20366067547533145
21,2048,1,128,0.10826796614751331,1,False,512,1,SIMA,True,True,False,True,False,14,8,64,35,1,1,19,10,8.858628446841232e-05,True,0.10829731428571428,0.10832666242391524
22,2048,1,256,0.13696103924747474,1,False,512,1,SIMA,True,True,False,False,False,15,32,128,35,1,1,20,11,5.861220879994358e-05,True,0.13698045714285714,0.13699987503823954
23,2048,1,256,0.102463251379007,8,False,256,16,SIMA,True,True,True,True,False,13,8,64,35,1,1,19,10,7.866993305797885e-05,True,0.10248931428571428,0.10251537719242157
24,2048,1,512,0.1468291785801922,1,False,128,32,SIMA,True,True,True,False,True,14,32,128,35,1,1,20,10,0.0002981163668154871,True,0.14692794285714286,0.14702670713409352
25,2048,1,128,inf,32,False,256,1,SIMA,True,True,False,True,True,12,1,128,1,1,1,19,9,inf,False,inf,inf
26,2048,1,256,0.22396017128568355,1,False,256,16,SIMA,True,True,True,True,True,14,8,128,35,1,1,20,11,0.00025027417781631645,True,0.2240430857142857,0.22412600014288783
27,2048,1,128,0.12007660023021813,8,False,512,1,SIMA,True,True,False,True,False,12,1,32,35,8,1,20,10,5.3641713893086285e-05,True,0.12009437142857143,0.12011214262692474
28,2048,1,256,0.1298813958435482,1,False,128,16,SIMA,True,True,False,True,False,12,8,64,35,1,1,18,9,7.901004844386555e-05,True,0.12990757142857143,0.12993374701359467
29,1024,1,512,0.1324199635780996,8,False,512,32,SIMA,True,False,False,True,False,14,8,128,35,1,1,18,10,0.00028341429975589335,True,0.13251385714285713,0.13260775070761466
30,1024,1,128,0.12435499820309126,1,False,256,16,SIMA,True,True,True,False,False,14,32,128,35,1,1,19,11,0.00024217243982799672,True,0.12443522857142858,0.1245154589397659
31,2048,1,128,inf,1,False,256,1,SIMA,False,False,False,True,False,14,32,32,1,1,1,20,9,inf,False,inf,inf
32,1024,1,512,0.19723803272850096,8,False,512,1,SIMA,True,False,False,True,False,12,1,32,35,1,1,18,11,0.00014021664287371867,True,0.1972844857142857,0.19733093870007043
33,1024,1,128,0.16441320042263874,8,False,256,32,SIMA,True,True,True,True,False,12,1,64,35,1,1,18,9,0.0003062434085921244,True,0.1645146571428571,0.16461611386307545
34,1024,1,256,0.18402980981798392,1,False,128,1,SIMA,True,True,False,True,False,14,1,32,35,1,1,20,11,6.818764027090645e-05,True,0.18405239999999998,0.18407499018201604
35,1024,1,512,0.10506476546836037,1,False,512,1,SIMA,False,True,True,True,True,12,1,128,35,8,1,20,10,3.57221020018215e-05,True,0.10507659999999999,0.10508843453163962
36,2048,1,256,0.20635861450269521,1,False,256,16,SIMA,False,False,False,True,False,14,1,32,35,1,1,20,10,5.670333827411269e-05,True,0.20637740000000002,0.20639618549730482
37,2048,1,128,0.18329840730787197,8,False,128,32,SIMA,False,True,False,True,False,12,1,128,35,1,1,19,9,0.00025542619685697186,True,0.1833830285714286,0.18346764983498523
38,1024,1,256,0.23053873284646131,8,False,512,16,SIMA,True,True,False,True,True,14,8,128,35,1,1,18,10,4.4186026048505495e-05,True,0.23055337142857146,0.2305680100106816
