id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,256,64,128,2.933605370186107,1,False,64,4,DLMT,False,False,False,True,False,16,2,128,10,2.933790629813894,0.00014945233353818107,2.9336980000000006,1,2,True,30,8
2,1,2,1,3.8350208432811264,1,False,2,512,DLMT,False,False,True,False,False,10,64,128,10,3.835439156718874,0.0003374611088703868,3.83523,7,6,True,1,1
3,1024,2048,1,1.912911093527868,1,False,128,2,DLMT,False,True,True,True,True,11,4,1,10,1.912992906472132,6.5999999999993e-05,1.912952,20,19,True,1,8
4,16,128,2,4.2937835512642835,2,False,64,2,DLMT,True,False,True,False,True,30,32,1,10,4.2941384487357155,0.000286302287800896,4.2939609999999995,1,10,True,29,1
5,32,2048,512,2.0033635309409217,1,False,2,1,DLMT,True,False,False,True,True,8,1,8,10,2.004112469059079,0.0006041820917571228,2.0037380000000002,2,1,True,22,4
6,1,2048,1,2.1982892690661178,16,False,32,1,DLMT,False,True,True,True,False,27,4,16,10,2.198580730933882,0.00023512762491886935,2.198435,1,12,True,30,1
7,128,1,1,6.410628107316618,16,False,8,4,DLMT,True,False,False,True,False,20,1,512,10,6.410777892683382,0.0001208345976945657,6.410703,1,19,True,12,1
8,128,1024,2048,3.3903980618574256,4,False,4,8,DLMT,True,False,False,False,False,7,8,64,10,3.390555938142574,0.0001273616896873006,3.3904769999999997,21,4,True,1,1
9,128,64,1,inf,64,False,1,16,DLMT,True,True,False,True,True,30,1,2048,1,inf,inf,inf,2,29,False,1,1
10,8,2048,1024,2.0165833435698413,1,False,2048,8,DLMT,False,True,True,False,False,7,4,64,10,2.017614656430158,0.0008319789660803096,2.0170989999999995,30,19,True,1,1
11,1,512,1,1.9216745095852328,1,False,512,16,DLMT,True,True,True,False,False,6,2,256,10,1.9226054904147671,0.0007510392799315004,1.92214,19,1,True,15,16
12,8,2048,2048,inf,64,False,8,4,DLMT,False,True,False,True,True,8,1,512,1,inf,inf,inf,6,1,False,28,1
13,32,8,1024,2.5477262915734027,2,False,8,32,DLMT,True,True,False,False,False,19,4,1024,10,2.563825708426597,0.012987694329633667,2.555776,1,27,True,13,2
14,512,2048,4,1.6586196676327571,16,False,2048,256,DLMT,True,False,True,True,False,5,4,1,10,1.6588923323672427,0.00021996363335783785,1.658756,1,29,True,6,4
15,8,128,16,2.021066976001541,1,False,1,1,DLMT,False,True,False,True,False,17,1,8,10,2.0252550239984597,0.003378574995467753,2.0231610000000004,21,6,True,1,8
16,128,128,1024,1.4365828556898594,8,False,8,1,DLMT,False,True,True,False,False,6,1,1,10,1.4367951443101403,0.00017125711664043789,1.4366889999999999,5,2,True,1,8
17,16,256,2,4.1115144891575035,4,False,1,4,DLMT,False,True,True,True,False,26,8,1,10,4.112219510842497,0.0005687539010855189,4.111867,7,29,True,1,1
18,128,1,1024,4.310651948201038,2,False,2048,4,DLMT,False,True,True,True,False,30,2,64,10,4.3134780517989615,0.0022798695138100044,4.312065,1,30,True,21,32
19,2,256,1,inf,4,False,256,1,DLMT,False,True,False,False,True,14,2,2048,1,inf,inf,inf,1,30,False,7,1
20,64,128,512,5.895965463944089,1,False,128,2,DLMT,True,False,True,False,False,28,2,8,10,5.896594536055911,0.0005074839898953644,5.89628,9,10,True,1,32
21,64,1,2048,1.936477483250764,1,False,16,1,DLMT,True,True,True,False,True,9,4,8,10,1.9380325167492354,0.0012544739933533404,1.9372549999999997,1,30,True,30,8
22,2048,1,1024,2.5315793778376934,16,False,128,16,DLMT,True,False,False,True,False,1,1,32,10,2.5342446221623067,0.0021501013929580435,2.532912,9,28,True,1,2
23,1,1,512,1.9509948238106662,4,False,2048,16,DLMT,True,True,False,True,True,10,8,16,10,1.951139176189334,0.00011645170672856417,1.951067,9,24,True,1,8
24,256,1,32,3.6811094642428257,8,False,256,1,DLMT,True,True,False,True,False,29,4,16,10,3.6817685357571737,0.0005316850571531539,3.6814389999999997,1,19,True,1,1
25,8,2048,512,inf,1,False,4,4,DLMT,True,False,True,True,True,1,64,512,1,inf,inf,inf,3,1,False,2,1
26,1024,1,2048,1.6484998966234325,1,False,32,1,DLMT,True,False,True,True,True,24,4,1,10,1.6496281033765672,0.0009101450433859649,1.6490639999999999,30,3,True,1,16
27,128,1,256,3.0682397368573584,1,False,128,64,DLMT,False,False,False,False,False,1,4,1,10,3.0685542631426417,0.0002537341128031364,3.068397,30,26,True,1,1
28,8,1,1,1.9484686101217796,4,False,256,1,DLMT,True,False,False,False,False,10,4,2048,10,1.9510813898782204,0.002107777265272615,1.949775,29,1,True,30,16
29,2048,256,256,5.075952314348993,1,False,4,2,DLMT,False,False,False,False,False,30,16,128,10,5.085011685651005,0.00730836069170099,5.080481999999999,12,1,True,5,4
30,1,16,512,2.5725331465123054,4,False,1,2048,DLMT,False,False,True,True,True,2,4,256,10,2.5727188534876957,0.00014981321704047603,2.5726260000000005,1,24,True,18,2
31,2048,256,1,4.630658093086415,1,False,32,1024,DLMT,False,False,True,False,True,19,1,64,10,4.631211906913583,0.0004467717538072772,4.630934999999999,2,26,True,1,64
32,2048,64,1,2.9056093177670697,16,False,1,2048,DLMT,False,False,True,False,False,26,2,32,10,2.905942682232931,0.0002689312179721323,2.9057760000000004,3,1,True,3,1
33,1024,128,1024,3.702733164691564,16,False,1,256,DLMT,True,True,False,True,True,13,1,2,10,3.7030768353084365,0.00027724537868108483,3.7029050000000003,1,18,True,25,1
34,1,2048,1,inf,32,False,1,16,DLMT,True,True,False,False,True,1,2,2,1,inf,inf,inf,30,1,False,10,2
35,512,256,64,4.502249344767747,2,False,4,256,DLMT,True,True,True,True,True,6,4,8,10,4.502576655232253,0.00026404734423963864,4.502413,30,1,True,8,1
36,2048,256,256,3.210670150894392,2,False,64,2048,DLMT,True,True,False,False,False,14,32,16,10,3.211083849105608,0.00033373792112975387,3.210877,1,18,True,16,1
37,512,1,16,4.30303383686791,2,False,1,4,DLMT,True,True,True,False,False,25,1,1,10,4.303252163132091,0.00017612779451297244,4.303143,1,22,True,30,2
38,2048,8,256,inf,1,False,2,256,DLMT,True,True,True,True,False,15,16,2,1,inf,inf,inf,20,30,False,1,1
39,32,4,1,4.883093446907741,64,False,4,4,DLMT,True,True,True,True,False,1,1,2,10,4.88676255309226,0.0029599351344244238,4.884928,1,2,True,6,1
40,128,32,2048,inf,1,False,8,8,DLMT,False,True,False,True,False,4,64,16,1,inf,inf,inf,22,1,False,19,1
41,2,64,2048,6.197584814168664,1,False,16,1,DLMT,True,False,False,True,False,3,1,2048,10,6.198181185831336,0.0004811039388739067,6.197883,1,27,True,28,64
42,1024,1,2048,3.1808418219051955,4,False,512,256,DLMT,False,True,False,True,False,30,2,1,10,3.1810741780948044,0.00018744599222176474,3.180958,16,1,True,2,2
43,512,1,256,3.363817461553193,4,False,8,256,DLMT,False,False,True,False,True,24,4,4,10,3.3644365384468067,0.0004994206643702274,3.364127,1,25,True,8,16
44,1,1,512,5.743388220067147,1,False,64,2048,DLMT,True,False,False,True,False,20,1,1,10,5.745089779932852,0.0013726794964594718,5.744238999999999,1,28,True,25,64
