id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,RT_I,U_K,U_J,U_I,cost_std,correct_result,cost_mean,mean_confidence_interval_sup
1,128,1,2048,inf,16,False,8,4,DLMT,True,True,True,True,True,30,4,64,1,2,24,27,1,inf,False,inf,inf
2,1,8,16,inf,1,False,8,2,DLMT,True,False,False,True,False,20,64,4,1,1,3,1,1,inf,False,inf,inf
3,2048,256,2048,4.240910104275542,1,False,64,256,DLMT,True,False,True,False,False,25,2,32,10,32,11,1,13,0.0021682905709336886,True,4.242254,4.243597895724458
4,1024,1,8,2.419948946400356,2,False,1,1,DLMT,False,True,True,False,True,28,4,2,10,2,24,1,30,7.269112738155813e-05,True,2.419994,2.420039053599644
5,1,2048,128,4.542086288109769,1,False,2048,128,DLMT,True,True,True,False,True,3,32,64,10,1,1,9,30,0.0017936766709749253,True,4.543198,4.544309711890231
6,256,4,512,7.021510142648851,1,False,1,2,DLMT,True,True,True,True,False,10,1,16,10,64,19,17,1,0.0007338835057417297,True,7.021965,7.0224198573511485
7,32,2048,256,2.3203169257284086,2,False,2048,32,DLMT,True,True,True,True,True,30,4,1,10,2,9,11,1,0.00017759786034742298,True,2.320427,2.3205370742715914
8,1024,2048,1,5.81254871413928,16,False,16,4,DLMT,False,True,False,True,False,21,1,1024,10,2,30,1,15,0.00024409014728169395,True,5.8126999999999995,5.812851285860719
9,2048,128,256,5.961382971657646,1,False,64,2048,DLMT,False,False,True,False,True,2,1,256,10,64,14,29,1,0.0007793356144818821,True,5.9618660000000006,5.962349028342355
10,1024,1,1,2.8186915991555677,8,False,1,8,DLMT,True,True,False,False,False,30,8,16,10,2,11,30,1,0.00034753560968624783,True,2.8189070000000003,2.819122400844433
11,1,32,2048,3.214903833309489,32,False,8,1,DLMT,False,True,True,True,True,30,2,8,10,1,1,10,15,0.001095792407347379,True,3.215583,3.216262166690511
12,2048,1,2048,1.4358375355668702,8,False,2048,2048,DLMT,False,False,True,False,False,15,1,2048,10,8,1,7,6,0.0008058542051761087,True,1.4363370000000002,1.4368364644331302
13,32,1024,512,inf,4,False,8,2,DLMT,True,True,True,False,True,12,1,2,1,1,8,1,28,inf,False,inf,inf
14,1024,16,1,1.748347103507172,1,False,2,128,DLMT,True,False,True,False,False,13,1,32,10,4,1,29,23,0.0012502463757195835,True,1.7491219999999998,1.7498968964928276
15,2048,32,512,2.5001133682497585,1,False,1,64,DLMT,True,True,True,True,False,22,1,512,10,1,3,1,29,0.0011449458502478971,True,2.500823,2.5015326317502415
16,4,2048,1,inf,16,False,512,1,DLMT,True,False,False,False,True,30,2,256,1,1,24,1,28,inf,False,inf,inf
17,16,2048,16,2.6605392035080078,1,False,128,8,DLMT,False,False,True,False,False,3,8,16,10,1,19,1,6,0.001096808552118436,True,2.661219,2.6618987964919922
18,512,1,8,4.067819415573638,4,False,1024,256,DLMT,False,True,False,False,True,30,1,1,10,1,1,11,17,0.0003397646244094584,True,4.068029999999999,4.068240584426361
19,2048,1024,64,inf,1,False,2,2048,DLMT,False,True,False,True,False,15,64,16,1,1,1,30,26,inf,False,inf,inf
