id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,256,1024,128,3.3083074669223858,1,False,128,256,DLMT,False,True,False,False,True,15,64,128,10,3.3090105330776143,0.0005671763394218849,3.308659,20,23,True,1,1
2,2,256,512,5.980332761195478,1,False,64,1,DLMT,True,False,False,True,False,1,1,16,10,6.001417238804524,0.017009234109741662,5.990875000000001,8,25,True,1,64
3,2048,1,1,7.501078968182348,1,False,64,128,DLMT,False,True,False,False,True,13,1,2,10,7.5013830318176495,0.00024529370150902795,7.501230999999999,1,18,True,26,64
4,1,2048,2048,1.6498065088239124,2,False,256,256,DLMT,False,False,True,False,True,28,16,16,10,1.650019491176088,0.0001718167628609075,1.6499130000000002,22,1,True,23,4
5,4,2048,1,7.3876453829236635,64,False,32,1,DLMT,False,True,True,True,False,25,1,2048,10,7.388350617076338,0.0005689253026538694,7.3879980000000005,16,1,True,17,1
6,1024,1,32,3.3612484034896744,1,False,2048,32,DLMT,False,True,True,True,False,25,1,32,10,3.3619675965103264,0.0005801861770155757,3.3616080000000004,22,2,True,1,64
7,1,1024,16,2.914685273491694,2,False,32,2048,DLMT,False,False,True,False,False,9,1,2,10,2.914996726508306,0.0002512548506994424,2.914841,7,8,True,1,16
8,16,128,256,6.532893325687992,4,False,64,8,DLMT,False,True,False,False,False,26,2,2,10,6.533056674312009,0.00013177632564307236,6.532975,1,1,True,21,1
9,2048,1024,4,3.862660985076986,8,False,64,8,DLMT,True,True,False,True,True,4,4,1,10,3.868253014923014,0.004511192857770468,3.865457,1,3,True,24,8
10,512,64,2048,1.9746801994377485,32,False,32,1,DLMT,False,False,True,True,False,28,2,32,10,1.9748218005622513,0.00011423221962305085,1.974751,6,3,True,1,1
11,1,4,512,inf,4,False,1,1,DLMT,False,False,True,True,False,4,8,512,1,inf,inf,inf,30,19,False,1,2
12,1,2048,1,3.103664189733845,4,False,2048,2048,DLMT,True,False,False,True,True,8,16,128,10,3.104003810266155,0.00027397810131469695,3.103834,1,20,True,15,1
13,16,1,2,4.110261344803461,2,False,512,1,DLMT,False,True,True,False,True,21,2,1,10,4.117772655196538,0.006059511613983293,4.114017,22,27,True,1,4
14,1,256,1024,2.9630718375485445,1,False,16,4,DLMT,False,False,False,False,True,25,2,1024,10,2.963280162451455,0.00016805951326836956,2.963176,1,10,True,15,4
15,64,1,512,4.0517183020342005,1,False,2048,4,DLMT,True,True,True,False,False,10,4,2,10,4.0532796979658,0.0012596066846440798,4.052499,30,1,True,3,2
16,64,1,32,2.383846054938124,32,False,1,32,DLMT,True,False,False,True,False,29,1,1,10,2.3839419450618764,7.735631842323577e-05,2.383894,30,1,True,15,2
17,4,512,64,inf,64,False,128,4,DLMT,True,True,False,False,True,29,1,1,1,inf,inf,inf,1,10,False,30,1
18,2048,256,2048,3.1866381193584217,1,False,4,2048,DLMT,False,True,False,False,True,29,2,1024,10,3.186991880641578,0.0002853857039166219,3.1868149999999997,13,29,True,1,1
19,512,1,4,2.1321569722144953,2,False,1024,1,DLMT,True,True,True,False,True,26,1,4,10,2.133895027785505,0.0014021212501064719,2.133026,9,1,True,13,2
20,2048,128,256,5.09217788378614,8,False,2,256,DLMT,False,True,False,True,False,18,1,64,10,5.098006116213859,0.0047017418049060174,5.095091999999999,8,1,True,26,1
21,16,8,8,inf,2,False,8,4,DLMT,False,True,False,True,False,1,16,4,1,inf,inf,inf,1,1,False,2,2
22,2048,256,1,inf,1,False,2,2048,DLMT,True,False,False,True,False,25,4,8,1,inf,inf,inf,26,1,False,29,8
23,1024,1024,2048,3.233442833707041,4,False,128,4,DLMT,False,True,False,False,False,7,1,2048,10,3.2336331662929596,0.00015354478174134403,3.2335380000000002,1,26,True,30,4
24,512,1,1,4.00194745500649,1,False,4,2,DLMT,True,False,True,True,False,30,1,1024,10,4.010198544993508,0.006656305356577279,4.006072999999999,1,23,True,21,8
25,1024,2048,1,1.9143900779356453,1,False,64,16,DLMT,True,False,False,False,True,30,2,1024,10,1.916023922064355,0.0013180519716611877,1.915207,6,9,True,1,4
26,32,2048,4,2.1978740554076377,1,False,1,1,DLMT,False,True,True,False,False,3,2,2,10,2.197977944592362,8.380930735901206e-05,2.197926,17,1,True,11,2
27,256,128,1,1.7340608933103192,1,False,128,256,DLMT,False,True,True,True,True,1,2,2048,10,1.7358111066896809,0.0014119291766940996,1.734936,27,9,True,1,16
28,2048,8,16,1.5839525179850307,2,False,4,1,DLMT,True,True,True,False,False,29,4,16,10,1.584317482014969,0.00029442316484949764,1.5841349999999998,30,1,True,7,16
29,32,4,2048,2.1681113435706845,2,False,4,32,DLMT,True,True,True,False,False,26,1,16,10,2.168650656429315,0.0004350735569992689,2.1683809999999997,28,11,True,1,2
30,2048,128,8,4.623554859333148,1,False,4,32,DLMT,False,False,True,False,False,2,8,1,10,4.623919140666852,0.0002938724212987759,4.623737,12,1,True,6,1
31,1,1,2048,5.455017694142563,8,False,512,64,DLMT,False,False,False,True,False,24,2,2048,10,5.455210305857437,0.00015538339679642475,5.455114,23,1,True,8,1
32,1,8,512,2.4683040301432166,16,False,2,2048,DLMT,False,True,False,False,True,2,1,256,10,2.4685979698567833,0.00023712654849253803,2.468451,1,22,True,14,4
33,1,1024,512,4.285587881833219,1,False,8,512,DLMT,True,True,False,True,True,11,1,4,10,4.28591611816678,0.0002647942597564753,4.285752,1,20,True,1,8
34,16,1,1024,3.365515026202391,1,False,1,16,DLMT,False,False,False,True,True,5,64,16,10,3.3658729737976087,0.00028876287850061017,3.365694,30,4,True,1,1
35,1,128,4,6.8775410492692055,64,False,1,4,DLMT,True,False,False,False,False,22,1,1,10,6.877876950730795,0.00027097785887406187,6.877709,1,1,True,21,1
36,8,1024,1,8.985524226336867,2,False,1,4,DLMT,False,False,False,False,False,25,1,4,10,8.986893773663134,0.0011048389022842154,8.986209,1,30,True,6,32
37,1024,512,256,3.452089394433456,16,False,2,1,DLMT,False,False,False,False,True,1,4,128,10,3.4527846055665434,0.0005608395492473832,3.4524369999999998,1,30,True,27,1
38,512,8,256,inf,2,False,1,4,DLMT,False,True,True,True,True,22,16,8,1,inf,inf,inf,1,21,False,7,1
39,2048,2048,512,1.6823149439173626,8,False,2048,512,DLMT,True,False,True,False,True,23,2,1,10,1.6828410560826372,0.00042442431598577185,1.682578,10,21,True,1,4
40,128,16,2048,2.5577621695654384,1,False,8,128,DLMT,True,False,False,True,False,12,4,256,10,2.5588638304345617,0.000888729992742401,2.558313,6,1,True,29,16
41,1,2048,1,3.2322862320366164,1,False,2,512,DLMT,True,False,True,False,False,25,64,2,10,3.2346717679633836,0.0019244555074098275,3.233479,1,5,True,30,1
42,1,4,2048,inf,1,False,1,64,DLMT,True,False,False,True,True,20,64,2048,1,inf,inf,inf,9,30,False,1,1
43,256,1,256,2.935304812036648,4,False,2,16,DLMT,False,True,False,False,False,11,8,64,10,2.9379771879633525,0.0021558545869329207,2.9366410000000003,8,9,True,1,8
44,4,2048,16,2.8437027978824467,1,False,256,1,DLMT,True,False,True,False,False,24,16,8,10,2.8438352021175533,0.00010681292056680533,2.843769,5,14,True,1,2
45,2048,8,1024,4.959443370978002,4,False,8,2,DLMT,True,False,True,True,False,10,1,4,10,4.959536629021999,7.523297149539022e-05,4.959490000000001,1,29,True,3,4
46,2048,512,512,2.0284046906259117,1,False,256,256,DLMT,True,False,True,True,False,14,2,128,10,2.0285813093740885,0.00014248157775657527,2.028493,1,8,True,8,2
47,16,16,32,1.698366493036799,1,False,1,1,DLMT,False,False,False,False,True,29,1,8,10,1.6985075069632014,0.00011375851616470805,1.6984370000000002,18,2,True,1,8
48,2048,1,256,1.6231687486467377,1,False,64,2048,DLMT,False,False,True,True,False,27,2,128,10,1.623569251353262,0.00032309286590699517,1.6233689999999998,1,1,True,3,8
49,128,1024,16,2.500077908163374,4,False,8,64,DLMT,False,False,True,True,True,17,2,16,10,2.5001920918366265,9.21140597302891e-05,2.500135,1,28,True,5,2
50,8,64,64,inf,16,False,8,4,DLMT,True,True,True,False,True,12,4,8,1,inf,inf,inf,20,1,False,7,2
51,1,2048,1,2.640690946225477,1,False,512,4,DLMT,False,True,True,True,True,24,1,128,10,2.6465390537745224,0.004717775429161549,2.6436149999999996,30,1,True,30,16
52,256,2048,128,5.3056968612833355,1,False,32,8,DLMT,True,False,False,False,True,18,1,1,10,5.306193138716663,0.0004003560914984849,5.3059449999999995,24,5,True,1,64
53,256,512,1,inf,1,False,8,1,DLMT,True,True,False,True,False,30,32,1,1,inf,inf,inf,12,1,False,10,2
54,16,512,2048,1.8218412707089198,4,False,1,1,DLMT,True,False,True,True,True,12,16,512,10,1.8220267292910801,0.00014961283367415627,1.821934,2,1,True,1,4
55,1,1,1,3.084237277442657,1,True,1,1,DLMT,False,False,False,False,False,1,1,1,10,3.0851947225573424,0.0007723885032805352,3.084716,1,1,True,1,1
56,512,4,32,3.4808128896925132,4,False,1,512,DLMT,True,False,True,True,True,29,1,4,10,3.4858251103074855,0.0040434501357133204,3.4833189999999994,1,8,True,30,8
57,128,1,32,4.200984177571336,1,False,2048,8,DLMT,True,False,False,False,False,30,64,2,10,4.2014778224286635,0.0003982323442414393,4.201231,1,4,True,22,1
58,16,2048,256,3.8827849636535565,2,False,2048,8,DLMT,True,True,False,False,False,29,1,256,10,3.8885330363464425,0.0046370754792217864,3.8856589999999995,1,18,True,14,32
59,1,1024,2048,2.9531331051052776,2,False,256,256,DLMT,False,True,True,False,False,6,1,1,10,2.9532708948947226,0.00011115754585276789,2.953202,6,1,True,7,1
60,1,8,4,3.497389595110386,1,False,1,1024,DLMT,True,True,True,False,True,2,16,2,10,3.500728404889614,0.002693478977085211,3.499059,7,1,True,4,1
61,2048,1,256,2.6213010624198643,4,False,8,256,DLMT,False,True,False,False,True,30,4,8,10,2.6225009375801354,0.0009679612595554445,2.621901,1,27,True,28,2
62,1024,512,32,3.0802636354558866,64,False,2,256,DLMT,True,False,True,False,False,21,1,4,10,3.0894503645441125,0.007411102549553604,3.0848569999999995,11,21,True,1,1
63,2,512,64,2.7829569366598665,2,False,128,1,DLMT,True,False,False,False,False,28,2,8,10,2.7831270633401335,0.0001372443077143325,2.783042,20,5,True,1,4
64,64,16,128,1.828286473650008,4,False,16,64,DLMT,False,False,True,False,False,16,4,1,10,1.8300875263499918,0.0014529421874252667,1.829187,1,2,True,30,2
65,1,2048,256,4.89368182979854,4,False,512,2048,DLMT,False,True,False,False,True,1,4,8,10,4.893902170201461,0.00017775263711132573,4.893792,1,25,True,13,16
66,1,1024,128,2.9659813568240887,2,False,1,16,DLMT,False,True,True,False,False,8,2,2,10,2.966580643175911,0.00048345527197459875,2.966281,30,30,True,1,1
67,1,1,32,4.42741899867906,2,False,2048,512,DLMT,True,True,False,True,False,19,2,1,10,4.4289210013209415,0.001211693030432972,4.428170000000001,24,18,True,1,32
68,8,2048,1,2.1367331682143327,1,False,4,1,DLMT,True,False,False,False,False,21,4,256,10,2.138954831785668,0.0017922566780459023,2.1378440000000003,1,30,True,1,4
69,2048,2048,2048,4.066295644133555,1,False,2048,128,DLMT,True,True,True,True,True,3,2,4,10,4.066972355866445,0.0005459157444146998,4.066634,5,1,True,30,8
70,256,512,2048,3.316119701999617,16,False,512,256,DLMT,False,False,True,False,True,10,4,64,10,3.316468298000384,0.00028121877604455275,3.3162940000000005,12,1,True,19,1
71,2048,16,16,4.74224532189894,64,False,8,2048,DLMT,False,True,False,True,False,8,1,1,10,4.74432267810106,0.001675841281267328,4.743284,22,1,True,10,1
72,1,512,4,6.885844658726203,16,False,2,8,DLMT,False,False,False,True,False,30,2,2,10,6.886033341273798,0.00015221366561506394,6.8859390000000005,23,1,True,9,4
73,128,1024,256,5.005453181608441,1,False,1024,4,DLMT,False,True,False,False,False,24,8,4,10,5.005704818391557,0.0002030000000000753,5.005578999999999,1,25,True,18,1
74,256,512,8,6.724005863453051,1,False,8,1,DLMT,False,False,False,False,False,11,1,8,10,6.7311261365469495,0.005744054665478145,6.727566,30,1,True,30,64
75,512,1,2048,2.7835429704695045,64,False,128,512,DLMT,False,True,True,True,True,4,1,2048,10,2.7841910295304952,0.0005228011094096407,2.783867,1,10,True,30,1
76,128,2048,1,inf,8,False,128,2,DLMT,True,True,True,True,True,11,8,1,1,inf,inf,inf,23,1,False,15,1
77,32,1,512,4.87199329560422,1,False,128,16,DLMT,False,False,True,False,True,5,16,2,10,4.873438704395781,0.0011660377352383702,4.8727160000000005,28,1,True,6,4
78,1024,256,1,2.3943871658626654,4,False,256,4,DLMT,False,False,False,False,False,2,2,2048,10,2.397088834137334,0.002179485260330982,2.3957379999999997,1,10,True,2,8
79,2048,1,2048,inf,64,False,256,16,DLMT,False,True,False,True,True,23,1,4,1,inf,inf,inf,5,3,False,1,1
80,128,256,256,2.0566030454291133,4,False,1,64,DLMT,False,True,True,True,False,16,16,8,10,2.0573189545708863,0.0005775370118009951,2.056961,1,14,True,22,2
81,1024,2048,2048,inf,4,False,2,512,DLMT,True,True,False,True,True,11,4,2048,1,inf,inf,inf,17,1,False,23,2
82,2048,256,8,3.7369011018099667,1,False,1,2048,DLMT,True,True,True,False,True,18,4,1,10,3.737096898190033,0.00015795252451297225,3.736999,1,15,True,27,1
83,2048,1024,1,5.0960829436064135,1,False,16,8,DLMT,True,False,True,False,True,20,16,2048,10,5.096323056393588,0.00019370338148846575,5.096203000000001,1,18,True,9,1
84,512,256,1,2.985723133648047,64,False,8,128,DLMT,True,True,False,False,True,24,1,32,10,2.986050866351954,0.0002643879724949526,2.9858870000000004,30,11,True,1,1
85,512,32,256,1.5720263388024747,8,False,16,1,DLMT,True,True,True,False,False,17,8,8,10,1.572329661197525,0.00024469572942737534,1.5721779999999999,30,22,True,1,4
86,2048,512,2,1.8357717425287492,4,False,256,64,DLMT,True,True,True,False,False,21,16,2,10,1.8360922574712502,0.000258565272223444,1.8359319999999997,1,30,True,30,2
87,2048,128,2048,4.1300451704294785,8,False,16,2048,DLMT,True,True,False,True,False,26,1,16,10,4.130220829570519,0.0001417074451114609,4.130132999999999,30,1,True,8,1
