id,T2_K,T2_J,T2_I,mean_confidence_interval_inf,RT_K,baseline,T1_J,T1_K,technique,VEC2,VEC1,SCR,ACOPY_x,ACOPY_y,U1_I,RT_J,T1_I,runs,mean_confidence_interval_sup,cost_std,cost_mean,U_J,U_I,correct_result,U_K,RT_I
1,1,1,1,0.1774184799558158,1,True,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.177608662901327,0.0002870301413455004,0.1775135714285714,1,1,True,1,1
2,1,1,1,0.1810605404096315,1,False,1,1,SIMP,False,False,False,False,False,1,1,2048,35,0.18112985959036854,0.00010461870906159241,0.1810952,1,1,True,1,1
3,1,1,1,0.17161968004076056,1,False,2048,1,SIMP,False,False,False,False,False,1,1,1,35,0.17165694853066804,5.6246788570459084e-05,0.1716383142857143,1,1,True,1,1
4,1,1,1,0.19191693108750824,1,False,1,2048,SIMP,False,False,False,False,False,1,1,1,35,0.1919392974839203,3.375607579475396e-05,0.19192811428571427,1,1,True,1,1
5,1,1,2048,0.1819149039486471,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.18200058176563857,0.00012930768242719958,0.18195774285714283,1,1,True,1,1
6,1,2048,1,0.17057924953313294,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.17059697903829554,2.6757932258966518e-05,0.17058811428571424,1,1,True,1,1
7,2048,1,1,0.19209939456120884,1,False,1,1,SIMP,False,False,False,False,False,1,1,1,35,0.19212146258164836,3.330575730092113e-05,0.1921104285714286,1,1,True,1,1
8,1,1,1,0.17752835506201434,1,False,1,1,SIMP,False,False,False,True,False,1,1,1,35,0.1776873020808428,0.0002398878887807248,0.17760782857142857,1,1,True,1,1
9,1,1,1,0.17800660925907422,1,False,1,1,SIMP,False,False,False,False,True,1,1,1,35,0.1781868193123544,0.0002719787356633977,0.1780967142857143,1,1,True,1,1
10,1,1,1,0.1761768141556198,1,False,1,1,SIMP,False,False,False,False,False,30,1,1,35,0.17652701441580881,0.0005285333546132885,0.1763519142857143,1,1,True,1,1
