id,runs,baseline,mean_confidence_interval_inf,T1_I,T1_J,cost_mean,U_J,U_I,technique,T2_I,cost_std,correct_result,T2_J,U1_I,OMP,VEC2,mean_confidence_interval_sup,VEC1,RT_I,SCR,RT_J
1,1,False,inf,1,128,inf,15,1,DLMT,1,inf,False,512,20,True,True,inf,True,8,False,4
2,10,False,1.6076405429207898,2048,8,1.607791,9,1,DLMT,1,0.00024275296084699588,True,8,13,False,False,1.60794145707921,False,4,True,1
3,10,False,5.589876829033375,8,32,5.590043,23,1,DLMT,128,0.00026810632219326436,True,1,23,False,True,5.590209170966625,True,1,False,1
4,10,False,2.2200419250895953,2,512,2.220147,20,1,DLMT,1024,0.00016953170794864803,True,512,1,False,True,2.2202520749104044,True,2,True,32
5,10,False,0.8694774631102968,256,1,0.8915571999999999,1,1,DLMT,1,0.035624255986055356,True,32,26,True,False,0.913636936889703,True,2,False,32
6,10,False,0.8457827418154927,8,2048,0.8901975,1,22,DLMT,1024,0.07166039717898581,True,2048,25,True,False,0.9346122581845072,True,2,False,1
7,10,False,0.6022463038826058,8,16,0.7437007999999999,10,1,DLMT,2048,0.22822786363974057,True,2048,25,True,True,0.8851552961173941,False,2,False,8
8,10,False,0.5864005024725825,256,128,0.7233049,1,22,DLMT,2048,0.22088656796484932,True,2048,10,True,True,0.8602092975274176,True,1,True,32
9,10,False,0.8809963272541098,1,16,0.9108153999999999,22,1,DLMT,2,0.048111183845754586,True,16,9,True,True,0.9406344727458901,True,2,False,16
10,10,False,5.601416383442412,4,1,5.601596000000001,23,1,DLMT,1,0.00028979993098696345,True,2048,6,False,False,5.601775616557589,True,1,False,16
11,10,False,1.6482015325329695,16,256,1.6483,1,29,DLMT,1,0.00015887101686586959,True,1,30,False,True,1.6483984674670307,False,4,True,16
12,10,False,5.692935798226458,4,8,5.693112999999999,1,20,DLMT,256,0.00028590382998491175,True,16,29,False,False,5.693290201773541,True,8,False,8
13,10,False,6.613192724361809,2048,1,6.615696,15,1,DLMT,2048,0.004038876576475163,True,2,25,False,True,6.61819927563819,False,32,False,2
14,1,False,inf,1,256,inf,2,1,DLMT,1,inf,False,1,8,True,False,inf,False,2,False,2
15,10,False,0.5223349724552542,128,2048,0.6251417000000001,28,1,DLMT,512,0.16587213866894585,True,2048,29,True,True,0.7279484275447461,True,8,True,2
16,10,False,0.6678853663088278,64,64,0.7753960000000001,11,1,DLMT,2048,0.17346159308734593,True,512,28,True,False,0.8829066336911724,False,32,True,1
17,10,False,4.368158385172814,16,2048,4.370537000000001,9,1,DLMT,2048,0.0038377442593273783,True,1,23,False,False,4.372915614827187,True,8,False,8
18,10,False,2.2305065701262574,1,4,2.2316849999999997,1,9,DLMT,2,0.0019013219085677838,True,2048,2,False,False,2.232863429873742,True,16,True,1
19,10,False,0.7297693575607123,4,256,0.8034646999999999,1,1,DLMT,32,0.11890276397548544,True,512,15,True,True,0.8771600424392876,False,16,True,8
20,10,False,0.619257784742436,1024,8,0.7225675,1,25,DLMT,2048,0.1666836774625818,True,512,2,True,True,0.8258772152575641,False,1,False,2
21,10,False,0.9498263632542661,2,64,0.9743618000000002,1,30,DLMT,256,0.03958637205352368,True,64,13,True,True,0.9988972367457343,True,32,False,1
22,10,False,0.8623311179776166,8,256,0.8862855,23,1,DLMT,8,0.03864887708653383,True,512,23,True,False,0.9102398820223833,False,2,False,32
23,10,False,0.8532456702902896,64,8,0.8670034,1,15,DLMT,1,0.022197224876997563,True,1,2,True,False,0.8807611297097103,True,32,False,2
24,10,False,8.097127850577273,64,4,8.098379000000001,8,1,DLMT,64,0.0020186502916550715,True,32,7,False,False,8.09963014942273,False,1,False,32
25,10,False,5.509989690893009,8,4,5.5100750000000005,9,1,DLMT,8,0.00013764083696340184,True,2048,30,False,False,5.510160309106992,True,2,False,4
26,10,False,5.596762565327367,1024,128,5.59838,30,1,DLMT,1,0.0026096283260264846,True,256,18,False,False,5.599997434672632,True,1,False,1
27,10,False,1.9658451395236853,256,2,1.967379,1,30,DLMT,256,0.0024747866574717195,True,512,8,False,True,1.9689128604763146,True,2,True,8
28,10,False,4.587588450735454,2,2048,4.587712,1,8,DLMT,8,0.00019933890739151985,True,1,25,False,True,4.587835549264546,False,2,False,2
29,10,False,0.4640511909118352,2048,4,0.6032055,1,6,DLMT,2048,0.2245166576614083,True,256,30,True,False,0.7423598090881647,True,1,True,32
30,10,False,3.8902833654517583,64,64,3.892022,1,30,DLMT,1024,0.0028051766432793624,True,1,10,False,False,3.8937606345482414,False,8,False,2
31,10,False,0.8106192782749875,1,8,0.8351735,1,24,DLMT,16,0.03961668042693635,True,1024,20,True,False,0.8597277217250126,True,2,True,32
32,10,False,3.670587296084086,8,4,3.670684,30,1,DLMT,1,0.00015602563891874103,True,32,19,False,False,3.670780703915914,False,32,True,2
33,10,False,0.868695994987508,1,1,0.8919097,25,1,DLMT,8,0.037453841677590284,True,8,18,True,False,0.915123405012492,True,1,True,2
34,10,False,0.8165560805840952,16,1,0.8358839,14,1,DLMT,1,0.03118421156755452,True,256,4,True,True,0.8552117194159048,True,4,False,1
35,10,False,0.9622649326755864,2,1024,0.9831524,30,1,DLMT,64,0.03370060461238045,True,1,1,True,False,1.0040398673244135,True,8,False,4
36,10,False,0.7390428753044036,8,16,0.7625504,1,12,DLMT,128,0.037927901113032854,True,16,1,True,False,0.7860579246955963,True,4,True,4
37,10,False,0.7121774147805494,1,1,0.7660619,1,14,DLMT,512,0.08693920152779183,True,64,18,True,True,0.8199463852194505,False,2,True,16
38,10,False,4.5876273626659385,8,4,4.5878309999999995,1,1,DLMT,2048,0.00032855593131142323,True,512,10,False,True,4.588034637334061,True,2,False,1
39,10,True,5.789502308744202,1,1,5.789769000000001,1,1,DLMT,1,0.00043028943747198386,True,1,1,False,False,5.790035691255799,False,1,False,1
40,10,False,0.9046157115462962,4,2,0.9197350999999999,1,22,DLMT,1,0.024394174954074605,True,256,5,True,True,0.9348544884537037,False,1,True,16
41,10,False,0.6060986659764143,8,16,0.7828701,1,20,DLMT,2048,0.28520950444908033,True,64,30,True,False,0.9596415340235858,True,32,True,4
42,10,False,0.40438661699884804,1,2048,0.5549751,30,1,DLMT,2048,0.2429649725349109,True,1,4,True,False,0.7055635830011521,True,8,True,16
43,10,False,0.7481813409108742,1,64,0.7688601,15,1,DLMT,64,0.03336386710335,True,64,21,True,True,0.7895388590891259,True,4,True,2
44,10,False,0.6449322619754144,128,1,0.6827787000000001,1,1,DLMT,512,0.061062828922430375,True,256,18,True,True,0.7206251380245857,True,8,True,1
45,10,False,0.5892524557031754,512,1,0.7278549,28,1,DLMT,2048,0.22362625879956494,True,4,13,True,True,0.8664573442968245,True,32,True,1
46,10,False,0.7308553313654899,64,256,0.7761323000000001,11,1,DLMT,1,0.07305151909036527,True,2048,26,True,False,0.8214092686345104,True,4,True,1
47,10,False,0.7268216391905734,512,1,0.7613012000000001,1,28,DLMT,512,0.05563058593939127,True,16,1,True,True,0.7957807608094268,False,16,True,4
48,10,False,0.7102213221538721,8,2048,0.7507341000000001,1,2,DLMT,1024,0.06536479922320576,True,1,22,True,True,0.791246877846128,True,32,True,1
49,10,False,0.685454257539042,1024,1024,0.7446954,1,14,DLMT,1024,0.09558182846461977,True,1,30,True,False,0.803936542460958,True,4,True,32
50,10,False,0.769899793565852,64,2048,0.8240964,20,1,DLMT,1024,0.08744278932444914,True,2048,11,True,False,0.8782930064341479,True,1,True,2
51,1,False,inf,1,8,inf,1,3,DLMT,1,inf,False,1024,30,True,True,inf,False,16,True,4
52,10,False,0.4365655749325915,1024,64,0.5847625,5,1,DLMT,2048,0.23910634539352985,True,1,11,True,False,0.7329594250674084,False,8,True,2
53,10,False,0.7593590282181454,64,8,0.7966357,1,20,DLMT,64,0.06014354720341991,True,1,4,True,True,0.8339123717818545,True,1,True,1
54,10,False,0.6235281560738327,2048,8,0.7596874,6,1,DLMT,2048,0.21968430985948909,True,32,3,True,True,0.8958466439261673,False,1,True,32
55,10,False,0.8042466326508346,64,2048,0.8361436,1,23,DLMT,1,0.05146373508442619,True,2048,19,True,True,0.8680405673491653,False,32,True,1
56,10,False,0.7990732074884682,64,8,0.8196415,1,30,DLMT,128,0.03318563628213267,True,2048,26,True,True,0.8402097925115318,True,2,True,32
57,10,False,0.5578423202024858,2,8,0.6993486,22,1,DLMT,2048,0.22831141332539642,True,2048,23,True,True,0.8408548797975142,True,16,True,1
58,10,False,0.7299437842359917,16,128,0.7556736,1,7,DLMT,16,0.04151342689588514,True,256,21,True,True,0.7814034157640082,False,8,True,1
59,10,False,0.46898294799026874,2048,1,0.6223838999999999,1,25,DLMT,2048,0.24750271301682736,True,1024,11,True,True,0.775784852009731,False,2,True,2
60,10,False,0.8805818373853839,2,256,0.9052313,29,1,DLMT,256,0.039770345565634704,True,2048,29,True,False,0.929880762614616,False,1,True,1
61,10,False,0.8168069716076443,1,16,0.8425974999999999,1,30,DLMT,8,0.04161138287355997,True,1,8,True,False,0.8683880283923555,True,2,True,1
62,10,False,0.49922994416967803,64,4,0.6473384999999999,20,1,DLMT,2048,0.23896376723062013,True,1,1,True,True,0.7954470558303218,False,2,True,4
63,10,False,0.47783398881238925,2048,128,0.6156828000000001,1,29,DLMT,1,0.22241031954556426,True,128,15,True,True,0.7535316111876109,True,4,True,32
64,10,False,0.5987181910620628,1,256,0.7351467,18,1,DLMT,2048,0.22011875188908828,True,256,2,True,True,0.8715752089379373,False,1,True,16
65,10,False,0.3882889269181988,2048,1,0.47596739999999993,4,1,DLMT,1,0.1414636589709173,True,1,29,True,True,0.5636458730818011,False,8,True,8
66,10,False,0.7111855494863328,32,1,0.7420817,1,10,DLMT,1,0.04984898055537345,True,64,4,True,False,0.7729778505136671,True,8,True,2
67,10,False,0.7165400106767452,16,2048,0.7472453000000001,9,1,DLMT,16,0.04954103812204585,True,2048,29,True,True,0.777950589323255,True,8,True,4
68,10,False,0.5577310254235284,1,1,0.6733587000000001,6,1,DLMT,64,0.18655792407134575,True,2048,12,True,True,0.7889863745764718,False,2,True,32
69,10,False,0.8386544274704046,16,32,0.8639555,30,1,DLMT,1,0.04082167686229951,True,1,5,True,True,0.8892565725295953,False,1,True,2
70,10,False,0.42554230705346285,8,16,0.5934283,1,1,DLMT,2048,0.27087340845939456,True,16,29,True,True,0.7613142929465372,False,4,True,1
71,10,False,0.8178482063783943,4,4,0.852671,7,1,DLMT,256,0.05618437032663088,True,64,10,True,False,0.8874937936216056,False,2,True,4
72,10,False,0.8354820288269944,2,128,0.8652503000000001,1,1,DLMT,128,0.0480292187278744,True,2048,1,True,False,0.8950185711730059,True,4,True,8
73,10,False,0.8851435123528035,4,4,0.9225054,24,1,DLMT,512,0.060281037600890715,True,1,8,True,True,0.9598672876471965,False,8,True,16
74,10,False,0.8940177973762842,4,1,0.9175612,25,1,DLMT,4,0.037985787875993826,True,8,24,True,False,0.9411046026237158,False,1,True,32
75,10,False,0.6290564921599759,512,4,0.689891,1,8,DLMT,1,0.0981526225110669,True,8,17,True,True,0.7507255078400241,True,1,True,8
76,10,False,0.6730729121154005,512,8,0.7370424999999999,28,1,DLMT,1,0.10321087545142713,True,256,3,True,False,0.8010120878845993,False,2,True,1
77,10,False,0.5396542893702556,2048,2,0.5544754000000001,1,15,DLMT,1,0.02391292259093396,True,1024,12,True,False,0.5692965106297445,False,2,True,32
78,10,False,0.5910438767432841,2048,1,0.6889341,26,1,DLMT,1,0.1579396706242292,True,32,7,True,False,0.7868243232567159,False,32,True,4
79,10,False,0.4995757668524576,2048,1,0.6383640000000002,1,30,DLMT,2048,0.2239260173342973,True,2,11,True,True,0.7771522331475427,True,1,True,8
80,10,False,0.49809733995005767,2048,128,0.6358188,1,17,DLMT,1,0.22220484655686515,True,1,20,True,True,0.7735402600499424,True,1,True,16
81,10,False,0.44171158036563424,2048,8,0.5732644,1,23,DLMT,1,0.21225213623480918,True,8,8,True,True,0.7048172196343658,True,2,True,32
82,10,False,0.42496126532397094,2048,4,0.5851926000000001,30,1,DLMT,1,0.25852310251704774,True,128,30,True,False,0.7454239346760292,True,8,True,2
83,10,False,0.4378632992525662,2048,512,0.5843638999999999,1,9,DLMT,2048,0.23636943362179894,True,1024,29,True,True,0.7308645007474337,True,4,True,32
84,10,False,0.6387683206890211,2048,16,0.7701857,16,1,DLMT,1,0.2120336118576722,True,512,20,True,True,0.9016030793109788,True,1,True,32
85,10,False,0.5572193684992497,2048,2048,0.6993967999999999,4,1,DLMT,1,0.22939427405879165,True,2048,17,True,True,0.8415742315007502,False,1,True,4
86,10,False,0.41934844275595684,2048,64,0.5822994,1,29,DLMT,1,0.26291104115202163,True,1,1,True,True,0.7452503572440432,False,16,True,4
87,10,False,0.6039802579913227,2048,4,0.7412639999999999,10,1,DLMT,1,0.22149861624127587,True,2048,30,True,True,0.8785477420086771,False,32,True,1
88,10,False,0.44373066217544743,2048,16,0.5661317,30,1,DLMT,2048,0.197486316354349,True,2048,11,True,False,0.6885327378245526,True,8,True,16
89,10,False,0.4650435682355273,2048,2,0.6012618,1,24,DLMT,2048,0.2197794829977539,True,1,30,True,False,0.7374800317644726,False,16,True,4
90,10,False,0.4097241893807335,2048,2048,0.5229073000000001,22,1,DLMT,2048,0.18261377507080345,True,1,1,True,False,0.6360904106192666,True,4,True,16
91,10,False,0.4690602167287723,2048,1,0.6085641,8,1,DLMT,1,0.22508067344863264,True,256,2,True,True,0.7480679832712278,True,4,True,1
92,10,False,0.46953778698216475,2048,8,0.5664529,1,23,DLMT,1,0.1563663920594512,True,512,21,True,False,0.6633680130178353,False,4,True,16
93,10,False,0.3842973881721896,2048,128,0.5398813,7,1,DLMT,2048,0.2510247803202106,True,256,9,True,False,0.6954652118278104,False,8,True,16
94,10,False,0.5677080106378197,2048,128,0.7055121000000001,1,28,DLMT,2048,0.22233816371484677,True,128,2,True,True,0.8433161893621804,True,32,True,4
95,10,False,0.51380886671088,2048,32,0.6625186000000001,8,1,DLMT,2048,0.2399337289558098,True,32,2,True,False,0.8112283332891201,True,1,True,4
96,10,False,0.4163785770770458,2048,128,0.5717405,1,1,DLMT,1,0.25066661529260337,True,256,8,True,True,0.7271024229229541,True,8,True,4
97,10,False,0.5132717040021293,2048,256,0.5342046,1,26,DLMT,2048,0.03377390089758659,True,1,20,True,False,0.5551374959978708,False,2,True,32
98,10,False,0.4345538544642396,2048,4,0.44735640000000004,6,1,DLMT,2048,0.020656095755006564,True,8,19,True,True,0.4601589455357605,False,4,True,1
99,10,False,0.41975758875712577,2048,1,0.5683556000000001,1,10,DLMT,2048,0.2397534725154987,True,1024,18,True,True,0.7169536112428744,False,16,True,2
100,10,False,0.40172412068012475,2048,128,0.5475264,23,1,DLMT,2048,0.23524273626031472,True,2048,8,True,False,0.6933286793198752,True,8,True,2
101,10,False,0.4158710912444273,2048,8,0.5717515,1,3,DLMT,1,0.25150315932021616,True,8,1,True,False,0.7276319087555727,False,8,True,16
102,10,False,0.5537197565415265,2048,4,0.6956316,1,6,DLMT,2048,0.22896576458641146,True,128,6,True,False,0.8375434434584735,True,32,True,1
103,10,False,0.5987475674263867,2048,128,0.6542884999999999,1,1,DLMT,1,0.08961177434271682,True,2048,18,True,False,0.7098294325736132,True,32,True,1
104,10,False,0.4781609138657867,2048,2048,0.6290751,1,30,DLMT,1,0.24349047389598222,True,1,8,True,False,0.7799892861342133,False,1,True,1
105,10,False,0.4558991810264699,2048,1,0.6092056,1,30,DLMT,1,0.247350189954728,True,8,22,True,False,0.7625120189735302,True,16,True,8
106,10,False,0.416534411187223,2048,8,0.5653946999999999,1,14,DLMT,1,0.24017664075053177,True,2048,5,True,False,0.7142549888127768,False,1,True,1
107,10,False,0.42744255871312975,2048,4,0.593847,1,3,DLMT,2048,0.26848301876208114,True,1,29,True,False,0.7602514412868703,False,2,True,4
108,10,False,0.6190354857767455,2048,4,0.7226871000000001,2,1,DLMT,2048,0.167235309773056,True,256,1,True,True,0.8263387142232548,False,1,True,32
109,10,False,0.6889582864169036,2048,32,0.8369786999999999,25,1,DLMT,2048,0.23882155530146354,True,256,27,True,True,0.9849991135830961,False,1,True,1
110,10,False,0.5121121528312418,2048,1,0.6535758999999999,3,1,DLMT,1,0.22824278962475464,True,1,1,True,False,0.795039647168758,True,32,True,4
111,10,False,0.6990109361825064,2048,128,0.7556889,23,1,DLMT,2048,0.09144630218598233,True,1,10,True,False,0.8123668638174936,False,32,True,1
112,10,False,0.5867967383657776,2048,2048,0.7203572,16,1,DLMT,2048,0.21549133935070336,True,1,1,True,False,0.8539176616342224,False,32,True,4
113,10,False,0.5531071790272847,2048,4,0.6737056,1,5,DLMT,1,0.19457790831962396,True,1,23,True,False,0.7943040209727154,False,32,True,1
114,10,False,0.5799958715137619,2048,1,0.7125684999999999,1,20,DLMT,1,0.2138975331785058,True,1,30,True,False,0.845141128486238,False,32,True,4
115,10,False,0.5669866774454534,2048,128,0.6988107,1,1,DLMT,2048,0.2126897049567985,True,1,1,True,False,0.8306347225545466,False,32,True,4
116,10,False,0.5713049576932216,2048,2048,0.7045551999999999,1,18,DLMT,2048,0.2149908201285813,True,1,18,True,False,0.8378054423067782,False,32,True,2
117,10,False,0.5394427957207885,2048,64,0.6799398,1,11,DLMT,2048,0.22668301124777746,True,1,30,True,True,0.8204368042792115,False,32,True,4
118,10,False,0.6250466815769534,2048,4,0.7427137,22,1,DLMT,2048,0.18984827610755384,True,1,30,True,False,0.8603807184230466,True,32,True,2
119,10,False,0.5606784201440755,2048,4,0.6956865999999999,30,1,DLMT,1,0.21782714094033373,True,1,8,True,False,0.8306947798559243,True,32,True,4
120,10,False,0.5667640434253821,2048,64,0.7079343,1,28,DLMT,2048,0.22776926115349716,True,1,12,True,False,0.8491045565746179,True,32,True,2
121,10,False,0.7089551698574479,2048,1,0.8321757,30,1,DLMT,2048,0.1988085152673547,True,1,5,True,True,0.955396230142552,False,32,True,1
122,10,False,0.5612079776344898,2048,8,0.6782766,1,21,DLMT,1,0.18888280199700555,True,1,2,True,True,0.7953452223655102,True,32,True,1
123,10,False,0.703966586318643,2048,1,0.8169549999999999,7,1,DLMT,2048,0.18229964390201095,True,1,23,True,True,0.9299434136813568,True,32,True,1
124,10,False,0.565376113942009,2048,2048,0.7074046999999999,1,1,DLMT,2048,0.2291541213712073,True,1,12,True,True,0.8494332860579907,True,32,True,1
125,10,False,0.6091531628180017,2048,4,0.7043214000000001,7,1,DLMT,1,0.15354791862099598,True,1,7,True,True,0.7994896371819985,False,32,True,2
126,10,False,0.5535971259925934,2048,8,0.5727232,18,1,DLMT,2048,0.03085870813822252,True,1,22,True,True,0.5918492740074066,False,32,True,4
127,10,False,0.6018852420482834,2048,512,0.721741,1,10,DLMT,1,0.19337966860763828,True,1,4,True,True,0.8415967579517165,False,32,True,2
128,10,False,0.5487633023535143,2048,1,0.6986598,19,1,DLMT,1,0.24184849802543743,True,1,10,True,True,0.8485562976464858,True,32,True,4
129,10,False,0.5901176494687495,2048,2048,0.6880526,1,30,DLMT,1,0.15801183524673076,True,1,22,True,True,0.7859875505312506,True,32,True,1
130,10,False,0.6724193924711835,2048,256,0.7780837,11,1,DLMT,1,0.1704826628505374,True,1,7,True,False,0.8837480075288165,True,32,True,1
