id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
1,64,8,4,8,7.000449104707121,128,False,1,DLMT,4,False,False,0.0004645008073190721,1,False,8,10,25,32,False,7.000736999999999,8,False,32,True,64,7.001024895292877,1,29
2,1024,128,16,4,6.9944346439346345,2048,False,1,DLMT,64,False,False,0.0007734106283211272,2,True,1,10,1,1,False,6.994914,32,False,32,True,32,6.995393356065365,1,9
3,32,2048,1,2048,6.982808592609794,32,False,1,DLMT,1,True,True,0.0007250903391992267,1,True,8,10,13,32,False,6.983258000000001,32,False,32,True,1,6.983707407390209,1,11
4,128,1024,1024,128,6.993422415693734,2048,False,1024,DLMT,1024,True,True,0.000904467246504836,28,False,8,10,1,1,False,6.993983,1,False,8,True,2048,6.994543584306266,1,26
5,1,1,1,8,6.9676225805550365,1024,False,1024,DLMT,1,False,False,0.00046857336672067766,1,True,32,10,30,8,False,6.967913,1,False,32,True,256,6.968203419444964,1,17
6,256,1,1,8,6.99192234171044,512,False,64,DLMT,256,True,True,0.0011417617965231706,3,True,1,10,1,32,False,6.99263,8,False,1,True,8,6.99333765828956,1,22
7,4,1,2048,4,6.9766420689580775,2048,False,16,DLMT,1,True,True,0.0010744375272672823,20,True,8,10,1,32,False,6.977307999999999,32,False,8,True,256,6.97797393104192,1,20
8,8,4,8,128,7.023305698025985,1,False,1,DLMT,128,False,True,0.0012976902558005368,15,False,8,10,1,32,False,7.02411,1,False,1,True,512,7.0249143019740155,1,28
9,32,1,2,16,6.972700212171898,1,False,128,DLMT,16,True,True,0.0006740741798942524,2,True,32,10,1,8,False,6.973118000000001,32,False,8,True,2048,6.973535787828104,1,14
10,512,512,4,1,7.003391039471892,2048,False,512,DLMT,8,False,True,0.0014520292696773693,1,True,32,10,6,8,False,7.004290999999999,1,False,1,True,1024,7.005190960528107,30,1
11,512,1,64,512,7.037612967183829,1,False,256,DLMT,2048,True,False,0.0012020632262904549,24,False,1,10,1,8,False,7.038358,32,False,32,True,1,7.03910303281617,1,2
12,1,16,512,16,7.01018523472256,2048,False,32,DLMT,1,False,True,0.008312046739522077,1,False,1,10,25,1,False,7.015337,1,True,32,True,256,7.020488765277439,1,14
13,32,1,1024,1,6.981687896504346,128,False,1,DLMT,1024,False,False,0.006082823028824632,4,False,32,10,1,32,False,6.9854579999999995,1,True,32,True,64,6.989228103495653,1,6
14,1,64,4,2048,6.974124544967974,128,False,256,DLMT,64,True,True,0.004747464691811854,1,True,8,10,28,8,False,6.977067,32,True,1,True,1,6.980009455032026,1,6
15,16,2,4,1,6.964734005222614,2048,False,2048,DLMT,128,True,True,0.0063892005759719084,1,False,32,10,1,8,False,6.968693999999999,1,True,8,True,256,6.972653994777384,22,1
16,2048,4,4,8,6.982525238562234,1,False,8,DLMT,128,True,False,0.0007805184174637368,29,False,32,10,1,32,False,6.983009,8,False,1,True,16,6.983492761437766,16,1
17,4,4,256,4,6.98173117974523,4,False,4,DLMT,512,False,True,0.0008774195119781646,1,True,32,10,11,32,False,6.982275000000001,8,False,1,True,1,6.9828188202547725,1,23
18,128,16,2,16,7.019413420903344,256,False,2048,DLMT,2,False,True,0.0010044919113662543,1,False,8,10,12,1,False,7.020035999999999,8,False,1,True,64,7.020658579096654,1,1
19,32,1,64,32,6.979863285091773,64,False,4,DLMT,2048,False,True,0.004657531535051593,10,False,1,10,1,1,False,6.98275,32,True,8,True,64,6.985636714908227,19,1
20,128,2,4,2048,6.984714035046909,2048,False,16,DLMT,2048,False,False,0.0029347846599026284,1,True,8,10,1,1,False,6.986533,8,True,1,True,2048,6.9883519649530905,18,1
21,1,64,32,1,6.971236867705591,1,False,128,DLMT,256,True,True,0.0009214857568080201,1,True,8,10,11,32,False,6.971808,8,False,8,True,8,6.972379132294409,10,1
22,16,1024,128,4,6.99807386063121,512,False,1024,DLMT,256,False,False,0.0008021028612340959,1,False,32,10,3,1,False,6.998571,32,False,32,True,256,6.999068139368791,10,1
23,8,128,4,1,6.975616721564133,32,False,256,DLMT,256,True,True,0.0034644976547833863,21,False,32,10,1,32,False,6.977763999999999,8,True,8,True,256,6.979911278435864,27,1
24,1,256,8,8,7.046945527319304,32,False,512,DLMT,512,True,True,0.0006477507236583611,12,False,32,10,1,1,False,7.047346999999999,1,False,8,True,32,7.047748472680695,3,1
25,2048,32,256,2,6.988662393108634,2048,False,2048,DLMT,1,True,True,0.004179780018134801,20,False,32,10,1,8,False,6.991253,32,True,1,True,32,6.9938436068913665,1,25
26,512,2048,16,1,6.982011953212089,512,False,1,DLMT,1,False,True,0.0027235564984042756,7,True,8,10,1,8,False,6.983700000000001,1,True,32,True,512,6.985388046787913,1,28
27,1,1,16,512,6.998221314173859,512,False,1,DLMT,1,True,False,0.000872362310052302,1,False,1,10,10,8,False,6.998761999999999,8,False,1,True,1,6.999302685826139,24,1
28,4,64,1,64,6.979248980558713,32,False,64,DLMT,16,True,False,0.007947820141397118,30,True,1,10,1,8,False,6.9841750000000005,32,True,32,True,512,6.989101019441288,1,25
29,1,8,32,8,6.975749570281988,1024,False,1,DLMT,2048,True,False,0.0029548957680432895,30,True,32,10,1,32,False,6.977580999999999,1,True,1,True,512,6.97941242971801,30,1
30,16,1,512,2048,6.980186924045157,256,False,32,DLMT,2048,True,False,0.0007503705751160129,9,False,8,10,1,32,False,6.980652000000001,1,False,1,True,2048,6.981117075954845,18,1
31,32,8,64,8,7.046741433102964,512,False,512,DLMT,64,True,False,0.004462066897750299,22,True,32,10,1,32,False,7.049507,8,True,8,True,1024,7.052272566897036,1,5
32,16,4,4,8,6.97220462526391,2048,False,256,DLMT,128,False,True,0.00100254875193168,30,False,32,10,1,8,False,6.972826,8,False,8,True,8,6.973447374736091,13,1
33,1,1,16,1,7.065668339023942,1,False,4,DLMT,2048,False,False,0.0007803563288651512,1,True,32,10,28,1,False,7.066152,32,False,32,True,16,7.066635660976058,1,29
34,2048,2048,8,16,6.994772847297551,2048,False,2048,DLMT,2048,False,True,0.0025333418640206542,22,False,1,10,1,32,False,6.996343,1,True,32,True,2048,6.997913152702449,1,29
35,2,256,4,4,6.981702610880219,1024,False,512,DLMT,2048,False,False,0.0008718835931475998,1,True,1,10,25,8,False,6.9822429999999995,1,False,32,True,4,6.98278338911978,20,1
36,2048,128,1,2,6.967778776458405,1,False,1,DLMT,64,False,True,0.004032338775450259,1,False,8,10,27,1,False,6.970277999999999,8,True,8,True,2048,6.972777223541592,1,1
37,32,256,2,256,6.984694571219919,1,False,2048,DLMT,2048,False,False,0.0014963475532107657,15,False,8,10,1,32,False,6.985621999999999,8,False,8,True,512,6.98654942878008,1,5
38,1,4,4,8,6.973367367052926,16,False,128,DLMT,16,False,True,0.002505074849181092,1,False,1,10,7,32,False,6.97492,1,True,1,True,64,6.976472632947074,1,19
39,64,512,8,2048,7.039830751460639,2048,False,2048,DLMT,16,False,True,0.0010394541836945086,1,True,1,10,28,32,False,7.040475000000001,1,False,32,True,2048,7.0411192485393626,9,1
40,1,512,1,4,6.956190329992345,2048,False,2048,DLMT,256,False,False,0.0032957185862872176,14,True,1,10,1,8,False,6.958233,1,True,32,True,64,6.960275670007655,30,1
41,2048,32,1,128,7.102800566568433,2048,False,1024,DLMT,1,False,True,0.0006928636229445625,10,True,32,10,1,1,False,7.103229999999999,1,False,32,True,2048,7.103659433431565,9,1
42,256,256,1,256,6.989300264902121,1024,False,512,DLMT,2048,True,True,0.0045268757438214355,1,True,32,10,13,1,False,6.9921060000000015,1,True,8,True,256,6.994911735097882,1,30
43,16,512,8,4,6.973008811958892,2048,False,1024,DLMT,8,True,False,0.0012281286577554072,1,True,1,10,29,32,False,6.97377,32,False,1,True,2048,6.974531188041108,21,1
44,2,16,32,2,6.994527362840605,16,False,128,DLMT,1024,True,False,0.009726823942068497,2,False,8,10,1,32,False,7.0005560000000004,1,True,8,True,1,7.006584637159396,8,1
45,256,2048,2048,64,6.988133139019895,256,False,2048,DLMT,1,True,True,0.002870079441409105,6,False,32,10,1,32,False,6.9899119999999995,32,True,32,True,1,6.991690860980104,16,1
46,2,16,1024,256,7.069228253600394,2048,False,256,DLMT,1024,False,False,0.008100656084540196,1,True,8,10,2,32,False,7.074249,32,True,8,True,256,7.079269746399606,1,1
47,8,128,8,4,7.165492706327594,64,False,128,DLMT,1,False,False,0.0028320550842099806,1,True,1,10,1,1,False,7.167248000000001,1,True,1,True,4,7.169003293672407,1,4
48,1,128,4,128,7.102599512661201,1024,False,1024,DLMT,8,False,True,0.000820412091573542,2,False,32,10,1,32,False,7.103108000000001,32,False,8,True,2048,7.1036164873388,1,28
49,1,1,2,8,7.067429292444173,1024,False,1024,DLMT,8,False,False,0.004796275221460948,1,True,8,10,15,1,False,7.070402,32,True,1,True,1,7.073374707555827,8,1
50,1,4,1024,2048,7.033692826933837,1,False,256,DLMT,2048,False,True,0.0009812486942665326,5,True,32,10,1,1,False,7.034300999999999,8,False,8,True,2048,7.034909173066161,16,1
51,128,8,16,32,7.030217820091208,1,False,1,DLMT,2048,True,False,0.003477246180528567,1,True,32,10,7,8,False,7.032373,32,True,1,True,2048,7.034528179908792,28,1
