id,T2_J,T2_I,T3_J,T3_I,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T3_Ja,VEC2,VEC3,cost_std,U2_J,SCREP,RT2_I,runs,U2_I,RT2_J,OMP3,cost_mean,RT3_I,OMP2,RT3_J,correct_result,T3_Ia,mean_confidence_interval_sup,U3_I,U3_J
1,4,16,128,4,7.106997468104086,64,False,512,RS,1,False,True,0.0032971091883647885,1,False,8,10,6,1,False,7.109041,1,True,1,True,1024,7.111084531895915,1,2
2,8,1,128,128,6.988617273839803,1024,False,16,RS,1,False,True,0.012577910041020438,29,True,32,10,1,8,False,6.996413000000001,1,True,1,True,256,7.0042087261602,1,5
3,64,8,1,1,6.966379706652119,128,False,16,RS,2,False,False,0.0007587885080837518,1,False,1,10,17,8,False,6.966849999999999,1,False,1,True,1,6.967320293347879,12,1
4,2048,2,2,128,6.9714054135323344,2048,False,4,RS,8,True,False,0.002050010731679273,22,True,1,10,1,8,False,6.972676,8,True,1,True,512,6.973946586467665,1,27
5,32,2,4,32,7.022024476724357,1,False,2,RS,1024,True,True,0.0009850406082999434,4,False,32,10,1,32,False,7.022634999999999,32,False,32,True,1,7.023245523275642,13,1
6,8,8,4,32,6.973503168879029,16,False,1,RS,4,False,False,0.0029797449555289198,14,False,8,10,1,32,False,6.975350000000001,8,True,8,True,256,6.977196831120972,1,13
7,1024,4,16,8,6.955702530187675,1024,False,1,RS,32,False,True,0.004115021385120563,1,False,1,10,23,32,False,6.958252999999999,32,True,32,True,128,6.960803469812324,2,1
8,1,32,64,8,6.972563377665739,1,False,1,RS,1,False,True,0.0008641926868472234,5,False,32,10,1,1,False,6.973099,32,False,32,True,512,6.973634622334262,1,7
9,16,2,8,512,6.973853395886103,2048,False,32,RS,16,False,False,0.012461545690643757,14,False,8,10,1,1,False,6.981577,8,True,8,True,1,6.989300604113897,20,1
10,4,16,8,16,7.016996387992328,8,False,1024,RS,8,True,False,0.003637673569741953,9,False,1,10,1,8,False,7.019251,32,True,1,True,1,7.0215056120076715,1,10
11,512,2048,16,16,6.975867767381306,1,False,2048,RS,2048,False,True,0.0011233272007745046,2,True,32,10,1,8,False,6.976563999999999,32,False,1,True,1,6.977260232618692,30,1
12,2,256,512,8,6.979802441802035,2048,False,2048,RS,512,False,False,0.004597581538156673,18,False,32,10,1,32,False,6.982652,32,True,32,True,256,6.9855015581979645,1,16
13,8,128,2048,2,6.971118659889778,1,False,2048,RS,1,True,True,0.0013235667720216746,1,True,32,10,3,32,False,6.971939000000001,32,False,8,True,2,6.9727593401102235,2,1
14,64,16,256,128,6.982860831812588,512,False,1024,RS,2048,False,False,0.000986081132564677,1,True,8,10,21,1,False,6.983472000000001,32,False,32,True,512,6.984083168187413,9,1
15,8,16,8,32,6.986522587439218,128,False,512,RS,8,False,False,0.0009348454417709143,1,True,1,10,15,32,False,6.987102,8,False,32,True,256,6.987681412560782,1,15
16,64,64,2048,8,6.99639463920881,1,False,256,RS,1,False,True,0.0029321964463522535,29,False,32,10,1,1,False,6.9982120000000005,32,True,1,True,256,7.000029360791191,13,1
17,128,1,16,2,6.987310302049606,1024,False,16,RS,64,False,True,0.003169915614018911,1,False,1,10,15,8,False,6.989274999999999,32,True,1,True,32,6.991239697950393,2,1
18,2,16,1,1,6.967703963654321,128,False,512,RS,256,False,False,0.005009779336457895,21,True,8,10,1,32,False,6.970809,8,True,32,True,512,6.973914036345679,1,29
19,128,16,64,128,6.990896615366824,256,False,32,RS,1,True,True,0.004410142854828937,1,True,32,10,13,8,False,6.9936300000000005,8,True,32,True,512,6.9963633846331765,2,1
20,2,64,4,2,6.980269834048672,256,False,128,RS,16,True,True,0.004346865997474595,1,True,32,10,19,32,False,6.982964,8,True,8,True,512,6.985658165951328,1,4
21,2,1,4,256,6.977162248694905,64,False,32,RS,512,True,False,0.0012064493358612074,1,True,8,10,19,32,False,6.97791,32,False,32,True,1024,6.978657751305094,30,1
22,2,1,8,2,7.025378023035951,256,False,512,RS,128,True,False,0.0009147813946511594,1,True,1,10,5,32,False,7.025945,8,False,32,True,16,7.026511976964049,25,1
23,32,1024,1,1,6.9987241697098606,256,False,2048,RS,1,True,False,0.004383433471606393,1,False,8,10,3,8,False,7.001441,1,True,8,True,8,7.004157830290139,1,16
24,1024,4,32,64,7.051453481095937,1,False,32,RS,2048,True,True,0.0009269498368303487,18,True,8,10,1,32,False,7.052028,1,False,32,True,1024,7.052602518904063,1,15
25,512,1024,64,64,6.962519486852551,512,False,1024,RS,64,False,True,0.0038537145716826954,26,False,1,10,1,8,False,6.964907999999999,8,True,8,True,64,6.967296513147448,24,1
26,2,32,4,8,7.140693392548285,2048,False,32,RS,512,False,False,0.006509583396808249,2,False,8,10,1,1,False,7.144727999999999,1,True,32,True,128,7.1487626074517125,20,1
27,8,32,4,16,7.124240060026334,1,False,1024,RS,16,False,True,0.0008776126708292443,1,False,32,10,16,32,False,7.124784000000001,8,False,32,True,1,7.125327939973668,1,18
28,1,4,1,1,6.977757199345744,4,False,1,RS,4,True,True,0.004615720528801588,21,True,1,10,1,1,False,6.9806180000000015,1,True,1,True,8,6.983478800654259,1,29
29,32,8,16,16,6.986662907493153,128,False,128,RS,32,True,False,0.003010821980788562,25,False,32,10,1,32,False,6.988529,1,True,1,True,16,6.990395092506846,1,21
30,64,8,1,4,7.004738009276215,2048,False,8,RS,1024,True,False,0.00520009124919943,10,False,1,10,1,8,False,7.007960999999999,1,True,32,True,16,7.011183990723783,6,1
31,64,8,32,8,7.0301237249813715,64,False,2048,RS,1,True,True,0.0010056147373621947,1,True,8,10,22,1,False,7.030747000000001,8,False,8,True,512,7.03137027501863,5,1
32,16,2048,4,4,7.108076228888163,512,False,2048,RS,4,False,False,0.0030667737118999917,13,True,1,10,1,1,False,7.109977000000001,8,True,32,True,128,7.111877771111838,1,6
33,64,8,1,16,6.965108620929828,256,False,16,RS,64,True,True,0.0037050620777524666,1,True,1,10,5,8,False,6.967404999999999,1,True,8,True,16,6.9697013790701705,21,1
34,128,16,8,1,7.00689480869598,1024,False,64,RS,512,True,False,0.002699588116731955,30,True,8,10,1,32,False,7.0085679999999995,1,True,8,True,128,7.010241191304019,1,23
35,1,1,16,4,7.018816570387564,64,False,32,RS,32,False,False,0.0009719819957178677,1,False,1,10,11,1,False,7.019418999999999,32,False,1,True,128,7.020021429612434,11,1
36,32,1,1,1024,7.039607747021641,1,False,2,RS,512,False,True,0.004993994493389148,1,True,32,10,28,1,False,7.042703,32,True,1,True,1,7.04579825297836,8,1
37,1,32,1024,128,7.002596452498925,64,False,256,RS,2048,False,True,0.004024794280457182,14,True,8,10,1,8,False,7.005091,32,True,32,True,512,7.007585547501075,12,1
38,2,64,32,1,7.12343560697838,8,False,1024,RS,2048,False,True,0.003245255151756308,1,False,8,10,28,8,False,7.125446999999999,32,True,32,True,512,7.127458393021619,12,1
39,256,2,8,64,6.996740649066479,2048,False,32,RS,16,False,True,0.004639196482150625,12,False,1,10,1,1,False,6.9996160000000005,32,True,8,True,512,7.002491350933522,3,1
40,16,4,1024,256,7.162552549118109,32,False,4,RS,1,True,True,0.0010785031293419028,1,False,8,10,18,8,False,7.163221,32,False,1,True,512,7.163889450881891,1,26
41,8,4,16,1024,7.109323873935431,16,False,4,RS,1,False,False,0.0007278633113436187,1,True,32,10,24,32,False,7.109774999999999,1,False,1,True,1024,7.110226126064567,4,1
42,128,16,64,4,6.969541429080058,1024,False,64,RS,2048,False,True,0.003143895672569357,19,False,1,10,1,32,False,6.97149,8,True,8,True,8,6.973438570919942,7,1
43,16,1,16,32,6.973790259790109,64,False,1,RS,128,True,True,0.0006433420552085005,1,True,8,10,23,32,False,6.974189,32,False,8,True,32,6.974587740209891,1,19
44,32,2,4,1024,6.970727690049647,512,False,1,RS,128,False,True,0.0028998456855495137,10,True,1,10,1,1,False,6.972525,1,True,1,True,1024,6.974322309950353,1,29
45,8,8,2,1,7.005337139541697,32,False,8,RS,512,False,True,0.003367017077473806,3,True,32,10,1,8,False,7.007424,8,True,1,True,4,7.009510860458303,19,1
46,16,1,128,4,7.115784467736576,128,False,1,RS,1024,True,False,0.0006962499551166082,26,True,32,10,1,32,False,7.116216,1,False,32,True,128,7.116647532263423,11,1
47,256,32,256,256,6.984568531215072,1024,False,32,RS,1024,False,True,0.003703593390208957,1,True,32,10,21,8,False,6.986864,32,True,1,True,256,6.989159468784927,27,1
48,4,256,1,2,7.012870260736614,64,False,1024,RS,128,False,False,0.004199354831399744,1,False,8,10,29,8,False,7.015473,1,True,1,True,16,7.018075739263386,1,25
49,1024,2048,1,32,6.982468651528164,1024,False,2048,RS,256,True,True,0.0008702045736491614,17,False,32,10,1,1,False,6.983008,1,False,8,True,512,6.983547348471836,25,1
50,2048,512,512,16,6.990731899936771,1,False,512,RS,512,False,True,0.005046991182873195,1,False,1,10,23,8,False,6.993860000000001,1,True,32,True,16,6.996988100063231,1,24
51,1024,128,1,2,6.974275540840468,1,False,1024,RS,256,False,False,0.002872658002617074,16,True,8,10,1,32,False,6.976056,1,True,32,True,256,6.977836459159532,12,1
52,256,1,16,512,6.986980562495911,256,False,512,RS,32,False,True,0.0011268846436083065,29,False,1,10,1,8,False,6.987679,8,False,1,True,1,6.988377437504089,23,1
53,2,4,1024,4,6.999911293720039,64,False,2048,RS,1,False,False,0.006061207470463175,1,True,1,10,12,32,False,7.003667999999999,1,True,32,True,1,7.007424706279959,7,1
54,2,32,256,32,6.994311520259495,256,False,2048,RS,512,False,True,0.0011188856063063764,1,False,8,10,13,1,False,6.995005000000001,32,False,1,True,64,6.995698479740507,21,1
55,256,32,32,4,6.988740251827428,512,False,1,RS,32,True,True,0.0005804308744371264,1,False,8,10,22,8,False,6.9891000000000005,1,False,8,True,128,6.989459748172573,7,1
56,4,2,128,32,6.949587613362923,1,False,128,RS,256,True,True,0.0034501513010301937,19,True,1,10,1,32,False,6.951726000000001,8,True,1,True,256,6.953864386637078,1,12
57,32,8,2,512,6.962957955828545,512,False,16,RS,1,True,True,0.0010649394348975414,27,False,8,10,1,32,False,6.963617999999999,32,False,1,True,1,6.964278044171454,3,1
58,4,1,4,64,6.945150203734821,8,False,32,RS,1024,False,False,0.0007015162150657187,18,True,1,10,1,1,False,6.9455849999999995,8,False,1,True,256,6.946019796265178,1,1
59,128,2,128,128,6.965916668088372,2048,False,64,RS,128,True,False,0.005186120804609063,13,False,8,10,1,8,False,6.969131,8,True,1,True,1024,6.972345331911628,14,1
60,1,32,8,8,6.98578240144353,1,False,128,RS,512,False,False,0.0007092644076787404,26,False,1,10,1,32,False,6.986222,32,False,1,True,1,6.986661598556469,15,1
61,16,512,16,1,7.052684131496929,2048,False,1024,RS,128,False,True,0.001180823441501699,1,True,8,10,11,1,False,7.053416,1,False,8,True,2,7.054147868503072,1,22
62,8,8,16,1024,6.953803314430509,256,False,8,RS,64,False,False,0.001151486430662602,1,False,1,10,3,8,False,6.954517,8,False,1,True,2048,6.955230685569491,30,1
63,1,1,128,128,7.003069772825293,1024,False,4,RS,256,True,False,0.005061717198737934,8,False,8,10,1,1,False,7.006207000000001,32,True,8,True,2048,7.009344227174709,1,11
64,8,8,256,32,6.974245376990208,256,False,1,RS,256,True,True,0.004596072671313961,19,False,32,10,1,1,False,6.977093999999999,8,True,1,True,32,6.979942623009791,1,3
65,2,2,1,64,6.991867324646636,1024,False,32,RS,2048,True,False,0.0012305283418109856,1,True,8,10,18,8,False,6.99263,1,False,32,True,256,6.993392675353364,25,1
66,8,8,1,128,7.001172269498598,128,False,512,RS,2,False,False,0.004783404749757203,1,False,1,10,29,1,False,7.004137,32,True,1,True,2048,7.007101730501402,12,1
67,2,1,8,4,6.991428071142462,1,False,16,RS,1,False,True,0.0013632391573013697,1,True,1,10,27,8,False,6.992273,32,False,32,True,1024,6.993117928857538,1,23
68,128,1,8,8,6.9783999797938465,1024,False,128,RS,1,False,True,0.0007615746844531924,2,True,32,10,1,32,False,6.978872,8,False,8,True,512,6.979344020206153,1,15
69,256,8,16,256,6.975579867460168,1024,False,64,RS,256,True,False,0.0004164804917400324,1,True,8,10,4,1,False,6.975838,32,False,8,True,512,6.9760961325398325,1,23
70,8,64,4,2,6.998692741204131,1,False,128,RS,512,True,False,0.0008152030421926363,1,False,32,10,4,32,False,6.999198000000002,8,False,32,True,2048,6.999703258795872,1,9
71,1024,4,128,4,6.969229488709148,1024,False,1,RS,1024,False,True,0.0006542667651654258,24,False,1,10,1,1,False,6.969634999999999,1,False,1,True,1,6.970040511290851,5,1
