id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,32,256,DLMT,1,2,True,32,4,0.0003866380736554753,False,8,1,32,True,3.4002893636426488,2,1,1,16,False,False,False,1,False,128,False,1024,False,4,8,128,True,1,16,1,8,12,1,8,False,10,3.4007686363573515,12,3.400529,16,1,32,True,2048,8,4,8,False,1,1,16,4
2,128,16,DLMT,4,2,True,4,1,0.0002042057785666043,False,4,128,16,False,2.9447734342728764,1024,8,2048,1024,False,False,True,512,False,512,True,512,True,12,1,2048,False,1,12,16,1,4,1,12,False,10,2.9450265657271237,4,2.9449,16,4,1,True,1,1024,16,256,False,1,8,16,1
3,1,1024,DLMT,8,2,True,1,16,0.000578398651450708,True,4,4,4,False,1.7172265113891394,256,1024,1024,1,False,False,False,128,False,16,True,1,False,1,1,1,True,8,1,4,1,1,1,4,False,10,1.7179434886108609,8,1.7175850000000001,12,8,4,True,512,512,12,128,True,8,1,2,1
4,4,512,DLMT,8,1,True,1,512,0.00010454185764571096,True,2,8,4,False,6.312416205475963,1,2,512,128,True,False,False,16,False,1024,False,2048,False,12,16,1,False,1,8,1,8,12,16,1,False,10,6.312545794524037,4,6.312481,8,32,4,True,32,1,8,16,False,1,2,1,8
5,2,1,DLMT,2,16,True,4,64,0.00036016107507612507,True,8,2,8,False,2.109684773954838,1,16,256,128,False,True,False,1,False,32,False,2048,False,12,1,64,True,1,4,1,16,12,16,1,False,10,2.1101312260451617,16,2.109908,16,1,2,True,1,512,16,256,True,1,8,4,12
6,4,512,DLMT,4,16,True,8,8,0.0001758550539506486,True,64,1,16,True,3.527826005911156,1,128,16,2048,False,True,True,4,False,4,True,1,True,4,12,4,True,12,1,8,1,16,1,8,False,10,3.5280439940888444,12,3.5279350000000003,12,4,1,True,32,1024,16,1,True,16,2,2,1
7,16,16,DLMT,32,8,True,8,16,0.0006751444289927951,False,8,2,1,True,2.9193315488368223,64,8,64,128,True,True,False,16,True,1,False,1024,True,16,1,2048,False,1,16,1,1,16,12,1,False,10,2.920168451163178,12,2.91975,4,16,4,True,32,128,4,1,False,1,2,2,12
8,4,256,DLMT,1,4,False,16,128,0.00021490463001062134,False,64,2,8,True,3.4744808031779,8,128,2048,1,False,False,True,4,False,2,True,1024,True,4,12,32,False,4,1,16,1,12,4,1,False,10,3.4747471968220998,1,3.474614,4,4,16,True,256,2048,1,2048,False,1,16,1,4
9,32,1024,DLMT,1,1,True,4,2048,0.00015195064988344635,True,4,2,4,False,3.3022248217420467,32,16,64,8,True,False,True,64,False,1,False,2048,True,12,16,32,False,16,1,1,16,8,8,1,False,10,3.302413178257953,16,3.302319,1,32,4,True,2048,2048,1,128,False,1,16,2,12
10,64,32,DLMT,1,1,True,1,1,0.00017315888657530823,True,1,4,32,False,2.5490186769823016,1,8,1024,1,True,False,True,1,True,32,True,2048,True,4,1,1,True,1,4,1,4,16,12,1,False,10,2.549233323017699,12,2.5491260000000002,4,8,16,True,8,2,16,1024,True,1,4,8,16
11,4,1,DLMT,32,16,True,4,16,0.0015116957365819094,False,32,512,2,True,2.216477058492111,64,1,32,64,False,False,True,1,False,1,True,16,True,12,8,2048,True,1,8,16,1,1,1,16,False,10,2.2183509415078895,1,2.217414,8,32,2,True,1,1024,12,1,True,1,1,32,12
12,8,32,DLMT,8,1,True,8,2,0.0012324224113508578,True,4,1024,16,True,4.6506511507117425,1,1,128,4,True,False,False,2,True,2,False,1,False,4,4,2048,False,1,1,4,1,1,4,1,False,10,4.652178849288254,8,4.651414999999998,1,2,8,True,512,16,16,1024,True,16,1,32,1
13,128,4,DLMT,1,16,False,2,4,0.00021871442567884027,False,1,128,2,False,4.1585764418854705,128,1,128,8,False,True,False,1,True,1,True,8,False,16,4,256,True,4,1,1,16,8,12,1,False,10,4.1588475581145286,8,4.1587119999999995,8,32,1,True,4,128,8,2048,False,16,4,4,1
14,32,2048,DLMT,8,2,False,4,64,0.00048471022271043415,False,16,8,1,False,2.8945835790118566,2,256,2048,128,False,False,False,8,True,8,True,64,True,4,1,1,False,1,4,4,1,16,1,16,False,10,2.895184420988143,8,2.894884,8,4,16,True,1024,512,12,256,False,16,16,8,1
15,128,1,DLMT,8,8,False,16,2048,0.00020517309765172992,False,256,8,16,True,1.7893208347333132,128,512,2048,512,True,False,True,32,True,1,False,2048,True,12,4,2048,False,4,1,1,12,16,12,1,False,10,1.7895751652666871,4,1.7894480000000001,1,4,32,True,1024,2048,8,1024,True,8,1,16,1
16,1024,16,DLMT,2,4,False,1,32,0.0001873526087355501,False,1,512,2,False,1.7619908797838162,1,16,2048,1024,True,True,True,8,False,1,False,8,True,16,4,4,True,1,1,4,1,4,1,1,False,10,1.7622231202161835,8,1.7621069999999999,1,32,2,True,2048,1,8,1024,True,4,4,32,1
