id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,cost_std,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,baseline,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,2,64,DLMT,32,4,True,32,8,0.00043614791069086306,True,256,8,1,False,2.126554677691604,16,1,4,256,True,True,True,256,False,16,False,2048,True,16,12,32,False,1,8,12,1,1,4,1,False,10,2.1270953223083966,4,2.126825,8,4,16,True,2048,64,16,2048,True,1,1,4,8
2,1,16,DLMT,1,1,False,4,32,0.00010772186407598486,False,32,128,32,True,3.482269234523775,128,16,16,256,True,True,False,256,True,32,True,64,False,4,12,1,False,1,16,16,1,1,8,1,False,10,3.482402765476225,16,3.482336,1,2,16,True,2048,128,12,256,False,4,16,2,1
3,8,512,DLMT,16,1,True,1,2,0.047032322725972256,False,1,1,4,False,2.6122326000166978,16,4,1,1024,True,True,True,2048,True,1,False,2048,True,8,16,16,True,1,12,4,1,8,1,16,False,10,2.6705333999833027,12,2.6413830000000003,12,16,2,True,2048,2,4,64,True,1,32,1,4
4,32,1,DLMT,2,1,False,32,256,0.00042092279577133387,False,16,2,16,False,4.167961114142196,64,512,32,512,True,True,True,16,False,32,False,128,True,4,16,256,False,1,1,16,1,12,12,1,False,10,4.168482885857802,1,4.168221999999999,12,4,8,True,1024,2048,12,2048,False,1,2,2,1
5,16,2,DLMT,1,32,True,4,1,0.00113023183462507,False,2,8,16,True,3.246523487923547,16,1,512,128,False,True,True,1024,False,1024,False,1,True,8,12,64,True,1,16,16,1,12,12,1,False,10,3.247924512076453,1,3.247224,4,2,8,True,1,1,12,512,True,1,8,2,4
6,8,128,DLMT,32,16,False,4,128,9.920181449952471e-05,True,32,128,4,True,3.4684015152081775,512,64,32,64,False,True,True,4,False,8,False,2048,False,8,4,1,False,1,8,12,1,4,1,4,False,10,3.468524484791822,12,3.468463,16,8,8,True,2048,1,4,1024,False,8,2,8,1
7,1,2048,DLMT,1,8,False,2,32,9.861034428499654e-05,True,1,16,8,False,2.176074881798478,2,256,4,2,True,False,False,2,True,1,True,32,False,8,1,2,True,1,12,12,1,1,16,1,False,10,2.176197118201521,1,2.1761359999999996,16,4,8,True,16,512,12,1024,True,4,8,2,1
8,4,32,DLMT,2,4,False,1,16,0.0001095490757605475,False,32,2,16,True,4.58133910202705,4,2,16,1024,True,True,True,256,False,64,True,128,False,16,4,1024,False,8,1,8,1,16,1,8,False,10,4.581474897972949,4,4.581407,16,8,16,True,512,64,1,8,False,16,2,32,1
9,32,128,DLMT,1,16,True,2,1024,0.00043179740619878765,False,32,1,32,False,3.609103374112676,2,128,32,64,False,True,False,4,True,8,True,128,False,1,16,16,False,1,16,1,12,12,1,12,False,10,3.6096386258873245,4,3.6093710000000003,1,4,4,True,256,1024,4,8,False,1,8,4,12
10,64,16,DLMT,16,2,True,16,16,8.784076502396989e-05,True,8,4,4,False,3.8985735567302044,512,4,256,1,True,False,True,4,True,512,True,2048,True,4,4,1024,True,1,8,16,1,16,1,1,False,10,3.8986824432697955,16,3.898628,8,16,2,True,32,1024,4,8,False,1,16,8,4
11,4,256,DLMT,1,2,False,1,16,0.00041419922742561905,False,2,2,4,True,3.0987862813764577,512,1,32,1024,False,True,True,1,False,32,True,256,True,16,12,512,True,1,12,12,1,8,12,1,False,10,3.099299718623543,12,3.0990430000000004,12,8,8,True,1,128,4,1024,True,1,8,4,4
12,1024,1,DLMT,32,32,False,1,8,0.00016765738874263594,False,8,1,1,False,2.395007086783328,4,512,1024,1,True,False,False,1,False,128,False,512,False,12,1,64,True,1,12,1,8,8,1,16,False,10,2.395214913216672,12,2.395111,1,1,32,True,4,256,12,2,True,12,8,4,1
13,8,128,DLMT,4,8,False,8,2048,0.0003304905444940825,True,8,256,1,False,2.2230491636022993,1,16,1024,1024,True,True,False,256,False,4,False,256,False,16,8,32,True,1,16,4,1,12,12,1,False,10,2.2234588363977013,4,2.2232540000000003,8,8,1,True,256,2048,4,2048,True,4,4,8,1
