id,T5_I,T1_Ja,technique,RT1_J,RT7_I,VEC10,RT7_J,T5_J,VEC9,T3_J,T3_I,RT1_I,VEC6,mean_confidence_interval_inf,T1_I,T1_J,T5_Ia,T3_Ja,VEC7,VEC4,VEC5,T7_J,VEC3,T7_I,VEC2,T7_Ia,VEC8,U10_I,U6_I,T1_Ia,VEC1,U5_J,U5_I,U1_J,U1_I,U8_I,U7_I,U7_J,cost_std,runs,mean_confidence_interval_sup,U2_I,cost_mean,U9_I,RT3_I,RT3_J,correct_result,T7_Ja,T5_Ja,U4_I,T3_Ia,SCR,U3_I,RT5_J,RT5_I,U3_J
1,64,2048,DLMT,1,1,False,32,512,True,64,32,32,False,0.14136129131247052,1,16,1,64,True,True,False,64,True,512,False,1,False,1,16,64,False,1,16,1,16,16,8,1,0.00019980538694705285,35,0.14149368011610094,1,0.14142748571428573,16,1,32,True,2048,1024,16,1,True,1,8,8,8
2,512,2048,DLMT,32,8,True,8,16,True,16,16,1,False,0.13286983443913372,512,256,1024,256,True,False,False,1,True,1,True,64,False,1,4,1024,True,16,1,4,1,1,1,16,5.086495927092282e-05,35,0.13290353698943771,4,0.13288668571428572,8,8,1,True,1024,2048,4,64,True,4,1,32,1
3,512,2048,DLMT,1,8,False,1,32,False,64,512,8,False,0.12219568074621294,16,1,2048,2048,False,False,True,128,False,128,True,256,True,1,1,256,True,1,12,1,4,4,1,16,4.684430137624691e-05,35,0.12222671925378704,8,0.12221119999999999,1,1,32,True,512,128,12,512,False,16,8,1,1
4,512,1,DLMT,1,8,True,8,512,True,1,1,8,True,0.14685920405023817,512,32,2048,512,False,False,False,256,True,128,True,512,False,12,8,1,True,4,1,16,1,12,16,1,0.00014366663794055518,35,0.14695439594976184,12,0.1469068,1,32,1,True,2048,1,1,1024,False,4,32,1,1
5,64,256,DLMT,1,8,True,8,32,True,32,128,1,False,0.1374469240889339,16,256,2048,64,True,True,True,1,False,256,False,1,False,1,4,2048,True,1,1,1,1,8,1,1,0.00020815815023727543,35,0.1375848473396375,8,0.1375158857142857,16,32,1,True,256,2048,1,1,False,4,1,1,1
6,256,1,DLMT,1,1,True,32,1,False,16,16,8,False,0.14808197988818944,512,512,512,1024,True,False,True,32,True,512,True,2048,True,8,12,1,True,8,1,1,1,12,4,1,4.0594359716791115e-05,35,0.1481088772546677,16,0.14809542857142857,16,32,1,True,512,2048,16,1,True,1,1,32,16
7,1,2048,DLMT,8,1,True,8,32,True,128,128,8,False,0.11928676767087573,16,256,128,1024,True,False,True,16,False,32,True,1,False,16,16,128,True,1,1,1,1,1,16,1,3.96825772698235e-05,35,0.11931306090055285,16,0.11929991428571429,4,1,1,True,1,64,1,512,False,1,32,1,16
8,32,1024,DLMT,8,1,True,1,128,True,512,32,8,False,0.08352567912172698,32,32,256,2048,True,True,False,512,False,1,False,1,True,12,1,1,True,1,12,4,1,4,1,8,8.165640127624965e-05,35,0.08357978373541586,8,0.08355273142857142,8,1,8,True,512,1,1,128,True,1,1,8,4
9,256,2048,DLMT,1,1,False,32,16,True,512,512,8,True,0.16883934668157735,256,64,2048,1024,True,False,True,512,False,1,False,512,False,1,16,512,False,8,1,16,1,8,1,16,5.802919743630812e-05,35,0.16887779617556553,16,0.16885857142857144,4,1,32,True,1024,128,16,1,True,16,1,32,1
10,1,1024,DLMT,1,1,True,32,16,True,256,16,32,True,0.15523354942587603,256,1,64,1,False,False,True,32,True,32,False,512,True,4,4,2048,True,1,16,1,12,4,1,8,7.397564960643444e-05,35,0.15528256485983816,1,0.1552580571428571,4,1,32,True,1024,2048,4,1,False,1,8,8,4
