id,T2_J,T2_I,T4_I,T2_Ja,T3_I,T3_Ja,mean_confidence_interval_inf,T4_J,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,RT4_J,T3_J,U2_J,SCR,RT4_I,U1_I,T3_Ia,RT2_I,runs,U2_I,RT2_J,cost_mean,RT3_I,cost_std,RT3_J,correct_result,U4_J,U4_I,T4_Ja,mean_confidence_interval_sup,U3_I,U3_J
1,4,64,256,4,32,128,4.203631907694629,4,False,2048,DLMT,1024,True,False,False,True,16,1,1,False,8,30,32,32,10,21,4,4.204133,32,0.000808480673856784,4,True,26,1,1024,4.20463409230537,1,14
2,1,1024,256,64,1024,2048,5.104583824869472,1,False,2048,DLMT,512,False,True,False,True,1,8,1,False,16,8,2048,8,10,26,2,5.104673,1,0.0001438784208976796,4,True,1,19,2,5.104762175130528,1,29
3,1,2,64,4,8,64,2.6931069705945148,4,False,256,DLMT,512,True,False,True,True,2,8,1,True,4,15,2048,1,10,29,2,2.693329,4,0.000358230372804966,8,True,1,12,4,2.693551029405485,18,1
4,64,64,32,256,128,2048,4.224338007020303,32,False,128,DLMT,64,True,True,False,True,4,256,1,True,1,12,256,8,10,19,2,4.2244839999999995,1,0.00023555041923120298,4,True,30,1,1,4.224629992979696,30,1
5,8,32,32,512,2048,64,3.017695379133571,64,False,64,DLMT,32,False,True,True,False,32,16,1,False,4,7,1,16,10,16,4,3.0178710000000004,8,0.00028335313656281593,4,True,1,19,2048,3.01804662086643,1,30
6,8,64,256,32,8,2048,inf,8,False,512,DLMT,2048,True,False,True,False,1,1024,1,True,1,7,32,32,1,12,4,inf,2,inf,1,False,1,7,256,inf,1,18
7,64,32,64,128,4,64,2.083183851377795,128,False,1024,DLMT,1024,True,False,False,True,16,4,1,False,4,27,2048,2,10,16,8,2.08344,4,0.000413279566395392,32,True,22,1,128,2.083696148622205,21,1
8,4,1,16,16,16,2048,4.219054759344807,64,False,32,DLMT,2048,True,True,True,True,1,512,1,False,16,27,1,16,10,9,8,4.219288000000001,2,0.0003763190136042102,4,True,1,28,256,4.219521240655194,9,1
9,128,1,2,1,64,1024,2.6686454288509975,2048,False,4,DLMT,32,False,True,False,False,1,2,1,False,8,18,2048,1,10,30,4,2.668868,1,0.0003591044416322147,8,True,1,5,2048,2.669090571149002,24,1
10,2048,64,16,2048,256,2048,3.6922890378841102,512,False,512,DLMT,512,False,False,False,False,4,4,1,False,8,27,512,1,10,1,2,3.6927399999999997,4,0.0007275987905432313,2,True,24,1,512,3.693190962115889,1,17
11,2,4,64,256,32,256,inf,512,False,256,DLMT,1,False,True,False,True,4,256,1,True,1,16,512,2,1,3,8,inf,1,inf,32,False,1,10,512,inf,2,1
12,32,8,2,256,8,1024,inf,32,False,128,DLMT,2048,False,False,False,True,1,1,1,False,16,18,32,4,1,18,16,inf,2,inf,8,False,14,1,32,inf,1,6
13,64,4,16,512,1,32,2.2271591471672414,1,False,16,DLMT,2048,False,True,True,True,4,2,1,False,1,15,8,4,10,10,1,2.227207,2,7.720751258785254e-05,16,True,23,1,2048,2.2272548528327585,27,1
14,256,2,64,2048,4,16,3.1111233428238005,32,False,2048,DLMT,128,True,False,True,True,16,2,1,False,4,15,64,8,10,11,4,3.115296,1,0.006732317877224772,16,True,1,8,1024,3.119468657176199,22,1
15,2048,1,512,2048,64,1024,10.073815331507474,4,False,256,DLMT,1024,False,True,True,True,2,256,1,False,1,19,1024,32,10,20,4,10.07414,16,0.0005238320341482703,1,True,29,1,32,10.074464668492526,1,14
16,1024,4,1,1,2,16,4.032786436499349,4,False,4,DLMT,32,True,True,False,False,4,16,13,False,16,7,128,4,10,1,8,4.032953,2,0.0002687396509635428,1,True,1,25,1024,4.033119563500651,1,29
17,256,16,16,256,1,1,2.447252398962971,512,False,128,DLMT,2048,False,True,True,True,16,8,17,False,4,17,64,1,10,1,2,2.4473840000000004,4,0.00021232993194548338,8,True,1,1,1,2.44751560103703,1,24
18,64,64,1,1,4,64,inf,64,False,1,DLMT,2048,True,True,False,False,1,1,18,False,2,21,32,4,1,1,4,inf,1,inf,32,False,30,1,512,inf,12,1
