id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,4,64,2,2048,5.394525020995295,128,False,1,DLMT,1024,True,True,False,False,1,1,False,2,19,2,10,26,2,5.394672,0.00023714130808452015,True,False,8,2,2048,5.394818979004705,19
2,32,64,8,1,5.032923845574183,2048,False,256,DLMT,512,False,False,True,False,6,20,False,1,27,8,10,1,4,5.033117,0.00031164242329945554,True,False,1,8,64,5.033310154425816,11
3,4,128,2048,2048,5.428894744519369,1,False,2048,DLMT,1,True,False,False,False,21,1,True,1,7,4,10,8,8,5.429080000000001,0.0002988979759049207,True,False,1,1,1,5.429265255480632,23
4,4,2048,128,1024,2.5264028891865977,32,False,2048,DLMT,1024,False,True,True,False,1,1,False,25,14,1,10,20,8,2.561909,0.05728685930473064,True,True,1,4,2048,2.5974151108134023,2
5,128,1,128,128,2.47827022975206,128,False,4,DLMT,1,False,True,True,False,23,28,True,1,15,16,10,1,2,2.521899,0.07039225546180487,True,True,16,4,128,2.56552777024794,22
6,1,32,2,2048,6.12678743862657,256,False,1,DLMT,16,True,True,False,False,1,1,False,9,19,1,10,24,2,6.127162,0.0006043310351124128,True,False,1,16,1,6.1275365613734305,25
7,32,1,4,64,21.942887709461218,1,False,2048,DLMT,128,False,True,False,False,29,26,True,1,22,4,10,1,32,21.94409,0.0019398195792399125,True,False,2,8,128,21.94529229053878,1
8,128,2,512,2,2.539304379706912,512,False,64,DLMT,512,False,True,False,False,18,1,False,1,30,1,10,16,4,2.640911,0.1639358416850934,True,True,2,32,8,2.742517620293088,9
9,256,256,1,2048,1.831715149491561,2048,False,1024,DLMT,1,False,True,False,True,1,26,False,30,2,2,10,1,4,2.050949,0.3537199220414366,True,True,32,2,2048,2.2701828505084394,30
10,1,256,4,32,2.4498981452386057,16,False,2048,DLMT,256,True,True,True,True,1,1,True,19,18,1,10,6,4,2.4910919999999996,0.06646367365711894,True,True,8,8,64,2.5322858547613936,4
11,16,256,2,2048,8.106290040663474,1,False,2048,DLMT,4,False,False,True,False,1,25,False,7,27,32,10,1,1,8.106461999999999,0.0002774454901417682,True,False,2,32,1,8.106633959336524,22
