id,T2_J,T2_I,T4_I,T4_J,mean_confidence_interval_inf,T2_Ja,baseline,T2_Ia,technique,T4_Ia,VEC4,VEC2,VEC3,VEC1,U4_J,U2_J,SCR,U4_I,U1_I,RT2_I,runs,U2_I,RT2_J,cost_mean,cost_std,correct_result,OMP,RT4_J,RT4_I,T4_Ja,mean_confidence_interval_sup,U3_I
1,1,4,128,16,2.538330088357311,4,False,2048,DLMT,1,False,False,False,False,1,27,True,21,10,1,10,1,32,2.59437,0.09041684544375565,True,True,1,1,2048,2.650409911642689,11
2,1,2,32,256,2.5489063080815204,256,False,8,DLMT,32,True,True,True,True,1,1,True,1,1,8,10,2,4,2.572861,0.03864937708424284,True,True,16,8,2048,2.5968156919184797,14
3,8,1,4,2048,2.164767396770795,512,False,8,DLMT,2048,True,False,True,True,1,1,True,15,6,4,10,14,2,2.2597959999999992,0.1533226280886158,True,True,8,16,2048,2.3548246032292033,6
4,32,1,1024,8,8.106675490095585,256,False,128,DLMT,1024,True,False,False,True,1,18,False,30,5,1,10,1,4,8.107495,0.001322227287571919,True,False,2,32,32,8.108314509904416,6
5,1,32,1,1,3.136687545252561,2048,False,256,DLMT,1,True,True,True,False,16,1,False,1,25,1,10,30,8,3.2644290000000007,0.20610274056644665,True,True,8,16,16,3.3921704547474403,5
6,512,16,16,16,14.291371186876628,512,False,512,DLMT,256,True,False,False,False,1,1,True,12,26,2,10,27,32,14.292520000000001,0.0018535371590555458,True,False,1,8,1024,14.293668813123375,12
7,128,8,256,2,5.36077305900052,1,False,64,DLMT,2048,False,True,False,True,24,1,True,1,30,32,10,19,2,5.360874,0.0001628619046923038,True,False,16,8,64,5.36097494099948,17
8,4,8,32,2,2.354237676260925,1024,False,64,DLMT,512,True,False,False,False,30,9,False,1,28,1,10,1,1,2.431895,0.12529516967944132,True,True,16,8,256,2.509552323739075,28
9,4,256,2048,2048,2.3417546445261297,1,False,512,DLMT,1,True,False,False,False,1,15,False,26,21,8,10,1,2,2.3885840000000003,0.07555619686035023,True,True,4,1,1,2.435413355473871,2
10,1,1,256,1,2.4862739679970685,8,False,2048,DLMT,1024,True,False,False,False,1,1,False,7,16,8,10,8,2,2.530353,0.0711187242644298,True,True,1,4,64,2.5744320320029312,23
11,2,64,2048,1,5.28736875669014,8,False,1024,DLMT,2048,False,False,False,False,9,28,True,1,4,2,10,1,1,5.287634,0.0004279532684768086,True,False,1,16,1024,5.28789924330986,17
12,2,16,64,1,6.820836143644493,2,False,1,DLMT,64,False,False,False,False,1,4,True,12,13,4,10,1,16,6.821790999999999,0.001540600207711147,True,False,4,32,4,6.822745856355506,1
13,2,512,8,4,2.4493805772394124,256,False,512,DLMT,512,True,True,True,True,28,1,True,1,23,2,10,24,16,2.49691,0.07668571105492862,True,True,1,16,4,2.544439422760588,6
14,1,1,2048,4,2.2687569611424894,32,False,256,DLMT,2048,True,True,False,False,1,1,True,22,2,2,10,5,2,2.3318,0.10171594732390789,True,True,8,4,64,2.3948430388575104,30
15,1,2,8,8,7.0637570859774295,512,False,2,DLMT,16,False,False,True,False,20,1,False,1,8,1,10,1,2,7.126039999999999,0.10048953408191319,True,False,1,2,256,7.188322914022568,16
16,1,1,4,512,6.309687412583516,256,False,512,DLMT,16,True,False,True,True,26,1,False,1,29,8,10,26,1,6.309883999999999,0.0003171813361470459,True,False,4,1,2048,6.310080587416483,27
17,1,256,128,4,20.474712246158692,2048,False,1,DLMT,1,False,False,False,True,1,1,True,25,23,1,10,24,32,20.476850000000002,0.003449130325169168,True,False,16,2,512,20.478987753841313,23
18,4,128,1024,8,6.481711690188504,32,False,1024,DLMT,1,True,True,True,False,18,1,True,1,20,32,10,1,2,6.485434,0.00600571094875541,True,False,1,32,256,6.489156309811495,8
19,2048,128,8,512,20.824477182282596,1,False,1,DLMT,64,True,True,True,True,26,1,True,1,30,4,10,10,32,20.82716,0.004328556341322064,True,False,2,8,512,20.829842817717402,30
20,2048,2048,2048,32,8.084343987627003,1,False,1,DLMT,1,False,False,True,True,10,1,False,1,17,1,10,15,8,8.086851999999999,0.004046518997854784,True,False,1,8,256,8.089360012372994,23
21,8,64,512,64,5.125087123701665,2048,False,1024,DLMT,512,False,True,True,False,1,17,False,5,26,2,10,1,2,5.12527,0.000295059316070431,True,False,1,8,64,5.125452876298336,7
22,1,256,1,1024,2.503269106561301,128,False,1024,DLMT,16,False,True,False,True,1,1,True,26,17,16,10,11,4,2.5345679999999997,0.050498780737756425,True,True,32,2,2048,2.5658668934386983,6
23,128,4,256,1024,2.346397144659736,512,False,64,DLMT,512,True,True,True,True,1,30,True,21,29,16,10,1,2,2.4296189999999998,0.13427318871986324,True,True,2,2,1,2.5128408553402637,26
24,64,2048,8,1024,2.1094516444945866,2048,False,2048,DLMT,8,True,False,False,True,1,1,True,16,5,2,10,29,4,2.287573,0.28738751719759853,True,True,8,4,1,2.4656943555054136,27
25,64,256,32,1,5.31113992959384,2048,False,1024,DLMT,128,True,False,True,False,8,1,True,1,11,32,10,19,2,5.312531000000001,0.0022444039297772177,True,False,2,1,128,5.313922070406162,28
26,32,4,2048,1,28.160186248372675,32,False,8,DLMT,1,True,True,True,True,1,1,False,16,19,1,10,14,32,28.16079,0.0009741149829460714,True,False,32,1,64,28.161393751627323,17
27,2,1,1,4,6.551228894814061,1024,False,512,DLMT,16,False,True,False,True,24,30,True,1,4,2,10,1,32,6.551389,0.00025831956952576587,True,False,8,1,256,6.55154910518594,19
28,1024,256,8,16,2.3489501017349825,1024,False,1024,DLMT,512,False,False,True,True,30,30,False,1,3,4,10,1,4,2.3906199999999997,0.06723173967703054,True,True,8,2,2048,2.432289898265017,29
29,8,2048,1,256,2.5562121217116975,1,False,1,DLMT,16,False,True,True,False,30,26,True,1,13,16,10,1,2,2.58999,0.05449846566647543,True,True,2,2,1,2.623767878288302,7
30,4,2,16,128,5.59339793700367,1,False,512,DLMT,512,False,False,True,True,1,10,False,23,3,1,10,1,32,5.593634,0.00038087268213931225,True,False,1,2,512,5.59387006299633,13
31,8,256,4,128,2.640260130289448,1,False,1,DLMT,16,True,False,False,False,16,1,False,1,25,16,10,30,8,2.663553,0.03758156890019366,True,True,4,32,512,2.6868458697105515,19
32,2,64,16,2,10.05004205190749,8,False,512,DLMT,1,False,False,False,False,1,1,True,21,1,8,10,8,8,10.073429999999998,0.03773497184310588,True,False,8,1,1,10.096817948092507,6
33,16,4,1,32,9.566496794319113,1024,False,16,DLMT,8,True,True,True,True,1,24,False,30,22,8,10,1,8,9.566931,0.0007005633447447641,True,False,1,32,2048,9.567365205680888,30
34,256,1,1,32,4.215763085589639,2048,False,8,DLMT,1,True,True,True,False,1,2,True,30,14,32,10,1,4,4.218445000000001,0.004327098912666509,True,False,8,16,2048,4.2211269144103625,21
35,1,1,256,16,2.5326686180427336,2,False,1,DLMT,256,False,True,True,True,10,1,False,1,18,2,10,13,2,2.567241,0.0557803469781248,True,True,4,8,512,2.6018133819572666,3
36,64,8,16,512,2.505235782382898,512,False,1,DLMT,256,False,False,False,True,15,19,True,1,4,4,10,1,2,2.583742,0.12666480614598521,True,True,1,16,1024,2.662248217617102,20
37,64,1,256,2,24.60256182334249,1024,False,512,DLMT,512,True,False,False,True,23,22,False,1,19,2,10,1,16,24.60394,0.0022236006835756215,True,False,8,4,2048,24.605318176657512,23
38,1,256,64,1,2.449654862733525,128,False,256,DLMT,1,False,False,True,True,1,1,False,27,16,8,10,28,2,2.493878,0.07135122897329801,True,True,32,1,128,2.5381011372664752,21
39,1024,512,2,1,28.528691806621584,1024,False,1,DLMT,32,False,False,True,True,1,1,False,6,1,1,10,22,32,28.529810000000005,0.0018041341413544323,True,False,16,4,2048,28.530928193378426,21
40,128,2,64,64,4.98623892475071,1,False,32,DLMT,2048,False,True,False,False,17,8,True,1,18,4,10,1,1,4.986415,0.0002840862545073428,True,False,2,2,2048,4.98659107524929,24
41,128,1,64,2,inf,512,False,4,DLMT,256,False,True,False,True,1,1,True,12,29,8,1,25,16,inf,inf,False,True,2,2,1024,inf,11
42,2048,1,32,1024,5.903390980926589,2048,False,512,DLMT,64,True,True,False,True,1,4,False,21,9,32,10,1,2,5.904466000000001,0.0017344751367488736,True,False,32,1,1024,5.9055410190734134,10
43,512,2,1,64,2.757161275515666,1024,False,8,DLMT,4,False,False,True,True,28,1,False,1,23,2,10,6,1,2.847427,0.1456380251205021,True,True,4,32,128,2.9376927244843345,20
44,2,4,4,512,2.547220183219837,4,False,8,DLMT,8,True,False,True,True,21,26,True,1,30,32,10,1,4,2.6131079999999995,0.10630581619083686,True,True,32,4,512,2.678995816780162,3
45,128,4,4,1,1.8141149391471212,2048,False,1,DLMT,1024,True,False,False,True,1,1,False,25,11,32,10,25,2,2.0522929999999997,0.3842852046865713,True,True,4,8,1,2.2904710608528784,9
46,8,64,1,64,6.070450651311305,512,False,1,DLMT,2,False,True,True,True,1,1,True,9,8,2,10,30,8,6.0705990000000005,0.00023935120638941368,True,False,4,8,256,6.0707473486886965,22
47,4,64,8,2,2.52578334458213,64,False,128,DLMT,8,True,True,False,False,10,17,True,1,13,1,10,1,2,2.564036,0.061718234939116705,True,True,1,2,128,2.6022886554178704,14
48,256,2048,16,128,22.923997239629248,1024,False,2048,DLMT,256,True,False,False,False,1,22,False,25,10,4,10,1,1,22.924500000000002,0.0008111719916271417,True,False,2,2,256,22.925002760370756,2
49,32,32,2048,128,2.4275141127499493,1024,False,2048,DLMT,2048,True,False,False,False,1,27,True,30,14,1,10,1,1,2.516882,0.14418942165082707,True,True,32,4,1,2.6062498872500504,4
50,256,2048,32,2,7.531110065116912,1,False,1,DLMT,1024,True,False,True,True,1,1,True,2,29,2,10,6,1,7.5314939999999995,0.0006194545988206788,True,False,32,1,128,7.531877934883087,28
51,128,4,8,64,2.0069976222931856,2048,False,512,DLMT,32,False,True,False,True,27,1,True,1,5,8,10,4,8,2.189647,0.2946931940187964,True,True,1,32,2048,2.3722963777068142,1
52,1,32,4,4,7.700512482724962,16,False,128,DLMT,256,False,True,True,True,1,1,True,5,22,16,10,1,1,7.700737000000001,0.0003622443926413577,True,False,4,16,512,7.70096151727504,23
53,128,4,4,2048,2.488100299008457,512,False,512,DLMT,4,True,True,True,False,1,1,True,30,23,2,10,13,1,2.548331,0.09717841843228364,True,True,1,2,1,2.6085617009915434,4
54,128,64,16,2048,23.709287771187924,256,False,1,DLMT,128,False,True,False,True,30,16,False,1,16,4,10,1,16,23.71003,0.0011975391434103676,True,False,1,32,1,23.710772228812075,12
55,256,1,64,256,2.509592671137958,1,False,64,DLMT,256,False,True,True,False,1,20,True,12,25,4,10,1,8,2.5458100000000004,0.058434364546899896,True,True,8,1,512,2.5820273288620426,30
56,16,1,8,4,12.005550175779431,128,False,4,DLMT,128,False,False,False,False,9,1,False,1,25,32,10,29,1,12.00631,0.0012259282197586553,True,False,1,2,32,12.007069824220567,6
57,16,2,128,4,19.046880275976807,16,False,2048,DLMT,1,True,True,True,False,8,1,True,1,3,8,10,23,1,19.04903,0.00346844345492346,True,False,32,2,16,19.05117972402319,9
58,1,64,1,64,6.7672490695019,2,False,128,DLMT,1,True,False,False,False,1,1,True,3,9,2,10,18,1,6.767642,0.0006339684534737962,True,False,2,32,1,6.768034930498101,23
59,2,32,2,1,6.381458947715416,256,False,2048,DLMT,2048,False,True,False,False,7,8,False,1,15,32,10,1,4,6.381578,0.0001920833152566188,True,False,1,8,512,6.381697052284585,1
60,16,128,8,8,5.684392876993409,1024,False,2048,DLMT,32,True,True,False,False,30,25,False,1,1,32,10,1,1,5.684536,0.00023091989953224107,True,False,32,2,256,5.68467912300659,16
61,64,2,1,32,2.9068887032558597,64,False,1,DLMT,512,False,True,True,False,3,9,False,1,22,4,10,1,16,2.9676519999999997,0.09803772792144871,True,True,16,8,512,3.02841529674414,25
62,8,2048,64,128,1.8278705269295286,2048,False,1,DLMT,2048,False,False,True,True,1,1,False,6,15,32,10,12,1,2.027877,0.3226977672389445,True,True,2,1,1024,2.2278834730704715,12
63,4,16,8,1,6.149624906915112,32,False,1,DLMT,512,False,False,False,False,1,1,True,28,2,1,10,18,8,6.150014,0.0006277770304814747,True,False,4,1,64,6.150403093084887,27
64,1,8,4,16,2.473188276278429,32,False,2048,DLMT,8,True,True,True,False,23,14,True,1,2,4,10,1,2,2.5263219999999995,0.08572789543666637,True,True,1,16,1,2.57945572372157,17
65,2,64,128,512,2.3413603272932955,8,False,64,DLMT,2048,False,False,True,False,17,1,False,1,6,1,10,1,32,2.4143320000000004,0.11773516873050294,True,True,2,8,2048,2.4873036727067053,12
66,128,8,4,16,1.8703095715080884,2048,False,2048,DLMT,16,True,False,True,True,13,2,False,1,30,32,10,1,1,2.110318,0.3872383868575015,True,True,2,8,16,2.350326428491911,10
67,2048,2,1,2,2.75938205945374,2048,False,32,DLMT,256,False,True,True,False,1,1,True,12,8,32,10,7,1,2.853623,0.15205178427430566,True,True,8,1,2,2.9478639405462594,21
68,16,2,4,16,8.824281247333007,1024,False,512,DLMT,256,False,True,False,True,1,22,False,20,29,4,10,1,4,8.82513,0.001369408631490074,True,False,4,8,1,8.825978752666993,26
