id,RT1_J,T1_Ja,runs,T1_I,T1_J,T1_Ia,cost_mean,baseline,technique,RT1_I,cost_std,correct_result,U1_J,U1_I,OMP,mean_confidence_interval_inf,VEC1,mean_confidence_interval_sup,SCR
1,16,512,1,4,512,8,inf,False,DLMT,4,inf,False,1,9,False,inf,False,inf,False
2,32,16,10,256,2,512,3.6743970000000004,False,DLMT,1,0.00023306865941175408,True,1,14,False,3.674252545202711,False,3.6745414547972897,True
3,16,512,10,1024,2,2048,1.0765057,False,DLMT,1,0.10815662919123359,True,30,1,True,1.0094707585164668,True,1.1435406414835332,False
4,1,512,10,4,4,1,1.3390072000000002,False,DLMT,32,0.13319415012139235,True,1,12,True,1.2564541274227332,True,1.4215602725772671,False
5,1,1,1,64,2048,2048,inf,False,DLMT,32,inf,False,4,1,True,inf,True,inf,True
6,1,32,1,16,1,2048,inf,False,DLMT,8,inf,False,19,1,True,inf,True,inf,False
7,32,512,1,1,8,2048,inf,False,DLMT,4,inf,False,1,7,False,inf,True,inf,True
8,4,2048,10,1,256,1,2.2558180000000005,False,DLMT,1,0.00010805554127394893,True,21,1,False,2.255751027712306,False,2.2558849722876952,True
9,16,512,1,1,1,512,inf,False,DLMT,2,inf,False,24,1,False,inf,False,inf,False
10,2,1,1,1,1,8,inf,False,DLMT,2,inf,False,1,24,False,inf,True,inf,False
11,8,1,1,16,4,512,inf,False,DLMT,2,inf,False,8,1,True,inf,True,inf,False
12,4,2048,1,64,8,1,inf,False,DLMT,8,inf,False,1,1,True,inf,True,inf,False
13,8,1,1,1,32,256,inf,False,DLMT,8,inf,False,29,1,False,inf,True,inf,True
14,4,1,10,1,2048,128,1.4173520000000002,False,DLMT,1,0.06771511275926521,True,1,4,True,1.3753825094998644,True,1.459321490500136,False
15,4,8,10,2,2,2048,7.382518,False,DLMT,16,9.620810776630773e-05,True,5,1,False,7.382458370692739,False,7.382577629307261,False
16,32,1,1,256,256,2048,inf,False,DLMT,4,inf,False,26,1,False,inf,True,inf,False
17,32,1024,1,2048,1,1,inf,False,DLMT,2,inf,False,5,1,True,inf,True,inf,True
18,1,1024,1,1,128,512,inf,False,DLMT,16,inf,False,1,19,True,inf,True,inf,False
19,16,32,1,256,16,512,inf,False,DLMT,2,inf,False,1,30,False,inf,True,inf,False
20,2,16,1,32,2,32,inf,False,DLMT,4,inf,False,30,1,True,inf,False,inf,True
21,2,256,1,128,4,2048,inf,False,DLMT,4,inf,False,1,19,True,inf,False,inf,False
22,4,2048,10,4,1,32,2.2467569999999997,False,DLMT,1,0.0010288056181806302,True,1,29,False,2.246119351388644,True,2.247394648611355,True
23,32,128,10,1,8,8,1.391395,False,DLMT,1,0.04834797043310091,True,16,1,True,1.3614291681035562,False,1.4213608318964437,False
24,2,512,10,128,128,1,2.2950019999999998,False,DLMT,1,0.0005470977974731355,True,3,1,False,2.2946629115029413,True,2.295341088497058,True
25,2,1024,10,16,512,512,2.4425320000000004,False,DLMT,32,0.001143213016021115,True,1,29,False,2.4418234422518044,False,2.4432405577481964,False
26,1,2048,1,32,32,2048,inf,False,DLMT,2,inf,False,2,1,False,inf,False,inf,True
27,8,256,1,2048,32,2048,inf,False,DLMT,16,inf,False,25,1,False,inf,True,inf,False
28,1,1,1,2048,2,1,inf,False,DLMT,2,inf,False,1,30,False,inf,False,inf,False
29,1,8,10,2,4,16,2.476921,False,DLMT,32,0.0002046191584382574,True,1,21,False,2.4767941780620855,True,2.4770478219379144,True
30,4,2048,1,1024,2048,1,inf,False,DLMT,4,inf,False,12,1,False,inf,True,inf,False
31,1,512,1,128,1,128,inf,False,DLMT,16,inf,False,7,1,False,inf,True,inf,False
32,4,1024,1,256,64,2048,inf,False,DLMT,32,inf,False,1,9,True,inf,False,inf,True
33,16,1,1,32,512,1,inf,False,DLMT,8,inf,False,1,26,True,inf,False,inf,True
34,1,1,10,1,1,1,2.5176330000000005,True,DLMT,1,0.0001607513608029433,True,1,1,False,2.5175333671051385,False,2.5177326328948624,False
35,1,16,1,16,1,128,inf,False,DLMT,4,inf,False,1,17,True,inf,False,inf,False
36,8,2048,10,1,1,16,1.379243,False,DLMT,1,0.04023200095694969,True,1,20,True,1.3543074056672102,True,1.4041785943327898,True
37,2,1,10,16,1,2048,2.3485570000000004,False,DLMT,32,0.0005777032110003001,True,1,1,False,2.348198942419676,False,2.348915057580325,False
38,2,2048,1,32,2048,2048,inf,False,DLMT,4,inf,False,28,1,True,inf,False,inf,True
39,8,8,1,1,8,32,inf,False,DLMT,2,inf,False,30,1,False,inf,True,inf,False
40,32,2048,1,32,8,2048,inf,False,DLMT,2,inf,False,1,13,False,inf,False,inf,True
41,16,1,1,4,2048,2048,inf,False,DLMT,4,inf,False,23,1,False,inf,True,inf,True
42,32,2048,1,4,2048,8,inf,False,DLMT,2,inf,False,1,7,True,inf,False,inf,False
43,4,32,10,16,8,32,1.3899730000000001,False,DLMT,32,0.03738732620822197,True,18,1,True,1.366800520944994,True,1.4131454790550062,True
