id,T_J,runs,T_I,RT_J,RT_I,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,correct_result,OMP,VEC,cost_std,SCREP,mean_confidence_interval_sup,baseline
1,2048,10,1,32,16,1.035586,1,30,DLMT,1.0352929712912635,True,False,False,0.0004727832484341715,False,1.0358790287087363,False
2,2,10,8,1,16,0.43707270000000004,1,5,DLMT,0.43700479860423214,True,False,False,0.00010955459826040868,False,0.43714060139576794,False
3,1,1,1,2,32,inf,24,1,DLMT,inf,False,True,False,inf,False,inf,False
4,512,1,2048,16,16,inf,1,10,DLMT,inf,False,True,True,inf,False,inf,False
5,128,1,4,32,32,inf,1,29,DLMT,inf,False,True,True,inf,True,inf,False
6,8,10,512,16,16,0.7011972,11,1,DLMT,0.7011689727078387,True,False,True,4.554294676457835e-05,True,0.7012254272921612,False
7,32,10,1,1,1,0.6366972000000001,1,8,DLMT,0.6366564423616168,True,False,True,6.575986617991183e-05,True,0.6367379576383834,False
8,256,10,16,2,1,0.20650400000000002,9,1,DLMT,0.20643554701270594,True,False,True,0.00011044455622619291,False,0.2065724529872941,False
9,512,10,512,1,32,0.7621239,30,1,DLMT,0.7620380999265807,True,False,True,0.00013843298017450598,False,0.7622097000734193,False
10,128,10,1,16,4,0.3957306,1,21,DLMT,0.39563164910679344,True,False,False,0.00015965099435957757,False,0.39582955089320654,False
11,1,10,256,32,8,1.0043499999999999,1,21,DLMT,1.0042105254594271,True,False,True,0.00022503333086453767,True,1.0044894745405726,False
12,4,1,1,1,16,inf,1,23,DLMT,inf,False,True,True,inf,False,inf,False
13,2048,10,1,2,2,0.3727289,1,1,DLMT,0.3726738104014295,True,False,True,8.888357553563896e-05,True,0.37278398959857045,False
14,16,1,256,2,2,inf,1,7,DLMT,inf,False,True,True,inf,False,inf,False
15,256,10,4,8,8,0.2091483,20,1,DLMT,0.20912188473127813,True,False,True,4.261936179719478e-05,True,0.2091747152687219,False
16,2,1,8,16,2,inf,30,1,DLMT,inf,False,True,False,inf,False,inf,False
17,1,10,2048,32,4,0.2353364,8,1,DLMT,0.23525898057908645,True,False,True,0.000124911328549495,False,0.23541381942091355,False
18,256,1,2048,2,8,inf,30,1,DLMT,inf,False,True,False,inf,True,inf,False
19,32,10,2048,32,1,0.3890989,25,1,DLMT,0.3890702021513854,True,False,False,4.630215977683694e-05,False,0.38912759784861467,False
20,2048,1,2048,1,4,inf,17,1,DLMT,inf,False,True,False,inf,False,inf,False
21,2048,10,4,32,32,0.4280837,1,15,DLMT,0.4279151430859344,True,False,False,0.0002719558971598179,True,0.4282522569140656,False
22,128,1,1,32,4,inf,9,1,DLMT,inf,False,True,False,inf,True,inf,False
23,256,1,256,1,16,inf,1,1,DLMT,inf,False,True,False,inf,False,inf,False
24,1,10,32,1,2,0.1943971,1,30,DLMT,0.1943665126912867,True,False,True,4.93506838858438e-05,True,0.19442768730871327,False
25,1,1,256,8,1,inf,1,16,DLMT,inf,False,True,False,inf,True,inf,False
26,4,10,2048,4,32,0.8443818000000001,1,27,DLMT,0.8443007987882813,True,False,False,0.00013069032098820199,True,0.8444628012117188,False
