id,runs,mean_confidence_interval_sup,mean_confidence_interval_inf,U2_I,U2_J,cost_mean,baseline,technique,RT2_J,T2_Ia,correct_result,T2_J,T2_I,OMP,VEC2,cost_std,T2_Ja,SCR,RT2_I
1,10,0.23821787813746145,0.23817892186253856,10,1,0.2381984,False,RS,2,2,True,2,1,False,False,3.142674020639559e-05,512,True,1
2,10,0.1883055731335195,0.18826882686648042,23,1,0.18828719999999996,False,RS,16,1024,True,16,1024,False,False,2.9643886384880842e-05,128,True,4
3,10,0.08712504655197052,0.07811053344802947,1,24,0.08261779,False,RS,16,32,True,1,4,True,False,0.007272172762036118,16,False,1
4,10,0.29280902997430647,0.2927541700256935,29,1,0.2927816,False,RS,1,128,True,1,2,False,True,4.425652494265313e-05,4,False,16
5,10,0.09191313546557696,0.07757058453442305,1,26,0.08474186,False,RS,2,32,True,128,1,True,False,0.011570398424963591,512,False,32
6,10,0.1394026793410735,0.1393669206589265,8,1,0.1393848,False,RS,4,1024,True,1,16,False,False,2.8847183571366323e-05,2,False,8
7,10,0.09564790490685875,0.07861385509314127,27,1,0.08713088000000001,False,RS,1,256,True,32,2,True,False,0.013741679850498626,256,True,8
8,10,0.10645834650702388,0.10641985349297609,1,22,0.10643909999999998,False,RS,4,512,True,128,4,False,True,3.105301917688356e-05,256,True,32
9,10,0.41867814775512213,0.41845365224487796,1,12,0.41856590000000005,False,RS,32,32,True,2,4,False,False,0.00018110463826197574,1024,True,1
10,10,0.09658131524047277,0.07364630475952723,1,11,0.08511381,False,RS,2,256,True,8,256,True,True,0.018502092857752606,32,False,16
11,10,0.1141656814012103,0.0891395385987897,1,20,0.10165261,False,RS,4,256,True,4,16,True,False,0.02018904758672137,256,True,1
12,10,0.10312305511659364,0.08221890488340636,16,1,0.09267098,False,RS,1,1,True,1,512,True,False,0.01686376071413491,512,False,4
13,10,0.14362591212995687,0.14343268787004312,1,9,0.1435293,False,RS,2,1024,True,8,128,False,True,0.00015587754809465068,256,False,4
14,10,0.10809590807126904,0.07615365192873094,12,1,0.09212477999999999,False,RS,16,2048,True,16,1,True,False,0.025768402840991134,128,True,8
15,10,0.29031679511957836,0.29026400488042164,1,22,0.2902904,False,RS,4,64,True,16,2,False,False,4.258685243123893e-05,1024,False,8
16,10,0.09816455954896793,0.08066704045103208,1,15,0.0894158,False,RS,32,4,True,32,1,True,False,0.014115569007447058,128,True,1
17,10,0.31956276834520797,0.31950403165479196,24,1,0.31953339999999997,False,RS,32,1,True,4,2048,False,False,4.738396353197189e-05,512,True,1
18,10,0.16742739067541773,0.16739080932458233,7,1,0.16740910000000003,False,RS,8,8,True,4,8,False,False,2.9510845463996888e-05,8,False,16
19,10,0.09768446684154557,0.09763775315845442,1,23,0.09766111,False,RS,4,512,True,1024,4,False,True,3.7684783401259886e-05,2048,False,1
20,10,0.08993704103231309,0.0764045989676869,1,10,0.08317081999999999,False,RS,2,256,True,32,1,True,True,0.010916868770558707,64,True,4
21,10,0.09914468028710473,0.07517717971289527,23,1,0.08716093,False,RS,16,256,True,512,64,True,False,0.01933502151920447,1024,False,8
22,10,0.13854681326231166,0.13850158673768836,26,1,0.13852420000000001,False,RS,16,8,True,8,8,False,True,3.6485065437794405e-05,32,True,2
23,10,0.13052485461026941,0.13046074538973057,23,1,0.1304928,False,RS,8,64,True,16,2,False,True,5.171808194432812e-05,256,True,16
24,10,0.08512553854600396,0.07585626145399604,19,1,0.0804909,False,RS,4,2,True,8,2,True,True,0.0074776955355242945,128,False,8
25,10,0.12270780914970407,0.12267359085029596,27,1,0.12269070000000001,False,RS,4,1,True,32,8,False,True,2.760452861398136e-05,1024,False,2
26,10,0.09991778354040107,0.08468999645959893,25,1,0.09230389,False,RS,4,16,True,1,1,True,True,0.012284534634120253,256,False,4
27,10,0.17161244859924366,0.17133175140075638,14,1,0.17147210000000002,False,RS,16,64,True,4,64,False,True,0.00022644356912926734,32,True,2
28,10,0.08713042889403402,0.05315557110596598,5,1,0.070143,False,RS,32,1,True,4,1024,True,True,0.027408139802073395,1,True,1
29,10,0.12964404252358397,0.12961235747641603,5,1,0.1296282,False,RS,2,32,True,8,16,False,True,2.5560907652111483e-05,8,True,4
30,10,0.12425041789959894,0.08931720210040105,5,1,0.10678380999999999,False,RS,2,2048,True,2,8,True,True,0.02818126475562976,4,True,8
31,10,0.09806484264517763,0.07906695735482235,9,1,0.08856589999999999,False,RS,16,64,True,1024,64,True,False,0.015325941884138801,2048,True,4
32,10,0.08575680648706126,0.06530681351293875,17,1,0.07553181,False,RS,2,512,True,4,2,True,True,0.01649738373836591,64,False,4
33,10,0.10427644412837335,0.10394995587162663,1,19,0.10411319999999999,False,RS,8,1,True,1,128,False,True,0.00026338405418703547,64,False,8
34,10,0.08886005277764622,0.07985530722235379,1,25,0.08435768,False,RS,2,8,True,2,1,True,True,0.007264293101713336,8,False,16
35,10,0.1524972461262372,0.15213475387376282,1,17,0.152316,False,RS,1,2048,True,2048,1024,False,True,0.00029242913671520266,2048,True,2
36,10,0.11300632070672265,0.07877649929327737,1,22,0.09589141000000001,False,RS,8,1024,True,1,32,True,False,0.0276138236266349,1,False,2
37,10,0.1041464068119203,0.06469449318807971,1,17,0.08442045000000001,False,RS,4,1,True,2,1024,True,False,0.031826581020783555,4,False,16
38,10,0.10346421721278683,0.07825816278721319,1,23,0.09086119000000001,False,RS,2,2048,True,16,1,True,False,0.020334185587008398,128,True,8
39,10,0.4923249486486782,0.4920688513513218,24,1,0.4921969,False,RS,32,128,True,8,32,False,False,0.00020659837850284168,512,True,2
40,10,0.2945018253945527,0.29445197460544714,1,9,0.29447689999999993,False,RS,4,512,True,8,64,False,False,4.021554425841842e-05,32,False,16
41,10,0.09774413774853717,0.09772286225146283,29,1,0.0977335,False,RS,8,1,True,512,1,False,True,1.7163333009647975e-05,512,True,4
42,10,0.1072951392734624,0.0847713007265376,14,1,0.09603322,False,RS,1,128,True,4,32,True,False,0.0181703929306881,16,True,1
43,10,0.08642430838926231,0.0718567916107377,12,1,0.07914055,False,RS,4,64,True,2,1,True,True,0.011751882492796632,2048,True,8
44,10,0.08623039137530379,0.07587612862469621,1,18,0.08105326,False,RS,2,32,True,4,2,True,True,0.008352973330641012,8,False,8
45,10,0.17653061360980507,0.1764327863901949,9,1,0.1764817,False,RS,1,1,True,4,2,False,True,7.891900911694013e-05,64,False,2
46,10,0.3616770778542479,0.3616143221457521,1,30,0.3616457,False,RS,2,1,True,1,512,False,True,5.062617899862505e-05,32,False,32
47,10,0.09658736003561255,0.09655031996438745,1,8,0.09656884,False,RS,8,64,True,32,64,False,False,2.9880903600795854e-05,64,False,4
48,10,0.12298876483609353,0.12294683516390648,1,2,0.1229678,False,RS,2,2048,True,64,128,False,True,3.382543421746411e-05,2048,True,8
49,10,0.08837287657222918,0.07117518342777084,23,1,0.07977403000000001,False,RS,2,8,True,1,4,True,False,0.013873693921450768,2,True,4
50,10,0.084568166518504,0.05711703348149601,11,1,0.0708426,False,RS,8,2048,True,128,2048,True,True,0.022145331606593748,1,True,2
51,10,0.12140950182412717,0.12136229817587284,1,28,0.1213859,False,RS,4,1024,True,32,256,False,True,3.808004726887806e-05,1024,False,8
52,10,0.1501935177281973,0.15016528227180273,1,16,0.15017940000000002,False,RS,16,2,True,2,1,False,False,2.277805961885164e-05,128,False,2
53,10,0.98377128318325,0.9835543168167499,1,23,0.9836628,False,RS,16,512,True,4,8,False,False,0.000175030740157264,512,True,8
54,10,0.11135209077052129,0.11133030922947869,20,1,0.11134119999999999,False,RS,4,512,True,2,1,False,False,1.7571567943695272e-05,1,False,4
55,10,0.08911946417137696,0.04767575582862303,1,23,0.06839761,False,RS,16,1,True,8,2048,True,True,0.033433398287055716,1,False,4
56,10,0.3230251834479598,0.3227490165520402,1,24,0.3228871,False,RS,2,2048,True,16,2,False,False,0.000222788891105447,64,False,8
57,10,0.12123576156384085,0.08027501843615915,13,1,0.10075539,False,RS,2,256,True,1024,32,True,True,0.033043781405748644,1024,False,4
