id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,4,1,1,1,inf,False,2,RS,1,True,False,True,29,17,inf,1,1,10,inf,False,True,inf
2,1,32,2,512,3.274405616459738,False,1024,RS,4,True,True,False,11,2,0.03260010565933801,10,1,9,3.2946109999999997,True,True,3.3148163835402613
3,2,8,8,512,2.755844334721826,False,16,RS,32,True,False,False,10,8,0.0005060790452093709,10,12,1,2.756158,True,False,2.756471665278174
4,4,2048,16,2048,2.1228622353722613,False,32,RS,4,False,False,False,1,19,0.0003287613115924756,10,22,1,2.123066,True,False,2.123269764627739
5,1,8,1,2048,inf,False,4,RS,16,False,True,True,12,27,inf,1,27,1,inf,False,False,inf
6,16,8,16,8,inf,False,16,RS,8,True,False,True,30,22,inf,1,29,1,inf,False,False,inf
7,4,4,4,512,3.476339649646393,False,1024,RS,2,True,False,False,3,28,0.05092062489797238,10,18,1,3.5079000000000002,True,True,3.5394603503536075
8,16,64,1,512,inf,False,1,RS,8,True,False,True,20,10,inf,1,16,1,inf,False,True,inf
9,4,4,8,1024,16.72989006749504,False,256,RS,8,True,False,False,20,28,0.9113334297061642,10,1,6,17.29473,True,True,17.85956993250496
10,1,8,2,32,5.255139176157968,False,1024,RS,1,False,True,False,29,14,0.00014815194902521853,10,1,13,5.255231,True,False,5.255322823842032
11,2,16,4,128,0.268323885080106,False,4,RS,4,False,False,False,30,8,0.020792543096023634,10,18,1,0.281211,True,True,0.29409811491989396
12,1,1,1,2,inf,False,1024,RS,16,True,False,True,22,9,inf,1,11,1,inf,False,True,inf
13,4,8,32,64,inf,False,2048,RS,8,False,False,True,21,29,inf,1,2,1,inf,False,False,inf
14,2,8,8,256,12.350051768073508,False,32,RS,32,False,False,False,17,23,0.0008200000000000126,10,20,1,12.350559999999998,True,False,12.351068231926488
15,8,128,16,1024,inf,False,1,RS,8,True,False,True,13,7,inf,1,1,21,inf,False,True,inf
16,4,4,32,1024,47.07297456546263,False,256,RS,32,False,False,False,29,4,0.0005412023651099888,10,1,11,47.07331,True,False,47.07364543453737
17,4,8,2,128,inf,False,64,RS,8,True,False,True,8,29,inf,1,2,1,inf,False,False,inf
18,8,2,2,1,21.194315122273533,False,1,RS,16,True,False,False,23,12,0.0008307225770376194,10,27,1,21.194830000000003,True,False,21.195344877726473
19,16,512,256,2048,inf,False,256,RS,4,False,False,True,10,21,inf,1,1,8,inf,False,True,inf
20,4,64,16,128,inf,False,256,RS,32,True,False,True,9,7,inf,1,3,1,inf,False,False,inf
21,1,128,32,128,3.77024235424768,False,2048,RS,8,True,True,False,14,22,0.00633216716456538,10,15,1,3.774167,True,True,3.7780916457523195
22,1,8,2,32,24.29209926478273,False,1,RS,32,False,False,False,18,22,0.0007917701686726029,10,28,1,24.29259,True,False,24.29308073521727
23,8,4,1,256,inf,False,2,RS,16,False,False,True,5,25,inf,1,29,1,inf,False,True,inf
24,1,1,16,64,4.213050007020303,False,64,RS,16,True,False,False,24,8,0.00023555041923126405,10,1,11,4.213196,True,False,4.2133419929796965
25,2,8,2,32,5.828889938908957,False,2048,RS,8,True,False,False,10,19,0.013238346006960191,10,1,15,5.837095,True,True,5.845300061091042
26,16,32,1,128,inf,False,16,RS,4,False,False,True,26,3,inf,1,27,1,inf,False,False,inf
27,1,512,4,512,3.2581121159969073,False,128,RS,16,True,True,False,5,15,0.00010307278981379896,10,1,8,3.2581759999999997,True,False,3.258239884003092
28,1,2048,64,2048,5.770135864906939,False,1,RS,16,True,False,False,30,26,0.00036808151271145253,10,21,1,5.770364000000001,True,False,5.770592135093063
29,16,128,16,1,inf,False,256,RS,2,True,True,False,12,28,inf,1,1,29,inf,False,False,inf
30,8,2,8,8,0.3236516245495902,False,32,RS,1,True,False,False,16,4,0.027056647079045107,10,1,13,0.34042120000000003,True,True,0.3571907754504099
31,8,8,256,16,6.887765373405429,False,2048,RS,1,False,False,True,6,23,0.0024550480647025107,10,11,1,6.889287,True,False,6.890808626594572
32,2,64,8,64,2.5898119477489803,False,128,RS,2,False,True,True,20,21,0.0010020284427100948,10,6,1,2.590433,True,False,2.5910540522510197
33,32,1024,2,1,inf,False,64,RS,4,True,False,True,21,9,inf,1,3,1,inf,False,True,inf
34,1,2,32,4,inf,False,512,RS,8,True,False,True,22,10,inf,1,28,1,inf,False,False,inf
35,8,64,32,64,inf,False,128,RS,16,True,True,True,23,19,inf,1,1,19,inf,False,False,inf
36,8,2,2,1024,inf,False,1,RS,16,True,True,True,16,13,inf,1,1,19,inf,False,True,inf
37,2,128,4,256,1.7491850682970127,False,512,RS,2,False,False,True,24,29,0.06894042300421431,10,2,1,1.7919139999999998,True,True,1.8346429317029869
