id,RT2_I,T2_J,T2_I,T2_Ja,mean_confidence_interval_inf,baseline,T2_Ia,technique,RT2_J,VEC2,VEC1,SCR,U1_K,U1_J,cost_std,runs,U2_I,U2_J,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,8,1,16,2,4.349002808461309,False,512,DLMT,16,False,True,False,30,3,0.0002584588942173137,10,24,1,4.349163,True,False,4.349323191538691
2,2,2,1,4,inf,False,4,DLMT,32,False,True,True,4,18,inf,1,30,1,inf,False,False,inf
3,1,16,8,1,5.0180418823519695,False,16,DLMT,16,True,True,False,1,6,0.00027447404248840085,10,21,1,5.018212,True,False,5.018382117648031
4,2,4,2,128,inf,False,2048,DLMT,32,False,True,True,13,1,inf,1,25,1,inf,False,True,inf
5,8,2048,4,2048,1.8478197671122465,False,2048,DLMT,1,False,False,True,29,24,0.001037815494199255,10,27,1,1.848463,True,False,1.8491062328877534
6,1,4,1024,256,8.687289713109958,False,2048,DLMT,1,True,True,False,18,4,0.002896581605962379,10,30,1,8.689084999999999,True,False,8.690880286890039
7,2,1,4,64,0.21049901760665904,False,8,DLMT,1,False,True,False,30,6,0.031233361650805373,10,13,1,0.22985730000000001,True,True,0.249215582393341
8,1,1,1,4,inf,False,64,DLMT,2,True,False,True,1,21,inf,1,24,1,inf,False,True,inf
9,8,1024,1,1024,inf,False,16,DLMT,4,False,True,True,23,13,inf,1,1,30,inf,False,False,inf
10,2,1,1,2048,3.2369720294062025,False,32,DLMT,1,True,True,False,9,28,9.191844211036528e-05,10,1,1,3.2370289999999997,True,False,3.237085970593797
11,1,8,32,2048,inf,False,2048,DLMT,32,False,False,True,8,10,inf,1,1,30,inf,False,True,inf
12,16,32,1,512,inf,False,2,DLMT,4,False,True,True,30,28,inf,1,10,1,inf,False,False,inf
13,1,512,64,1024,inf,False,64,DLMT,32,True,True,True,13,17,inf,1,1,18,inf,False,False,inf
14,8,16,2048,256,3.5056961165941685,False,1,DLMT,1,False,True,False,4,21,0.029177199660008493,10,4,1,3.52378,True,True,3.5418638834058314
15,1,4,2,32,12.696121430758621,False,128,DLMT,32,False,True,False,26,14,0.0005462600113498756,10,1,12,12.696460000000002,True,False,12.696798569241382
16,16,1,128,4,8.01907986986924,False,2048,DLMT,4,False,False,False,23,9,0.00017930142219177274,10,5,1,8.019191,True,False,8.01930213013076
17,32,512,2048,1024,inf,False,2048,DLMT,4,False,True,False,6,12,inf,1,1,23,inf,False,True,inf
18,4,16,2048,2048,inf,False,1,DLMT,8,True,False,True,12,7,inf,1,30,1,inf,False,False,inf
19,4,2,512,1,20.300166520145986,False,1,DLMT,2,False,False,False,10,18,0.0007800640999301456,10,28,1,20.30065,True,False,20.301133479854016
20,1,64,8,64,2.874377695960175,False,64,DLMT,2,False,False,False,5,1,0.00023766573164856416,10,1,6,2.8745249999999998,True,False,2.8746723040398248
21,32,8,64,256,7.445524118181309,False,64,DLMT,4,True,False,False,8,30,0.00098561909478252,10,16,1,7.446135,True,False,7.446745881818691
22,4,8,32,1024,inf,False,32,DLMT,16,True,False,True,9,19,inf,1,1,9,inf,False,True,inf
23,2,512,256,2048,1.1152053137565427,False,1,DLMT,8,False,False,False,21,28,0.04041124071344508,10,23,1,1.1402519999999998,True,True,1.165298686243457
24,2,2,1,32,9.243538168028211,False,1024,DLMT,8,True,False,False,21,1,0.0020859024425893217,10,1,22,9.244831,True,False,9.246123831971788
25,8,1,64,512,0.2726532297897413,False,1,DLMT,4,True,True,False,3,2,0.03502088445199522,10,1,11,0.29435900000000004,True,True,0.31606477021025875
26,1,128,8,512,2.7631178761173065,False,1024,DLMT,4,True,False,False,29,21,0.0002631900454044781,10,1,8,2.763281,True,False,2.7634441238826937
27,2,64,256,256,inf,False,256,DLMT,32,True,False,True,30,26,inf,1,1,30,inf,False,False,inf
28,16,256,8,1,0.9114927523385375,False,32,DLMT,1,False,False,False,8,30,0.0031556362337886745,10,1,17,0.9134486,True,False,0.9154044476614626
29,1,2,512,256,inf,False,1,DLMT,1,False,False,True,11,3,inf,1,1,16,inf,False,True,inf
30,8,2048,1,1,inf,False,256,DLMT,8,True,False,True,19,6,inf,1,30,1,inf,False,True,inf
31,2,4,4,4,9.704061689925581,False,2048,DLMT,4,True,True,True,2,30,0.004101856165201275,10,1,8,9.706604,True,True,9.70914631007442
32,2,8,128,2048,inf,False,128,DLMT,4,False,True,True,17,3,inf,1,1,24,inf,False,True,inf
33,32,256,1,1,inf,False,2048,DLMT,1,False,True,True,18,19,inf,1,1,5,inf,False,False,inf
34,8,2,256,1,3.8347433368288586,False,1024,DLMT,2,True,True,True,29,25,0.009849487093245015,10,1,1,3.840848,True,True,3.846952663171141
35,1,2048,1,1,1.7995999473388802,False,512,DLMT,4,False,True,True,7,23,0.033404676678573025,10,9,1,1.8203039999999997,True,True,1.8410080526611192
36,32,1,2,512,inf,False,2,DLMT,2,False,False,True,22,16,inf,1,29,1,inf,False,False,inf
37,8,2048,32,2048,3.2723800953997615,False,1,DLMT,1,False,False,True,3,10,0.00041127241580249374,10,1,1,3.2726349999999997,True,False,3.272889904600238
38,32,256,256,2048,4.535417379680856,False,1024,DLMT,1,True,False,False,28,3,0.07057594533550353,10,19,1,4.57916,True,True,4.6229026203191435
39,4,64,1,512,inf,False,512,DLMT,32,True,True,True,3,12,inf,1,16,1,inf,False,False,inf
40,2,2048,2048,2048,3.136291304322844,False,2048,DLMT,16,True,False,False,20,2,0.003465170847158849,10,9,1,3.138439,True,False,3.1405866956771558
41,4,1,64,256,inf,False,512,DLMT,1,False,True,True,1,24,inf,1,1,20,inf,False,False,inf
42,4,4,8,4,inf,False,1,DLMT,1,True,True,True,16,22,inf,1,1,28,inf,False,False,inf
43,1,1,1,1,1.921309788775675,True,1,DLMT,1,False,False,False,1,1,0.0006553960634608928,10,1,1,1.921716,True,False,1.922122211224325
