id,SCREP,correct_result,T1_Ja,technique,mean_confidence_interval_inf,T1_I,T1_J,T1_Ia,U_K,U_J,U_I,T1_K,T1_Ka,runs,cost_mean,OMP,PAR,VEC,cost_std,mean_confidence_interval_sup,baseline
1,True,True,128,RS,0.12526519622916393,8,8,64,2,4,1,32,256,10,0.1382911,True,True,False,0.021016470110130293,0.15131700377083607,False
2,True,True,2048,RS,1.1064291923259164,256,256,256,1,5,9,1,128,10,1.106503,False,False,False,0.00011908400396362351,1.1065768076740836,False
3,False,True,1024,RS,1.2463356311532028,8,64,2048,2,1,7,1,1,10,1.2467469999999998,False,True,False,0.0006637175604125586,1.2471583688467969,False
4,False,True,1024,RS,1.412626831269517,128,256,128,1,2,20,16,128,10,1.414869,False,False,True,0.0036175971306932264,1.417111168730483,False
5,True,True,1024,RS,0.8195819008516175,256,4,512,1,9,1,4,128,10,0.8341879000000001,True,True,True,0.023565853850221502,0.8487938991483827,False
6,False,True,2,RS,0.3817838675859944,2,1,64,1,17,4,1,4,10,0.38703,True,False,True,0.008464302133076296,0.39227613241400555,False
7,True,True,256,RS,0.41785360918137315,2,2,64,2,1,5,2,128,10,0.4198234,True,False,False,0.003178132634110799,0.4217931908186269,False
8,True,True,32,RS,0.3742195219553252,64,2,512,4,1,26,128,512,10,0.38232089999999996,True,False,True,0.013071059983413728,0.3904222780446747,False
9,True,True,64,RS,2.7034733981965253,2,1,4,5,24,1,4,1024,10,2.704639,False,True,False,0.0018806246302758782,2.7058046018034743,False
10,False,True,1,RS,0.08437040888288458,16,4,16,6,1,8,2048,2048,10,0.08837393,True,False,True,0.006459427566286352,0.09237745111711543,False
11,True,True,512,RS,2.529334493583402,8,512,512,2,1,16,2048,2048,10,2.5295569999999996,False,False,False,0.0003590000000000185,2.529779506416597,False
12,True,True,64,RS,0.17476604267062162,4,1,16,10,3,1,8,1,10,0.18733320000000003,True,False,False,0.020276311803678695,0.19990035732937844,False
13,False,True,2048,RS,2.661027537797035,2,4,128,3,9,1,128,1,10,2.661348,False,False,True,0.0005170454525474925,2.6616684622029645,False
14,False,True,1,RS,3.4850705209663704,4,8,512,5,5,1,8,2048,10,3.4855670000000005,False,False,True,0.0008010374523079209,3.4860634790336307,False
15,False,True,1024,RS,1.8577012989513935,128,1,1,11,10,1,4,4,10,1.858038,False,False,True,0.000543245800720098,1.8583747010486067,False
16,True,True,2048,RS,1.7843236545925407,32,2048,128,21,5,1,16,16,10,1.7845860000000002,False,True,False,0.00042327768663134,1.7848483454074597,False
17,False,True,2048,RS,1.4545079971087858,1,1,128,4,11,1,128,512,10,1.45492,False,False,False,0.0006647405508918054,1.4553320028912142,False
18,True,True,4,RS,1.929766139099038,32,4,32,9,1,13,2,16,10,1.930778,False,True,False,0.0016325734286702373,1.9317898609009623,False
19,False,True,2048,RS,0.5244696328033059,256,512,512,3,27,1,16,256,10,0.5351918,True,True,True,0.01729953716606315,0.545913967196694,False
20,True,True,64,RS,0.38150600523482864,16,2,256,1,3,17,4,2048,10,0.3837554,True,False,True,0.0036292558796535606,0.3860047947651714,False
21,False,True,2048,RS,0.37679507887034447,8,2,64,5,1,19,2,16,10,0.3865326,True,False,False,0.01571087314696418,0.39627012112965554,False
22,False,True,1,RS,2.4138933812516052,2,512,32,1,24,4,4,16,10,2.414274,False,True,True,0.0006141042256815573,2.4146546187483944,False
23,True,True,2048,RS,2.8297012467047935,512,64,1024,12,1,3,16,128,10,2.830147,False,True,True,0.0007191946885232717,2.830592753295207,False
24,True,True,256,RS,1.3784123141485727,64,128,1,1,1,30,2048,2048,10,1.380469,False,True,True,0.0033183322618447956,1.3825256858514272,False
25,True,True,256,RS,2.49379366109735,256,8,2048,19,2,1,16,16,10,2.496222,True,True,False,0.0039179709034141644,2.49865033890265,False
26,False,True,2,RS,1.6443306229946093,1,1,1,17,1,7,8,1024,10,1.644877,False,True,True,0.0008815446670475829,1.6454233770053905,False
27,True,True,4,RS,1.1762220976085231,64,4,2048,1,18,5,512,1024,10,1.1777490000000002,True,True,False,0.002463560228612217,1.1792759023914772,False
28,True,True,16,RS,0.2113933090271461,4,4,256,7,1,3,512,512,10,0.2231435,True,False,False,0.018958188369409143,0.2348936909728539,False
29,True,True,1024,RS,1.494794093915099,128,64,512,1,17,3,4,1024,10,1.495641,False,False,True,0.0013664292883277798,1.496487906084901,False
30,False,True,1,RS,0.1754764743412203,4,256,8,1,3,26,8,8,10,0.18674269999999998,True,False,False,0.018177341010444843,0.19800892565877967,False
31,False,True,1024,RS,1.4653989246764034,8,2,1024,27,3,1,64,512,10,1.467832,True,False,False,0.003925612818401747,1.4702650753235966,False
32,True,True,64,RS,0.4821813270806743,32,1,1024,4,1,16,2048,2048,10,0.4835511,True,True,True,0.0022100417846728547,0.48492087291932573,False
33,True,True,1024,RS,1.149459817144708,128,1024,2048,1,17,7,2048,2048,10,1.1537460000000002,True,True,False,0.006915484364814974,1.1580321828552924,False
