id,SCREP,runs,T1_I,T1_J,cost_mean,U_J,U_I,technique,mean_confidence_interval_inf,cost_std,correct_result,T2_J,T2_I,OMP,VEC,PAR1j,ACOPY_A,PAR1i,mean_confidence_interval_sup,baseline
1,False,10,1,4,0.139465,2,9,DLMT,0.13945252686558085,2.0124611797498512e-05,True,4,256,False,True,True,False,False,0.13947747313441916,False
2,True,10,4,256,0.044216479999999996,10,3,DLMT,0.039774753888926456,0.007166443549181141,True,256,256,True,True,False,True,False,0.048658206111073535,False
3,True,10,1,2048,0.1611446,3,13,DLMT,0.16112505885436798,3.15283998959664e-05,True,2048,16,False,True,False,True,False,0.16116414114563202,False
4,False,10,4,1,0.07113114999999999,1,20,DLMT,0.05989996264013593,0.01812080893598572,True,4,4,True,True,True,False,True,0.08236233735986405,False
5,True,10,1,128,0.06801757000000001,1,10,DLMT,0.060517687877834056,0.012100584437212113,True,1,4,True,True,True,True,True,0.07551745212216597,False
6,True,10,1,64,0.10098510000000001,8,2,DLMT,0.10096755980058579,2.8299999999999387e-05,True,512,2048,False,True,False,False,True,0.10100264019941423,False
7,False,10,256,8,0.05780215999999999,15,3,DLMT,0.05259995796987524,0.008393423243135066,True,1,1,True,True,False,False,False,0.06300436203012474,False
8,True,10,8,2048,0.1203916,2,1,DLMT,0.12036896398570111,3.6521774327103215e-05,True,1,2048,False,True,False,False,False,0.12041423601429889,False
9,True,10,1024,8,0.1887699,1,30,DLMT,0.18852240280543114,0.00039932103626029566,True,128,1,False,True,True,False,True,0.18901739719456884,False
10,False,10,128,128,0.15144680000000002,23,1,DLMT,0.15138595216129785,9.817413101219961e-05,True,128,1,False,False,True,False,False,0.1515076478387022,False
11,True,10,512,1,0.02614657,4,10,DLMT,0.023282277029233703,0.004621355160134309,True,16,1,True,True,True,True,False,0.0290108629707663,False
12,True,10,4,2,0.1249026,30,1,DLMT,0.12488311003299066,3.144582643213438e-05,True,16,1,False,True,False,False,True,0.12492208996700935,False
13,False,10,128,2048,0.1088903,3,10,DLMT,0.1088794048212948,1.757868026900679e-05,True,1,512,False,True,True,False,True,0.1089011951787052,False
14,False,10,8,16,0.06606737,13,1,DLMT,0.059728694052143094,0.010227051875985571,True,1,8,True,True,True,True,True,0.0724060459478569,False
15,True,10,1,2,0.07354524000000001,9,1,DLMT,0.06399822621999215,0.015403501613282607,True,4,16,True,False,True,False,False,0.08309225378000787,False
16,True,10,128,1,0.1927597,26,1,DLMT,0.1925967158128992,0.00026296465541970204,True,2048,128,False,True,False,True,False,0.19292268418710082,False
17,False,10,1,8,0.06602049000000001,1,27,DLMT,0.06005901179580239,0.009618467224610166,True,128,1,True,False,False,True,False,0.07198196820419764,False
18,True,10,4,8,0.1996214,6,6,DLMT,0.19960704481915903,2.3161174408910305e-05,True,128,4,False,False,False,False,False,0.19963575518084098,False
19,False,10,128,512,0.06395607,2,20,DLMT,0.05547050871007444,0.013690915298843245,True,1,256,True,False,False,False,True,0.07244163128992556,False
20,True,10,4,2048,0.08445549000000001,19,1,DLMT,0.07704729133356857,0.011952658992579853,True,2048,512,True,False,False,True,True,0.09186368866643145,False
21,False,10,16,1,0.10199620000000001,13,3,DLMT,0.10197813895581043,2.9140350032216423e-05,True,1,2048,False,False,True,True,False,0.10201426104418959,False
22,True,10,512,256,0.22581389999999998,1,1,DLMT,0.2257977105313899,2.612068146125014e-05,True,2048,1,False,False,True,True,False,0.22583008946861008,False
23,False,10,4,512,0.12707930000000003,1,30,DLMT,0.1270387083461925,6.549206058752656e-05,True,2048,128,False,True,False,False,False,0.12711989165380758,False
