id,RT1_J,T1_Ja,RT1_I,RT1_T,mean_confidence_interval_inf,T1_I,T1_J,technique,T1_T,SCR,T1_Ia,U1_T,T1_Ta,U1_J,U1_I,VEC,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,1,128,4,16,inf,32,4,RS,16,False,1024,1,1024,19,2,False,False,1,inf,inf,False,False,inf
2,2,2048,1,8,1.5554485329871925,64,16,RS,4,False,128,1,8,7,5,False,False,10,0.00024115555146003083,1.555598,True,False,1.5557474670128075
3,1,1024,2,4,0.7118983027470764,64,512,RS,2,True,256,2,512,19,1,True,False,10,7.437499579831282e-05,0.7119443999999999,True,False,0.7119904972529234
4,2,512,4,4,1.4813712779387929,2,32,RS,64,True,16,15,128,1,13,False,False,10,3.6660605559622816e-05,1.481394,True,False,1.4814167220612073
5,4,2048,2,4,inf,1,8,RS,1,False,32,17,8,1,14,False,False,1,inf,inf,False,True,inf
6,1,8,4,16,1.089345259548876,4,1,RS,64,True,8,20,1024,1,29,False,False,10,0.0021067294558153567,1.090651,True,True,1.0919567404511241
7,4,512,2,16,1.0765070957034648,256,32,RS,8,True,256,17,8,20,1,True,False,10,3.534119409411851e-05,1.076529,True,False,1.0765509042965353
8,32,32,2,2,1.4227767318576292,1,32,RS,128,True,128,1,1,28,21,True,False,10,0.0016929276416905352,1.423826,True,False,1.4248752681423709
9,1,128,2,1,1.6905685467639342,1,128,RS,64,False,2048,12,512,1,29,True,False,10,3.300000000000087e-05,1.6905890000000003,True,False,1.6906094532360665
10,8,16,4,1,1.7820968040871432,512,2,RS,512,False,1,1,1,30,4,False,False,10,0.02788211426703504,1.7993779999999997,True,True,1.8166591959128562
11,4,2048,1,8,inf,1024,32,RS,64,False,1024,25,2048,1,14,True,False,1,inf,inf,False,False,inf
12,4,1024,16,4,1.3680831209296223,1,32,RS,16,True,256,25,64,4,1,False,False,10,0.46792062529450434,1.658098,True,True,1.948112879070378
13,1,16,2,4,0.7991577682370219,4,8,RS,8,True,128,25,256,4,1,True,False,10,0.002612850504717015,0.8007772,True,True,0.802396631762978
14,8,8,1,8,3.173541706461445,256,4,RS,16,True,1,22,32,26,1,False,False,10,0.1350015556391852,3.257215,True,True,3.340888293538555
15,2,512,2,16,1.075985346860697,64,64,RS,2,True,64,1,256,5,10,True,False,10,0.004747784325345889,1.0789279999999999,True,True,1.0818706531393028
