id,RT1_K,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,4,8,32,False,4,1024,4,4,16,1,3.7620195689025016,32,4,16,RS,32,True,False,False,64,256,False,1,3,3,1,2,10,128,23,10,3.7636269999999996,1,False,0.002593488191606012,True,3.7652344310974977
2,2,1,512,False,16,32,256,16,1024,1,14.099096419300759,128,512,8,RS,4,False,True,True,2048,1024,True,15,7,1,256,8,10,2048,12,11,14.1153,4,True,0.026143450422620573,True,14.13150358069924
3,1,16,128,False,4,64,8,1,1,1,19.123768886409376,1,1,1024,RS,2,True,True,True,256,1,True,16,17,1,512,2,10,512,26,29,19.15272,4,False,0.04671078676280231,True,19.18167111359062
4,16,1,64,False,2,128,8,512,2048,1,2.222255523759898,8,32,2,RS,1,True,False,True,32,64,True,1,2,21,128,4,10,512,18,26,2.224942,1,False,0.004334459135809218,True,2.2276284762401017
5,1,8,128,False,4,1,512,1,2048,21,2.6846351618461486,1,64,2,RS,2,False,False,False,8,256,True,6,11,1,2048,1,10,32,1,12,2.7725959999999996,32,False,0.14191923711745355,True,2.8605568381538506
6,4,4,1,False,4,2,1,1,4,16,5.3507749622896466,16,16,8,RS,2,True,False,False,2048,16,False,1,13,21,32,1,10,2,22,1,5.387809,2,True,0.059752072507989196,True,5.424843037710353
7,1,8,256,False,1,8,256,16,1024,1,6.644157338133304,32,8,64,RS,2,False,False,True,1024,512,False,28,28,1,128,2,10,2048,27,16,6.645484999999999,32,False,0.002142098270388325,True,6.646812661866694
8,1,2,32,False,8,64,32,1,2048,25,5.055673778527784,64,16,2,RS,1,False,True,True,256,64,False,17,11,1,512,1,10,16,13,1,5.056011,16,False,0.0005440854712267975,True,5.0563482214722155
9,2,32,2,False,2,8,1,2,512,7,6.977007004154889,1,2,2,RS,16,True,True,False,2048,32,False,7,1,26,512,1,10,8,1,2,6.977201000000001,1,False,0.0003129999999999829,True,6.9773949958451125
10,1,4,256,False,1,4,1,1,2,2,3.682561109759675,2,128,256,RS,8,True,False,True,2,2048,False,12,20,1,64,2,10,16,23,1,3.686689,2,True,0.006660089263666066,True,3.690816890240325
11,2,1,512,False,2,32,1,2,256,8,3.392590232357397,1,16,64,RS,4,False,True,False,2,512,False,26,1,14,2048,2,10,2,1,26,3.412039,8,True,0.03137935386524068,True,3.431487767642603
12,2,16,64,False,2,256,32,8,2048,15,14.201817329974228,16,1,32,RS,1,True,True,True,1,32,False,16,1,19,256,16,10,1024,1,19,14.202100000000002,2,False,0.00045607017003999444,True,14.202382670025775
13,16,4,512,False,2,1024,4,1,512,6,4.625211402961814,128,256,2,RS,4,True,True,False,128,64,False,18,1,16,2048,4,10,8,1,30,4.8194479999999995,1,True,0.31338843797434524,True,5.013684597038185
14,1,8,128,False,2,2,16,16,256,22,2.0980542812315646,16,2,2,RS,2,False,True,False,1,2048,True,13,1,6,32,32,10,64,18,1,2.128227,2,True,0.04868176928789674,True,2.158399718768435
15,32,2,1024,False,1,4,8,2048,8,8,10.399607485629783,1,128,2,RS,4,True,True,True,4,16,True,30,1,17,1024,8,10,2048,5,1,10.60124,2,True,0.3253212818123028,True,10.802872514370218
16,2,32,2048,False,2,4,512,256,1,17,2.6413158347598404,1,4,2,RS,1,False,True,True,2,256,True,12,14,1,512,2,10,1024,23,1,2.6851170000000004,8,False,0.07067040385479627,True,2.7289181652401604
17,2,2,128,False,16,2,16,16,64,26,6.3114888864306105,4,2,4,RS,8,True,False,True,1,2048,False,4,1,10,2,4,10,128,3,1,6.311821,2,False,0.0005358441937726986,True,6.31215311356939
18,4,2,8,False,2,32,128,1,2048,11,3.4467765821583365,8,1,256,RS,1,True,False,True,2048,1024,False,11,1,23,32,2,10,32,1,2,3.4971599999999996,2,True,0.08129045122276052,True,3.5475434178416627
19,4,4,1024,False,1,512,32,1,512,1,2.2069862933167403,1,1024,512,RS,2,True,False,True,1,512,True,1,12,19,512,32,10,16,2,20,2.310862,1,True,0.16759686875356594,True,2.41473770668326
20,2,16,1024,False,2,2,1,256,256,1,9.09229352030838,16,16,4,RS,4,True,True,True,64,16,True,1,16,13,1024,1,10,1024,13,20,9.095606,4,True,0.005344476026702964,True,9.098918479691621
21,4,1,512,False,4,32,4,1,16,1,3.73560909644634,128,4,32,RS,2,False,True,False,128,128,True,1,5,29,128,1,10,512,1,23,3.7430400000000006,4,False,0.011989291889014896,True,3.750470903553661
22,1,2,512,False,8,32,32,32,32,25,5.793895232773284,2,4,4,RS,1,False,False,True,1,4,False,1,11,5,1,2,10,256,12,1,5.798868,4,True,0.008023244730157482,True,5.803840767226715
23,1,8,4,False,1,1,64,512,64,1,4.092772382990701,128,4,32,RS,4,True,True,True,512,32,True,1,1,19,256,1,10,512,4,8,4.101372,8,True,0.013874936972829821,True,4.109971617009299
24,1,2,2048,False,4,2048,8,8,1024,1,3.1961043574793973,4,1024,16,RS,2,True,True,True,8,2048,True,2,23,1,2048,16,10,64,28,16,3.255127999999999,2,False,0.0952309060967079,True,3.314151642520601
25,4,8,1,False,8,32,8,8,32,1,13.569954260310325,2048,1,16,RS,1,True,False,False,1,256,False,24,15,1,2048,32,10,8,4,5,13.76977,2,True,0.32239003101833014,True,13.969585739689673
26,2,1,256,False,8,128,2,4,64,3,18.3791423084749,1024,128,1,RS,2,False,True,True,1,1024,True,15,1,23,1,4,10,32,23,1,19.68673,4,False,2.109709861118348,True,20.9943176915251
