id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,512,256,16,256,2.7693851077270315,32,128,256,DLMT,500,10,False,256,2048,1,2,24,2,True,1,1,False,10,0.005980835727555105,2.7730919999999997,True,True,2.776798892272968
2,1,256,1,2048,3.42947770404923,256,128,512,DLMT,500,10,True,2048,2048,1,1,4,6,True,9,1,False,10,7.308214556236955e-05,3.4295229999999997,True,False,3.4295682959507694
3,512,1,2,2,3.0934092517760337,8,1,8,DLMT,500,10,True,1,1024,1024,1,4,2,True,1,8,False,10,0.0006401281121775408,3.093806,True,False,3.094202748223966
4,8,2048,4,64,0.26417303532967673,1,1,32,DLMT,500,10,True,2,512,1,1,1,1,True,30,2,False,10,0.012105235245958664,0.2716758,True,True,0.2791785646703233
5,1,32,32,256,3.109604009520356,1,32,4,DLMT,500,10,False,4,1,256,15,1,1,False,3,1,False,10,0.0006292249200405782,3.1099939999999995,True,False,3.110383990479643
6,2048,512,4,2048,4.302161428044526,1,4,32,DLMT,500,10,False,256,2048,2048,3,5,5,True,2,1,False,10,0.0879558065394207,4.356676,True,True,4.4111905719554745
7,512,1,256,1,2.566701653470916,1,2,1,DLMT,500,10,True,64,1,2048,5,1,1,False,8,2,False,10,0.0003668092147152206,2.566929,True,False,2.567156346529084
8,2048,128,128,128,3.280570108678025,128,64,8,DLMT,500,10,False,2048,512,2048,1,15,1,True,4,2,False,10,0.0011534318358706844,3.2812849999999996,True,False,3.2819998913219743
9,128,1024,256,1,3.4193628574783643,8,32,2,DLMT,500,10,False,256,512,4,1,4,19,True,2,1,False,10,0.0004181100333643838,3.4196220000000004,True,False,3.4198811425216364
10,1,8,4,1,3.347201684417576,1,2048,4,DLMT,500,10,True,2048,4,8,1,24,1,False,2,3,False,10,0.005421656204519013,3.350562,True,True,3.353922315582424
11,512,64,32,8,6.8005562979333325,32,1,1,DLMT,500,10,False,128,2048,2,23,2,1,True,3,1,False,10,0.0004399874998223069,6.8008289999999985,True,False,6.801101702066664
12,32,256,1,1,2.8735725491901203,32,8,32,DLMT,500,10,False,64,64,64,1,1,1,True,7,5,False,10,0.0006993454082210868,2.8740060000000005,True,False,2.8744394508098807
13,1,2048,256,512,2.6706612568866643,128,4,8,DLMT,500,10,True,2048,2048,512,30,2,1,True,1,1,False,10,0.00018997105042613456,2.670779,True,False,2.6708967431133357
14,512,2048,1024,2,0.2502590569642697,4,2,1,DLMT,500,10,True,8,2048,32,1,4,1,False,2,5,False,10,0.01895214131041661,0.2620055,True,True,0.2737519430357303
15,256,1,128,2,6.606435227478637,64,4,16,DLMT,500,10,True,1024,256,64,1,16,4,True,3,1,False,10,0.4016404771683254,6.855369999999999,True,True,7.104304772521361
16,64,4,4,2,12.957912160290592,1,32,4,DLMT,500,10,False,128,128,2048,1,1,28,True,1,2,False,10,0.002852297319705446,12.95968,True,False,12.96144783970941
17,1,64,1,64,4.976020843542398,4,2,256,DLMT,500,10,False,128,256,2048,1,1,2,False,1,18,False,10,0.0002713097860379959,4.976189,True,False,4.976357156457602
18,4,128,128,8,6.752590586946672,8,4,128,DLMT,500,10,True,8,8,1,1,1,7,False,4,1,False,10,0.0006686291946961219,6.753004999999999,True,False,6.753419413053326
