id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,4,512,8,64,0.47248834489976504,4,2,512,RS,500,10,True,64,1,512,3,3,2,False,1,5,False,10,0.018210947993995263,0.4837754,True,True,0.495062455100235
2,256,16,16,16,0.20139846400143904,4,64,1,RS,500,10,True,8,1,1,1,9,1,True,8,3,False,10,0.016428876431454464,0.21158100000000002,True,True,0.221763535998561
3,1,1024,128,2,7.458520820983261,8,128,128,RS,500,10,True,512,2,1024,1,1,4,False,25,1,False,10,0.23113153792808105,7.601774999999999,True,True,7.745029179016737
4,256,1,1024,64,6.807209567680455,16,64,2,RS,500,10,False,512,128,8,1,23,3,True,1,1,False,10,0.14955981814645256,6.899906,True,True,6.992602432319544
5,64,1,32,4,0.5971349632377222,1,2,2,RS,500,10,False,8,32,256,1,5,1,True,4,1,False,10,0.04436569402635329,0.6246326000000001,True,True,0.652130236762278
6,16,256,64,32,3.2321161817779376,16,8,64,RS,500,10,True,32,32,512,1,2,26,True,1,1,False,10,0.00012555476892581885,3.232194,True,False,3.232271818222062
7,1,512,128,2048,3.6925073388070158,512,32,128,RS,500,10,False,1024,1,512,3,2,1,True,7,3,False,10,0.002916546759440007,3.6943150000000005,True,True,3.696122661192985
8,1024,32,1,1024,3.50939911899058,64,64,4,RS,500,10,False,256,1,2048,1,6,1,False,10,2,False,10,0.0003950999873449203,3.509644,True,False,3.50988888100942
9,64,256,128,64,1.6541777932080797,1,2,512,RS,500,10,False,256,512,2048,1,1,1,False,25,2,False,10,0.009401828811460022,1.6600050000000004,True,True,1.6658322067919211
10,1024,2048,1024,1024,4.8396805125279565,8,1,4,RS,500,10,False,1024,2048,256,1,16,4,True,2,1,False,10,0.11710078927573456,4.912259,True,True,4.984837487472043
11,256,512,4,1,2.6440219912838234,256,16,128,RS,500,10,True,1,512,256,2,19,1,False,2,2,False,10,0.0001920130203918226,2.644141,True,False,2.6442600087161763
12,8,32,32,256,3.358016796602383,1,2,2,RS,500,10,False,8,256,64,1,2,1,False,2,7,False,10,8.100000000000269e-05,3.3580669999999997,True,False,3.3581172033976165
13,2048,64,4,4,3.720964019858398,2048,2,64,RS,500,10,True,1,32,1,3,3,1,True,1,1,False,10,0.00010322790320459668,3.7210279999999996,True,False,3.721091980141601
14,64,1,2,8,0.2201174566365584,16,1,16,RS,500,10,True,1,512,2048,2,10,1,True,5,2,False,10,0.026052231014828654,0.23626450000000002,True,True,0.2524115433634416
15,128,2048,256,4,5.918912191144146,1,128,16,RS,500,10,True,512,2048,1024,5,1,1,False,11,1,False,10,0.002408552469845765,5.920405000000001,True,False,5.921897808855856
16,128,1,8,4,0.47014562609196797,2,1,8,RS,500,10,False,8,2048,8,1,7,2,False,5,2,False,10,0.0278528755608824,0.48740870000000003,True,True,0.5046717739080321
17,64,2048,2048,4,4.535695832142407,128,2,4,RS,500,10,True,512,512,16,1,3,1,True,3,9,False,10,0.0030545063430937355,4.537589,True,True,4.539482167857592
18,128,1024,8,1,1.8574860840326826,8,8,2,RS,500,10,False,256,128,256,4,5,1,False,6,2,False,10,0.004514260072259913,1.860284,True,True,1.8630819159673175
19,64,128,64,2,0.3333816880080866,2,1,4,RS,500,10,True,4,2,8,1,22,2,True,2,1,False,10,0.025836141235873446,0.3493948,True,True,0.3654079119919134
20,16,32,2,4,0.22599335655483574,1,16,32,RS,500,10,True,1,256,256,2,5,1,False,4,2,False,10,0.01613621104379835,0.23599449999999997,True,True,0.2459956434451642
21,64,512,128,4,6.093616587281366,1,1,16,RS,500,10,False,128,1,128,3,2,2,False,1,5,False,10,0.0002975382328374052,6.093800999999999,True,False,6.093985412718633
22,256,1,8,32,1.3231417167874477,64,2,16,RS,500,10,True,256,256,256,2,12,1,False,4,2,False,10,0.00522799158377288,1.3263820000000002,True,True,1.3296222832125526
23,1024,4,4,2,7.545836897673743,1,128,256,RS,500,10,False,4,8,1024,1,4,3,False,4,4,False,10,0.00016957594168996227,7.545942000000001,True,False,7.546047102326259
24,2048,256,128,8,11.4343612836408,1,8,1,RS,500,10,False,1024,2048,8,1,12,5,False,3,1,False,10,0.0002722131517763422,11.434529999999999,True,False,11.434698716359197
25,128,128,8,16,0.20791345398576208,1,32,16,RS,500,10,True,4,16,128,2,3,1,False,1,2,False,10,0.04428310099902671,0.2353599,True,True,0.2628063460142379
26,2048,1,2,8,4.725642354755508,1,2,128,RS,500,10,False,256,1,1024,2,3,4,False,4,1,False,10,0.0066419461756325555,4.729759,True,True,4.733875645244491
27,256,512,256,1024,5.062549642671765,1,2,4,RS,500,10,False,256,1024,512,3,9,2,False,3,1,False,10,0.0006104555675887477,5.062927999999999,True,False,5.0633063573282335
28,256,256,1,2,0.2424880360574011,2,128,1,RS,500,10,True,4,4,32,2,4,2,False,1,2,False,10,0.03779501725836357,0.2659132,True,True,0.28933836394259893
29,32,1,128,2,5.692554905738292,512,8,8,RS,500,10,False,2048,32,8,2,5,1,True,16,1,False,10,0.01877571399441303,5.704192,True,True,5.715829094261708
30,1,128,32,8,4.629421861559986,8,4,64,RS,500,10,True,256,512,128,3,5,1,True,7,1,False,10,0.00011800423721211939,4.629495,True,False,4.629568138440015
31,1,32,32,64,2.9455060701986473,1024,1024,2,RS,500,10,False,2048,1,32,1,2,1,False,1,24,False,10,0.00010153324578676936,2.945569,True,False,2.9456319298013525
32,128,128,8,64,0.24926407544311194,8,1,1,RS,500,10,True,1,64,1,10,2,1,True,2,1,False,10,0.02133257588032913,0.26248590000000005,True,True,0.27570772455688813
33,8,512,2,32,2.991480581568533,512,8,8,RS,500,10,True,512,512,8,4,12,1,True,1,1,False,10,0.0028854997833998404,2.993269,True,True,2.9950574184314673
34,1024,1,512,2,3.728781204682523,64,512,64,RS,500,10,False,2048,256,1,1,10,1,True,1,5,False,10,0.02145192301403307,3.7420770000000005,True,True,3.755372795317478
35,512,512,128,2,3.875015903811227,2,128,1,RS,500,10,True,128,64,4,6,12,1,False,2,1,False,10,0.00035511125017387155,3.875236,True,False,3.875456096188773
36,256,512,8,16,6.63620691337399,256,2,4,RS,500,10,True,1024,256,4,1,1,3,True,6,1,False,10,0.00013082813153131832,6.636287999999999,True,False,6.636369086626007
37,32,1024,32,16,8.680793191930851,32,16,8,RS,500,10,True,2048,32,32,1,1,15,True,1,1,False,10,0.006224328799155527,8.684650999999999,True,True,8.688508808069146
38,8,1,2048,2,7.393450629428157,512,4,2,RS,500,10,False,1024,128,8,4,4,1,False,4,3,False,10,7.158910531623973e-05,7.393495,True,False,7.393539370571842
39,64,1,1,4,0.37170343831510255,1,16,8,RS,500,10,False,32,1024,64,1,2,1,True,4,5,False,10,0.10013594567566633,0.43376719999999996,True,True,0.4958309616848974
40,64,512,1,32,2.8039900688719417,2,64,2,RS,500,10,True,512,64,2048,2,1,1,False,3,1,False,10,0.00011121600604237205,2.8040589999999996,True,False,2.8041279311280576
41,64,128,2,256,3.4337386879592047,16,16,256,RS,500,10,True,32,2048,2048,8,5,2,True,2,1,False,10,0.0004409716544178368,3.434012,True,False,3.4342853120407955
42,16,512,64,64,2.2067047435744427,512,8,1,RS,500,10,True,2048,64,256,5,1,1,True,3,5,False,10,0.0006070658942816416,2.207081,True,False,2.2074572564255575
43,128,512,4,256,2.4026595714409535,8,1,4,RS,500,10,True,128,1,512,1,5,1,False,11,4,False,10,0.00011685888926391657,2.402732,True,False,2.402804428559046
44,1,8,1,1024,1.5451879112414824,16,4,1,RS,500,10,True,128,2048,256,1,7,7,False,1,1,False,10,0.02136527088524739,1.55843,True,True,1.5716720887585176
45,2048,32,32,64,13.780217503879214,1,2048,512,RS,500,10,False,1024,512,1024,1,1,30,False,3,1,False,10,0.00152065775242151,13.78116,True,False,13.782102496120785
46,256,1024,128,128,2.742334173560027,4,2,4,RS,500,10,True,256,128,64,2,1,2,False,3,5,False,10,0.0004466419147371489,2.742611,True,False,2.7428878264399734
47,1024,512,1,8,7.760898972310841,8,8,2,RS,500,10,False,32,1,32,1,7,4,False,5,1,False,10,0.0003485469839203632,7.761114999999999,True,False,7.761331027689158
48,512,1,2,64,4.140350631057167,16,2,32,RS,500,10,False,1024,1,128,1,2,1,False,3,7,False,10,0.00020066140635406588,4.140475,True,False,4.1405993689428335
49,256,32,2,2,4.797146889064248,16,32,2048,RS,500,10,True,1,1,1,2,3,11,True,2,1,False,10,0.00010505236789349492,4.797212,True,False,4.797277110935752
50,128,64,64,2,3.7532836110760224,1,4,1024,RS,500,10,True,64,512,2048,1,17,1,False,2,4,False,10,4.9030602688467665e-05,3.7533139999999996,True,False,3.753344388923977
51,512,1,2048,16,0.27910218718229485,4,32,1,RS,500,10,True,32,128,512,5,4,1,False,5,1,False,10,0.05781219750095995,0.3149339,True,True,0.35076561281770513
52,128,64,8,1024,3.6193583420024966,1,2,16,RS,500,10,False,32,1,64,1,2,1,True,2,8,False,10,0.00020274121435954047,3.619484,True,False,3.6196096579975032
53,32,1,128,4,4.1764713715333555,2048,4,128,RS,500,10,True,1,64,1,1,7,1,False,3,4,False,10,0.0006996320461498529,4.1769050000000005,True,False,4.177338628466646
54,32,512,512,16,7.052579166938823,64,2,1024,RS,500,10,False,512,32,1024,3,1,4,True,1,5,False,10,0.0024682886784167476,7.0541089999999995,True,True,7.055638833061176
55,1,8,2,1,5.750274249512085,512,64,2,RS,500,10,True,2048,2048,512,1,1,2,True,10,5,False,10,0.0010128356233862557,5.750902000000001,True,False,5.751529750487917
56,256,1,256,4,0.37301796791619674,2,4,16,RS,500,10,False,16,1024,32,1,4,4,False,4,1,False,10,0.03260857385167282,0.3932286,True,True,0.41343923208380323
