id,T1_Ja,T1_La,T1_L,T1_M,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,VRANGE,ORANGE,SCREP,T1_Ia,T1_Ma,T1_Ka,U1_K,U1_J,U1_I,VEC,U1_M,U1_L,baseline,runs,cost_std,cost_mean,correct_result,OMP,mean_confidence_interval_sup
1,512,1,8,2048,0.3275829197632464,1,2,4,DLMT,500,10,True,16,2048,16,1,3,3,False,12,2,False,10,0.04421232634741131,0.3549855,True,True,0.38238808023675364
2,2048,512,256,4,3.567866822309734,128,2048,8,DLMT,500,10,True,256,1,128,1,2,17,False,3,1,False,10,0.05846961624638899,3.6041060000000003,True,True,3.6403451776902664
3,512,256,128,1,3.7282250720585917,1,4,512,DLMT,500,10,False,64,128,512,2,12,1,True,6,1,False,10,0.00021124393482415725,3.7283560000000002,True,False,3.728486927941409
4,2048,256,128,512,0.4160446776334729,16,8,2,DLMT,500,10,False,32,512,2048,21,1,1,False,2,2,False,10,0.07007062029046125,0.4594741,True,True,0.5029035223665271
5,2048,1,1024,8,6.952945620241504,2,256,4,DLMT,500,10,True,1024,128,1,1,1,7,True,1,1,False,10,0.005457255354113414,6.956328000000001,True,True,6.959710379758498
6,1,1024,256,4,6.748919919297037,512,128,32,DLMT,500,10,False,512,1024,512,2,8,3,False,3,1,False,10,0.00014211263138797143,6.749007999999999,True,False,6.749096080702961
7,32,1,2048,256,3.385372445184635,512,1,128,DLMT,500,10,False,1,512,1024,1,2,1,False,7,9,False,10,0.00010899541274746591,3.38544,True,False,3.385507554815365
8,1,1,1,64,5.813221617914297,1,4,2,DLMT,500,10,False,1024,512,4,1,20,2,False,1,2,False,10,0.00039913531540067694,5.8134689999999996,True,False,5.813716382085702
9,16,4,1,256,0.3645780106750796,2,4,4,DLMT,500,10,False,1,1,4,1,3,2,True,5,1,False,10,0.015702270617971147,0.3743102,True,True,0.38404238932492035
10,64,1,64,2048,4.34539637810567,2,1,4,DLMT,500,10,False,64,1,32,1,3,2,False,2,2,False,10,6.876772498789983e-05,4.345439000000001,True,False,4.345481621894331
11,2048,32,8,32,4.201841387690512,4,1,4,DLMT,500,10,True,1,2048,256,1,1,1,True,8,1,False,10,0.0006382953861653205,4.202237,True,False,4.202632612309489
12,1,1024,128,64,4.095381544714863,8,1,1,DLMT,500,10,False,32,2048,2,1,2,10,True,9,1,False,10,0.0008139066285515619,4.095885999999999,True,False,4.096390455285135
13,2048,1024,512,256,0.19533824795766597,4,16,1,DLMT,500,10,True,4,512,1,7,7,1,False,1,1,False,10,0.04240184362984703,0.22161869999999997,True,True,0.24789915204233398
14,4,512,1,1,3.105483335115939,8,1,8,DLMT,500,10,False,256,2048,1,30,1,1,True,3,1,False,10,8.013114251031862e-05,3.105533,True,False,3.1055826648840608
15,256,256,1,256,2.300847847240754,2,256,1,DLMT,500,10,True,512,256,4,1,4,1,True,1,20,False,10,0.0040273842627690385,2.303344,True,True,2.305840152759246
16,512,1,64,64,0.49856766197634805,8,1,1,DLMT,500,10,False,1,256,32,30,1,2,False,1,1,False,10,0.02171530477359228,0.5120267000000001,True,True,0.5254857380236521
17,1,2048,128,2,7.283991997835353,1,1,256,DLMT,500,10,True,2048,1024,1024,14,1,4,False,1,1,False,10,0.00014198591479433888,7.28408,True,False,7.284168002164647
18,4,512,128,256,0.4938015264534741,32,1,4,DLMT,500,10,False,32,1024,8,1,17,2,True,1,3,False,10,0.10313582751517535,0.5577245999999999,True,True,0.6216476735465257
19,1,2048,2048,8,0.7972130714515858,8,256,4,DLMT,500,10,True,128,32,64,4,22,1,True,1,1,False,10,0.008642096611355374,0.8025694,True,True,0.8079257285484142
