id,RT1_J,T1_Ja,baseline,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,technique,VEC2,VEC1,U2_J,SCREP,T1_Ia,OMP1,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,RT2_J,RT2_K,cost_mean,U2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,4,512,False,2,4,64,2,2048,5,0.7552651240009828,2048,2,DLMT,False,False,1,True,2048,False,8,1,4,1,10,2,16,8,0.7622701000000001,10,True,0.011302084776270241,True,0.7692750759990173
2,4,1,False,2,1024,512,2048,1024,1,0.47790076435338646,2,512,DLMT,False,True,13,True,32,True,1,22,1,2,10,1,8,16,0.4910145,5,True,0.02115818127462755,True,0.5041282356466136
3,4,2048,False,32,1,32,64,32,30,0.8158127398986958,32,2,DLMT,True,True,1,True,1024,False,26,1,64,2,10,256,4,8,0.8223817999999999,1,True,0.010598762105076246,True,0.828950860101304
4,4,64,False,4,512,16,1,2048,1,0.7783121866650642,8,4,DLMT,False,False,6,False,1,True,1,13,1,32,10,2,2,2,0.7879721999999999,10,False,0.015585819232879633,True,0.7976322133349356
5,32,256,False,32,2,4,2048,2048,2,0.8420125344069126,64,16,DLMT,True,False,22,False,1,True,6,1,16,1,10,2048,4,8,0.8449913,1,False,0.004806049480602547,True,0.8479700655930874
6,8,2048,False,8,8,32,1,256,1,0.8877698972066623,128,256,DLMT,True,False,5,False,1024,True,5,1,1,1,10,256,32,4,0.8921295,16,True,0.007033942781257172,True,0.8964891027933377
7,1,128,False,16,512,1,8,1024,8,0.7196546046312652,2,2,DLMT,False,True,12,True,1024,False,26,1,1,4,10,64,16,32,0.7278218,1,True,0.013177252064068612,True,0.7359889953687347
8,2,1,False,8,4,256,128,2048,29,1.0467194914545748,4,64,DLMT,True,True,3,False,1024,False,1,1,64,1,10,1,4,16,1.054046,1,True,0.011820857160121668,True,1.0613725085454253
9,2,1024,False,8,256,128,512,2048,1,1.136447970536598,1,1024,DLMT,True,True,4,False,16,False,12,1,512,4,10,2048,32,4,1.136533,1,False,0.00013718964975535178,True,1.136618029463402
10,1,128,False,32,2,8,1,512,3,0.16927896130827128,2,4,DLMT,True,False,3,True,16,True,1,10,512,1,10,8,4,16,0.18240589999999998,1,True,0.021179483551068946,True,0.1955328386917287
11,1,64,False,1,32,64,1024,1,1,0.9555629861487521,8,64,DLMT,True,True,8,True,2048,True,30,1,128,16,10,2048,32,16,0.9582833000000001,12,False,0.00438905397665601,True,0.961003613851248
12,16,128,False,2,1,2048,2048,2048,8,1.2791075406747687,64,2,DLMT,True,True,8,False,128,False,6,1,512,1,10,1,2,16,1.2792790000000003,1,False,0.00027663875361197513,True,1.2794504593252318
13,4,32,False,8,16,128,2,512,1,0.5211924871592891,4,1,DLMT,False,False,28,True,8,False,1,5,128,8,10,128,16,32,0.5233799,3,True,0.003529251973152375,True,0.5255673128407109
14,8,1024,False,2,32,256,1,2048,1,0.7861189506645526,4,1024,DLMT,True,True,19,True,2048,True,12,1,64,16,10,512,4,32,0.7890208,3,True,0.004681949974102675,True,0.7919226493354473
15,1,512,False,1,256,16,16,256,1,0.802550754855482,4,64,DLMT,False,True,3,False,8,False,1,30,2048,2,10,1,32,2,0.8216755999999998,26,True,0.030856725445840814,True,0.8408004451445177
